Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,Race,Date,Location
1,Luca Facchinetti,870,M30-34,ITA,00:23:07,02:04:54,01:17:52,03:51:04,Ironman 70.3 Turkey,11/03/2019,"Belek, Turkey"
1,Adam Lambrechts,765,M25-29,BEL,00:23:59,02:02:53,01:23:40,03:55:02,Ironman 70.3 Turkey,11/03/2019,"Belek, Turkey"
1,Jesse Hinrichs,702,M18-24,DEU,00:24:33,02:07:18,01:18:49,03:56:15,Ironman 70.3 Turkey,11/03/2019,"Belek, Turkey"
2,Sven Vandenbroucke,717,M18-24,BEL,00:25:24,02:08:54,01:17:24,03:56:16,Ironman 70.3 Turkey,11/03/2019,"Belek, Turkey"
3,Marchelo Maximilian Kunzelmann Loza,706,M18-24,DEU,00:25:29,02:08:48,01:17:15,03:56:25,Ironman 70.3 Turkey,11/03/2019,"Belek, Turkey"
4,Marc Stochkel,107,M18-24,DNK,00:25:28,02:04:56,01:22:19,03:57:26,Ironman 70.3 Turkey,11/03/2019,"Belek, Turkey"
2,Tommy Armani,823,M30-34,NOR,00:31:08,02:04:23,01:17:51,03:57:33,Ironman 70.3 Turkey,11/03/2019,"Belek, Turkey"
2,Emmanuel Lejeune,767,M25-29,BEL,00:25:19,02:08:49,01:19:09,03:58:10,Ironman 70.3 Turkey,11/03/2019,"Belek, Turkey"
1,Ilya Slepov,119,M35-39,RUS,00:26:20,02:08:35,01:20:55,04:00:32,Ironman 70.3 Turkey,11/03/2019,"Belek, Turkey"
3,Matthew Brooke,112,M30-34,GBR,00:28:27,02:08:04,01:18:53,04:00:36,Ironman 70.3 Turkey,11/03/2019,"Belek, Turkey"
4,Tobias Gärttner,203,M30-34,DEU,00:29:11,02:04:50,01:22:04,04:01:11,Ironman 70.3 Turkey,11/03/2019,"Belek, Turkey"
3,Oleksandr Khadyko,196,M25-29,UKR,00:28:38,02:09:10,01:18:17,04:01:24,Ironman 70.3 Turkey,11/03/2019,"Belek, Turkey"
5,Pavel Gorik,880,M30-34,RUS,00:28:46,02:10:13,01:22:04,04:05:32,Ironman 70.3 Turkey,11/03/2019,"Belek, Turkey"
4,Adria Tècul,109,M25-29,ESP,00:29:11,02:09:26,01:22:36,04:07:28,Ironman 70.3 Turkey,11/03/2019,"Belek, Turkey"
6,Fabien Besançon,111,M30-34,FRA,00:25:34,02:13:48,01:23:10,04:07:58,Ironman 70.3 Turkey,11/03/2019,"Belek, Turkey"
2,Sergey Khazov,384,M35-39,RUS,00:28:06,02:10:45,01:24:23,04:08:03,Ironman 70.3 Turkey,11/03/2019,"Belek, Turkey"
7,Artem Parienko,964,M30-34,RUS,00:28:25,02:09:23,01:26:28,04:08:41,Ironman 70.3 Turkey,11/03/2019,"Belek, Turkey"
1,Peter Weiss,255,M45-49,ARE,00:28:33,02:08:31,01:26:14,04:08:48,Ironman 70.3 Turkey,11/03/2019,"Belek, Turkey"
5,Andrei Vrabii,806,M25-29,MDA,00:31:20,02:08:24,01:23:27,04:09:17,Ironman 70.3 Turkey,11/03/2019,"Belek, Turkey"
8,Andrey Tumanov,1009,M30-34,RUS,00:29:29,02:09:01,01:26:20,04:10:07,Ironman 70.3 Turkey,11/03/2019,"Belek, Turkey"
2,Christophe Halleumieux,138,M45-49,FRA,00:30:55,02:12:47,01:21:19,04:10:12,Ironman 70.3 Turkey,11/03/2019,"Belek, Turkey"
1,Team Alabriga Triathlon,2001,MRELAY,,00:31:18,02:00:56,01:33:30,04:10:43,Ironman 70.3 Turkey,11/03/2019,"Belek, Turkey"
1,Jan Lepier,132,M40-44,CZE,00:29:21,02:07:21,01:28:40,04:10:59,Ironman 70.3 Turkey,11/03/2019,"Belek, Turkey"
3,Ruso Yakimovic,121,M35-39,TUR,00:28:00,02:15:10,01:23:00,04:11:23,Ironman 70.3 Turkey,11/03/2019,"Belek, Turkey"
2,Ivan Buzanov,126,M40-44,RUS,00:28:34,02:09:24,01:28:14,04:11:31,Ironman 70.3 Turkey,11/03/2019,"Belek, Turkey"
6,Caleb Kennedy,756,M25-29,GBR,00:28:16,02:10:35,01:27:31,04:11:48,Ironman 70.3 Turkey,11/03/2019,"Belek, Turkey"
4,Sviatoslav Tsvetkov,1269,M35-39,UKR,00:25:28,02:23:27,01:18:42,04:12:47,Ironman 70.3 Turkey,11/03/2019,"Belek, Turkey"
2,Team Gokturk,2020,MRELAY,,00:31:30,02:19:04,01:20:07,04:15:23,Ironman 70.3 Turkey,11/03/2019,"Belek, Turkey"
7,Sven Altermatt,727,M25-29,CHE,00:28:47,02:09:35,01:31:42,04:15:35,Ironman 70.3 Turkey,11/03/2019,"Belek, Turkey"
3,Team Transmer Green,2054,MRELAY,,00:28:49,02:21:39,01:21:26,04:15:45,Ironman 70.3 Turkey,11/03/2019,"Belek, Turkey"
