Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,Race,Date,Location
1,Maurice Clavel,27,M PRO,GER,00:24:20,02:04:24,01:13:16,03:46:17,Ironman 70.3 Vichy,08/25/2018,"Auvergne, France"
2,Colin Norris,19,M PRO,GBR,00:25:06,02:11:17,01:12:32,03:53:54,Ironman 70.3 Vichy,08/25/2018,"Auvergne, France"
3,Mattia Ceccarelli,13,M PRO,ITA,00:23:55,02:10:43,01:18:38,03:58:41,Ironman 70.3 Vichy,08/25/2018,"Auvergne, France"
4,Alexander Chikin,14,M PRO,RUS,00:26:39,02:09:41,01:18:05,03:59:34,Ironman 70.3 Vichy,08/25/2018,"Auvergne, France"
5,Horst Reichel,32,M PRO,GER,00:24:33,02:13:12,01:18:29,04:00:42,Ironman 70.3 Vichy,08/25/2018,"Auvergne, France"
6,Alexandre Blain,10,M PRO,FRA,00:31:31,02:08:44,01:16:49,04:02:17,Ironman 70.3 Vichy,08/25/2018,"Auvergne, France"
7,Kirill Kotsegarov,31,M PRO,EST,00:26:40,02:18:27,01:14:12,04:04:24,Ironman 70.3 Vichy,08/25/2018,"Auvergne, France"
1,Clément Dubut,126,M 18,FRA,00:27:24,02:17:03,01:17:43,04:07:10,Ironman 70.3 Vichy,08/25/2018,"Auvergne, France"
8,Omar Brons,26,M PRO,NED,00:25:09,02:18:45,01:18:21,04:07:18,Ironman 70.3 Vichy,08/25/2018,"Auvergne, France"
1,Damien Béthencourt,127,M 25,FRA,00:29:37,02:15:58,01:17:00,04:08:05,Ironman 70.3 Vichy,08/25/2018,"Auvergne, France"
1,Nicolas Mallebay,1199,M 30,FRA,00:29:52,02:18:31,01:14:21,04:08:13,Ironman 70.3 Vichy,08/25/2018,"Auvergne, France"
9,AJ Baucco,6,M PRO,USA,00:26:38,02:17:02,01:19:41,04:08:22,Ironman 70.3 Vichy,08/25/2018,"Auvergne, France"
2,François Martin,800,M 18,FRA,00:27:40,02:18:30,01:17:45,04:09:12,Ironman 70.3 Vichy,08/25/2018,"Auvergne, France"
10,Charles Bouin,11,M PRO,FRA,00:31:18,02:16:44,01:16:28,04:09:56,Ironman 70.3 Vichy,08/25/2018,"Auvergne, France"
3,Matthieu Bourgeois,740,M 18,FRA,00:31:47,02:15:54,01:17:07,04:10:00,Ironman 70.3 Vichy,08/25/2018,"Auvergne, France"
