Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,Race,Date,Location
1,Frederik VAN LIERDE,1,M PRO,BEL,00:25:25,02:02:42,01:13:24,03:46:02,Ironman 70.3 Vichy,08/26/2017,"Auvergne, France"
2,Andi BOECHERER,2,M PRO,GER,00:25:24,02:01:58,01:16:50,03:49:26,Ironman 70.3 Vichy,08/26/2017,"Auvergne, France"
3,Antony COSTES,5,M PRO,FRA,00:25:42,02:05:24,01:16:08,03:51:20,Ironman 70.3 Vichy,08/26/2017,"Auvergne, France"
4,Arnaud GUILLOUX,8,M PRO,FRA,00:26:01,02:09:19,01:15:53,03:55:53,Ironman 70.3 Vichy,08/26/2017,"Auvergne, France"
5,Dominik SOWIEJA,21,M PRO,GER,00:27:31,02:13:05,01:12:00,03:56:49,Ironman 70.3 Vichy,08/26/2017,"Auvergne, France"
6,Marcus HERBST,31,M PRO,GER,00:27:15,02:08:19,01:17:05,03:57:17,Ironman 70.3 Vichy,08/26/2017,"Auvergne, France"
7,Kevin MAUREL,36,M PRO,FRA,00:26:22,02:09:29,01:18:41,03:58:39,Ironman 70.3 Vichy,08/26/2017,"Auvergne, France"
8,Robin MOUSSEL,6,M PRO,FRA,00:27:19,02:13:09,01:14:02,03:59:11,Ironman 70.3 Vichy,08/26/2017,"Auvergne, France"
9,Manuel KÜNG,33,M PRO,SUI,00:24:46,02:05:49,01:26:38,04:02:03,Ironman 70.3 Vichy,08/26/2017,"Auvergne, France"
10,Vincent MORIZOT,19,M PRO,FRA,00:28:08,02:13:26,01:16:09,04:02:26,Ironman 70.3 Vichy,08/26/2017,"Auvergne, France"
11,Jeremy JURKIEWICZ,32,M PRO,FRA,00:25:15,02:16:40,01:17:29,04:03:17,Ironman 70.3 Vichy,08/26/2017,"Auvergne, France"
12,David DE GROOFF,27,M PRO,BEL,00:26:38,02:14:51,01:17:46,04:03:50,Ironman 70.3 Vichy,08/26/2017,"Auvergne, France"
13,Sébastien MOREAU,15,M PRO,FRA,00:33:04,02:12:17,01:15:11,04:05:35,Ironman 70.3 Vichy,08/26/2017,"Auvergne, France"
14,Benoit BIGOT,28,M PRO,FRA,00:27:24,02:14:24,01:20:04,04:06:11,Ironman 70.3 Vichy,08/26/2017,"Auvergne, France"
15,Ivan RISTI,4,M PRO,ITA,00:25:16,02:16:35,01:20:47,04:07:01,Ironman 70.3 Vichy,08/26/2017,"Auvergne, France"
1,Toon VELDEMAN,313,M 35,BEL,00:29:51,02:14:41,01:17:32,04:07:35,Ironman 70.3 Vichy,08/26/2017,"Auvergne, France"
1,Henry IRVINE,1068,M 25,GBR,00:29:07,02:17:04,01:17:06,04:07:43,Ironman 70.3 Vichy,08/26/2017,"Auvergne, France"
2,Pamphiel PAREYN,358,M 25,BEL,00:26:31,02:14:42,01:22:05,04:07:54,Ironman 70.3 Vichy,08/26/2017,"Auvergne, France"
16,Christian BRADER,29,M PRO,GER,00:29:31,02:13:19,01:20:12,04:08:08,Ironman 70.3 Vichy,08/26/2017,"Auvergne, France"
17,Patrick JABERG,13,M PRO,SUI,00:30:10,02:11:08,01:22:39,04:08:42,Ironman 70.3 Vichy,08/26/2017,"Auvergne, France"
18,Daniel CORRALES,9,M PRO,ESP,00:27:29,02:15:58,01:21:50,04:09:45,Ironman 70.3 Vichy,08/26/2017,"Auvergne, France"
19,Lucas AMIRAULT,16,M PRO,FRA,00:27:20,02:14:16,01:23:34,04:09:47,Ironman 70.3 Vichy,08/26/2017,"Auvergne, France"
3,Ruud DE RYBEL,355,M 25,BEL,00:31:19,02:14:35,01:19:40,04:10:41,Ironman 70.3 Vichy,08/26/2017,"Auvergne, France"
4,Adrien HOCHEDÉ,1067,M 25,FRA,00:32:47,02:15:18,01:17:38,04:11:18,Ironman 70.3 Vichy,08/26/2017,"Auvergne, France"
20,Trevor DELSAUT,7,M PRO,FRA,00:27:35,02:16:46,01:22:49,04:11:42,Ironman 70.3 Vichy,08/26/2017,"Auvergne, France"
5,Sam PROCTOR,293,M 25,GBR,00:26:55,02:19:53,01:19:54,04:11:50,Ironman 70.3 Vichy,08/26/2017,"Auvergne, France"
21,Lluis VILA AGUILAR,24,M PRO,ESP,00:31:12,02:18:06,01:18:31,04:12:13,Ironman 70.3 Vichy,08/26/2017,"Auvergne, France"
1,Simon DAMIENS,246,M 30,FRA,00:30:06,02:22:34,01:14:19,04:12:21,Ironman 70.3 Vichy,08/26/2017,"Auvergne, France"
2,Charles-Antoine GOSSET,1257,M 30,FRA,00:36:21,02:12:39,01:17:29,04:12:42,Ironman 70.3 Vichy,08/26/2017,"Auvergne, France"
3,Pierre MASSONNEAU,279,M 30,FRA,00:28:28,02:16:04,01:23:48,04:13:21,Ironman 70.3 Vichy,08/26/2017,"Auvergne, France"
1,Benoit MARCOLINI,183,M 40,FRA,00:31:53,02:15:42,01:21:03,04:14:21,Ironman 70.3 Vichy,08/26/2017,"Auvergne, France"
4,Philipp WIDMANN,319,M 30,GER,00:29:34,02:16:40,01:24:06,04:15:36,Ironman 70.3 Vichy,08/26/2017,"Auvergne, France"
6,Claude LUCAS,570,M 25,LUX,00:30:05,02:15:34,01:24:47,04:16:05,Ironman 70.3 Vichy,08/26/2017,"Auvergne, France"
2,Arnaud EDUS,161,M 35,FRA,00:30:33,02:13:31,01:26:35,04:16:11,Ironman 70.3 Vichy,08/26/2017,"Auvergne, France"
7,Gaetan FETAUD,1051,M 25,GLP,00:30:47,02:16:10,01:24:41,04:16:23,Ironman 70.3 Vichy,08/26/2017,"Auvergne, France"
2,Xavier PHILIPPE,119,M 40,FRA,00:36:25,02:12:57,01:21:52,04:16:52,Ironman 70.3 Vichy,08/26/2017,"Auvergne, France"
1,Simon PIMENTA,954,M 18,FRA,00:26:32,02:21:24,01:24:26,04:17:12,Ironman 70.3 Vichy,08/26/2017,"Auvergne, France"
2,Valentin MONTPIED,947,M 18,FRA,00:30:42,02:19:17,01:21:32,04:17:13,Ironman 70.3 Vichy,08/26/2017,"Auvergne, France"
3,Clément DUBUT-HERMEL,928,M 18,FRA,00:26:46,02:22:02,01:23:45,04:17:15,Ironman 70.3 Vichy,08/26/2017,"Auvergne, France"
