Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,Race,Date,Location
1,Sam Long,5,MPRO,USA,00:25:45,02:11:34,01:15:47,03:55:47,Ironman 70.3 Victoria,06/02/2019,"Victoria, British Columbia, Canada"
2,Cody Beals,1,MPRO,CAN,00:24:39,02:11:44,01:17:16,03:56:24,Ironman 70.3 Victoria,06/02/2019,"Victoria, British Columbia, Canada"
3,Taylor Reid,3,MPRO,CAN,00:24:41,02:14:41,01:16:22,03:58:30,Ironman 70.3 Victoria,06/02/2019,"Victoria, British Columbia, Canada"
4,Eric Lagerstrom,6,MPRO,USA,00:23:03,02:15:43,01:20:03,04:01:42,Ironman 70.3 Victoria,06/02/2019,"Victoria, British Columbia, Canada"
5,Trevor Wurtele,8,MPRO,CAN,00:25:43,02:15:21,01:19:49,04:03:33,Ironman 70.3 Victoria,06/02/2019,"Victoria, British Columbia, Canada"
6,Nathan Killam,2,MPRO,CAN,00:25:44,02:12:51,01:27:45,04:09:24,Ironman 70.3 Victoria,06/02/2019,"Victoria, British Columbia, Canada"
1,Jesse Frank,306,M25-29,USA,00:27:54,02:21:44,01:19:52,04:12:32,Ironman 70.3 Victoria,06/02/2019,"Victoria, British Columbia, Canada"
1,Travis Wood,304,M18-24,USA,00:26:46,02:22:31,01:21:53,04:14:20,Ironman 70.3 Victoria,06/02/2019,"Victoria, British Columbia, Canada"
7,Mikael Staer Nathan,16,MPRO,CAN,00:26:39,02:20:44,01:24:25,04:14:35,Ironman 70.3 Victoria,06/02/2019,"Victoria, British Columbia, Canada"
8,Nicholas Chase,10,MPRO,USA,00:24:45,02:16:27,01:33:39,04:18:03,Ironman 70.3 Victoria,06/02/2019,"Victoria, British Columbia, Canada"
2,Pelayo Menendez,1153,M25-29,ESP,00:27:55,02:29:38,01:17:01,04:18:52,Ironman 70.3 Victoria,06/02/2019,"Victoria, British Columbia, Canada"
9,David Lacombe,15,MPRO,CAN,00:29:21,02:23:46,01:22:51,04:19:02,Ironman 70.3 Victoria,06/02/2019,"Victoria, British Columbia, Canada"
2,Keith Eriks,1080,M18-24,CAN,00:25:32,02:24:33,01:26:44,04:21:01,Ironman 70.3 Victoria,06/02/2019,"Victoria, British Columbia, Canada"
1,Mirinda Carfrae,27,FPRO,AUS,00:27:15,02:28:43,01:22:27,04:21:25,Ironman 70.3 Victoria,06/02/2019,"Victoria, British Columbia, Canada"
1,Manuel Huerta,2080,M35-39,PRI,00:25:49,02:32:58,01:19:36,04:22:03,Ironman 70.3 Victoria,06/02/2019,"Victoria, British Columbia, Canada"
1,Tom De Bruyn,124,M30-34,BEL,00:29:55,02:23:01,01:25:48,04:22:20,Ironman 70.3 Victoria,06/02/2019,"Victoria, British Columbia, Canada"
2,Nathan Ansbaugh,194,M30-34,USA,00:27:29,02:22:09,01:30:49,04:24:08,Ironman 70.3 Victoria,06/02/2019,"Victoria, British Columbia, Canada"
2,Esteban Rosas,1465,M35-39,MEX,00:25:25,02:25:52,01:29:18,04:24:27,Ironman 70.3 Victoria,06/02/2019,"Victoria, British Columbia, Canada"
3,Sean Hunter,1241,M30-34,USA,00:29:03,02:27:55,01:24:33,04:26:13,Ironman 70.3 Victoria,06/02/2019,"Victoria, British Columbia, Canada"
3,David Hodge,127,M35-39,USA,00:31:26,02:18:56,01:31:16,04:26:31,Ironman 70.3 Victoria,06/02/2019,"Victoria, British Columbia, Canada"
2,Heather Wurtele,28,FPRO,CAN,00:27:10,02:26:13,01:30:24,04:26:42,Ironman 70.3 Victoria,06/02/2019,"Victoria, British Columbia, Canada"
3,Jen Annett,25,FPRO,CAN,00:29:11,02:26:39,01:28:38,04:27:57,Ironman 70.3 Victoria,06/02/2019,"Victoria, British Columbia, Canada"
4,Jennifer Spieldenner,26,FPRO,USA,00:24:48,02:32:31,01:27:48,04:28:26,Ironman 70.3 Victoria,06/02/2019,"Victoria, British Columbia, Canada"
5,Kinsey Laine,29,FPRO,USA,00:25:41,02:32:28,01:27:18,04:28:34,Ironman 70.3 Victoria,06/02/2019,"Victoria, British Columbia, Canada"
10,Brian Folts,13,MPRO,USA,00:29:45,02:33:22,01:21:53,04:29:09,Ironman 70.3 Victoria,06/02/2019,"Victoria, British Columbia, Canada"
6,Lauren Barnett,32,FPRO,USA,00:29:09,02:32:39,01:23:52,04:29:24,Ironman 70.3 Victoria,06/02/2019,"Victoria, British Columbia, Canada"
3,Grant Grafentin,2071,M25-29,USA,00:30:42,02:33:10,01:22:10,04:30:08,Ironman 70.3 Victoria,06/02/2019,"Victoria, British Columbia, Canada"
4,Elliot Kawaoka,1247,M30-34,JPN,00:28:36,02:32:23,01:25:04,04:30:19,Ironman 70.3 Victoria,06/02/2019,"Victoria, British Columbia, Canada"
11,Lee Roy,18,MPRO,CAN,00:31:45,02:27:48,01:28:26,04:31:14,Ironman 70.3 Victoria,06/02/2019,"Victoria, British Columbia, Canada"
12,Loren Nelson,21,MPRO,CAN,00:25:42,02:27:24,01:35:21,04:31:35,Ironman 70.3 Victoria,06/02/2019,"Victoria, British Columbia, Canada"
7,Pamela-Ann Bachelder St-Pierre,31,FPRO,CAN,00:29:05,02:33:32,01:26:39,04:32:19,Ironman 70.3 Victoria,06/02/2019,"Victoria, British Columbia, Canada"
4,Jamie Woodbury,2073,M25-29,CAN,00:29:07,02:29:40,01:29:46,04:32:28,Ironman 70.3 Victoria,06/02/2019,"Victoria, British Columbia, Canada"
4,Adam Goulet,430,M35-39,USA,00:28:21,02:31:38,01:27:20,04:32:57,Ironman 70.3 Victoria,06/02/2019,"Victoria, British Columbia, Canada"
5,James McDermott,192,M25-29,USA,00:31:30,02:27:34,01:29:54,04:33:47,Ironman 70.3 Victoria,06/02/2019,"Victoria, British Columbia, Canada"
6,Daniel Hobden,1140,M25-29,CAN,00:27:41,02:30:30,01:32:24,04:35:11,Ironman 70.3 Victoria,06/02/2019,"Victoria, British Columbia, Canada"
5,Bradley Kuper-Smith,1425,M35-39,USA,00:28:51,02:32:30,01:29:51,04:35:19,Ironman 70.3 Victoria,06/02/2019,"Victoria, British Columbia, Canada"
1,Brian Stover,238,M45-49,USA,00:30:05,02:28:59,01:31:14,04:35:19,Ironman 70.3 Victoria,06/02/2019,"Victoria, British Columbia, Canada"
6,Christopher Olson,1453,M35-39,USA,00:26:53,02:37:39,01:25:24,04:35:43,Ironman 70.3 Victoria,06/02/2019,"Victoria, British Columbia, Canada"
7,Nathan Gloag,126,M35-39,CAN,00:26:32,02:32:33,01:32:56,04:35:48,Ironman 70.3 Victoria,06/02/2019,"Victoria, British Columbia, Canada"
13,James Cook,11,MPRO,CAN,00:25:24,02:42:02,01:25:51,04:35:54,Ironman 70.3 Victoria,06/02/2019,"Victoria, British Columbia, Canada"
2,Mike Neill,1750,M45-49,CAN,00:30:29,02:29:36,01:31:48,04:36:21,Ironman 70.3 Victoria,06/02/2019,"Victoria, British Columbia, Canada"
8,Ferdinand Hingerl,2079,M35-39,CAN,00:33:20,02:21:56,01:34:35,04:36:33,Ironman 70.3 Victoria,06/02/2019,"Victoria, British Columbia, Canada"
9,Matt Stewart,1482,M35-39,CAN,00:31:15,02:33:36,01:27:00,04:36:38,Ironman 70.3 Victoria,06/02/2019,"Victoria, British Columbia, Canada"
7,Seth Barnes,123,M25-29,USA,00:31:38,02:30:46,01:30:27,04:37:49,Ironman 70.3 Victoria,06/02/2019,"Victoria, British Columbia, Canada"
1,David Gerth,1540,M40-44,CAN,00:30:07,02:27:29,01:35:41,04:37:54,Ironman 70.3 Victoria,06/02/2019,"Victoria, British Columbia, Canada"
8,Melanie McQuaid,43,FPRO,CAN,00:27:12,02:30:38,01:37:04,04:38:10,Ironman 70.3 Victoria,06/02/2019,"Victoria, British Columbia, Canada"
2,Ryan Seguine,135,M40-44,USA,00:30:45,02:31:24,01:30:33,04:38:22,Ironman 70.3 Victoria,06/02/2019,"Victoria, British Columbia, Canada"
5,Todd Teren,204,M30-34,USA,00:25:43,02:36:56,01:31:23,04:38:37,Ironman 70.3 Victoria,06/02/2019,"Victoria, British Columbia, Canada"
3,Christopher Johnson,1565,M40-44,USA,00:33:10,02:32:09,01:28:32,04:38:37,Ironman 70.3 Victoria,06/02/2019,"Victoria, British Columbia, Canada"
1,Fiona Moriarty,2058,F30-34,IRL,00:30:31,02:34:22,01:30:51,04:39:36,Ironman 70.3 Victoria,06/02/2019,"Victoria, British Columbia, Canada"
8,Christian Hoag,1139,M25-29,USA,00:30:25,02:29:32,01:34:06,04:39:55,Ironman 70.3 Victoria,06/02/2019,"Victoria, British Columbia, Canada"
6,Jonathan Michel,1274,M30-34,USA,00:27:55,02:35:50,01:31:26,04:39:59,Ironman 70.3 Victoria,06/02/2019,"Victoria, British Columbia, Canada"
10,Brendan Quiney,215,M35-39,CAN,00:32:18,02:34:06,01:29:27,04:40:04,Ironman 70.3 Victoria,06/02/2019,"Victoria, British Columbia, Canada"
1,Kevin Cashatt,1815,M50-54,USA,00:31:11,02:35:44,01:29:33,04:40:31,Ironman 70.3 Victoria,06/02/2019,"Victoria, British Columbia, Canada"
11,Jeffrey Harless,1409,M35-39,USA,00:29:18,02:37:02,01:29:36,04:40:33,Ironman 70.3 Victoria,06/02/2019,"Victoria, British Columbia, Canada"
