Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,Race,Date,Location
1,Philippe Tremblay,1344,M25-29,CAN,00:23:58,02:16:47,01:26:45,04:12:55,Ironman 70.3 Virginia,05/05/2019,"Williamsburg, Virginia, USA"
1,Adam Baker,1355,M30-34,GBR,00:32:24,02:09:47,01:25:37,04:13:47,Ironman 70.3 Virginia,05/05/2019,"Williamsburg, Virginia, USA"
1,David Watson,210,M35-39,GBR,00:28:04,02:22:31,01:24:02,04:19:56,Ironman 70.3 Virginia,05/05/2019,"Williamsburg, Virginia, USA"
2,Jacob Gilden,191,M30-34,USA,00:27:25,02:23:42,01:23:43,04:20:19,Ironman 70.3 Virginia,05/05/2019,"Williamsburg, Virginia, USA"
2,Charlie Larsen,1332,M25-29,USA,00:29:01,02:15:15,01:31:12,04:20:40,Ironman 70.3 Virginia,05/05/2019,"Williamsburg, Virginia, USA"
3,Jacob Capin,774,M30-34,USA,00:25:46,02:20:04,01:30:24,04:20:44,Ironman 70.3 Virginia,05/05/2019,"Williamsburg, Virginia, USA"
2,Daniel Royce,206,M35-39,USA,00:26:15,02:19:55,01:31:50,04:21:19,Ironman 70.3 Virginia,05/05/2019,"Williamsburg, Virginia, USA"
1,Zachary Tacy,185,M18-24,USA,00:29:17,02:20:49,01:26:03,04:21:22,Ironman 70.3 Virginia,05/05/2019,"Williamsburg, Virginia, USA"
1,Henry Tragle,338,M40-44,USA,00:27:59,02:16:33,01:32:36,04:22:16,Ironman 70.3 Virginia,05/05/2019,"Williamsburg, Virginia, USA"
4,Steven Keller,738,M30-34,USA,00:29:55,02:18:29,01:29:11,04:23:12,Ironman 70.3 Virginia,05/05/2019,"Williamsburg, Virginia, USA"
3,Andrew Kalley,201,M35-39,USA,00:29:19,02:23:53,01:25:20,04:23:24,Ironman 70.3 Virginia,05/05/2019,"Williamsburg, Virginia, USA"
2,Gene Severtson,395,M40-44,USA,00:30:34,02:21:12,01:26:46,04:24:24,Ironman 70.3 Virginia,05/05/2019,"Williamsburg, Virginia, USA"
3,Luke Davis,1309,M25-29,USA,00:27:53,02:20:21,01:25:04,04:24:40,Ironman 70.3 Virginia,05/05/2019,"Williamsburg, Virginia, USA"
4,Bryan Rivera,204,M35-39,PRI,00:23:53,02:18:07,01:37:26,04:25:11,Ironman 70.3 Virginia,05/05/2019,"Williamsburg, Virginia, USA"
5,Kevin Wright,196,M30-34,USA,00:28:22,02:26:23,01:24:25,04:25:21,Ironman 70.3 Virginia,05/05/2019,"Williamsburg, Virginia, USA"
3,Brendan Corcoran,627,M40-44,USA,00:27:09,02:23:21,01:29:26,04:25:40,Ironman 70.3 Virginia,05/05/2019,"Williamsburg, Virginia, USA"
6,Daniel Szajta,195,M30-34,USA,00:24:34,02:23:15,01:33:51,04:26:33,Ironman 70.3 Virginia,05/05/2019,"Williamsburg, Virginia, USA"
5,Justin Moyer,648,M35-39,USA,00:27:07,02:23:52,01:31:14,04:27:40,Ironman 70.3 Virginia,05/05/2019,"Williamsburg, Virginia, USA"
1,Darren Rentch,1839,M45-49,USA,00:29:44,02:21:48,01:30:11,04:27:48,Ironman 70.3 Virginia,05/05/2019,"Williamsburg, Virginia, USA"
4,Shane McKenzie,186,M25-29,USA,00:22:53,02:25:56,01:34:11,04:28:32,Ironman 70.3 Virginia,05/05/2019,"Williamsburg, Virginia, USA"
7,Stephen Molloy,137,M30-34,USA,00:27:05,02:21:49,01:33:33,04:29:58,Ironman 70.3 Virginia,05/05/2019,"Williamsburg, Virginia, USA"
2,John Hessian,1781,M45-49,AFG,00:32:13,02:20:42,01:30:08,04:30:01,Ironman 70.3 Virginia,05/05/2019,"Williamsburg, Virginia, USA"
1,Glen Thompson,248,M50-54,USA,00:36:51,02:18:43,01:27:06,04:30:36,Ironman 70.3 Virginia,05/05/2019,"Williamsburg, Virginia, USA"
6,Chris Stock,619,M35-39,USA,00:32:46,02:20:37,01:31:40,04:31:12,Ironman 70.3 Virginia,05/05/2019,"Williamsburg, Virginia, USA"
8,Graham Sheppard,138,M30-34,USA,00:28:58,02:15:40,01:40:46,04:31:16,Ironman 70.3 Virginia,05/05/2019,"Williamsburg, Virginia, USA"
3,Shay Eskew,34,M45-49,,00:34:41,02:18:48,01:32:47,04:31:37,Ironman 70.3 Virginia,05/05/2019,"Williamsburg, Virginia, USA"
4,Chris Jocelyn,94,M45-49,CAN,00:28:23,02:27:36,01:29:32,04:31:40,Ironman 70.3 Virginia,05/05/2019,"Williamsburg, Virginia, USA"
9,Eric Delone,190,M30-34,USA,00:26:55,02:19:31,01:39:48,04:31:43,Ironman 70.3 Virginia,05/05/2019,"Williamsburg, Virginia, USA"
10,Roderik Bronkhorst,1363,M30-34,NLD,00:31:17,02:16:21,01:40:20,04:32:49,Ironman 70.3 Virginia,05/05/2019,"Williamsburg, Virginia, USA"
4,Bill Beecher,139,M40-44,USA,00:24:32,02:28:18,01:34:37,04:33:08,Ironman 70.3 Virginia,05/05/2019,"Williamsburg, Virginia, USA"
5,Michael Honicker,141,M40-44,USA,00:32:21,02:28:25,01:27:57,04:33:29,Ironman 70.3 Virginia,05/05/2019,"Williamsburg, Virginia, USA"
5,Richard St John,350,M45-49,USA,00:30:45,02:21:59,01:34:51,04:33:31,Ironman 70.3 Virginia,05/05/2019,"Williamsburg, Virginia, USA"
2,John Crino,634,M50-54,USA,00:30:44,02:20:58,01:36:02,04:33:31,Ironman 70.3 Virginia,05/05/2019,"Williamsburg, Virginia, USA"
6,Cameron Hamilton,140,M40-44,USA,00:25:22,02:30:43,01:32:42,04:33:49,Ironman 70.3 Virginia,05/05/2019,"Williamsburg, Virginia, USA"
3,Gary Greib,1906,M50-54,USA,00:30:39,02:27:00,01:31:24,04:34:07,Ironman 70.3 Virginia,05/05/2019,"Williamsburg, Virginia, USA"
5,Ross Bruck,305,M25-29,USA,00:30:57,02:23:10,01:31:35,04:34:35,Ironman 70.3 Virginia,05/05/2019,"Williamsburg, Virginia, USA"
