Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,Race,Date,Location
1,Jan Frodeno,3,MPRO,Germany,00:21:54,02:04:29,01:06:34,03:36:31,Ironman 70.3 WC South Africa,09/01/2018,"Nelson Mandela Bay, South Africa"
2,Alistair Brownlee,26,MPRO,United Kingdom,00:21:58,02:04:29,01:07:40,03:37:42,Ironman 70.3 WC South Africa,09/01/2018,"Nelson Mandela Bay, South Africa"
3,Javier Gomez Noya,1,MPRO,Spain,00:21:57,02:04:36,01:08:15,03:38:27,Ironman 70.3 WC South Africa,09/01/2018,"Nelson Mandela Bay, South Africa"
4,Ben Kanute,7,MPRO,United States,00:21:53,02:04:36,01:12:37,03:42:43,Ironman 70.3 WC South Africa,09/01/2018,"Nelson Mandela Bay, South Africa"
5,Pieter Heemeryck,16,MPRO,Belgium,00:22:23,02:04:15,01:12:59,03:43:05,Ironman 70.3 WC South Africa,09/01/2018,"Nelson Mandela Bay, South Africa"
6,Sam Appleton,2,MPRO,Australia,00:21:58,02:04:22,01:13:57,03:43:58,Ironman 70.3 WC South Africa,09/01/2018,"Nelson Mandela Bay, South Africa"
7,Adam Bowden,22,MPRO,United Kingdom,00:21:59,02:11:56,01:10:15,03:48:17,Ironman 70.3 WC South Africa,09/01/2018,"Nelson Mandela Bay, South Africa"
8,Braden Currie,11,MPRO,New Zealand,00:21:57,02:09:14,01:14:06,03:49:17,Ironman 70.3 WC South Africa,09/01/2018,"Nelson Mandela Bay, South Africa"
9,Michael Weiss,6,MPRO,Austria,00:26:54,02:08:16,01:10:44,03:50:38,Ironman 70.3 WC South Africa,09/01/2018,"Nelson Mandela Bay, South Africa"
10,Rodolphe Von Berg,4,MPRO,United States,00:22:54,02:10:58,01:14:05,03:51:36,Ironman 70.3 WC South Africa,09/01/2018,"Nelson Mandela Bay, South Africa"
11,Igor Amorelli,21,MPRO,Brazil,00:23:07,02:12:54,01:14:00,03:53:42,Ironman 70.3 WC South Africa,09/01/2018,"Nelson Mandela Bay, South Africa"
12,Marcus Herbst,27,MPRO,Germany,00:25:28,02:10:30,01:14:21,03:54:02,Ironman 70.3 WC South Africa,09/01/2018,"Nelson Mandela Bay, South Africa"
13,Markus Rolli,46,MPRO,Germany,00:22:59,02:10:59,01:16:10,03:54:14,Ironman 70.3 WC South Africa,09/01/2018,"Nelson Mandela Bay, South Africa"
14,Filipe Azevedo,34,MPRO,Portugal,00:22:50,02:15:04,01:12:47,03:55:24,Ironman 70.3 WC South Africa,09/01/2018,"Nelson Mandela Bay, South Africa"
15,Yvan Jarrige,20,MPRO,France,00:22:59,02:15:08,01:13:41,03:55:34,Ironman 70.3 WC South Africa,09/01/2018,"Nelson Mandela Bay, South Africa"
16,Elliot Smales,24,MPRO,United Kingdom,00:22:55,02:15:07,01:13:36,03:55:43,Ironman 70.3 WC South Africa,09/01/2018,"Nelson Mandela Bay, South Africa"
17,Mark Buckingham,43,MPRO,United Kingdom,00:23:04,02:15:02,01:13:36,03:55:49,Ironman 70.3 WC South Africa,09/01/2018,"Nelson Mandela Bay, South Africa"
18,Sven Riederer,19,MPRO,Switzerland,00:23:02,02:14:48,01:14:12,03:56:09,Ironman 70.3 WC South Africa,09/01/2018,"Nelson Mandela Bay, South Africa"
19,James Cunnama,31,MPRO,South Africa,00:24:07,02:11:36,01:16:30,03:56:20,Ironman 70.3 WC South Africa,09/01/2018,"Nelson Mandela Bay, South Africa"
20,Ruedi Wild,9,MPRO,Switzerland,00:23:08,02:14:40,01:15:24,03:57:29,Ironman 70.3 WC South Africa,09/01/2018,"Nelson Mandela Bay, South Africa"
21,Tim Rea,36,MPRO,Australia,00:23:55,02:13:52,01:15:56,03:58:02,Ironman 70.3 WC South Africa,09/01/2018,"Nelson Mandela Bay, South Africa"
1,Jean-Paul Burger,2824,M18-24,Namibia,00:24:16,02:14:29,01:14:39,03:58:40,Ironman 70.3 WC South Africa,09/01/2018,"Nelson Mandela Bay, South Africa"
22,Ryan Fisher,39,MPRO,Australia,00:21:58,02:09:34,01:23:45,03:59:04,Ironman 70.3 WC South Africa,09/01/2018,"Nelson Mandela Bay, South Africa"
1,Daniela Ryf,1,FPRO,Switzerland,00:24:25,02:15:28,01:17:00,04:01:13,Ironman 70.3 WC South Africa,09/01/2018,"Nelson Mandela Bay, South Africa"
1,Chris Standidge,2091,M35-39,United Kingdom,00:24:18,02:12:34,01:19:11,04:01:21,Ironman 70.3 WC South Africa,09/01/2018,"Nelson Mandela Bay, South Africa"
2,Patrick Reger,2886,M18-24,Germany,00:27:41,02:11:08,01:16:50,04:01:21,Ironman 70.3 WC South Africa,09/01/2018,"Nelson Mandela Bay, South Africa"
23,Emilio Aguayo Munoz,29,MPRO,Spain,00:23:05,02:14:54,01:20:15,04:02:37,Ironman 70.3 WC South Africa,09/01/2018,"Nelson Mandela Bay, South Africa"
24,Adrian Haller,37,MPRO,Switzerland,00:24:07,02:17:42,01:16:23,04:02:41,Ironman 70.3 WC South Africa,09/01/2018,"Nelson Mandela Bay, South Africa"
1,Rohan Meyer,2709,M25-29,South Africa,00:25:43,02:15:06,01:17:19,04:03:13,Ironman 70.3 WC South Africa,09/01/2018,"Nelson Mandela Bay, South Africa"
2,Antoine Mechin,2708,M25-29,France,00:26:13,02:19:09,01:12:49,04:03:23,Ironman 70.3 WC South Africa,09/01/2018,"Nelson Mandela Bay, South Africa"
3,Finley Thompson,2902,M18-24,United Kingdom,00:23:25,02:14:59,01:18:58,04:03:49,Ironman 70.3 WC South Africa,09/01/2018,"Nelson Mandela Bay, South Africa"
3,Ryan Schmitz,2753,M25-29,South Africa,00:26:16,02:13:03,01:19:14,04:03:59,Ironman 70.3 WC South Africa,09/01/2018,"Nelson Mandela Bay, South Africa"
25,Alex Libin,33,MPRO,United States,00:25:34,02:21:19,01:12:56,04:04:44,Ironman 70.3 WC South Africa,09/01/2018,"Nelson Mandela Bay, South Africa"
2,Lucy Charles,43,FPRO,United Kingdom,00:23:01,02:17:12,01:20:37,04:04:59,Ironman 70.3 WC South Africa,09/01/2018,"Nelson Mandela Bay, South Africa"
4,Arne Devliegher,2612,M25-29,Belgium,00:26:44,02:15:15,01:17:42,04:05:12,Ironman 70.3 WC South Africa,09/01/2018,"Nelson Mandela Bay, South Africa"
4,Gustav Palm-Henriksen,2879,M18-24,Denmark,00:24:21,02:15:32,01:20:36,04:05:36,Ironman 70.3 WC South Africa,09/01/2018,"Nelson Mandela Bay, South Africa"
5,Sergiusz Sobczyk,2765,M25-29,Poland,00:26:43,02:16:57,01:17:43,04:06:20,Ironman 70.3 WC South Africa,09/01/2018,"Nelson Mandela Bay, South Africa"
1,Christopher Dels,2247,M30-34,Germany,00:27:56,02:19:04,01:14:22,04:06:29,Ironman 70.3 WC South Africa,09/01/2018,"Nelson Mandela Bay, South Africa"
6,Tiaan Swart,2773,M25-29,South Africa,00:26:26,02:11:46,01:23:37,04:06:53,Ironman 70.3 WC South Africa,09/01/2018,"Nelson Mandela Bay, South Africa"
5,Cameron Hackett,2846,M18-24,United States,00:24:25,02:15:26,01:21:43,04:06:54,Ironman 70.3 WC South Africa,09/01/2018,"Nelson Mandela Bay, South Africa"
2,Bryan Difford,2250,M30-34,South Africa,00:23:43,02:17:25,01:20:30,04:07:01,Ironman 70.3 WC South Africa,09/01/2018,"Nelson Mandela Bay, South Africa"
3,Anne Haug,8,FPRO,Germany,00:24:26,02:23:17,01:15:11,04:07:22,Ironman 70.3 WC South Africa,09/01/2018,"Nelson Mandela Bay, South Africa"
3,David Bartlett,2182,M30-34,United Kingdom,00:23:38,02:18:45,01:20:02,04:07:23,Ironman 70.3 WC South Africa,09/01/2018,"Nelson Mandela Bay, South Africa"
7,Nicholas Marcantonio,2699,M25-29,United States,00:28:36,02:16:16,01:16:58,04:07:43,Ironman 70.3 WC South Africa,09/01/2018,"Nelson Mandela Bay, South Africa"
4,Daniel Karst,2330,M30-34,Germany,00:25:31,02:16:05,01:20:48,04:07:47,Ironman 70.3 WC South Africa,09/01/2018,"Nelson Mandela Bay, South Africa"
26,Kieran Roche,42,MPRO,Australia,00:24:00,02:24:52,01:15:17,04:08:09,Ironman 70.3 WC South Africa,09/01/2018,"Nelson Mandela Bay, South Africa"
5,Travis Johnston,2325,M30-34,South Africa,00:27:05,02:20:07,01:15:40,04:08:09,Ironman 70.3 WC South Africa,09/01/2018,"Nelson Mandela Bay, South Africa"
8,Tobias Bachmann,2558,M25-29,Switzerland,00:28:58,02:16:59,01:18:07,04:09:12,Ironman 70.3 WC South Africa,09/01/2018,"Nelson Mandela Bay, South Africa"
1,Clive Kennedy-Burn,966,M45-49,United Kingdom,00:26:53,02:16:07,01:19:53,04:09:23,Ironman 70.3 WC South Africa,09/01/2018,"Nelson Mandela Bay, South Africa"
6,Marcelo Moreira,2384,M30-34,Brazil,00:24:54,02:20:01,01:18:30,04:09:37,Ironman 70.3 WC South Africa,09/01/2018,"Nelson Mandela Bay, South Africa"
6,Devin Volk,2905,M18-24,United States,00:26:19,02:19:11,01:19:49,04:09:54,Ironman 70.3 WC South Africa,09/01/2018,"Nelson Mandela Bay, South Africa"
7,Roy Lagerburg,2346,M30-34,Netherlands,00:27:43,02:17:16,01:20:02,04:10:27,Ironman 70.3 WC South Africa,09/01/2018,"Nelson Mandela Bay, South Africa"
8,Dean Hopf,2297,M30-34,South Africa,00:26:12,02:18:31,01:20:25,04:10:29,Ironman 70.3 WC South Africa,09/01/2018,"Nelson Mandela Bay, South Africa"
9,Tobias Barkschat,2564,M25-29,Germany,00:26:41,02:15:16,01:22:17,04:10:29,Ironman 70.3 WC South Africa,09/01/2018,"Nelson Mandela Bay, South Africa"
9,Lasse Fabian Ibert,2302,M30-34,Germany,00:28:48,02:15:34,01:21:14,04:10:44,Ironman 70.3 WC South Africa,09/01/2018,"Nelson Mandela Bay, South Africa"
2,Donovan Geldenhuys,1824,M35-39,South Africa,00:25:34,02:17:25,01:22:25,04:10:52,Ironman 70.3 WC South Africa,09/01/2018,"Nelson Mandela Bay, South Africa"
10,Kevin Sleeger,2476,M30-34,Netherlands,00:26:31,02:23:25,01:15:44,04:10:57,Ironman 70.3 WC South Africa,09/01/2018,"Nelson Mandela Bay, South Africa"
3,Hayden Armstrong,1691,M35-39,Australia,00:25:25,02:16:35,01:23:25,04:11:34,Ironman 70.3 WC South Africa,09/01/2018,"Nelson Mandela Bay, South Africa"
7,Georg Enzenberger,2835,M18-24,Austria,00:25:45,02:15:20,01:24:34,04:11:47,Ironman 70.3 WC South Africa,09/01/2018,"Nelson Mandela Bay, South Africa"
10,Norbert Giecewicz,2640,M25-29,Poland,00:25:14,02:18:10,01:22:54,04:11:48,Ironman 70.3 WC South Africa,09/01/2018,"Nelson Mandela Bay, South Africa"
11,Sebastian Veith,2507,M30-34,Germany,00:25:39,02:21:27,01:20:09,04:12:21,Ironman 70.3 WC South Africa,09/01/2018,"Nelson Mandela Bay, South Africa"
11,Jesse Frank,2630,M25-29,United States,00:28:46,02:19:30,01:19:43,04:12:43,Ironman 70.3 WC South Africa,09/01/2018,"Nelson Mandela Bay, South Africa"
12,Nathan Dortmann,2616,M25-29,France,00:28:27,02:17:59,01:20:55,04:13:07,Ironman 70.3 WC South Africa,09/01/2018,"Nelson Mandela Bay, South Africa"
13,Christian Trunk,2783,M25-29,Germany,00:29:21,02:18:46,01:18:47,04:13:22,Ironman 70.3 WC South Africa,09/01/2018,"Nelson Mandela Bay, South Africa"
12,Kirill Goldovskii,2280,M30-34,Russian Federation,00:24:22,02:22:04,01:22:08,04:13:42,Ironman 70.3 WC South Africa,09/01/2018,"Nelson Mandela Bay, South Africa"
4,Pamella Oliveira,16,FPRO,Brazil,00:24:24,02:23:17,01:21:30,04:13:44,Ironman 70.3 WC South Africa,09/01/2018,"Nelson Mandela Bay, South Africa"
14,Richard Lawrie,2687,M25-29,South Africa,00:27:28,02:17:43,01:23:49,04:13:45,Ironman 70.3 WC South Africa,09/01/2018,"Nelson Mandela Bay, South Africa"
5,Radka Vodickova,34,FPRO,Czech Republic,00:24:25,02:23:30,01:21:39,04:13:49,Ironman 70.3 WC South Africa,09/01/2018,"Nelson Mandela Bay, South Africa"
8,Felix Chabot,2828,M18-24,Canada,00:29:01,02:20:29,01:18:54,04:14:02,Ironman 70.3 WC South Africa,09/01/2018,"Nelson Mandela Bay, South Africa"
4,Ilya Slepov,2083,M35-39,Russian Federation,00:27:06,02:22:17,01:19:20,04:14:08,Ironman 70.3 WC South Africa,09/01/2018,"Nelson Mandela Bay, South Africa"
13,Roger Witz Barnes,2179,M30-34,United Kingdom,00:24:09,02:15:08,01:29:41,04:14:25,Ironman 70.3 WC South Africa,09/01/2018,"Nelson Mandela Bay, South Africa"
5,Nick Cosman,1755,M35-39,Canada,00:27:43,02:16:47,01:23:47,04:14:30,Ironman 70.3 WC South Africa,09/01/2018,"Nelson Mandela Bay, South Africa"
1,Tommy Aleksandersen,1215,M40-44,Norway,00:25:23,02:18:52,01:24:35,04:14:30,Ironman 70.3 WC South Africa,09/01/2018,"Nelson Mandela Bay, South Africa"
6,Imogen Simmonds,14,FPRO,Switzerland,00:24:26,02:23:29,01:22:33,04:14:39,Ironman 70.3 WC South Africa,09/01/2018,"Nelson Mandela Bay, South Africa"
9,Francisco Javier Catalan Cepeda,2827,M18-24,Chile,00:26:00,02:17:52,01:25:14,04:14:43,Ironman 70.3 WC South Africa,09/01/2018,"Nelson Mandela Bay, South Africa"
