Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,Race,Date,Location
1,Nathan Saunders,2374,M30-34,New Zealand,00:24:14,02:10:14,01:23:37,04:02:12,Ironman 70.3 Western Australia,12/01/2019,"Busselton, Western Australia, Australia"
2,Kevin McEwan,2358,M30-34,Australia,00:27:02,02:13:48,01:23:19,04:08:54,Ironman 70.3 Western Australia,12/01/2019,"Busselton, Western Australia, Australia"
1,Wade Adam,2093,M25-29,Australia,00:25:17,02:17:34,01:21:51,04:09:19,Ironman 70.3 Western Australia,12/01/2019,"Busselton, Western Australia, Australia"
3,Dale Zabiela,2021,M30-34,Australia,00:29:32,02:15:20,01:21:55,04:11:36,Ironman 70.3 Western Australia,12/01/2019,"Busselton, Western Australia, Australia"
1,Rob Pouw,2002,M35-39,Netherlands,00:30:02,02:14:50,01:24:05,04:13:57,Ironman 70.3 Western Australia,12/01/2019,"Busselton, Western Australia, Australia"
2,Jeremy Young,2515,M35-39,New Zealand,00:26:45,02:15:18,01:29:19,04:17:04,Ironman 70.3 Western Australia,12/01/2019,"Busselton, Western Australia, Australia"
3,Jason Rhine,2102,M35-39,Australia,00:25:50,02:21:59,01:24:27,04:17:27,Ironman 70.3 Western Australia,12/01/2019,"Busselton, Western Australia, Australia"
1,Matthew DE Vroet,2188,M18-24,Netherlands,00:30:10,02:08:36,01:35:17,04:19:48,Ironman 70.3 Western Australia,12/01/2019,"Busselton, Western Australia, Australia"
2,Lachlan McDougall,2252,M25-29,Australia,00:28:58,02:21:08,01:24:51,04:20:42,Ironman 70.3 Western Australia,12/01/2019,"Busselton, Western Australia, Australia"
4,Jason Hamilton,2343,M30-34,Australia,00:27:14,02:18:31,01:29:44,04:21:24,Ironman 70.3 Western Australia,12/01/2019,"Busselton, Western Australia, Australia"
3,Tom Callaghan,2229,M25-29,Australia,00:29:44,02:21:51,01:23:06,04:21:32,Ironman 70.3 Western Australia,12/01/2019,"Busselton, Western Australia, Australia"
