Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,Race,Date,Location
1,Max Neumann,1,MPRO,Australia,00:23:35,02:06:14,01:14:55,03:47:05,Ironman 70.3 Western Sydney,11/24/2019,"Sydney, Australia"
2,Alexander Polizzi,14,MPRO,Australia,00:24:09,02:05:36,01:17:16,03:49:24,Ironman 70.3 Western Sydney,11/24/2019,"Sydney, Australia"
3,Levi Maxwell,3,MPRO,Australia,00:26:57,02:09:10,01:12:33,03:50:37,Ironman 70.3 Western Sydney,11/24/2019,"Sydney, Australia"
4,Mitchell Kibby,4,MPRO,Australia,00:25:48,02:10:15,01:14:21,03:52:24,Ironman 70.3 Western Sydney,11/24/2019,"Sydney, Australia"
5,Mitchell Cunningham,8,MPRO,Australia,00:24:25,02:05:30,01:20:48,03:52:54,Ironman 70.3 Western Sydney,11/24/2019,"Sydney, Australia"
6,Kieran Roche,15,MPRO,Australia,00:26:00,02:08:25,01:16:37,03:53:16,Ironman 70.3 Western Sydney,11/24/2019,"Sydney, Australia"
7,Sam Douglas,10,MPRO,Australia,00:24:40,02:06:20,01:21:14,03:54:28,Ironman 70.3 Western Sydney,11/24/2019,"Sydney, Australia"
1,Team Nick And Friends,2010,MRELAY,Australia,00:26:01,02:08:51,01:19:12,03:56:37,Ironman 70.3 Western Sydney,11/24/2019,"Sydney, Australia"
8,Pete Jacobs,6,MPRO,Australia,00:24:38,02:10:50,01:19:59,03:57:44,Ironman 70.3 Western Sydney,11/24/2019,"Sydney, Australia"
9,James Davy,9,MPRO,Australia,00:24:35,02:13:19,01:19:02,03:59:30,Ironman 70.3 Western Sydney,11/24/2019,"Sydney, Australia"
10,Ali Foot,11,MPRO,Australia,00:28:03,02:16:25,01:15:03,04:02:09,Ironman 70.3 Western Sydney,11/24/2019,"Sydney, Australia"
11,Daniel Stein,16,MPRO,Australia,00:27:22,02:16:12,01:17:42,04:03:18,Ironman 70.3 Western Sydney,11/24/2019,"Sydney, Australia"
1,Mitchell Scott,1568,M25-29,Australia,00:26:57,02:11:48,01:21:58,04:03:36,Ironman 70.3 Western Sydney,11/24/2019,"Sydney, Australia"
1,Hamish Longmuir,379,M18-24,Australia,00:25:50,02:13:10,01:24:23,04:06:21,Ironman 70.3 Western Sydney,11/24/2019,"Sydney, Australia"
2,Team THE Mosman-Ites,2080,MRELAY,Australia,00:28:12,02:19:00,01:16:44,04:06:39,Ironman 70.3 Western Sydney,11/24/2019,"Sydney, Australia"
1,James Byrne,107,M35-39,Australia,00:28:01,02:14:04,01:21:12,04:06:41,Ironman 70.3 Western Sydney,11/24/2019,"Sydney, Australia"
1,Brodie Talbot,681,M30-34,Australia,00:27:21,02:09:26,01:26:26,04:06:56,Ironman 70.3 Western Sydney,11/24/2019,"Sydney, Australia"
1,Hannah Wells,21,FPRO,New Zealand,00:27:04,02:17:06,01:20:50,04:07:37,Ironman 70.3 Western Sydney,11/24/2019,"Sydney, Australia"
2,Lucas Duross,237,M18-24,New Zealand,00:28:08,02:15:47,01:20:36,04:07:59,Ironman 70.3 Western Sydney,11/24/2019,"Sydney, Australia"
2,Jake Riley,165,M35-39,Australia,00:30:33,02:11:14,01:24:15,04:08:32,Ironman 70.3 Western Sydney,11/24/2019,"Sydney, Australia"
12,Nathan Groch,12,MPRO,Australia,00:27:27,02:13:15,01:25:26,04:08:32,Ironman 70.3 Western Sydney,11/24/2019,"Sydney, Australia"
2,Luke Woolfe,1595,M25-29,Australia,00:26:03,02:17:50,01:21:16,04:08:50,Ironman 70.3 Western Sydney,11/24/2019,"Sydney, Australia"
3,James Martin,468,M25-29,Australia,00:28:40,02:20:04,01:17:24,04:09:54,Ironman 70.3 Western Sydney,11/24/2019,"Sydney, Australia"
1,Brodie Madgwick,180,M40-44,New Zealand,00:27:30,02:16:39,01:22:42,04:10:36,Ironman 70.3 Western Sydney,11/24/2019,"Sydney, Australia"
3,Josh Bignell,764,M35-39,Australia,00:28:47,02:19:17,01:19:48,04:10:49,Ironman 70.3 Western Sydney,11/24/2019,"Sydney, Australia"
2,Paul O'Doherty,1064,M40-44,Australia,00:28:48,02:14:51,01:23:30,04:10:49,Ironman 70.3 Western Sydney,11/24/2019,"Sydney, Australia"
4,Paul Marchant,102,M25-29,Australia,00:29:46,02:18:36,01:18:54,04:10:50,Ironman 70.3 Western Sydney,11/24/2019,"Sydney, Australia"
3,Adam Williams,1104,M40-44,Australia,00:27:08,02:12:33,01:29:05,04:12:40,Ironman 70.3 Western Sydney,11/24/2019,"Sydney, Australia"
4,James Viles,167,M35-39,Australia,00:31:34,02:20:34,01:18:25,04:13:36,Ironman 70.3 Western Sydney,11/24/2019,"Sydney, Australia"
2,Nuru Somi,1575,M30-34,Australia,00:26:44,02:17:00,01:27:03,04:13:40,Ironman 70.3 Western Sydney,11/24/2019,"Sydney, Australia"
3,Christopher Wallace,105,M30-34,United Kingdom,00:31:06,02:21:04,01:17:49,04:14:19,Ironman 70.3 Western Sydney,11/24/2019,"Sydney, Australia"
4,Esteban Gimenez Zapiola,103,M30-34,Argentina,00:27:48,02:16:29,01:26:36,04:14:20,Ironman 70.3 Western Sydney,11/24/2019,"Sydney, Australia"
3,Calvin Amos,351,M18-24,Australia,00:29:32,02:17:35,01:24:20,04:14:27,Ironman 70.3 Western Sydney,11/24/2019,"Sydney, Australia"
5,Luke Jones,258,M35-39,Australia,00:29:57,02:17:32,01:24:08,04:14:28,Ironman 70.3 Western Sydney,11/24/2019,"Sydney, Australia"
4,Nathan Jackson,1034,M40-44,Australia,00:29:19,02:12:52,01:29:54,04:14:55,Ironman 70.3 Western Sydney,11/24/2019,"Sydney, Australia"
5,Rhys Jones,461,M25-29,Australia,00:30:02,02:18:17,01:23:52,04:15:11,Ironman 70.3 Western Sydney,11/24/2019,"Sydney, Australia"
6,David Washbrook,333,M35-39,United Kingdom,00:26:44,02:17:35,01:27:46,04:15:26,Ironman 70.3 Western Sydney,11/24/2019,"Sydney, Australia"
1,Nathan Taylor,125,M45-49,Australia,00:29:25,02:14:43,01:28:15,04:15:26,Ironman 70.3 Western Sydney,11/24/2019,"Sydney, Australia"
2,Grace Thek,22,FPRO,Australia,00:27:03,02:23:10,01:23:30,04:16:03,Ironman 70.3 Western Sydney,11/24/2019,"Sydney, Australia"
7,Grant Vickery,907,M35-39,Australia,00:28:07,02:24:14,01:20:50,04:16:15,Ironman 70.3 Western Sydney,11/24/2019,"Sydney, Australia"
4,Thomas Driscoll,366,M18-24,Australia,00:28:20,02:21:50,01:23:27,04:16:23,Ironman 70.3 Western Sydney,11/24/2019,"Sydney, Australia"
2,John Hughes,124,M45-49,Australia,00:31:30,02:17:48,01:23:34,04:16:40,Ironman 70.3 Western Sydney,11/24/2019,"Sydney, Australia"
5,Nat Heath,608,M30-34,Australia,00:29:08,02:22:25,01:23:09,04:18:16,Ironman 70.3 Western Sydney,11/24/2019,"Sydney, Australia"
6,Aaron Ashdown,546,M30-34,Australia,00:28:18,02:20:38,01:26:43,04:18:36,Ironman 70.3 Western Sydney,11/24/2019,"Sydney, Australia"
8,Joel Armitage,758,M35-39,Australia,00:29:46,02:19:01,01:26:20,04:18:57,Ironman 70.3 Western Sydney,11/24/2019,"Sydney, Australia"
