Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,Race,Date,Location
1,George Goodwin,4,M PRO,GBR,00:11:22,02:11:06,01:14:50,03:42:58,Ironman 70.3 Weymouth,09/22/2019,"Dorset, UK"
2,Adam Bowden,27,M PRO,GBR,00:11:14,02:15:50,01:14:05,03:46:43,Ironman 70.3 Weymouth,09/22/2019,"Dorset, UK"
3,Elliot Smales,1,M PRO,GBR,00:11:16,02:16:06,01:15:31,03:48:02,Ironman 70.3 Weymouth,09/22/2019,"Dorset, UK"
4,Marcus Herbst,12,M PRO,GER,00:12:03,02:10:41,01:20:24,03:48:34,Ironman 70.3 Weymouth,09/22/2019,"Dorset, UK"
5,Thomas Davis,7,M PRO,GBR,00:11:12,02:16:12,01:18:12,03:50:41,Ironman 70.3 Weymouth,09/22/2019,"Dorset, UK"
6,David Bishop,5,M PRO,GBR,00:11:28,02:15:38,01:19:15,03:51:56,Ironman 70.3 Weymouth,09/22/2019,"Dorset, UK"
7,Sam Wade,25,M PRO,GBR,00:11:56,02:19:01,01:16:28,03:52:32,Ironman 70.3 Weymouth,09/22/2019,"Dorset, UK"
8,Chris Standidge,23,M PRO,GBR,00:12:00,02:18:35,01:16:40,03:53:01,Ironman 70.3 Weymouth,09/22/2019,"Dorset, UK"
9,Sam Proctor,3,M PRO,GBR,00:11:58,02:18:52,01:17:22,03:53:34,Ironman 70.3 Weymouth,09/22/2019,"Dorset, UK"
1,Will Munday,2615,M 18,GBR,00:14:17,02:22:56,01:16:22,04:00:08,Ironman 70.3 Weymouth,09/22/2019,"Dorset, UK"
10,Harry Palmer,18,M PRO,GBR,00:12:03,02:25:15,01:19:15,04:02:13,Ironman 70.3 Weymouth,09/22/2019,"Dorset, UK"
11,Ashley Hurdman,13,M PRO,GBR,00:12:14,02:23:46,01:21:16,04:03:28,Ironman 70.3 Weymouth,09/22/2019,"Dorset, UK"
1,Dan Blake,2578,M 35,GBR,00:16:50,02:21:41,01:18:55,04:04:38,Ironman 70.3 Weymouth,09/22/2019,"Dorset, UK"
2,Hugh Brashaw,780,M 18,GBR,00:13:44,02:26:06,01:17:50,04:04:38,Ironman 70.3 Weymouth,09/22/2019,"Dorset, UK"
2,Vanrisch McLean,1637,M 35,GBR,00:15:38,02:22:06,01:21:26,04:05:38,Ironman 70.3 Weymouth,09/22/2019,"Dorset, UK"
1,James Gilfillan,1888,M 40,GBR,00:14:07,02:24:50,01:19:19,04:05:44,Ironman 70.3 Weymouth,09/22/2019,"Dorset, UK"
1,Alex Matchett,1035,M 25,GBR,00:13:47,02:29:09,01:18:35,04:09:07,Ironman 70.3 Weymouth,09/22/2019,"Dorset, UK"
12,Brad Williams,26,M PRO,USA,00:14:02,02:27:57,01:21:00,04:09:54,Ironman 70.3 Weymouth,09/22/2019,"Dorset, UK"
13,Ian Dempsey,29,M PRO,GBR,00:13:03,02:26:58,01:23:20,04:10:18,Ironman 70.3 Weymouth,09/22/2019,"Dorset, UK"
