Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,Race,Date,Location
1,Elliot Smales,1,M PRO,GBR,00:14:30,02:24:53,01:17:38,04:03:08,Ironman 70.3 Weymouth,09/23/2018,"Dorset, UK"
2,Sam Pictor,15,M PRO,GBR,00:16:56,02:25:26,01:18:12,04:06:29,Ironman 70.3 Weymouth,09/23/2018,"Dorset, UK"
3,Sam Proctor,16,M PRO,GBR,00:15:12,02:27:19,01:18:28,04:07:27,Ironman 70.3 Weymouth,09/23/2018,"Dorset, UK"
4,Alexandre Blain,5,M PRO,FRA,00:18:51,02:19:03,01:26:21,04:10:44,Ironman 70.3 Weymouth,09/23/2018,"Dorset, UK"
5,Fraser Cartmell,2,M PRO,GBR,00:14:46,02:27:52,01:23:18,04:12:41,Ironman 70.3 Weymouth,09/23/2018,"Dorset, UK"
1,Harry Palmer,239,M 18,GBR,00:15:30,02:28:34,01:21:04,04:12:44,Ironman 70.3 Weymouth,09/23/2018,"Dorset, UK"
2,Ieuan Hudson,143,M 18,GBR,00:16:33,02:31:25,01:19:13,04:15:08,Ironman 70.3 Weymouth,09/23/2018,"Dorset, UK"
1,David Bartlett,153,M 30,GBR,00:14:51,02:29:43,01:25:35,04:17:14,Ironman 70.3 Weymouth,09/23/2018,"Dorset, UK"
6,Frederic Limousin,12,M PRO,FRA,00:16:35,02:30:30,01:22:52,04:18:29,Ironman 70.3 Weymouth,09/23/2018,"Dorset, UK"
2,Lukas Bosmans,154,M 30,BEL,00:17:30,02:33:27,01:20:47,04:18:40,Ironman 70.3 Weymouth,09/23/2018,"Dorset, UK"
1,Josh Holman,242,M 25,GBR,00:18:16,02:32:54,01:19:47,04:19:44,Ironman 70.3 Weymouth,09/23/2018,"Dorset, UK"
-,Martin Mitchell,2744,M ,,00:15:34,02:38:07,01:21:57,04:21:29,Ironman 70.3 Weymouth,09/23/2018,"Dorset, UK"
1,Ian Dempsey,111,M 35,GBR,00:15:56,02:33:12,01:24:39,04:21:39,Ironman 70.3 Weymouth,09/23/2018,"Dorset, UK"
3,Marc Fernandes,788,M 18,FRA,00:18:09,02:36:11,01:17:54,04:21:59,Ironman 70.3 Weymouth,09/23/2018,"Dorset, UK"
4,Alexander Jones,2597,M 18,GBR,00:16:30,02:33:16,01:21:47,04:22:12,Ironman 70.3 Weymouth,09/23/2018,"Dorset, UK"
1,India Lee,37,F PRO,GBR,00:15:30,02:37:45,01:23:58,04:25:04,Ironman 70.3 Weymouth,09/23/2018,"Dorset, UK"
-,Simon De Burgh,2741,M ,,00:16:01,02:32:05,01:31:59,04:25:24,Ironman 70.3 Weymouth,09/23/2018,"Dorset, UK"
2,James Phillips,989,M 25,GBR,00:16:17,02:39:19,01:22:51,04:25:46,Ironman 70.3 Weymouth,09/23/2018,"Dorset, UK"
-,Emma Cockcroft,2719,M ,,00:20:07,02:46:34,01:14:25,04:26:41,Ironman 70.3 Weymouth,09/23/2018,"Dorset, UK"
5,Arran Rory McCloskey,810,M 18,GBR,00:16:49,02:35:16,01:28:00,04:27:15,Ironman 70.3 Weymouth,09/23/2018,"Dorset, UK"
2,Nikki Bartlett,36,F PRO,GBR,00:18:23,02:31:49,01:30:36,04:28:01,Ironman 70.3 Weymouth,09/23/2018,"Dorset, UK"
3,Ben Wimpory,1060,M 25,GBR,00:20:48,02:33:18,01:26:26,04:28:03,Ironman 70.3 Weymouth,09/23/2018,"Dorset, UK"
3,Fenella Langridge,27,F PRO,GBR,00:15:53,02:37:41,01:28:21,04:28:05,Ironman 70.3 Weymouth,09/23/2018,"Dorset, UK"
2,Thomas Moon,159,M 35,GBR,00:18:41,02:38:42,01:25:40,04:31:03,Ironman 70.3 Weymouth,09/23/2018,"Dorset, UK"
3,Chris Stanton,1635,M 35,GBR,00:17:03,02:27:55,01:39:42,04:31:42,Ironman 70.3 Weymouth,09/23/2018,"Dorset, UK"
-,Robbie Murden,2720,M ,,00:16:09,02:49:53,01:19:58,04:31:56,Ironman 70.3 Weymouth,09/23/2018,"Dorset, UK"
4,O Beilby,2565,M 35,GBR,00:20:36,02:35:16,01:27:29,04:32:13,Ironman 70.3 Weymouth,09/23/2018,"Dorset, UK"
1,Donald Brooks,1742,M 40,GBR,00:15:37,02:37:25,01:32:23,04:32:21,Ironman 70.3 Weymouth,09/23/2018,"Dorset, UK"
2,Frederic Le Gall,1849,M 40,FRA,00:17:23,02:37:56,01:29:50,04:32:42,Ironman 70.3 Weymouth,09/23/2018,"Dorset, UK"
6,Ashley Martin,805,M 18,GBR,00:20:28,02:30:10,01:34:19,04:32:52,Ironman 70.3 Weymouth,09/23/2018,"Dorset, UK"
3,Martin Reed,250,M 30,GBR,00:19:44,02:37:38,01:23:45,04:33:08,Ironman 70.3 Weymouth,09/23/2018,"Dorset, UK"
7,Cameron Craik,782,M 18,GBR,00:17:48,02:41:19,01:24:36,04:33:24,Ironman 70.3 Weymouth,09/23/2018,"Dorset, UK"
8,Morgan Rhodes,826,M 18,GBR,00:16:05,02:39:04,01:28:24,04:33:37,Ironman 70.3 Weymouth,09/23/2018,"Dorset, UK"
4,Chantal Cummings,35,F PRO,GBR,00:17:55,02:42:21,01:27:02,04:33:46,Ironman 70.3 Weymouth,09/23/2018,"Dorset, UK"
