Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,Race,Date,Location
1,Ryan Giuliano,2623,M 30-34,---,00:29:06,02:23:48,01:22:56,04:19:22,Ironman 70.3 Wisconsin,06/11/2017,"Wisconsin, USA"
2,Luke Beirl,498,M 30-34,---,00:29:13,02:25:58,01:23:47,04:23:28,Ironman 70.3 Wisconsin,06/11/2017,"Wisconsin, USA"
1,Scott Iott,317,M 40-44,---,00:29:54,02:24:33,01:26:52,04:26:27,Ironman 70.3 Wisconsin,06/11/2017,"Wisconsin, USA"
3,Sean Cooley,501,M 30-34,---,00:29:00,02:24:21,01:29:17,04:26:41,Ironman 70.3 Wisconsin,06/11/2017,"Wisconsin, USA"
2,Peter Christensen,314,M 40-44,---,00:29:04,02:26:19,01:26:47,04:26:50,Ironman 70.3 Wisconsin,06/11/2017,"Wisconsin, USA"
1,Tyler Le Roy,376,M 25-29,---,00:29:57,02:23:52,01:28:59,04:27:05,Ironman 70.3 Wisconsin,06/11/2017,"Wisconsin, USA"
2,Vant Lammers,48,M 25-29,---,00:28:38,02:28:29,01:26:11,04:27:08,Ironman 70.3 Wisconsin,06/11/2017,"Wisconsin, USA"
1,Mark Beckwith,386,M 35-39,---,00:28:15,02:25:34,01:29:51,04:27:52,Ironman 70.3 Wisconsin,06/11/2017,"Wisconsin, USA"
2,Les Friesen,310,M 35-39,---,00:31:44,02:31:04,01:21:50,04:28:40,Ironman 70.3 Wisconsin,06/11/2017,"Wisconsin, USA"
3,Zachary Carr,313,M 40-44,---,00:31:39,02:24:16,01:29:11,04:29:24,Ironman 70.3 Wisconsin,06/11/2017,"Wisconsin, USA"
3,Nicholas Modrzejewski,396,M 35-39,---,00:29:25,02:25:10,01:30:31,04:29:43,Ironman 70.3 Wisconsin,06/11/2017,"Wisconsin, USA"
4,Joe Adriaens,1549,M 30-34,---,00:28:50,02:26:13,01:29:41,04:30:05,Ironman 70.3 Wisconsin,06/11/2017,"Wisconsin, USA"
4,Pete Metz,1993,M 40-44,---,00:31:12,02:29:08,01:28:39,04:33:42,Ironman 70.3 Wisconsin,06/11/2017,"Wisconsin, USA"
4,Michael Girard,390,M 35-39,---,00:30:53,02:26:13,01:34:13,04:36:02,Ironman 70.3 Wisconsin,06/11/2017,"Wisconsin, USA"
5,James Harrington,315,M 40-44,---,00:33:03,02:27:05,01:31:18,04:36:14,Ironman 70.3 Wisconsin,06/11/2017,"Wisconsin, USA"
1,Ted Treise,1430,M 18-24,---,00:32:12,02:27:21,01:32:48,04:36:35,Ironman 70.3 Wisconsin,06/11/2017,"Wisconsin, USA"
3,Mitch Brekke,373,M 25-29,---,00:31:11,02:28:03,01:34:43,04:38:38,Ironman 70.3 Wisconsin,06/11/2017,"Wisconsin, USA"
5,Eric Engel,308,M 30-34,---,00:29:43,02:29:07,01:36:33,04:39:37,Ironman 70.3 Wisconsin,06/11/2017,"Wisconsin, USA"
6,Kevin Esser,639,M 40-44,---,00:33:32,02:27:58,01:34:12,04:40:33,Ironman 70.3 Wisconsin,06/11/2017,"Wisconsin, USA"
6,Matthew Saba,383,M 30-34,---,00:31:53,02:28:02,01:36:42,04:41:43,Ironman 70.3 Wisconsin,06/11/2017,"Wisconsin, USA"
5,Joel Lafrance,1792,M 35-39,---,00:35:44,02:24:44,01:36:13,04:41:46,Ironman 70.3 Wisconsin,06/11/2017,"Wisconsin, USA"
1,Barry Breffle,415,M 45-49,---,00:29:50,02:33:24,01:34:18,04:41:58,Ironman 70.3 Wisconsin,06/11/2017,"Wisconsin, USA"
6,Jason Meekma,631,M 35-39,---,00:31:24,02:37:05,01:30:24,04:43:23,Ironman 70.3 Wisconsin,06/11/2017,"Wisconsin, USA"
2,Zach Eagle,305,M 18-24,---,00:34:21,02:27:40,01:36:46,04:43:42,Ironman 70.3 Wisconsin,06/11/2017,"Wisconsin, USA"
7,Peter Somers,1858,M 35-39,---,00:32:36,02:36:42,01:29:59,04:43:50,Ironman 70.3 Wisconsin,06/11/2017,"Wisconsin, USA"
9,Bob Larue,309,M 30-34,---,00:36:38,02:29:21,01:33:28,04:44:57,Ironman 70.3 Wisconsin,06/11/2017,"Wisconsin, USA"
1,Danielle Vsetecka,341,F 30-34,---,00:30:32,02:41:21,01:29:21,04:45:48,Ironman 70.3 Wisconsin,06/11/2017,"Wisconsin, USA"
8,Andrew Zabel,515,M 35-39,---,00:34:55,02:28:06,01:37:27,04:45:51,Ironman 70.3 Wisconsin,06/11/2017,"Wisconsin, USA"
1,Dani Fischer,704,F 25-29,---,00:30:32,02:35:53,01:34:42,04:45:57,Ironman 70.3 Wisconsin,06/11/2017,"Wisconsin, USA"
10,Brian Willing,385,M 30-34,---,00:32:41,02:35:34,01:32:38,04:46:10,Ironman 70.3 Wisconsin,06/11/2017,"Wisconsin, USA"
2,Hanna Grinaker,708,F 25-29,---,00:32:21,02:38:10,01:31:31,04:46:44,Ironman 70.3 Wisconsin,06/11/2017,"Wisconsin, USA"
7,Matt Petersen,521,M 40-44,---,00:29:29,02:28:55,01:43:52,04:47:15,Ironman 70.3 Wisconsin,06/11/2017,"Wisconsin, USA"
2,Craig Lanza,322,M 45-49,---,00:26:56,02:41:47,01:33:45,04:47:22,Ironman 70.3 Wisconsin,06/11/2017,"Wisconsin, USA"
9,R J Montes,1817,M 35-39,---,00:32:47,02:35:57,01:34:09,04:47:57,Ironman 70.3 Wisconsin,06/11/2017,"Wisconsin, USA"
