Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,Race,Date,Location
1,Sam Betten,1,MPRO,AUS,00:19:45,02:08:55,01:18:46,03:53:30,Ironman 70.3 Xiamen,11/12/2017,"Xiamen, China"
2,Justin Metzler,2,MPRO,USA,00:19:45,02:08:52,01:19:26,03:53:45,Ironman 70.3 Xiamen,11/12/2017,"Xiamen, China"
3,Jonathan Shearon,6,MPRO,USA,00:21:22,02:07:01,01:19:57,03:55:01,Ironman 70.3 Xiamen,11/12/2017,"Xiamen, China"
4,Filipe Azevedo,9,MPRO,UAE,00:19:47,02:10:50,01:21:29,03:58:44,Ironman 70.3 Xiamen,11/12/2017,"Xiamen, China"
5,Johannes Moldan,14,MPRO,GER,00:21:59,02:02:09,01:28:49,03:59:23,Ironman 70.3 Xiamen,11/12/2017,"Xiamen, China"
6,Jiang Zhi Hang,8,MPRO,CHN,00:19:46,02:10:07,01:25:16,04:02:04,Ironman 70.3 Xiamen,11/12/2017,"Xiamen, China"
7,Jakub Langhammer,13,MPRO,CZE,00:23:02,02:13:49,01:24:03,04:08:03,Ironman 70.3 Xiamen,11/12/2017,"Xiamen, China"
8,Hao Miao,4,MPRO,CHN,00:19:44,02:13:02,01:30:07,04:10:05,Ironman 70.3 Xiamen,11/12/2017,"Xiamen, China"
1,Pengcheng Li,175,M25-29,CHN,00:24:18,02:16:33,01:22:22,04:11:10,Ironman 70.3 Xiamen,11/12/2017,"Xiamen, China"
1,Bingyu Lin,1449,RELAY,CHN,00:24:39,02:18:57,01:15:51,04:11:32,Ironman 70.3 Xiamen,11/12/2017,"Xiamen, China"
9,Rudolph Naude,15,MPRO,RSA,00:19:41,02:14:25,01:33:24,04:14:11,Ironman 70.3 Xiamen,11/12/2017,"Xiamen, China"
1,Eimear Mullan,38,FPRO,IRL,00:22:27,02:20:22,01:24:30,04:14:22,Ironman 70.3 Xiamen,11/12/2017,"Xiamen, China"
2,Imogen Simmonds,39,FPRO,SUI,00:22:22,02:20:20,01:24:48,04:14:34,Ironman 70.3 Xiamen,11/12/2017,"Xiamen, China"
1,Jérôme Giaux,841,M30-34,BEL,00:25:23,02:10:38,01:31:01,04:16:38,Ironman 70.3 Xiamen,11/12/2017,"Xiamen, China"
1,Alexander Martin,137,M35-39,GER,00:25:39,02:15:15,01:27:58,04:17:00,Ironman 70.3 Xiamen,11/12/2017,"Xiamen, China"
2,Lucas McBeath,103,M35-39,AUS,00:25:07,02:13:37,01:31:02,04:18:03,Ironman 70.3 Xiamen,11/12/2017,"Xiamen, China"
3,Haley Chura,31,FPRO,USA,00:20:45,02:21:44,01:27:50,04:18:28,Ironman 70.3 Xiamen,11/12/2017,"Xiamen, China"
3,Gábor Pajor,139,M35-39,HUN,00:22:26,02:22:32,01:25:43,04:18:39,Ironman 70.3 Xiamen,11/12/2017,"Xiamen, China"
4,Mikhail Gromov,910,M35-39,RUS,00:23:12,02:20:51,01:27:44,04:18:58,Ironman 70.3 Xiamen,11/12/2017,"Xiamen, China"
2,Edo Van Der Meer,375,M30-34,NED,00:21:07,02:17:09,01:33:03,04:19:04,Ironman 70.3 Xiamen,11/12/2017,"Xiamen, China"
10,Sebastien Jouffret,12,MPRO,FRA,00:23:13,02:13:17,01:35:10,04:19:12,Ironman 70.3 Xiamen,11/12/2017,"Xiamen, China"
5,Javier Lopez Valenciano,479,M35-39,ESP,00:24:19,02:20:12,01:27:41,04:20:49,Ironman 70.3 Xiamen,11/12/2017,"Xiamen, China"
2,Robert De Korte,123,M25-29,NED,00:24:35,02:15:19,01:34:48,04:22:21,Ironman 70.3 Xiamen,11/12/2017,"Xiamen, China"
