Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,Race,Date,Location
1,Thomas Galindez,857,M18-24,ARG,00:43:01,04:50:41,03:06:04,08:45:23,Ironman Argentina,12/01/2019,"Mar del Plata, Argentina"
1,Peter Pichnoff,378,M35-39,BRA,00:44:42,04:59:00,02:57:39,08:46:40,Ironman Argentina,12/01/2019,"Mar del Plata, Argentina"
1,Bruno Da Rocha Berger,564,M30-34,BRA,00:49:14,04:59:20,03:00:08,08:54:51,Ironman Argentina,12/01/2019,"Mar del Plata, Argentina"
2,Frederico Moura Marques,413,M35-39,BRA,00:45:35,04:50:51,03:14:34,08:56:22,Ironman Argentina,12/01/2019,"Mar del Plata, Argentina"
3,Thiago Menuci,261,M35-39,BRA,00:44:40,05:00:00,03:15:41,09:06:19,Ironman Argentina,12/01/2019,"Mar del Plata, Argentina"
4,Alexandre Takenaka,806,M35-39,BRA,00:46:50,04:57:55,03:16:55,09:07:41,Ironman Argentina,12/01/2019,"Mar del Plata, Argentina"
2,Jonathan Kwaterka,626,M30-34,ARG,00:49:53,05:10:34,03:01:39,09:08:21,Ironman Argentina,12/01/2019,"Mar del Plata, Argentina"
3,Rodrigo Bodanese,329,M30-34,BRA,00:45:02,04:58:50,03:20:06,09:09:44,Ironman Argentina,12/01/2019,"Mar del Plata, Argentina"
4,Adam Labbett,628,M30-34,CHE,00:50:20,05:05:17,03:08:31,09:09:47,Ironman Argentina,12/01/2019,"Mar del Plata, Argentina"
1,Lucas Antonetti,109,M45-49,ARG,00:48:07,05:10:50,03:06:21,09:10:11,Ironman Argentina,12/01/2019,"Mar del Plata, Argentina"
5,Luisma Kittlein,156,M30-34,ARG,00:53:40,05:06:24,03:06:24,09:11:30,Ironman Argentina,12/01/2019,"Mar del Plata, Argentina"
6,Rodrigo Memmo,660,M30-34,ARG,00:56:02,05:09:40,03:02:32,09:14:20,Ironman Argentina,12/01/2019,"Mar del Plata, Argentina"
2,Declan Doyle,843,M45-49,IRL,00:54:14,04:57:45,03:16:57,09:15:05,Ironman Argentina,12/01/2019,"Mar del Plata, Argentina"
5,Gustavo Slaib Cruz Pereira,375,M35-39,BRA,00:46:43,05:03:57,03:19:35,09:16:13,Ironman Argentina,12/01/2019,"Mar del Plata, Argentina"
6,Moises Guillermo Torres Rojas,734,M35-39,CHL,00:46:19,05:12:59,03:10:40,09:16:35,Ironman Argentina,12/01/2019,"Mar del Plata, Argentina"
2,Javier Zamorano Sheward,304,M18-24,CHL,00:49:14,05:13:44,03:11:31,09:19:56,Ironman Argentina,12/01/2019,"Mar del Plata, Argentina"
7,Federico Alvarez,308,M30-34,ARG,00:49:00,05:25:34,02:59:26,09:19:59,Ironman Argentina,12/01/2019,"Mar del Plata, Argentina"
8,Roberto Rivera Cabrera,101,M30-34,CHL,00:44:20,05:15:23,03:13:39,09:20:08,Ironman Argentina,12/01/2019,"Mar del Plata, Argentina"
1,Keith Murray,174,M40-44,GBR,00:59:24,04:45:56,03:28:29,09:20:10,Ironman Argentina,12/01/2019,"Mar del Plata, Argentina"
7,Phil Whitehead,302,M35-39,GBR,00:52:28,05:01:14,03:19:11,09:20:19,Ironman Argentina,12/01/2019,"Mar del Plata, Argentina"
9,Guillermo Garcia,142,M30-34,ARG,00:50:18,05:03:36,03:21:52,09:20:29,Ironman Argentina,12/01/2019,"Mar del Plata, Argentina"
