Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,Race,Date,Location
1,Jan Stepinski,570,M25-29,USA,00:50:37,04:34:20,03:09:35,08:42:38,Ironman Arizona,11/24/2019,"Tempe, Arizona, USA"
1,Sarah Crowley,2,FPRO,AUS,00:55:08,04:44:22,03:03:35,08:49:36,Ironman Arizona,11/24/2019,"Tempe, Arizona, USA"
1,Samuel Wenger,2116,M30-34,CHE,01:03:22,04:32:41,03:06:39,08:50:37,Ironman Arizona,11/24/2019,"Tempe, Arizona, USA"
2,Alvaro Velez,736,M30-34,COL,00:58:16,04:44:27,03:01:07,08:51:02,Ironman Arizona,11/24/2019,"Tempe, Arizona, USA"
1,Nolan Weinstein,945,M18-24,USA,00:57:57,04:41:13,03:01:17,08:52:11,Ironman Arizona,11/24/2019,"Tempe, Arizona, USA"
2,Bren Winbrock,573,M25-29,USA,01:02:56,04:46:28,02:56:54,08:52:45,Ironman Arizona,11/24/2019,"Tempe, Arizona, USA"
2,Heather Jackson,1,FPRO,USA,01:01:05,04:44:55,03:04:08,08:55:49,Ironman Arizona,11/24/2019,"Tempe, Arizona, USA"
3,Michael Vanacora,735,M30-34,USA,00:55:07,04:48:56,03:04:33,08:56:16,Ironman Arizona,11/24/2019,"Tempe, Arizona, USA"
3,Ben Besse,1907,M25-29,USA,00:55:53,04:43:07,03:09:07,08:57:59,Ironman Arizona,11/24/2019,"Tempe, Arizona, USA"
1,Juan Valencia,594,M40-44,COL,00:52:56,04:49:03,03:09:52,09:01:43,Ironman Arizona,11/24/2019,"Tempe, Arizona, USA"
4,Ross Baldwin,1988,M30-34,USA,01:09:49,04:45:59,02:54:38,09:02:12,Ironman Arizona,11/24/2019,"Tempe, Arizona, USA"
5,Matthew Ison,484,M30-34,USA,00:58:38,04:56:51,03:00:07,09:03:04,Ironman Arizona,11/24/2019,"Tempe, Arizona, USA"
4,Zach Looney,713,M25-29,USA,01:05:38,04:33:11,03:15:54,09:04:17,Ironman Arizona,11/24/2019,"Tempe, Arizona, USA"
1,Jose Maria Ponce,756,M35-39,ECU,00:57:47,04:44:23,03:14:10,09:05:04,Ironman Arizona,11/24/2019,"Tempe, Arizona, USA"
2,Matthew Raske,585,M35-39,USA,00:55:38,04:55:57,03:06:09,09:05:16,Ironman Arizona,11/24/2019,"Tempe, Arizona, USA"
3,Meredith Kessler,6,FPRO,USA,00:53:44,04:53:56,03:10:20,09:05:35,Ironman Arizona,11/24/2019,"Tempe, Arizona, USA"
6,Conrad Goeringer,952,M30-34,USA,01:17:05,04:39:01,03:08:45,09:13:25,Ironman Arizona,11/24/2019,"Tempe, Arizona, USA"
3,Anthony Toth,2279,M35-39,CAN,00:58:26,04:55:04,03:09:29,09:13:47,Ironman Arizona,11/24/2019,"Tempe, Arizona, USA"
5,Drew Jordan,1938,M25-29,USA,01:03:54,05:02:29,03:00:55,09:14:36,Ironman Arizona,11/24/2019,"Tempe, Arizona, USA"
2,Philippe Chevrier,769,M40-44,CHE,01:06:07,05:00:46,03:01:25,09:17:38,Ironman Arizona,11/24/2019,"Tempe, Arizona, USA"
6,Alec Tripp,571,M25-29,USA,00:58:16,04:57:46,03:16:39,09:19:24,Ironman Arizona,11/24/2019,"Tempe, Arizona, USA"
1,Patrick McCrann,603,M45-49,USA,01:06:53,04:45:23,03:19:05,09:19:24,Ironman Arizona,11/24/2019,"Tempe, Arizona, USA"
4,Melanie McQuaid,15,FPRO,CAN,00:59:29,04:53:02,03:19:25,09:20:00,Ironman Arizona,11/24/2019,"Tempe, Arizona, USA"
2,Benjamin Saunders,607,M45-49,USA,00:59:05,05:01:17,03:11:43,09:20:08,Ironman Arizona,11/24/2019,"Tempe, Arizona, USA"
4,Leoncio Sanchez,287,M35-39,MEX,01:04:06,05:04:02,03:07:10,09:22:24,Ironman Arizona,11/24/2019,"Tempe, Arizona, USA"
3,David Sek,2522,M40-44,USA,00:58:29,05:01:53,03:16:30,09:24:08,Ironman Arizona,11/24/2019,"Tempe, Arizona, USA"
7,Chris Boling,1993,M30-34,USA,01:09:05,04:49:06,03:19:10,09:25:58,Ironman Arizona,11/24/2019,"Tempe, Arizona, USA"
5,Lauren Brandon,4,FPRO,USA,00:49:57,04:52:34,03:39:10,09:27:27,Ironman Arizona,11/24/2019,"Tempe, Arizona, USA"
7,Diego Blanton,569,M25-29,USA,01:11:49,05:05:19,03:01:30,09:28:03,Ironman Arizona,11/24/2019,"Tempe, Arizona, USA"
1,Richard Albrow,613,M50-54,USA,01:00:23,05:01:52,03:20:05,09:29:27,Ironman Arizona,11/24/2019,"Tempe, Arizona, USA"
6,Mareen Hufe,7,FPRO,DEU,01:01:08,04:50:34,03:31:11,09:30:04,Ironman Arizona,11/24/2019,"Tempe, Arizona, USA"
1,Nicole Walker,189,F30-34,CAN,01:02:57,05:05:15,03:13:54,09:30:04,Ironman Arizona,11/24/2019,"Tempe, Arizona, USA"
3,Bryan Shiflett,608,M45-49,USA,01:05:23,04:57:37,03:21:03,09:31:21,Ironman Arizona,11/24/2019,"Tempe, Arizona, USA"
8,Todd Wakefield,1974,M25-29,AUS,01:03:37,04:56:49,03:23:59,09:31:56,Ironman Arizona,11/24/2019,"Tempe, Arizona, USA"
4,Jason Kenney,588,M40-44,USA,01:09:50,04:51:05,03:24:21,09:33:07,Ironman Arizona,11/24/2019,"Tempe, Arizona, USA"
9,Dylan Delacruz,245,M25-29,USA,01:00:13,04:48:02,03:36:25,09:33:14,Ironman Arizona,11/24/2019,"Tempe, Arizona, USA"
8,Branton Curt,2009,M30-34,USA,01:00:07,04:55:06,03:29:19,09:34:00,Ironman Arizona,11/24/2019,"Tempe, Arizona, USA"
7,Ashley Paulson,14,FPRO,USA,01:11:52,05:18:41,02:57:45,09:34:55,Ironman Arizona,11/24/2019,"Tempe, Arizona, USA"
2,Ted Breault,615,M50-54,USA,01:02:20,05:06:34,03:18:34,09:35:09,Ironman Arizona,11/24/2019,"Tempe, Arizona, USA"
5,Jan Vobecky,766,M35-39,USA,01:01:56,04:54:52,03:31:38,09:36:19,Ironman Arizona,11/24/2019,"Tempe, Arizona, USA"
5,Kris Nisula,2478,M40-44,CAN,01:06:01,04:55:15,03:28:21,09:38:12,Ironman Arizona,11/24/2019,"Tempe, Arizona, USA"
4,Vadim Suraev,609,M45-49,CAN,01:02:54,04:44:24,03:40:19,09:38:34,Ironman Arizona,11/24/2019,"Tempe, Arizona, USA"
6,Daniel J Brienza,958,M35-39,USA,00:59:07,05:00:01,03:32:41,09:38:36,Ironman Arizona,11/24/2019,"Tempe, Arizona, USA"
