Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,Race,Date,Location
1,Lionel Sanders,1,M PRO,CAN,00:53:45,04:04:38,02:42:31,07:44:29,Ironman Arizona,11/20/2016,"Tempe, Arizona, USA"
2,Brent Mcmahon,2,M PRO,CAN,00:48:21,04:18:20,02:40:17,07:50:15,Ironman Arizona,11/20/2016,"Tempe, Arizona, USA"
3,Tj Tollakson,3,M PRO,USA,00:49:40,04:11:59,02:56:43,08:02:30,Ironman Arizona,11/20/2016,"Tempe, Arizona, USA"
4,David Plese,14,M PRO,SVN,00:53:57,04:20:46,02:45:17,08:04:29,Ironman Arizona,11/20/2016,"Tempe, Arizona, USA"
5,Giulio Molinari,43,M PRO,ITA,00:49:35,04:15:07,02:58:25,08:06:47,Ironman Arizona,11/20/2016,"Tempe, Arizona, USA"
6,Pedro Gomes,9,M PRO,PRT,00:53:46,04:21:02,02:52:54,08:11:15,Ironman Arizona,11/20/2016,"Tempe, Arizona, USA"
7,Joe Gambles,8,M PRO,AUS,00:49:50,04:21:58,02:57:12,08:12:36,Ironman Arizona,11/20/2016,"Tempe, Arizona, USA"
8,Matic Modic,16,M PRO,SVN,00:56:48,04:22:54,02:54:31,08:17:57,Ironman Arizona,11/20/2016,"Tempe, Arizona, USA"
9,Per Bittner,12,M PRO,DEU,00:49:45,04:26:23,02:58:24,08:18:23,Ironman Arizona,11/20/2016,"Tempe, Arizona, USA"
10,Jens Frommhold,28,M PRO,DEU,00:55:37,04:21:55,03:00:32,08:21:48,Ironman Arizona,11/20/2016,"Tempe, Arizona, USA"
11,José Estrangeiro,26,M PRO,PRT,00:49:51,04:32:18,03:00:31,08:26:38,Ironman Arizona,11/20/2016,"Tempe, Arizona, USA"
12,Jesse Vondracek,51,M PRO,USA,00:54:03,04:28:08,03:01:26,08:27:23,Ironman Arizona,11/20/2016,"Tempe, Arizona, USA"
13,Tripp Hipple,34,M PRO,USA,00:53:53,04:28:26,03:01:39,08:27:45,Ironman Arizona,11/20/2016,"Tempe, Arizona, USA"
14,Cameron Wurf,53,M PRO,AUS,00:49:52,04:05:45,03:28:21,08:27:53,Ironman Arizona,11/20/2016,"Tempe, Arizona, USA"
15,Sam Long,40,M PRO,USA,00:55:37,04:23:49,03:06:36,08:29:07,Ironman Arizona,11/20/2016,"Tempe, Arizona, USA"
16,Adam O'Meara,46,M PRO,CAN,00:49:50,04:32:16,03:10:50,08:37:24,Ironman Arizona,11/20/2016,"Tempe, Arizona, USA"
17,Josh Terwoord,48,M PRO,USA,01:02:38,04:41:27,02:48:45,08:37:52,Ironman Arizona,11/20/2016,"Tempe, Arizona, USA"
18,Pete Jacobs,5,M PRO,AUS,00:49:42,04:42:32,03:03:36,08:40:34,Ironman Arizona,11/20/2016,"Tempe, Arizona, USA"
19,Chad Holderbaum,35,M PRO,USA,00:53:57,04:30:28,03:12:03,08:40:43,Ironman Arizona,11/20/2016,"Tempe, Arizona, USA"
20,Philip Graves,13,M PRO,GBR,00:49:37,04:15:12,03:32:21,08:41:48,Ironman Arizona,11/20/2016,"Tempe, Arizona, USA"
21,Jordan Byrden,23,M PRO,CAN,00:49:51,04:32:08,03:16:09,08:42:54,Ironman Arizona,11/20/2016,"Tempe, Arizona, USA"
1,Joel Maley,1051,M 30-34,CAN,01:05:27,04:38:05,02:54:38,08:43:52,Ironman Arizona,11/20/2016,"Tempe, Arizona, USA"
22,Hendrik-Jan Verhaegen,50,M PRO,BEL,00:54:09,04:38:36,03:08:54,08:46:35,Ironman Arizona,11/20/2016,"Tempe, Arizona, USA"
23,Dylan Gleeson,29,M PRO,CAN,00:54:00,04:27:32,03:22:05,08:47:25,Ironman Arizona,11/20/2016,"Tempe, Arizona, USA"
1,Meredith Kessler,61,F PRO,USA,00:49:31,04:44:24,03:09:40,08:48:23,Ironman Arizona,11/20/2016,"Tempe, Arizona, USA"
1,Steve Johnson,704,M 40-44,USA,00:58:42,04:42:55,03:02:09,08:48:51,Ironman Arizona,11/20/2016,"Tempe, Arizona, USA"
24,Doug Maclean,42,M PRO,USA,00:57:59,04:43:13,03:02:50,08:48:53,Ironman Arizona,11/20/2016,"Tempe, Arizona, USA"
25,Yu Hsiao,36,M PRO,TWN,00:56:58,04:38:02,03:09:35,08:49:00,Ironman Arizona,11/20/2016,"Tempe, Arizona, USA"
1,Nathan Miller,693,M 35-39,USA,00:57:45,04:38:50,03:09:31,08:50:53,Ironman Arizona,11/20/2016,"Tempe, Arizona, USA"
2,Yvonne Van Vlerken,67,F PRO,NLD,00:58:04,04:40:40,03:08:43,08:51:27,Ironman Arizona,11/20/2016,"Tempe, Arizona, USA"
26,Jim Lubinski,41,M PRO,USA,01:03:00,04:39:57,03:06:29,08:54:27,Ironman Arizona,11/20/2016,"Tempe, Arizona, USA"
27,Patrick Bless,20,M PRO,DEU,00:55:44,04:52:36,03:02:36,08:55:16,Ironman Arizona,11/20/2016,"Tempe, Arizona, USA"
28,Patrick Brady,22,M PRO,USA,01:04:51,04:37:37,03:07:04,08:55:17,Ironman Arizona,11/20/2016,"Tempe, Arizona, USA"
29,Colin Laughery,39,M PRO,USA,01:02:14,04:36:46,03:10:50,08:55:19,Ironman Arizona,11/20/2016,"Tempe, Arizona, USA"
2,Daniel Zamora,687,M 30-34,USA,01:09:07,04:41:36,03:00:04,08:55:31,Ironman Arizona,11/20/2016,"Tempe, Arizona, USA"
30,Benson Hall,32,M PRO,USA,00:55:41,04:30:18,03:25:33,08:56:05,Ironman Arizona,11/20/2016,"Tempe, Arizona, USA"
3,Reid Foster,674,M 30-34,USA,00:56:52,04:45:12,03:09:21,08:56:47,Ironman Arizona,11/20/2016,"Tempe, Arizona, USA"
3,Malindi Elmore,75,F PRO,CAN,01:01:01,04:51:06,03:00:52,08:57:22,Ironman Arizona,11/20/2016,"Tempe, Arizona, USA"
31,Matthew Shanks,47,M PRO,USA,01:00:01,04:47:15,03:06:09,08:57:42,Ironman Arizona,11/20/2016,"Tempe, Arizona, USA"
