Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,Race,Date,Location
1,Cameron Wurf,2,MPRO,Australia,00:49:09,04:22:53,02:50:19,08:06:17,Ironman Australia,05/05/2019,"Port Macquarie, Australia"
2,Tim Reed,1,MPRO,Australia,00:44:53,04:36:39,02:44:30,08:09:51,Ironman Australia,05/05/2019,"Port Macquarie, Australia"
3,Denis Chevrot,5,MPRO,France,00:44:45,04:36:59,02:50:54,08:16:05,Ironman Australia,05/05/2019,"Port Macquarie, Australia"
4,Mark Bowstead,3,MPRO,New Zealand,00:44:47,04:36:03,03:04:42,08:29:21,Ironman Australia,05/05/2019,"Port Macquarie, Australia"
5,Clayton Fettell,6,MPRO,Australia,00:44:46,04:36:48,03:07:46,08:32:53,Ironman Australia,05/05/2019,"Port Macquarie, Australia"
6,Lucas Amirault,12,MPRO,France,00:49:05,04:55:37,03:02:14,08:51:12,Ironman Australia,05/05/2019,"Port Macquarie, Australia"
1,Benjamin Bell,274,M40-44,Australia,00:52:40,05:06:14,02:56:39,08:59:03,Ironman Australia,05/05/2019,"Port Macquarie, Australia"
1,Ryan Miller,112,M35-39,Australia,00:54:48,04:57:27,03:03:20,08:59:57,Ironman Australia,05/05/2019,"Port Macquarie, Australia"
7,Clint Kimmins,10,MPRO,Australia,00:49:03,04:56:15,03:12:36,09:03:16,Ironman Australia,05/05/2019,"Port Macquarie, Australia"
2,Rhys Lawler,610,M35-39,Australia,00:54:59,05:00:18,03:03:59,09:04:25,Ironman Australia,05/05/2019,"Port Macquarie, Australia"
8,Matt Franklin,11,MPRO,New Zealand,00:44:44,04:44:58,03:37:40,09:11:39,Ironman Australia,05/05/2019,"Port Macquarie, Australia"
1,Laura Siddall,20,FPRO,United Kingdom,00:55:56,04:58:56,03:13:09,09:11:59,Ironman Australia,05/05/2019,"Port Macquarie, Australia"
1,Nathan Taylor,130,M45-49,Australia,00:51:29,04:56:43,03:21:14,09:13:17,Ironman Australia,05/05/2019,"Port Macquarie, Australia"
9,James Davy,14,MPRO,Australia,00:44:49,05:18:51,03:05:43,09:13:19,Ironman Australia,05/05/2019,"Port Macquarie, Australia"
1,Josh McCormack,419,M25-29,Australia,00:51:43,05:06:13,03:12:17,09:15:02,Ironman Australia,05/05/2019,"Port Macquarie, Australia"
2,Caroline Steffen,21,FPRO,Switzerland,00:49:33,05:06:01,03:17:45,09:17:29,Ironman Australia,05/05/2019,"Port Macquarie, Australia"
1,Clint Rowlings,109,M30-34,Australia,00:49:36,05:08:59,03:14:01,09:17:33,Ironman Australia,05/05/2019,"Port Macquarie, Australia"
3,Jacob Riley,164,M35-39,Australia,00:58:19,04:55:27,03:19:34,09:18:05,Ironman Australia,05/05/2019,"Port Macquarie, Australia"
4,Josh Bignell,549,M35-39,Australia,00:55:08,05:06:41,03:12:12,09:18:13,Ironman Australia,05/05/2019,"Port Macquarie, Australia"
2,Michael Whitehouse,872,M40-44,Australia,00:53:48,05:08:17,03:10:27,09:18:25,Ironman Australia,05/05/2019,"Port Macquarie, Australia"
2,Mitchell Scott,350,M25-29,Australia,00:51:52,05:07:11,03:16:11,09:19:10,Ironman Australia,05/05/2019,"Port Macquarie, Australia"
3,Kelsey Withrow,23,FPRO,United States,00:49:28,05:13:37,03:11:07,09:19:11,Ironman Australia,05/05/2019,"Port Macquarie, Australia"
2,Tom Mort,108,M30-34,Australia,00:52:06,05:10:56,03:11:06,09:19:14,Ironman Australia,05/05/2019,"Port Macquarie, Australia"
3,Shaine Webber,1356,M30-34,South Africa,00:50:32,05:07:08,03:16:30,09:20:16,Ironman Australia,05/05/2019,"Port Macquarie, Australia"
3,Nathan Jackson,786,M40-44,Australia,00:54:02,05:02:51,03:18:33,09:20:46,Ironman Australia,05/05/2019,"Port Macquarie, Australia"
4,Daniel Beby,171,M40-44,Australia,00:54:54,05:12:22,03:10:26,09:22:56,Ironman Australia,05/05/2019,"Port Macquarie, Australia"
2,John Hughes,129,M45-49,Australia,01:00:20,05:07:27,03:10:12,09:23:15,Ironman Australia,05/05/2019,"Port Macquarie, Australia"
3,Trent Harlow,976,M45-49,Australia,01:03:15,05:11:07,03:00:26,09:23:24,Ironman Australia,05/05/2019,"Port Macquarie, Australia"
5,Sam Dowthwaite,754,M40-44,Australia,00:56:17,05:04:08,03:19:11,09:25:14,Ironman Australia,05/05/2019,"Port Macquarie, Australia"
4,Rowan Walker,203,M45-49,Australia,01:02:27,05:18:42,02:59:14,09:26:06,Ironman Australia,05/05/2019,"Port Macquarie, Australia"
5,Martin Falk,111,M35-39,Germany,00:57:27,04:59:53,03:24:02,09:26:34,Ironman Australia,05/05/2019,"Port Macquarie, Australia"
6,Adam Williams,878,M40-44,Australia,00:53:36,04:55:18,03:31:45,09:26:44,Ironman Australia,05/05/2019,"Port Macquarie, Australia"
4,Melanie Burke,22,FPRO,New Zealand,00:59:40,05:08:19,03:14:27,09:26:55,Ironman Australia,05/05/2019,"Port Macquarie, Australia"
3,Chris Beckmans,243,M25-29,Australia,00:55:58,05:16:59,03:10:57,09:29:15,Ironman Australia,05/05/2019,"Port Macquarie, Australia"
4,Guillermo Garcia,104,M30-34,Argentina,00:54:21,05:09:22,03:24:16,09:32:23,Ironman Australia,05/05/2019,"Port Macquarie, Australia"
5,Mitch Baker,103,M30-34,Australia,00:58:17,05:04:06,03:25:41,09:33:06,Ironman Australia,05/05/2019,"Port Macquarie, Australia"
4,Nick Foster,101,M25-29,Australia,01:03:20,05:07:14,03:18:00,09:34:24,Ironman Australia,05/05/2019,"Port Macquarie, Australia"
7,Scott Donaldson,172,M40-44,Australia,00:52:30,05:13:16,03:23:36,09:34:44,Ironman Australia,05/05/2019,"Port Macquarie, Australia"
6,Craig Alers,102,M30-34,South Africa,00:54:28,05:10:44,03:26:34,09:36:17,Ironman Australia,05/05/2019,"Port Macquarie, Australia"
8,Wayne Harding,772,M40-44,Australia,00:49:59,05:04:02,03:36:21,09:36:32,Ironman Australia,05/05/2019,"Port Macquarie, Australia"
5,Rob Shield,201,M45-49,Australia,00:54:24,05:20:31,03:18:48,09:39:20,Ironman Australia,05/05/2019,"Port Macquarie, Australia"
7,Nick Gilbert,476,M30-34,Australia,00:56:09,05:09:35,03:26:14,09:39:26,Ironman Australia,05/05/2019,"Port Macquarie, Australia"
9,Stephane Vander Bruggen,1364,M40-44,Belgium,00:56:10,05:10:08,03:27:47,09:39:27,Ironman Australia,05/05/2019,"Port Macquarie, Australia"
8,Esteban Gimenez Zapiola,105,M30-34,Argentina,00:53:51,05:05:42,03:38:38,09:42:53,Ironman Australia,05/05/2019,"Port Macquarie, Australia"
6,Todd Hawkins,128,M45-49,United States,00:51:03,05:12:06,03:33:35,09:43:05,Ironman Australia,05/05/2019,"Port Macquarie, Australia"
10,Craig Robinson,833,M40-44,Australia,00:56:46,05:24:06,03:18:32,09:45:55,Ironman Australia,05/05/2019,"Port Macquarie, Australia"
7,Damian Gillard,298,M45-49,Australia,00:54:35,05:23:35,03:24:08,09:47:29,Ironman Australia,05/05/2019,"Port Macquarie, Australia"
6,Craig Wilson,673,M35-39,Australia,01:00:52,05:16:26,03:25:05,09:47:32,Ironman Australia,05/05/2019,"Port Macquarie, Australia"
1,Craig McGuigan,1192,M50-54,Australia,00:49:28,05:19:12,03:33:54,09:47:42,Ironman Australia,05/05/2019,"Port Macquarie, Australia"
8,Leighton Rogan,1050,M45-49,Australia,00:54:51,05:18:21,03:31:30,09:50:27,Ironman Australia,05/05/2019,"Port Macquarie, Australia"
9,Dane Roberts,250,M30-34,Australia,00:49:17,05:18:06,03:38:09,09:50:34,Ironman Australia,05/05/2019,"Port Macquarie, Australia"
5,Joshua Murphy,146,M25-29,Australia,00:58:38,05:22:35,03:24:26,09:51:00,Ironman Australia,05/05/2019,"Port Macquarie, Australia"
10,Edouard Picherit,153,M30-34,Australia,00:59:09,05:08:49,03:38:38,09:51:37,Ironman Australia,05/05/2019,"Port Macquarie, Australia"
11,Darren Crowther,749,M40-44,Australia,01:00:18,05:19:20,03:25:54,09:51:56,Ironman Australia,05/05/2019,"Port Macquarie, Australia"
12,Travis How,177,M40-44,Australia,00:57:59,05:19:19,03:29:32,09:52:09,Ironman Australia,05/05/2019,"Port Macquarie, Australia"
9,Marcus Smith,13336,M45-49,Australia,00:57:50,05:02:19,03:45:28,09:52:39,Ironman Australia,05/05/2019,"Port Macquarie, Australia"
11,Mark Dawson,151,M30-34,Australia,01:01:26,05:23:42,03:22:06,09:53:05,Ironman Australia,05/05/2019,"Port Macquarie, Australia"
7,Kyle Mooney,625,M35-39,Australia,00:51:09,05:10:30,03:47:08,09:53:32,Ironman Australia,05/05/2019,"Port Macquarie, Australia"
2,Gregory Burford,11299,M50-54,Australia,01:02:30,05:22:56,03:24:05,09:53:58,Ironman Australia,05/05/2019,"Port Macquarie, Australia"
3,Mark Gleeson,137,M50-54,Australia,00:57:18,05:12:54,03:38:58,09:55:17,Ironman Australia,05/05/2019,"Port Macquarie, Australia"
13,Greg Bain,718,M40-44,Australia,01:02:25,05:15:57,03:30:50,09:56:30,Ironman Australia,05/05/2019,"Port Macquarie, Australia"
8,Joel Armitage,543,M35-39,Australia,00:55:35,05:17:26,03:37:52,09:58:16,Ironman Australia,05/05/2019,"Port Macquarie, Australia"
14,Carlos Barria,118,M40-44,Argentina,00:55:00,05:22:25,03:36:43,09:59:57,Ironman Australia,05/05/2019,"Port Macquarie, Australia"
15,John Robertson,121,M40-44,Australia,01:04:31,05:08:59,03:39:52,10:00:26,Ironman Australia,05/05/2019,"Port Macquarie, Australia"
16,Guy C Pilkington,827,M40-44,Australia,00:57:40,05:03:44,03:51:24,10:00:35,Ironman Australia,05/05/2019,"Port Macquarie, Australia"
10,James Lambert,999,M45-49,Australia,00:56:13,05:24:59,03:33:48,10:00:49,Ironman Australia,05/05/2019,"Port Macquarie, Australia"
6,Dónal McGoldrick,420,M25-29,Ireland,00:56:41,05:37:43,03:22:59,10:01:59,Ironman Australia,05/05/2019,"Port Macquarie, Australia"
12,Ben Farley,469,M30-34,Australia,00:55:09,05:26:01,03:35:15,10:02:12,Ironman Australia,05/05/2019,"Port Macquarie, Australia"
4,Darren Farlow,13281,M50-54,Australia,00:56:01,05:18:05,03:42:00,10:02:31,Ironman Australia,05/05/2019,"Port Macquarie, Australia"
7,Sean Dunleavy,406,M25-29,Australia,00:54:14,05:37:38,03:24:38,10:02:48,Ironman Australia,05/05/2019,"Port Macquarie, Australia"
