Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,Race,Date,Location
1,David Dellow,3,M PRO,AUS,00:49:13,04:34:31,02:47:41,08:15:36,Ironman Australia,05/07/2017,"Port Macquarie, Australia"
2,Timothy James Reed,1,M PRO,AUS,00:49:11,04:34:33,02:54:42,08:22:43,Ironman Australia,05/07/2017,"Port Macquarie, Australia"
3,Clayton Fettell,4,M PRO,AUS,00:45:19,04:30:40,03:10:26,08:30:03,Ironman Australia,05/07/2017,"Port Macquarie, Australia"
4,Michael Fox,5,M PRO,AUS,00:45:23,04:46:25,02:57:02,08:32:15,Ironman Australia,05/07/2017,"Port Macquarie, Australia"
5,Chris Mcdonald,6,M PRO,AUS,00:50:22,04:44:27,02:57:21,08:35:54,Ironman Australia,05/07/2017,"Port Macquarie, Australia"
6,Paul Ambrose,2,M PRO,AUS,00:49:08,04:43:25,03:10:42,08:47:03,Ironman Australia,05/07/2017,"Port Macquarie, Australia"
1,Benjamin Bell,111,M 40-44,AUS,00:54:39,05:08:12,03:01:38,09:08:21,Ironman Australia,05/07/2017,"Port Macquarie, Australia"
1,Paul Davies,127,M 35-39,NZL,00:58:02,04:53:02,03:14:18,09:10:47,Ironman Australia,05/07/2017,"Port Macquarie, Australia"
1,Nathan Groch,79,M 30-34,AUS,00:56:06,04:55:45,03:13:53,09:11:25,Ironman Australia,05/07/2017,"Port Macquarie, Australia"
2,Barry Oelofsen,185,M 35-39,ZAF,00:52:19,04:57:05,03:16:36,09:11:45,Ironman Australia,05/07/2017,"Port Macquarie, Australia"
1,Laura Siddall,21,F PRO,GBR,00:56:34,05:03:14,03:13:05,09:16:39,Ironman Australia,05/07/2017,"Port Macquarie, Australia"
2,Dean Callaghan,239,M 30-34,AUS,00:52:12,04:59:05,03:23:05,09:19:34,Ironman Australia,05/07/2017,"Port Macquarie, Australia"
3,Sean Richardson,94,M 30-34,AUS,00:57:33,05:02:49,03:13:49,09:20:11,Ironman Australia,05/07/2017,"Port Macquarie, Australia"
4,Scott Connolly,120,M 30-34,AUS,00:58:10,05:03:23,03:15:10,09:21:27,Ironman Australia,05/07/2017,"Port Macquarie, Australia"
3,Jay Thomas,248,M 35-39,AUS,00:54:39,05:07:35,03:15:03,09:22:26,Ironman Australia,05/07/2017,"Port Macquarie, Australia"
4,Hayden Smith,589,M 35-39,AUS,00:49:01,05:13:14,03:15:38,09:23:29,Ironman Australia,05/07/2017,"Port Macquarie, Australia"
7,Nathan Shearer,13,M PRO,AUS,00:55:28,05:11:17,03:15:43,09:26:24,Ironman Australia,05/07/2017,"Port Macquarie, Australia"
1,Tom Mort,379,M 25-29,AUS,00:55:44,05:10:27,03:16:27,09:27:22,Ironman Australia,05/07/2017,"Port Macquarie, Australia"
5,Leigh Chapman,327,M 35-39,AUS,00:50:55,05:06:38,03:26:48,09:28:35,Ironman Australia,05/07/2017,"Port Macquarie, Australia"
5,Rhys Clarke,117,M 30-34,AUS,00:53:15,05:07:57,03:22:26,09:28:37,Ironman Australia,05/07/2017,"Port Macquarie, Australia"
6,Ryan Miller,87,M 35-39,AUS,01:00:03,05:06:38,03:18:13,09:29:05,Ironman Australia,05/07/2017,"Port Macquarie, Australia"
7,Scott Hobson,156,M 35-39,AUS,00:49:05,05:04:48,03:31:03,09:29:41,Ironman Australia,05/07/2017,"Port Macquarie, Australia"
1,Craig Mcguigan,86,M 45-49,AUS,00:52:21,05:04:43,03:29:48,09:31:13,Ironman Australia,05/07/2017,"Port Macquarie, Australia"
6,Clint Rowlings,198,M 30-34,AUS,00:53:50,05:07:41,03:23:57,09:31:30,Ironman Australia,05/07/2017,"Port Macquarie, Australia"
7,Chris Breheny,1162,M 30-34,AUS,00:56:06,05:17:22,03:12:42,09:31:45,Ironman Australia,05/07/2017,"Port Macquarie, Australia"
8,Marc Rawlings,196,M 35-39,AUS,00:59:57,05:07:09,03:22:17,09:33:49,Ironman Australia,05/07/2017,"Port Macquarie, Australia"
9,Michael Whitehouse,605,M 35-39,AUS,00:57:19,05:07:20,03:25:27,09:35:19,Ironman Australia,05/07/2017,"Port Macquarie, Australia"
2,Samuel Beveridge,1160,M 25-29,AUS,00:58:09,05:05:11,03:26:36,09:36:20,Ironman Australia,05/07/2017,"Port Macquarie, Australia"
2,Brad Pamp,187,M 45-49,AUS,00:54:22,05:11:52,03:24:16,09:36:59,Ironman Australia,05/07/2017,"Port Macquarie, Australia"
2,Nicholas Gill,278,M 40-44,NZL,01:00:02,05:00:10,03:33:00,09:38:36,Ironman Australia,05/07/2017,"Port Macquarie, Australia"
10,Matthew Knox,294,M 35-39,AUS,00:56:13,05:11:01,03:25:19,09:39:14,Ironman Australia,05/07/2017,"Port Macquarie, Australia"
11,Scott Donaldson,262,M 35-39,AUS,00:55:33,05:13:06,03:25:01,09:39:15,Ironman Australia,05/07/2017,"Port Macquarie, Australia"
3,John Hughes,82,M 45-49,AUS,01:04:50,05:20:22,03:08:33,09:39:24,Ironman Australia,05/07/2017,"Port Macquarie, Australia"
8,Brett Weick,105,M 30-34,AUS,00:55:49,05:16:58,03:22:20,09:40:50,Ironman Australia,05/07/2017,"Port Macquarie, Australia"
