Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,Race,Date,Location
1,Florian Angert,65,M PRO,GER,00:45:56,04:06:12,02:48:54,07:45:04,Ironman Barcelona,10/06/2019,"Calella, Spain"
2,Frederik Van Lierde,1,M PRO,BEL,00:46:43,04:12:31,02:49:58,07:53:25,Ironman Barcelona,10/06/2019,"Calella, Spain"
3,Nicholas Kastelein,2,M PRO,AUS,00:45:59,04:13:27,02:53:52,07:57:31,Ironman Barcelona,10/06/2019,"Calella, Spain"
4,Elliot Smales,27,M PRO,GBR,00:46:02,04:26:58,02:43:58,08:01:22,Ironman Barcelona,10/06/2019,"Calella, Spain"
5,Miquel Blanchart Tinto,4,M PRO,ESP,00:50:40,04:24:50,02:42:38,08:02:43,Ironman Barcelona,10/06/2019,"Calella, Spain"
6,Sébastien Fraysse,66,M PRO,FRA,00:45:57,04:13:21,03:01:24,08:05:15,Ironman Barcelona,10/06/2019,"Calella, Spain"
7,Sam Laidlow,33,M PRO,FRA,00:46:40,04:19:24,02:55:08,08:05:40,Ironman Barcelona,10/06/2019,"Calella, Spain"
8,Robert Wilkowiecki,57,M PRO,POL,00:46:46,04:28:31,02:46:25,08:06:44,Ironman Barcelona,10/06/2019,"Calella, Spain"
9,Stenn Goetstouwers,44,M PRO,BEL,00:46:54,04:19:10,02:56:55,08:07:53,Ironman Barcelona,10/06/2019,"Calella, Spain"
10,Sebastian Najmowicz,19,M PRO,POL,00:46:48,04:24:38,02:55:10,08:10:53,Ironman Barcelona,10/06/2019,"Calella, Spain"
11,Sam Pictor,23,M PRO,GBR,00:51:58,04:23:02,02:52:57,08:12:59,Ironman Barcelona,10/06/2019,"Calella, Spain"
12,Allan Hovda,38,M PRO,NOR,00:51:57,04:23:18,02:53:18,08:13:20,Ironman Barcelona,10/06/2019,"Calella, Spain"
13,Anton Blokhin,37,M PRO,UKR,00:48:51,04:26:35,02:54:03,08:13:55,Ironman Barcelona,10/06/2019,"Calella, Spain"
14,Markus Hörmann,39,M PRO,GER,00:51:54,04:22:52,02:55:38,08:15:23,Ironman Barcelona,10/06/2019,"Calella, Spain"
15,Mikkel Mortensen,18,M PRO,DEN,00:51:52,04:28:06,02:50:27,08:15:41,Ironman Barcelona,10/06/2019,"Calella, Spain"
16,Daniel Niederreiter,21,M PRO,AUT,00:50:37,04:24:15,03:00:42,08:20:56,Ironman Barcelona,10/06/2019,"Calella, Spain"
17,Rasmus Svenningsson,28,M PRO,SWE,00:51:47,04:23:23,03:04:31,08:25:25,Ironman Barcelona,10/06/2019,"Calella, Spain"
1,Evgrafov Roman,270,M 35,RUS,00:50:07,04:34:42,02:56:38,08:27:56,Ironman Barcelona,10/06/2019,"Calella, Spain"
2,Sylvain Denis,1542,M 35,BEL,01:05:42,04:21:57,02:53:42,08:28:04,Ironman Barcelona,10/06/2019,"Calella, Spain"
1,Edgars Cimermanis,456,M 30,LAT,01:00:02,04:34:55,02:48:38,08:30:04,Ironman Barcelona,10/06/2019,"Calella, Spain"
18,Andreas Borch,13,M PRO,DEN,00:48:53,04:26:37,03:10:49,08:30:55,Ironman Barcelona,10/06/2019,"Calella, Spain"
19,Lucas Amirault,55,M PRO,FRA,00:50:41,04:24:20,03:11:33,08:31:39,Ironman Barcelona,10/06/2019,"Calella, Spain"
3,Egoitz Zalakain,1868,M 35,ESP,00:53:42,04:28:59,03:03:40,08:32:47,Ironman Barcelona,10/06/2019,"Calella, Spain"
1,Sara Svensk,71,F PRO,SWE,00:56:14,04:36:49,02:56:09,08:34:09,Ironman Barcelona,10/06/2019,"Calella, Spain"
20,Nacho Villaruel,32,M PRO,ARG,00:50:39,04:40:55,02:57:37,08:35:01,Ironman Barcelona,10/06/2019,"Calella, Spain"
21,Adam Kacper,61,M PRO,POL,00:50:41,04:24:05,03:14:06,08:35:16,Ironman Barcelona,10/06/2019,"Calella, Spain"
22,Bert Verbeke,15,M PRO,BEL,00:51:47,04:28:33,03:10:02,08:35:47,Ironman Barcelona,10/06/2019,"Calella, Spain"
23,Jordan Bryden,51,M PRO,CAN,00:50:38,04:24:21,03:15:27,08:35:49,Ironman Barcelona,10/06/2019,"Calella, Spain"
24,Christian Kramer,3,M PRO,GER,00:46:52,04:16:57,03:28:34,08:37:01,Ironman Barcelona,10/06/2019,"Calella, Spain"
