Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,Race,Date,Location
1,David Plese,60,M PRO,SVN,00:50:39,04:25:28,02:43:38,08:02:20,Ironman Barcelona,10/04/2015,"Barcelona, Spain"
2,Anton Blokhin,12,M PRO,UKR,00:47:45,04:19:06,02:56:18,08:05:50,Ironman Barcelona,10/04/2015,"Barcelona, Spain"
3,Per Bittner,6,M PRO,DEU,00:47:44,04:19:28,02:56:37,08:06:23,Ironman Barcelona,10/04/2015,"Barcelona, Spain"
4,Mauro Baertsch,63,M PRO,CHE,00:51:12,04:26:28,02:49:53,08:10:25,Ironman Barcelona,10/04/2015,"Barcelona, Spain"
5,Tim Brydenbach,37,M PRO,BEL,00:47:34,04:23:41,02:56:30,08:10:34,Ironman Barcelona,10/04/2015,"Barcelona, Spain"
6,Marek Jaskolka,10,M PRO,POL,00:47:36,04:30:00,02:54:16,08:14:37,Ironman Barcelona,10/04/2015,"Barcelona, Spain"
7,Dirk Wijnalda,62,M PRO,NLD,00:56:59,04:26:04,02:48:37,08:14:51,Ironman Barcelona,10/04/2015,"Barcelona, Spain"
8,Sergio Marques,4,M PRO,PRT,00:54:51,04:28:19,02:49:31,08:15:28,Ironman Barcelona,10/04/2015,"Barcelona, Spain"
9,Michael Ruenz,20,M PRO,DEU,00:56:55,04:22:34,02:52:49,08:15:36,Ironman Barcelona,10/04/2015,"Barcelona, Spain"
10,Xavier Torrades,100,M PRO,ESP,00:50:26,04:27:10,03:00:30,08:20:45,Ironman Barcelona,10/04/2015,"Barcelona, Spain"
11,Josep Viã±olas,58,M PRO,ESP,00:56:29,04:26:39,02:56:38,08:22:51,Ironman Barcelona,10/04/2015,"Barcelona, Spain"
12,Andreas Niedrig,99,M PRO,DEU,00:47:46,04:17:46,03:14:59,08:23:28,Ironman Barcelona,10/04/2015,"Barcelona, Spain"
13,Jens Frommhold,49,M PRO,DEU,00:56:58,04:26:37,02:57:28,08:23:43,Ironman Barcelona,10/04/2015,"Barcelona, Spain"
14,Mikita Hryhoryeu,54,M PRO,BLR,00:50:43,04:32:45,02:57:32,08:23:48,Ironman Barcelona,10/04/2015,"Barcelona, Spain"
15,Roman Deisenhofer,44,M PRO,DEU,00:53:15,04:27:06,03:02:07,08:24:57,Ironman Barcelona,10/04/2015,"Barcelona, Spain"
16,Petr Vabrousek,98,M PRO,CZE,00:56:41,04:26:44,03:01:13,08:27:35,Ironman Barcelona,10/04/2015,"Barcelona, Spain"
17,Denis Sketako,15,M PRO,SVN,00:56:45,04:24:38,03:03:43,08:27:50,Ironman Barcelona,10/04/2015,"Barcelona, Spain"
18,Mikolaj Luft,61,M PRO,POL,00:50:02,04:27:09,03:07:52,08:28:09,Ironman Barcelona,10/04/2015,"Barcelona, Spain"
19,Oliver Simon,16,M PRO,GBR,00:47:32,04:24:34,03:19:28,08:34:17,Ironman Barcelona,10/04/2015,"Barcelona, Spain"
20,Allan Hovda,53,M PRO,NOR,01:03:30,04:30:32,02:59:17,08:36:08,Ironman Barcelona,10/04/2015,"Barcelona, Spain"
21,Hannes Cool,41,M PRO,BEL,00:47:42,04:23:39,03:27:00,08:41:09,Ironman Barcelona,10/04/2015,"Barcelona, Spain"
22,Bryan Mccrystal,24,M PRO,IRL,01:02:47,04:17:11,03:18:30,08:41:29,Ironman Barcelona,10/04/2015,"Barcelona, Spain"
1,Thibault Clement,146,M 30-34,FRA,00:59:28,04:37:54,03:00:35,08:43:08,Ironman Barcelona,10/04/2015,"Barcelona, Spain"
1,Kristian Quintans Dominguez,139,M 25-29,ESP,00:57:33,04:34:24,03:07:45,08:43:24,Ironman Barcelona,10/04/2015,"Barcelona, Spain"
23,Luca De Paolis,43,M PRO,ITA,01:00:05,04:33:36,03:08:10,08:45:51,Ironman Barcelona,10/04/2015,"Barcelona, Spain"
1,Christian Malmstrom,1255,M 35-39,SWE,01:00:52,04:37:26,03:04:58,08:46:30,Ironman Barcelona,10/04/2015,"Barcelona, Spain"
1,Yvonne Van Vlerken,71,F PRO,NLD,00:59:57,04:41:28,03:02:48,08:46:44,Ironman Barcelona,10/04/2015,"Barcelona, Spain"
24,Emanuele Ciotti,40,M PRO,ITA,00:50:47,04:37:58,03:15:33,08:47:54,Ironman Barcelona,10/04/2015,"Barcelona, Spain"
2,Boris Fluher,152,M 30-34,SVN,00:58:01,04:39:21,03:06:54,08:48:25,Ironman Barcelona,10/04/2015,"Barcelona, Spain"
2,Kaisa Sali,84,F PRO,FIN,00:53:22,04:46:41,03:05:34,08:48:40,Ironman Barcelona,10/04/2015,"Barcelona, Spain"
2,Stefan Leitner,202,M 35-39,AUT,00:57:41,04:39:51,03:08:14,08:49:13,Ironman Barcelona,10/04/2015,"Barcelona, Spain"
3,Ilkka Utriainen,173,M 30-34,FIN,00:54:37,04:47:07,03:03:44,08:49:42,Ironman Barcelona,10/04/2015,"Barcelona, Spain"
1,David Procházka,277,M 40-44,CZE,00:58:28,04:39:09,03:09:06,08:50:10,Ironman Barcelona,10/04/2015,"Barcelona, Spain"
2,Jesper Clausen,1487,M 40-44,DNK,00:53:43,04:40:56,03:11:46,08:50:16,Ironman Barcelona,10/04/2015,"Barcelona, Spain"
3,Pablo Erat,1539,M 40-44,CHE,00:53:39,04:35:20,03:17:59,08:50:31,Ironman Barcelona,10/04/2015,"Barcelona, Spain"
4,Eamon Mcandrew,266,M 40-44,IRL,00:59:15,04:39:52,03:07:27,08:50:52,Ironman Barcelona,10/04/2015,"Barcelona, Spain"
4,Andraz Rojnik,169,M 30-34,SVN,00:57:47,04:38:00,03:10:17,08:51:20,Ironman Barcelona,10/04/2015,"Barcelona, Spain"
3,Andreas Trimmel,224,M 35-39,AUT,00:58:35,04:48:54,03:00:28,08:51:38,Ironman Barcelona,10/04/2015,"Barcelona, Spain"
