Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,Race,Date,Location
1,Matt Hanson,1,MPRO,USA,00:54:00,04:09:18,02:48:35,07:57:03,Ironman Boulder,06/09/2019,"Boulder, Colorado, USA"
2,Kennett Peterson,17,MPRO,USA,00:54:11,04:07:59,02:54:52,08:01:34,Ironman Boulder,06/09/2019,"Boulder, Colorado, USA"
3,Timothy O'Donnell,2,MPRO,USA,00:49:45,04:09:22,03:05:33,08:09:37,Ironman Boulder,06/09/2019,"Boulder, Colorado, USA"
4,Tripp Hipple,11,MPRO,USA,00:54:16,04:15:42,03:02:04,08:17:41,Ironman Boulder,06/09/2019,"Boulder, Colorado, USA"
5,Sam Long,3,MPRO,USA,00:54:08,04:08:44,03:12:53,08:19:54,Ironman Boulder,06/09/2019,"Boulder, Colorado, USA"
6,Justin Daerr,6,MPRO,USA,00:54:05,04:24:22,03:02:30,08:26:21,Ironman Boulder,06/09/2019,"Boulder, Colorado, USA"
7,Tyler Butterfield,5,MPRO,BMU,00:54:08,04:22:46,03:18:20,08:41:36,Ironman Boulder,06/09/2019,"Boulder, Colorado, USA"
8,Pedro Gomes,10,MPRO,PRT,00:54:03,04:35:12,03:09:39,08:44:07,Ironman Boulder,06/09/2019,"Boulder, Colorado, USA"
9,Jeremy Jurkiewicz,12,MPRO,FRA,00:49:47,04:42:17,03:11:56,08:48:54,Ironman Boulder,06/09/2019,"Boulder, Colorado, USA"
10,Christopher Tommila,19,MPRO,USA,01:01:56,04:36:59,03:07:51,08:53:02,Ironman Boulder,06/09/2019,"Boulder, Colorado, USA"
11,Colin Laughery,15,MPRO,USA,00:59:34,04:35:02,03:11:59,08:53:52,Ironman Boulder,06/09/2019,"Boulder, Colorado, USA"
1,Timon Fish,347,M30-34,USA,01:01:36,04:25:29,03:20:50,08:55:51,Ironman Boulder,06/09/2019,"Boulder, Colorado, USA"
1,Mike Schifferle,1207,M45-49,CHE,01:03:00,04:33:16,03:13:02,08:59:35,Ironman Boulder,06/09/2019,"Boulder, Colorado, USA"
1,Sam Gyde,173,M40-44,BEL,01:08:26,04:31:32,03:16:18,09:03:36,Ironman Boulder,06/09/2019,"Boulder, Colorado, USA"
2,Edward Schmitt,1426,M30-34,USA,01:02:43,04:38:00,03:20:29,09:07:22,Ironman Boulder,06/09/2019,"Boulder, Colorado, USA"
1,Lauren Brandon,25,FPRO,USA,00:48:42,04:38:05,03:36:33,09:09:08,Ironman Boulder,06/09/2019,"Boulder, Colorado, USA"
1,Jacob Barnes,338,M25-29,USA,01:03:14,04:46:22,03:16:20,09:12:35,Ironman Boulder,06/09/2019,"Boulder, Colorado, USA"
2,David Born,151,M25-29,USA,00:58:43,04:24:40,03:50:44,09:19:48,Ironman Boulder,06/09/2019,"Boulder, Colorado, USA"
1,James O'Sullivan,170,M35-39,GBR,00:59:16,04:47:03,03:30:25,09:23:34,Ironman Boulder,06/09/2019,"Boulder, Colorado, USA"
3,Aaron Acuna,819,M30-34,USA,00:56:20,04:55:59,03:24:59,09:25:10,Ironman Boulder,06/09/2019,"Boulder, Colorado, USA"
2,Lesley Smith,26,FPRO,USA,00:55:49,05:08:37,03:11:56,09:26:12,Ironman Boulder,06/09/2019,"Boulder, Colorado, USA"
2,Dave Sek,1099,M40-44,USA,00:59:04,04:56:40,03:25:48,09:28:33,Ironman Boulder,06/09/2019,"Boulder, Colorado, USA"
3,Danielle Mack,27,FPRO,USA,01:04:49,04:55:12,03:26:07,09:32:08,Ironman Boulder,06/09/2019,"Boulder, Colorado, USA"
3,Brendan Barclay,749,M25-29,USA,00:57:39,04:48:58,03:32:42,09:33:00,Ironman Boulder,06/09/2019,"Boulder, Colorado, USA"
1,Jeff Fieldhack,185,M50-54,USA,01:01:33,05:02:31,03:20:55,09:33:48,Ironman Boulder,06/09/2019,"Boulder, Colorado, USA"
2,Karl Poehls,357,M35-39,USA,01:10:38,04:43:11,03:32:53,09:35:33,Ironman Boulder,06/09/2019,"Boulder, Colorado, USA"
2,Gordon Henderson,180,M45-49,CAN,00:58:54,04:52:34,03:35:47,09:35:36,Ironman Boulder,06/09/2019,"Boulder, Colorado, USA"
1,Maggie Walsh,322,F35-39,USA,00:55:02,05:12:37,03:18:47,09:36:31,Ironman Boulder,06/09/2019,"Boulder, Colorado, USA"
4,Eric Neguelouart,160,M30-34,MEX,01:00:12,04:51:37,03:35:05,09:36:34,Ironman Boulder,06/09/2019,"Boulder, Colorado, USA"
4,John Brenteson,753,M25-29,USA,00:58:34,05:02:40,03:29:13,09:37:24,Ironman Boulder,06/09/2019,"Boulder, Colorado, USA"
3,Benedikt Imbach,167,M35-39,CHE,01:05:35,04:55:21,03:27:25,09:37:31,Ironman Boulder,06/09/2019,"Boulder, Colorado, USA"
5,Felipe Mora,1424,M30-34,COL,01:03:55,04:50:47,03:36:02,09:39:03,Ironman Boulder,06/09/2019,"Boulder, Colorado, USA"
3,Shawn Johnson,1057,M40-44,USA,00:59:37,05:02:38,03:28:36,09:40:58,Ironman Boulder,06/09/2019,"Boulder, Colorado, USA"
