Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,Race,Date,Location
1,Brent Mcmahon,3,M PRO,CAN,00:47:47,04:11:54,02:43:04,07:46:10,Ironman Brazil,05/29/2016,"Florianopolis, Brazil"
2,Tim Don,10,M PRO,GBR,00:47:49,04:22:01,02:50:56,08:04:15,Ironman Brazil,05/29/2016,"Florianopolis, Brazil"
3,Kevin Collington,23,M PRO,USA,00:47:58,04:23:48,02:49:42,08:04:58,Ironman Brazil,05/29/2016,"Florianopolis, Brazil"
4,Paul Matthews,28,M PRO,AUS,00:47:46,04:24:46,02:52:55,08:08:57,Ironman Brazil,05/29/2016,"Florianopolis, Brazil"
5,Pedro Gomes,29,M PRO,PRT,00:54:38,04:29:30,02:48:30,08:16:42,Ironman Brazil,05/29/2016,"Florianopolis, Brazil"
6,Fabio Carvalho,19,M PRO,BRA,00:47:58,04:35:20,02:50:55,08:19:07,Ironman Brazil,05/29/2016,"Florianopolis, Brazil"
7,Ronnie Schildknecht,30,M PRO,CHE,00:55:14,04:28:44,02:51:43,08:19:59,Ironman Brazil,05/29/2016,"Florianopolis, Brazil"
8,Frank Silvesttrin,6,M PRO,BRA,00:51:10,04:33:30,02:51:48,08:20:31,Ironman Brazil,05/29/2016,"Florianopolis, Brazil"
9,Mario De Elias,8,M PRO,ARG,00:51:15,04:33:22,02:53:18,08:21:37,Ironman Brazil,05/29/2016,"Florianopolis, Brazil"
10,Luis Henrique Ohde,24,M PRO,BRA,00:48:21,04:35:50,02:59:18,08:27:32,Ironman Brazil,05/29/2016,"Florianopolis, Brazil"
11,Thiago Vinhal,9,M PRO,BRA,00:47:55,04:36:36,03:01:29,08:31:20,Ironman Brazil,05/29/2016,"Florianopolis, Brazil"
12,Nicholas Baldwin,27,M PRO,GBR,00:54:37,04:29:37,03:09:06,08:38:31,Ironman Brazil,05/29/2016,"Florianopolis, Brazil"
13,Fellipe Santos,21,M PRO,BRA,00:48:47,04:44:56,03:06:32,08:47:59,Ironman Brazil,05/29/2016,"Florianopolis, Brazil"
1,Liz Lyles,64,F PRO,USA,00:56:52,04:48:37,03:04:42,08:54:10,Ironman Brazil,05/29/2016,"Florianopolis, Brazil"
1,Felipe Dayrell Silvestre,849,M 35-39,BRA,00:51:50,04:51:37,03:02:39,08:54:50,Ironman Brazil,05/29/2016,"Florianopolis, Brazil"
2,Cesar Dalquano,705,M 35-39,BRA,00:58:33,04:54:50,02:59:08,08:59:23,Ironman Brazil,05/29/2016,"Florianopolis, Brazil"
3,Jose Lozano,700,M 35-39,BRA,00:56:59,04:53:40,03:01:50,09:00:11,Ironman Brazil,05/29/2016,"Florianopolis, Brazil"
4,Kenny Sousa,874,M 35-39,BRA,01:00:34,04:53:10,03:00:37,09:00:49,Ironman Brazil,05/29/2016,"Florianopolis, Brazil"
5,Arthur Marcondes Ferraz Silva,732,M 35-39,BRA,00:55:08,04:43:57,03:16:45,09:01:07,Ironman Brazil,05/29/2016,"Florianopolis, Brazil"
1,Kid Walter Tlaija,233,M 30-34,BRA,01:02:25,04:50:39,03:04:08,09:01:12,Ironman Brazil,05/29/2016,"Florianopolis, Brazil"
6,Jose Belarmino Souza Filho,884,M 35-39,BRA,00:51:41,04:53:26,03:10:07,09:03:11,Ironman Brazil,05/29/2016,"Florianopolis, Brazil"
1,Jamie Hunt,1308,M 40-44,NZL,00:53:51,04:54:07,03:14:43,09:08:40,Ironman Brazil,05/29/2016,"Florianopolis, Brazil"
2,Mareen Hufe,75,F PRO,DEU,01:01:22,04:51:32,03:11:02,09:09:36,Ironman Brazil,05/29/2016,"Florianopolis, Brazil"
7,Luiz Navas Júnior,932,M 35-39,BRA,00:58:24,04:53:30,03:13:33,09:09:42,Ironman Brazil,05/29/2016,"Florianopolis, Brazil"
14,Brent Mcburney,13,M PRO,USA,01:00:05,04:48:01,03:16:52,09:09:53,Ironman Brazil,05/29/2016,"Florianopolis, Brazil"
1,Pablo Escalas,1681,M 50-54,ARG,00:58:12,04:57:22,03:01:39,09:10:52,Ironman Brazil,05/29/2016,"Florianopolis, Brazil"
2,Rodrigo Lobo,372,M 30-34,BRA,00:53:22,05:04:00,03:08:29,09:12:20,Ironman Brazil,05/29/2016,"Florianopolis, Brazil"
1,Bruno Da Rocha Berger,200,M 25-29,BRA,01:05:26,04:56:25,03:05:54,09:12:24,Ironman Brazil,05/29/2016,"Florianopolis, Brazil"
3,Andrew Lyle,494,M 30-34,USA,01:02:45,04:54:41,03:06:41,09:13:53,Ironman Brazil,05/29/2016,"Florianopolis, Brazil"
15,Diego Serda,17,M PRO,ARG,00:54:42,05:08:12,03:06:55,09:14:00,Ironman Brazil,05/29/2016,"Florianopolis, Brazil"
4,Leandro Leao,311,M 30-34,BRA,00:56:41,05:02:22,03:08:38,09:14:09,Ironman Brazil,05/29/2016,"Florianopolis, Brazil"
1,Pedro Luiz Cerize,1523,M 45-49,BRA,01:03:05,04:53:59,03:11:22,09:15:50,Ironman Brazil,05/29/2016,"Florianopolis, Brazil"
3,Gurutze Frades,66,F PRO,ESP,01:01:26,05:00:36,03:09:31,09:15:52,Ironman Brazil,05/29/2016,"Florianopolis, Brazil"
5,Marc-Antoine Langlois,488,M 30-34,CAN,01:02:30,04:55:01,03:15:21,09:19:47,Ironman Brazil,05/29/2016,"Florianopolis, Brazil"
2,Manzoni Bruno,183,M 25-29,BRA,01:08:39,04:56:44,03:09:06,09:20:16,Ironman Brazil,05/29/2016,"Florianopolis, Brazil"
6,Frederico Bompeixe Bisetto,238,M 30-34,BRA,00:56:33,05:01:04,03:18:50,09:20:18,Ironman Brazil,05/29/2016,"Florianopolis, Brazil"
4,Ariane Monticeli,51,F PRO,BRA,01:01:25,05:09:24,03:03:55,09:21:18,Ironman Brazil,05/29/2016,"Florianopolis, Brazil"
8,Rafael Silva,837,M 35-39,BRA,00:57:32,04:56:58,03:20:25,09:21:19,Ironman Brazil,05/29/2016,"Florianopolis, Brazil"
2,Rangel Rodrigues,1113,M 40-44,BRA,01:05:17,05:01:36,03:07:51,09:21:30,Ironman Brazil,05/29/2016,"Florianopolis, Brazil"
3,Walcyr Bandeira,1292,M 40-44,BRA,00:57:55,04:57:05,03:15:30,09:21:33,Ironman Brazil,05/29/2016,"Florianopolis, Brazil"
7,Samuel Silva,471,M 30-34,BRA,01:05:13,05:12:01,02:57:06,09:22:09,Ironman Brazil,05/29/2016,"Florianopolis, Brazil"
9,Sandro De Felippe Ottoboni,611,M 35-39,BRA,00:58:01,05:07:54,03:08:41,09:23:12,Ironman Brazil,05/29/2016,"Florianopolis, Brazil"
16,Carletto Christian,33,M PRO,ARG,00:59:47,04:56:26,03:19:25,09:23:26,Ironman Brazil,05/29/2016,"Florianopolis, Brazil"
4,Lucas Antonetti,1247,M 40-44,ARG,01:01:20,05:04:17,03:11:54,09:23:54,Ironman Brazil,05/29/2016,"Florianopolis, Brazil"
8,Mikel Calahorra,408,M 30-34,BHR,00:56:29,05:03:25,03:19:36,09:25:47,Ironman Brazil,05/29/2016,"Florianopolis, Brazil"
