Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,Race,Date,Location
1,Braden Currie,1,MPRO,New Zealand,00:47:29,04:29:00,02:44:34,08:04:20,Ironman Cairns,06/09/2019,"Cairns, Queensland, Australia"
2,Tim VAN Berkel,3,MPRO,Australia,00:50:04,04:45:23,02:45:03,08:23:48,Ironman Cairns,06/09/2019,"Cairns, Queensland, Australia"
3,David Dellow,6,MPRO,Australia,00:49:39,04:45:45,02:53:12,08:32:12,Ironman Cairns,06/09/2019,"Cairns, Queensland, Australia"
4,Matt Burton,5,MPRO,Australia,00:52:54,04:32:38,03:10:02,08:39:25,Ironman Cairns,06/09/2019,"Cairns, Queensland, Australia"
1,Teresa Adam,20,FPRO,New Zealand,00:50:12,04:51:49,03:02:57,08:48:34,Ironman Cairns,06/09/2019,"Cairns, Queensland, Australia"
5,Blake Kappler,10,MPRO,Australia,00:51:57,04:43:25,03:10:02,08:49:13,Ironman Cairns,06/09/2019,"Cairns, Queensland, Australia"
1,Christopher Boyle,390,M40-44,Australia,00:51:19,04:48:22,03:08:09,08:53:00,Ironman Cairns,06/09/2019,"Cairns, Queensland, Australia"
2,Sarah Crowley,21,FPRO,Australia,00:51:19,04:50:48,03:08:03,08:53:37,Ironman Cairns,06/09/2019,"Cairns, Queensland, Australia"
3,Kaisa Sali,23,FPRO,Finland,00:56:00,04:54:18,03:00:04,08:53:51,Ironman Cairns,06/09/2019,"Cairns, Queensland, Australia"
4,Kristin Liepold,24,FPRO,Germany,01:05:38,04:58:41,02:54:04,09:02:09,Ironman Cairns,06/09/2019,"Cairns, Queensland, Australia"
6,Jarrod Harvey,12,MPRO,Australia,00:52:34,04:51:44,03:23:56,09:11:35,Ironman Cairns,06/09/2019,"Cairns, Queensland, Australia"
1,Matt Jackson,554,M30-34,Australia,00:54:47,04:59:02,03:13:11,09:11:52,Ironman Cairns,06/09/2019,"Cairns, Queensland, Australia"
5,Els Visser,32,FPRO,Netherlands,00:59:27,04:59:25,03:12:44,09:14:29,Ironman Cairns,06/09/2019,"Cairns, Queensland, Australia"
1,Damien Angus,275,M45-49,Australia,00:55:21,04:58:48,03:16:31,09:15:42,Ironman Cairns,06/09/2019,"Cairns, Queensland, Australia"
2,Nathan S Meade,222,M30-34,Australia,00:59:55,05:00:33,03:13:24,09:19:06,Ironman Cairns,06/09/2019,"Cairns, Queensland, Australia"
2,Mark Oakshott,843,M40-44,Australia,01:09:11,04:58:40,03:08:51,09:21:04,Ironman Cairns,06/09/2019,"Cairns, Queensland, Australia"
1,Cody Allison,620,M35-39,Australia,00:52:09,05:02:20,03:18:59,09:21:04,Ironman Cairns,06/09/2019,"Cairns, Queensland, Australia"
1,Kazuki Kubono,352,M25-29,Japan,00:53:03,05:05:55,03:16:54,09:21:10,Ironman Cairns,06/09/2019,"Cairns, Queensland, Australia"
3,Gary Muller,111,M30-34,South Africa,01:00:36,04:56:56,03:18:58,09:22:50,Ironman Cairns,06/09/2019,"Cairns, Queensland, Australia"
7,Justin Wendemuth,14,MPRO,Australia,01:00:32,04:59:57,03:20:15,09:25:21,Ironman Cairns,06/09/2019,"Cairns, Queensland, Australia"
3,Brian Corff,767,M40-44,United States,00:59:36,04:59:32,03:22:12,09:25:48,Ironman Cairns,06/09/2019,"Cairns, Queensland, Australia"
4,Lorenzo Felici,108,M30-34,Italy,01:02:56,04:57:10,03:21:04,09:26:45,Ironman Cairns,06/09/2019,"Cairns, Queensland, Australia"
2,Mike Roigard,419,M45-49,New Zealand,01:09:07,04:57:26,03:17:07,09:28:44,Ironman Cairns,06/09/2019,"Cairns, Queensland, Australia"
2,Sean Richardson,384,M35-39,Australia,00:57:45,04:59:24,03:26:37,09:29:35,Ironman Cairns,06/09/2019,"Cairns, Queensland, Australia"
3,Kyle Mooney,1378,M35-39,Australia,00:53:16,05:01:23,03:31:49,09:31:03,Ironman Cairns,06/09/2019,"Cairns, Queensland, Australia"
4,Matthew Thompson,126,M35-39,Australia,01:04:37,05:06:46,03:11:44,09:31:07,Ironman Cairns,06/09/2019,"Cairns, Queensland, Australia"
