Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,Race,Date,Location
1,Andy Potts,3,M PRO,USA,00:47:03,04:31:07,02:58:19,08:20:23,Ironman Canada,07/24/2016,"Whistler/Pemberton, BC, Canada"
2,Pedro Gomes,13,M PRO,PRT,00:49:52,04:40:55,02:53:18,08:27:31,Ironman Canada,07/24/2016,"Whistler/Pemberton, BC, Canada"
3,Trevor Wurtele,2,M PRO,CAN,00:49:50,04:41:17,02:55:53,08:30:25,Ironman Canada,07/24/2016,"Whistler/Pemberton, BC, Canada"
4,Justin Daerr,4,M PRO,USA,00:50:25,04:48:07,02:56:16,08:38:12,Ironman Canada,07/24/2016,"Whistler/Pemberton, BC, Canada"
5,Mike Aigroz,14,M PRO,CHE,00:50:05,04:42:51,03:04:01,08:40:24,Ironman Canada,07/24/2016,"Whistler/Pemberton, BC, Canada"
6,Elliot Holtham,12,M PRO,CAN,00:50:08,04:48:51,03:04:10,08:46:48,Ironman Canada,07/24/2016,"Whistler/Pemberton, BC, Canada"
7,Derek Garcia,19,M PRO,USA,00:52:47,04:44:40,03:10:25,08:51:10,Ironman Canada,07/24/2016,"Whistler/Pemberton, BC, Canada"
8,Maik Twelsiek,6,M PRO,DEU,00:50:07,04:44:00,03:24:32,09:02:22,Ironman Canada,07/24/2016,"Whistler/Pemberton, BC, Canada"
9,Dylan Gleeson,20,M PRO,CAN,00:54:30,04:49:47,03:15:22,09:02:51,Ironman Canada,07/24/2016,"Whistler/Pemberton, BC, Canada"
1,Scott Cooper,185,M 25-29,CAN,00:59:00,04:54:08,03:06:31,09:05:12,Ironman Canada,07/24/2016,"Whistler/Pemberton, BC, Canada"
10,Andrew Langfield,22,M PRO,USA,00:55:07,05:00:39,03:04:51,09:06:14,Ironman Canada,07/24/2016,"Whistler/Pemberton, BC, Canada"
2,Tim Rea,117,M 25-29,AUS,00:54:38,05:01:02,03:19:45,09:20:46,Ironman Canada,07/24/2016,"Whistler/Pemberton, BC, Canada"
1,Matthew Malone,124,M 30-34,USA,00:55:24,05:13:45,03:12:37,09:26:29,Ironman Canada,07/24/2016,"Whistler/Pemberton, BC, Canada"
3,Carson Mcdaniel,735,M 25-29,USA,00:48:45,05:14:03,03:23:03,09:29:40,Ironman Canada,07/24/2016,"Whistler/Pemberton, BC, Canada"
11,Scott Bradley,17,M PRO,USA,01:01:37,05:02:39,03:23:37,09:32:17,Ironman Canada,07/24/2016,"Whistler/Pemberton, BC, Canada"
2,Mike Lavery,311,M 30-34,USA,00:58:46,05:05:51,03:23:22,09:33:13,Ironman Canada,07/24/2016,"Whistler/Pemberton, BC, Canada"
3,Brian Kuczynski,780,M 30-34,USA,00:54:37,05:15:19,03:20:23,09:34:46,Ironman Canada,07/24/2016,"Whistler/Pemberton, BC, Canada"
