Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,Race,Date,Location
1,Sam Long,2,MPRO,USA,00:54:13,04:18:56,02:51:12,08:07:39,Ironman Coeur d'Alene,06/27/2021,"Coeur d'Alene, Idaho, USA"
2,Justin Metzler,10,MPRO,USA,00:52:04,04:29:03,02:47:58,08:13:02,Ironman Coeur d'Alene,06/27/2021,"Coeur d'Alene, Idaho, USA"
3,Pedro Gomes,17,MPRO,PRT,00:52:08,04:30:51,02:49:58,08:17:06,Ironman Coeur d'Alene,06/27/2021,"Coeur d'Alene, Idaho, USA"
4,Jason Pohl,16,MPRO,CAN,00:54:17,04:34:52,02:47:45,08:20:56,Ironman Coeur d'Alene,06/27/2021,"Coeur d'Alene, Idaho, USA"
5,Matt Russell,8,MPRO,USA,00:59:11,04:26:45,02:54:46,08:24:54,Ironman Coeur d'Alene,06/27/2021,"Coeur d'Alene, Idaho, USA"
6,Cody Beals,7,MPRO,CAN,00:52:05,04:37:35,02:56:30,08:29:58,Ironman Coeur d'Alene,06/27/2021,"Coeur d'Alene, Idaho, USA"
7,Karl-Johan Danielsson,27,MPRO,SWE,00:54:07,04:35:06,03:10:41,08:43:49,Ironman Coeur d'Alene,06/27/2021,"Coeur d'Alene, Idaho, USA"
1,Andrew Hall,1734,M35-39,USA,00:57:57,04:46:29,02:56:20,08:45:00,Ironman Coeur d'Alene,06/27/2021,"Coeur d'Alene, Idaho, USA"
8,Tim Rea,22,MPRO,AUS,00:52:09,04:35:12,03:19:59,08:51:40,Ironman Coeur d'Alene,06/27/2021,"Coeur d'Alene, Idaho, USA"
9,Balazs Csoke,15,MPRO,HUN,00:49:42,04:50:16,03:10:02,08:54:42,Ironman Coeur d'Alene,06/27/2021,"Coeur d'Alene, Idaho, USA"
1,Carrie Lester,36,FPRO,USA,00:55:21,04:48:51,03:06:32,08:54:51,Ironman Coeur d'Alene,06/27/2021,"Coeur d'Alene, Idaho, USA"
2,Fenella Langridge,38,FPRO,GBR,00:52:40,04:49:06,03:13:47,08:59:50,Ironman Coeur d'Alene,06/27/2021,"Coeur d'Alene, Idaho, USA"
1,Todd Wakefield,2097,M30-34,USA,00:59:44,04:58:53,03:01:20,09:05:13,Ironman Coeur d'Alene,06/27/2021,"Coeur d'Alene, Idaho, USA"
10,Tripp Hipple,18,MPRO,USA,00:54:13,04:28:51,03:39:45,09:07:38,Ironman Coeur d'Alene,06/27/2021,"Coeur d'Alene, Idaho, USA"
11,Lionel Sanders,1,MPRO,CAN,00:52:13,04:22:19,03:53:06,09:11:10,Ironman Coeur d'Alene,06/27/2021,"Coeur d'Alene, Idaho, USA"
