Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,Race,Date,Location
1,Mark Saroni,480,M25-29,USA,00:59:53,05:16:23,03:06:47,09:29:52,Ironman Coeur dÂ´Alene,08/27/2017,"Coeur d'Alene, Idaho, USA"
1,Jose Graca,33,M40-44,USA,00:59:02,05:09:04,03:18:01,09:33:12,Ironman Coeur dÂ´Alene,08/27/2017,"Coeur d'Alene, Idaho, USA"
1,Thomas Marin,147,M30-34,FRA,00:55:31,05:17:53,03:16:34,09:35:33,Ironman Coeur dÂ´Alene,08/27/2017,"Coeur d'Alene, Idaho, USA"
2,Nick Johnson,534,M30-34,USA,01:00:13,05:11:55,03:18:16,09:36:11,Ironman Coeur dÂ´Alene,08/27/2017,"Coeur d'Alene, Idaho, USA"
1,Graham Hood,1085,M45-49,CAN,01:04:53,05:09:44,03:19:30,09:40:22,Ironman Coeur dÂ´Alene,08/27/2017,"Coeur d'Alene, Idaho, USA"
2,Ted Cochrane,32,M40-44,CAN,00:56:32,05:21:58,03:21:58,09:48:52,Ironman Coeur dÂ´Alene,08/27/2017,"Coeur d'Alene, Idaho, USA"
2,John Brenteson,74,M25-29,USA,00:56:24,05:29:18,03:19:03,09:51:39,Ironman Coeur dÂ´Alene,08/27/2017,"Coeur d'Alene, Idaho, USA"
3,Matthew Davis,1063,M30-34,USA,01:06:06,05:11:34,03:29:16,09:52:49,Ironman Coeur dÂ´Alene,08/27/2017,"Coeur d'Alene, Idaho, USA"
2,Roger Thompson,39,M45-49,USA,00:58:43,04:59:48,03:49:09,09:53:39,Ironman Coeur dÂ´Alene,08/27/2017,"Coeur d'Alene, Idaho, USA"
1,Andrew Cross,31,M35-39,USA,01:05:48,05:13:38,03:31:35,09:56:58,Ironman Coeur dÂ´Alene,08/27/2017,"Coeur d'Alene, Idaho, USA"
3,Aaron Gardiner,1074,M40-44,GBR,00:51:43,05:19:54,03:38:58,09:58:20,Ironman Coeur dÂ´Alene,08/27/2017,"Coeur d'Alene, Idaho, USA"
2,Andrew Shore,641,M35-39,USA,00:51:34,05:19:05,03:43:54,10:00:33,Ironman Coeur dÂ´Alene,08/27/2017,"Coeur d'Alene, Idaho, USA"
3,John Andrews,762,M45-49,USA,01:11:02,05:25:15,03:19:24,10:02:31,Ironman Coeur dÂ´Alene,08/27/2017,"Coeur d'Alene, Idaho, USA"
3,Joseph Giannetto,454,M25-29,USA,01:04:34,05:20:19,03:31:06,10:02:39,Ironman Coeur dÂ´Alene,08/27/2017,"Coeur d'Alene, Idaho, USA"
4,Francisco Maya,38,M45-49,USA,01:02:03,05:23:19,03:32:00,10:03:51,Ironman Coeur dÂ´Alene,08/27/2017,"Coeur d'Alene, Idaho, USA"
4,Michael Daily,1081,M40-44,USA,01:11:49,05:23:00,03:24:29,10:07:23,Ironman Coeur dÂ´Alene,08/27/2017,"Coeur d'Alene, Idaho, USA"
4,Sean Hunter,1055,M25-29,USA,01:03:13,05:23:40,03:33:40,10:09:18,Ironman Coeur dÂ´Alene,08/27/2017,"Coeur d'Alene, Idaho, USA"
5,Matt Pahnke,99,M45-49,USA,01:14:20,05:16:37,03:31:01,10:10:44,Ironman Coeur dÂ´Alene,08/27/2017,"Coeur d'Alene, Idaho, USA"
5,Peter Viscardo,34,M40-44,USA,01:14:22,05:28:48,03:20:45,10:11:26,Ironman Coeur dÂ´Alene,08/27/2017,"Coeur d'Alene, Idaho, USA"
6,Steffen Brocks,1092,M45-49,USA,01:01:20,05:23:56,03:42:47,10:16:36,Ironman Coeur dÂ´Alene,08/27/2017,"Coeur d'Alene, Idaho, USA"
6,Alan Charness,88,M40-44,USA,01:13:57,05:22:28,03:33:17,10:16:55,Ironman Coeur dÂ´Alene,08/27/2017,"Coeur d'Alene, Idaho, USA"
7,Heath Wiltse,759,M40-44,USA,01:11:40,05:23:49,03:33:50,10:17:26,Ironman Coeur dÂ´Alene,08/27/2017,"Coeur d'Alene, Idaho, USA"
1,Haley Cooper-Scott,1029,F35-39,USA,01:02:40,05:33:40,03:36:45,10:19:06,Ironman Coeur dÂ´Alene,08/27/2017,"Coeur d'Alene, Idaho, USA"
5,Dmitry Chernov,75,M25-29,USA,01:15:43,05:26:18,03:30:26,10:21:21,Ironman Coeur dÂ´Alene,08/27/2017,"Coeur d'Alene, Idaho, USA"
1,Cristina Mata,19,F30-34,PAN,01:08:28,05:34:49,03:35:18,10:25:02,Ironman Coeur dÂ´Alene,08/27/2017,"Coeur d'Alene, Idaho, USA"
1,Victor Renard,909,M50-54,USA,01:14:13,05:14:59,03:49:34,10:26:19,Ironman Coeur dÂ´Alene,08/27/2017,"Coeur d'Alene, Idaho, USA"
8,John Dwight,689,M40-44,USA,00:59:02,05:32:46,03:44:42,10:28:03,Ironman Coeur dÂ´Alene,08/27/2017,"Coeur d'Alene, Idaho, USA"
7,Chad Albright,35,M45-49,USA,01:07:00,05:32:33,03:42:20,10:29:46,Ironman Coeur dÂ´Alene,08/27/2017,"Coeur d'Alene, Idaho, USA"
4,Tyler Howland,1060,M30-34,USA,01:07:09,05:56:31,03:18:42,10:30:01,Ironman Coeur dÂ´Alene,08/27/2017,"Coeur d'Alene, Idaho, USA"
9,Emry Carr,672,M40-44,USA,01:15:50,05:27:38,03:40:24,10:33:08,Ironman Coeur dÂ´Alene,08/27/2017,"Coeur d'Alene, Idaho, USA"
3,Ben Kleeman,605,M35-39,USA,01:10:23,05:31:16,03:45:29,10:33:29,Ironman Coeur dÂ´Alene,08/27/2017,"Coeur d'Alene, Idaho, USA"
8,Toby Miller,1086,M45-49,USA,01:08:46,05:22:10,03:56:36,10:34:18,Ironman Coeur dÂ´Alene,08/27/2017,"Coeur d'Alene, Idaho, USA"
6,Brian Brunner,500,M30-34,USA,01:04:43,05:35:45,03:44:28,10:34:50,Ironman Coeur dÂ´Alene,08/27/2017,"Coeur d'Alene, Idaho, USA"
10,Chris Moss,166,M40-44,USA,01:02:53,05:31:39,03:50:27,10:34:55,Ironman Coeur dÂ´Alene,08/27/2017,"Coeur d'Alene, Idaho, USA"
7,Matthew Handwerk,524,M30-34,USA,01:15:38,05:13:09,03:57:12,10:35:57,Ironman Coeur dÂ´Alene,08/27/2017,"Coeur d'Alene, Idaho, USA"
1,Chuck Sperazza,185,M60-64,USA,01:06:39,05:31:51,03:46:06,10:36:43,Ironman Coeur dÂ´Alene,08/27/2017,"Coeur d'Alene, Idaho, USA"
1,Joshua Mehlhaff,439,M18-24,USA,01:04:27,05:44:31,03:39:38,10:37:59,Ironman Coeur dÂ´Alene,08/27/2017,"Coeur d'Alene, Idaho, USA"
4,Josh Adams,573,M35-39,USA,01:01:23,05:21:28,04:07:03,10:38:54,Ironman Coeur dÂ´Alene,08/27/2017,"Coeur d'Alene, Idaho, USA"
1,Brian Keast,1112,M55-59,CAN,01:05:19,05:21:28,04:04:24,10:39:09,Ironman Coeur dÂ´Alene,08/27/2017,"Coeur d'Alene, Idaho, USA"
2,Rafael Pacheco,1097,M50-54,USA,01:08:29,05:47:35,03:35:12,10:40:44,Ironman Coeur dÂ´Alene,08/27/2017,"Coeur d'Alene, Idaho, USA"
9,Paul Henry,36,M45-49,USA,01:17:46,05:34:47,03:41:27,10:42:37,Ironman Coeur dÂ´Alene,08/27/2017,"Coeur d'Alene, Idaho, USA"
8,Peter Jones,146,M30-34,CAN,01:04:59,05:39:07,03:51:56,10:45:20,Ironman Coeur dÂ´Alene,08/27/2017,"Coeur d'Alene, Idaho, USA"
2,Mark Moody,966,M55-59,USA,01:06:09,05:52:22,03:41:40,10:47:51,Ironman Coeur dÂ´Alene,08/27/2017,"Coeur d'Alene, Idaho, USA"
10,Andy Lowe,97,M45-49,USA,01:08:06,05:32:43,03:55:09,10:47:54,Ironman Coeur dÂ´Alene,08/27/2017,"Coeur d'Alene, Idaho, USA"
2,Olesya Prystayko,256,F30-34,USA,01:03:37,05:44:54,03:53:43,10:47:57,Ironman Coeur dÂ´Alene,08/27/2017,"Coeur d'Alene, Idaho, USA"
11,Ryan Wright,760,M40-44,CAN,01:01:39,05:44:10,03:53:12,10:48:12,Ironman Coeur dÂ´Alene,08/27/2017,"Coeur d'Alene, Idaho, USA"
1,Kayla Kobelin,1019,F18-24,USA,01:09:43,05:58:44,03:31:08,10:48:38,Ironman Coeur dÂ´Alene,08/27/2017,"Coeur d'Alene, Idaho, USA"
5,Peter Brunner,578,M35-39,USA,01:02:26,05:37:52,03:58:55,10:50:04,Ironman Coeur dÂ´Alene,08/27/2017,"Coeur d'Alene, Idaho, USA"
11,Ben Lane,804,M45-49,USA,01:17:11,05:47:51,03:38:01,10:50:24,Ironman Coeur dÂ´Alene,08/27/2017,"Coeur d'Alene, Idaho, USA"
6,Tobias Kamlage,76,M25-29,DEU,01:08:37,05:39:20,03:53:58,10:50:31,Ironman Coeur dÂ´Alene,08/27/2017,"Coeur d'Alene, Idaho, USA"
12,Scott Shinneman,741,M40-44,USA,00:58:46,05:33:35,04:10:44,10:51:24,Ironman Coeur dÂ´Alene,08/27/2017,"Coeur d'Alene, Idaho, USA"
13,Kevin Oldknow,95,M40-44,CAN,01:18:32,05:30:58,03:54:05,10:51:46,Ironman Coeur dÂ´Alene,08/27/2017,"Coeur d'Alene, Idaho, USA"
14,Tom Wagner,754,M40-44,USA,01:07:58,05:39:27,03:57:51,10:52:49,Ironman Coeur dÂ´Alene,08/27/2017,"Coeur d'Alene, Idaho, USA"
1,Laura Yost,1036,F40-44,USA,01:16:13,05:53:43,03:36:17,10:52:51,Ironman Coeur dÂ´Alene,08/27/2017,"Coeur d'Alene, Idaho, USA"
12,John Ryan,102,M45-49,USA,01:12:36,05:40:41,03:52:41,10:53:55,Ironman Coeur dÂ´Alene,08/27/2017,"Coeur d'Alene, Idaho, USA"
