Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,Race,Date,Location
1,Pedro Jose Bastida Andujar,46,M 30-34,ESP,00:53:49,04:34:56,02:59:08,08:33:25,Ironman Copenhagen,08/20/2017,"Copenhagen, Denmark"
1,Lars Peter Bloch,1591,M 35-39,DEN,00:57:47,04:40:43,02:47:22,08:34:45,Ironman Copenhagen,08/20/2017,"Copenhagen, Denmark"
2,Lars Dyrholm,49,M 30-34,DEN,00:55:11,04:36:30,03:02:50,08:39:44,Ironman Copenhagen,08/20/2017,"Copenhagen, Denmark"
3,Vicenç Castellà,47,M 30-34,ESP,00:55:56,04:52:49,02:51:25,08:47:33,Ironman Copenhagen,08/20/2017,"Copenhagen, Denmark"
1,Søren Selvejer Sørensen,1065,M 25-29,DEN,00:51:48,04:40:36,03:10:54,08:48:39,Ironman Copenhagen,08/20/2017,"Copenhagen, Denmark"
4,Rasmus Soendergaard Groenbek,33,M 30-34,DEN,00:56:08,04:55:49,02:55:39,08:53:06,Ironman Copenhagen,08/20/2017,"Copenhagen, Denmark"
1,Michael Mortensen,178,M 40-44,DEN,01:01:16,04:39:23,03:07:45,08:54:45,Ironman Copenhagen,08/20/2017,"Copenhagen, Denmark"
2,Gregers Christensen,1100,M 25-29,DEN,00:55:53,04:50:19,03:03:17,08:55:16,Ironman Copenhagen,08/20/2017,"Copenhagen, Denmark"
1,Morten Sonne,2357,M 45-49,DEN,01:05:45,04:41:02,03:01:21,08:56:26,Ironman Copenhagen,08/20/2017,"Copenhagen, Denmark"
2,Janus Kempel Ellegaard,351,M 35-39,DEN,00:53:03,04:42:45,03:15:15,08:56:28,Ironman Copenhagen,08/20/2017,"Copenhagen, Denmark"
2,Fredrik Ekström,56,M 40-44,SWE,00:59:22,04:47:51,03:03:33,08:57:24,Ironman Copenhagen,08/20/2017,"Copenhagen, Denmark"
3,Petter Liif,119,M 25-29,SWE,00:56:19,04:53:42,03:01:41,08:58:29,Ironman Copenhagen,08/20/2017,"Copenhagen, Denmark"
1,Michelle Vesterby,1,PRO F,DEN,00:53:02,04:48:02,03:15:05,09:00:19,Ironman Copenhagen,08/20/2017,"Copenhagen, Denmark"
3,Gary Higgins,374,M 40-44,IRL,00:59:43,04:53:28,03:01:31,09:00:33,Ironman Copenhagen,08/20/2017,"Copenhagen, Denmark"
4,Anders Christian Høgdall,1848,M 40-44,DEN,00:55:20,04:55:24,03:02:14,09:00:59,Ironman Copenhagen,08/20/2017,"Copenhagen, Denmark"
3,Soren Mellerup,53,M 35-39,DEN,00:57:00,04:45:22,03:12:50,09:03:04,Ironman Copenhagen,08/20/2017,"Copenhagen, Denmark"
2,Marc Stefan Jauner,65,M 45-49,SUI,00:56:58,04:39:31,03:18:42,09:03:27,Ironman Copenhagen,08/20/2017,"Copenhagen, Denmark"
4,Patrick Lyons,170,M 35-39,DEN,01:02:41,04:45:12,03:11:37,09:05:37,Ironman Copenhagen,08/20/2017,"Copenhagen, Denmark"
5,Jesper Jensen,325,M 35-39,DEN,00:58:33,04:52:06,03:10:12,09:06:18,Ironman Copenhagen,08/20/2017,"Copenhagen, Denmark"
5,Eamon McAndrew,1912,M 40-44,IRL,01:00:47,04:58:10,03:00:30,09:06:24,Ironman Copenhagen,08/20/2017,"Copenhagen, Denmark"
4,Fabien Mougeot,299,M 25-29,FRA,01:06:15,04:46:19,03:07:34,09:06:48,Ironman Copenhagen,08/20/2017,"Copenhagen, Denmark"
6,Koen Lintermans,52,M 35-39,BEL,00:59:17,04:47:00,03:13:50,09:06:57,Ironman Copenhagen,08/20/2017,"Copenhagen, Denmark"
5,Jonas Nielsen,308,M 30-34,NOR,01:00:54,04:40:58,03:17:12,09:07:25,Ironman Copenhagen,08/20/2017,"Copenhagen, Denmark"
2,Corinne Abraham,5,PRO F,GBR,01:00:21,04:53:20,03:09:51,09:08:06,Ironman Copenhagen,08/20/2017,"Copenhagen, Denmark"
7,Morten Hibiscus Knudsen,329,M 35-39,DEN,01:08:32,04:38:55,03:14:59,09:08:56,Ironman Copenhagen,08/20/2017,"Copenhagen, Denmark"
3,Jens Irgens,2185,M 45-49,DEN,01:06:59,04:35:45,03:20:27,09:09:18,Ironman Copenhagen,08/20/2017,"Copenhagen, Denmark"
8,Willem De Vos,1696,M 35-39,NED,01:01:59,04:49:38,03:10:04,09:09:20,Ironman Copenhagen,08/20/2017,"Copenhagen, Denmark"
5,Jose Miguel Vela Pulido,297,M 25-29,ESP,00:52:51,04:52:10,03:16:46,09:09:25,Ironman Copenhagen,08/20/2017,"Copenhagen, Denmark"
6,Alexander Karlsson,113,M 25-29,DEN,01:02:46,04:45:56,03:16:01,09:09:47,Ironman Copenhagen,08/20/2017,"Copenhagen, Denmark"
1,Gustav Palm-Henriksen,875,M 18-24,DEN,00:49:33,04:45:38,03:30:38,09:10:32,Ironman Copenhagen,08/20/2017,"Copenhagen, Denmark"
