Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,Race,Date,Location
1,Thomas Fruhwirth,781,M HC,AUT,00:50:40,04:58:58,02:09:29,08:08:26,Ironman Cozumel,11/21/2020,"Cozumel, Mexico"
1,Lee Williams,84,M35-39,GBR,00:48:58,04:54:40,02:57:42,08:46:49,Ironman Cozumel,11/21/2020,"Cozumel, Mexico"
1,Benjamin Besse,68,M25-29,USA,00:47:05,04:43:15,03:10:16,08:47:16,Ironman Cozumel,11/21/2020,"Cozumel, Mexico"
2,Felipe Bergamini,360,M25-29,BRA,00:43:58,04:52:05,03:05:59,08:48:10,Ironman Cozumel,11/21/2020,"Cozumel, Mexico"
3,Jan Stepinski,1420,M25-29,USA,00:41:30,04:45:37,03:14:43,08:48:31,Ironman Cozumel,11/21/2020,"Cozumel, Mexico"
2,Tom De Bruyn,78,M35-39,USA,00:52:19,04:43:51,03:06:19,08:48:55,Ironman Cozumel,11/21/2020,"Cozumel, Mexico"
4,Justin Riele,67,M25-29,USA,00:46:00,04:44:07,03:25:51,09:01:50,Ironman Cozumel,11/21/2020,"Cozumel, Mexico"
1,Graeme Stewart,93,M40-44,GBR,00:46:46,04:50:59,03:20:28,09:04:18,Ironman Cozumel,11/21/2020,"Cozumel, Mexico"
2,Raynard Picard,89,M40-44,MEX,00:51:19,04:49:21,03:16:49,09:05:47,Ironman Cozumel,11/21/2020,"Cozumel, Mexico"
3,Marcelo Henrique E Silv Lopes,120,M40-44,BRA,00:51:58,04:52:31,03:14:57,09:06:08,Ironman Cozumel,11/21/2020,"Cozumel, Mexico"
4,Eduardo Gonzalez,876,M40-44,USA,00:43:55,04:57:17,03:21:32,09:08:44,Ironman Cozumel,11/21/2020,"Cozumel, Mexico"
5,Antonio Ferreira Da Silva Neto,131,M40-44,BRA,00:44:42,04:55:14,03:25:07,09:10:47,Ironman Cozumel,11/21/2020,"Cozumel, Mexico"
1,Ignacio Herrero Martin-Berrocal,1376,M30-34,ESP,00:50:01,05:01:00,03:14:56,09:11:16,Ironman Cozumel,11/21/2020,"Cozumel, Mexico"
3,Carlos Moncada,1463,M35-39,CRI,00:47:40,05:11:20,03:13:39,09:18:57,Ironman Cozumel,11/21/2020,"Cozumel, Mexico"
5,Ulises Otero,1410,M25-29,USA,00:53:44,05:11:30,03:11:02,09:22:41,Ironman Cozumel,11/21/2020,"Cozumel, Mexico"
2,Miguel Gonzalez Castelan,638,M30-34,MEX,00:53:06,05:01:23,03:23:24,09:22:42,Ironman Cozumel,11/21/2020,"Cozumel, Mexico"
4,Steven Lowenthal,80,M35-39,GTM,00:48:31,05:09:26,03:17:13,09:24:21,Ironman Cozumel,11/21/2020,"Cozumel, Mexico"
5,Richard Whitfield,801,M35-39,GBR,00:49:30,04:45:46,03:41:27,09:25:47,Ironman Cozumel,11/21/2020,"Cozumel, Mexico"
6,Felipe Manalich,172,M40-44,CHL,00:48:46,05:01:45,03:28:28,09:26:15,Ironman Cozumel,11/21/2020,"Cozumel, Mexico"
6,Rodrigo Gabriel,83,M35-39,GTM,00:52:55,05:10:23,03:22:09,09:31:56,Ironman Cozumel,11/21/2020,"Cozumel, Mexico"
7,Zev Myerowitz,1449,M35-39,USA,00:48:29,04:39:56,03:57:42,09:33:11,Ironman Cozumel,11/21/2020,"Cozumel, Mexico"
3,Victor Navarro Castello Branco,74,M30-34,BRA,01:00:20,05:03:04,03:22:57,09:33:37,Ironman Cozumel,11/21/2020,"Cozumel, Mexico"
8,Brasilio Vicente Castro Neto,87,M35-39,BRA,00:43:41,05:07:29,03:38:43,09:36:35,Ironman Cozumel,11/21/2020,"Cozumel, Mexico"
7,Enrique Gongora,1483,M40-44,MEX,00:58:56,04:59:06,03:32:48,09:37:30,Ironman Cozumel,11/21/2020,"Cozumel, Mexico"
9,Fellipe Moura Barbosa,699,M35-39,BRA,00:55:57,05:19:14,03:16:36,09:38:31,Ironman Cozumel,11/21/2020,"Cozumel, Mexico"
10,Pablo Arce Diaz,1380,M35-39,CRI,00:53:16,04:44:20,03:56:17,09:39:54,Ironman Cozumel,11/21/2020,"Cozumel, Mexico"
8,Ezequiel Benvenuto,836,M40-44,ARG,00:48:36,05:27:56,03:18:56,09:40:17,Ironman Cozumel,11/21/2020,"Cozumel, Mexico"
1,Sam Storer,965,M45-49,GBR,00:57:17,04:56:29,03:37:10,09:40:46,Ironman Cozumel,11/21/2020,"Cozumel, Mexico"
