Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,Race,Date,Location
1,Sebastian Kienle,1,MPRO,DEU,00:41:35,04:11:00,02:51:43,07:48:11,Ironman Cozumel,11/26/2017,"Cozumel, Mexico"
2,Michael Weiss,3,MPRO,AUT,00:44:55,04:12:56,02:50:46,07:53:26,Ironman Cozumel,11/26/2017,"Cozumel, Mexico"
3,Ivan Rana,8,MPRO,ESP,00:39:18,04:31:39,02:43:41,07:58:39,Ironman Cozumel,11/26/2017,"Cozumel, Mexico"
4,Stefan Schmid,2,MPRO,DEU,00:41:33,04:25:44,02:47:53,07:59:44,Ironman Cozumel,11/26/2017,"Cozumel, Mexico"
5,Trevor Delsaut,11,MPRO,FRA,00:41:47,04:29:07,02:52:15,08:07:09,Ironman Cozumel,11/26/2017,"Cozumel, Mexico"
6,Samuel Huerzeler,24,MPRO,CHE,00:41:37,04:33:19,02:52:54,08:12:23,Ironman Cozumel,11/26/2017,"Cozumel, Mexico"
7,Victor Arroyo,15,MPRO,ESP,00:45:58,04:36:03,02:52:38,08:18:14,Ironman Cozumel,11/26/2017,"Cozumel, Mexico"
8,Justin Daerr,4,MPRO,USA,00:41:39,04:27:54,03:05:54,08:19:27,Ironman Cozumel,11/26/2017,"Cozumel, Mexico"
9,Alan Carillo Avila,19,MPRO,MEX,00:41:36,04:29:03,03:06:33,08:21:14,Ironman Cozumel,11/26/2017,"Cozumel, Mexico"
10,Andrey Lyatskiy,27,MPRO,RUS,00:41:31,04:43:05,03:01:48,08:30:51,Ironman Cozumel,11/26/2017,"Cozumel, Mexico"
11,Albert Moreno Molins,28,MPRO,ESP,00:41:36,04:37:01,03:07:51,08:32:19,Ironman Cozumel,11/26/2017,"Cozumel, Mexico"
1,Guillaume Belgy,260,M25-29,FRA,00:48:51,04:36:53,03:08:20,08:38:02,Ironman Cozumel,11/26/2017,"Cozumel, Mexico"
1,Eduardo Della Maggiora,976,M35-39,CHL,00:47:23,04:48:50,03:04:21,08:47:21,Ironman Cozumel,11/26/2017,"Cozumel, Mexico"
1,Lisa Roberts,50,FPRO,USA,00:49:15,05:00:08,02:59:20,08:54:00,Ironman Cozumel,11/26/2017,"Cozumel, Mexico"
2,Jens Muller,102,M35-39,DEU,00:46:53,04:58:58,03:03:54,08:54:47,Ironman Cozumel,11/26/2017,"Cozumel, Mexico"
