Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,Race,Date,Location
1,Chris Leiferman,46,MPRO,USA,00:54:40,04:01:50,02:50:29,07:52:44,Ironman Florida,11/07/2020,"Panama City Beach, Florida"
2,Matthew Hanson,42,MPRO,USA,00:55:16,04:11:23,02:41:56,07:55:01,Ironman Florida,11/07/2020,"Panama City Beach, Florida"
3,Sam Long,40,MPRO,USA,00:55:30,04:07:19,02:45:40,07:55:32,Ironman Florida,11/07/2020,"Panama City Beach, Florida"
4,Andreas Dreitz,45,MPRO,DEU,00:54:01,04:02:56,02:52:58,07:56:50,Ironman Florida,11/07/2020,"Panama City Beach, Florida"
5,Cody Beals,43,MPRO,CAN,00:54:02,04:12:52,02:46:24,07:59:55,Ironman Florida,11/07/2020,"Panama City Beach, Florida"
6,Matt Russell,41,MPRO,USA,00:54:38,04:04:24,03:00:43,08:07:34,Ironman Florida,11/07/2020,"Panama City Beach, Florida"
7,Pedro Gomes,55,MPRO,PRT,00:54:05,04:18:24,02:54:15,08:13:49,Ironman Florida,11/07/2020,"Panama City Beach, Florida"
8,Brent McMahon,47,MPRO,CAN,00:53:11,04:14:01,03:00:52,08:14:22,Ironman Florida,11/07/2020,"Panama City Beach, Florida"
9,David Plese,63,MPRO,SVN,00:55:27,04:16:47,03:03:05,08:22:54,Ironman Florida,11/07/2020,"Panama City Beach, Florida"
10,Kevin Portmann,65,MPRO,USA,01:01:08,04:16:38,03:06:37,08:31:21,Ironman Florida,11/07/2020,"Panama City Beach, Florida"
11,Yu Hsiao,59,MPRO,TWN,01:04:02,04:26:37,02:56:45,08:36:05,Ironman Florida,11/07/2020,"Panama City Beach, Florida"
12,Derk De Korver,53,MPRO,USA,01:02:04,04:29:38,03:01:09,08:40:09,Ironman Florida,11/07/2020,"Panama City Beach, Florida"
1,Katrina Matthews,17,FPRO,GBR,00:58:57,04:36:15,02:58:29,08:40:50,Ironman Florida,11/07/2020,"Panama City Beach, Florida"
13,Tim Rea,66,MPRO,AUS,00:53:46,04:13:12,03:31:15,08:45:31,Ironman Florida,11/07/2020,"Panama City Beach, Florida"
2,Skye Moench,1,FPRO,USA,01:01:41,04:33:43,03:03:50,08:46:35,Ironman Florida,11/07/2020,"Panama City Beach, Florida"
14,Elliot Bach,49,MPRO,USA,00:53:58,04:21:36,03:25:53,08:51:58,Ironman Florida,11/07/2020,"Panama City Beach, Florida"
1,Colin Cook,143,M35-39,USA,01:04:42,04:42:32,02:57:54,08:53:00,Ironman Florida,11/07/2020,"Panama City Beach, Florida"
1,Juan Valencia,221,M40-44,COL,00:55:07,04:42:04,03:10:44,08:58:57,Ironman Florida,11/07/2020,"Panama City Beach, Florida"
