Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,Race,Date,Location
1,Francisco Sartore Mendes Perez,358,M 35-39,BRA,01:01:39,04:54:05,03:11:10,09:14:23,Ironman Fortaleza,11/08/2015,"Fortaleza, Brazil"
2,Felipe Dayrell Silvestre,380,M 35-39,BRA,00:54:00,05:08:08,03:19:16,09:28:00,Ironman Fortaleza,11/08/2015,"Fortaleza, Brazil"
1,Peter Pichnoff,289,M 30-34,BRA,00:56:29,05:01:10,03:28:23,09:29:49,Ironman Fortaleza,11/08/2015,"Fortaleza, Brazil"
1,Joao Martins Galvao,215,M 25-29,BRA,00:56:30,05:05:29,03:23:46,09:30:05,Ironman Fortaleza,11/08/2015,"Fortaleza, Brazil"
2,Bonieck Clemente,267,M 30-34,BRA,00:56:24,05:17:32,03:14:15,09:33:22,Ironman Fortaleza,11/08/2015,"Fortaleza, Brazil"
3,Marcelino De Miranda,693,M 30-34,BRA,00:56:31,04:59:01,03:34:33,09:34:36,Ironman Fortaleza,11/08/2015,"Fortaleza, Brazil"
1,Ivan Roberto De Campos Albano Junior,505,M 40-44,BRA,00:59:03,04:55:04,03:36:15,09:35:05,Ironman Fortaleza,11/08/2015,"Fortaleza, Brazil"
2,Tomas Ignacio Rivera Kofler,182,M 25-29,CHL,01:01:25,05:03:18,03:25:44,09:35:56,Ironman Fortaleza,11/08/2015,"Fortaleza, Brazil"
4,Alexandre Takenaka,257,M 30-34,BRA,00:54:05,05:16:19,03:22:27,09:37:49,Ironman Fortaleza,11/08/2015,"Fortaleza, Brazil"
3,Cesar Dalquano,694,M 35-39,BRA,00:59:11,05:16:25,03:19:55,09:42:02,Ironman Fortaleza,11/08/2015,"Fortaleza, Brazil"
4,Daniel Marcondes,689,M 35-39,BRA,01:01:45,04:58:05,03:38:17,09:44:20,Ironman Fortaleza,11/08/2015,"Fortaleza, Brazil"
5,Adriano Ricardo Ribeiro Sevilla,331,M 35-39,BRA,01:07:16,05:18:37,03:14:40,09:45:30,Ironman Fortaleza,11/08/2015,"Fortaleza, Brazil"
3,Hugo Amaral,193,M 25-29,BRA,00:53:57,04:59:40,03:49:23,09:46:51,Ironman Fortaleza,11/08/2015,"Fortaleza, Brazil"
6,Leonardo Moreira Mota,374,M 35-39,BRA,00:58:59,05:19:12,03:23:06,09:47:33,Ironman Fortaleza,11/08/2015,"Fortaleza, Brazil"
5,Daniel Belluzi Biazoto,222,M 30-34,BRA,00:58:49,05:12:55,03:34:18,09:51:07,Ironman Fortaleza,11/08/2015,"Fortaleza, Brazil"
7,Luiz Navas Júnior,352,M 35-39,BRA,00:59:14,05:13:50,03:36:03,09:53:26,Ironman Fortaleza,11/08/2015,"Fortaleza, Brazil"
6,Cassio Eduardo Rocha Martins,226,M 30-34,BRA,00:00:00,05:21:14,03:20:18,09:53:27,Ironman Fortaleza,11/08/2015,"Fortaleza, Brazil"
1,Gustavo Araujo Santos,175,M 18-24,BRA,00:54:09,05:20:55,03:35:16,09:55:13,Ironman Fortaleza,11/08/2015,"Fortaleza, Brazil"
4,Guilherme Garcia Cunha,700,M 25-29,BRA,00:59:05,04:58:08,03:53:26,09:56:07,Ironman Fortaleza,11/08/2015,"Fortaleza, Brazil"
7,Filipe Albuquerque Aragao,294,M 30-34,BRA,00:00:00,05:11:15,03:33:42,09:56:55,Ironman Fortaleza,11/08/2015,"Fortaleza, Brazil"
8,Mauricio Lisboa Henry,254,M 30-34,BRA,01:05:04,05:07:11,03:39:12,09:58:33,Ironman Fortaleza,11/08/2015,"Fortaleza, Brazil"
8,Rodrigo Hecke Guimaraes,393,M 35-39,BRA,01:18:02,05:12:42,03:19:56,09:59:21,Ironman Fortaleza,11/08/2015,"Fortaleza, Brazil"
9,Mohana Thiago,711,M 30-34,BRA,00:58:52,05:31:54,03:25:58,10:01:01,Ironman Fortaleza,11/08/2015,"Fortaleza, Brazil"
1,Luiz Renato Topan,564,M 45-49,BRA,00:54:06,05:03:18,03:59:51,10:02:13,Ironman Fortaleza,11/08/2015,"Fortaleza, Brazil"
2,Arnaldo Laporte Junior,690,M 45-49,BRA,01:03:16,05:25:35,03:21:54,10:02:26,Ironman Fortaleza,11/08/2015,"Fortaleza, Brazil"
3,Pedro Luiz Cerize,607,M 45-49,BRA,01:11:29,05:16:52,03:29:30,10:03:35,Ironman Fortaleza,11/08/2015,"Fortaleza, Brazil"
