Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,Race,Date,Location
1,Frederik Van Lierde,2,M PRO,BEL,00:49:21,04:39:00,02:57:19,08:31:31,Ironman France,07/23/2017,"Nice, France"
2,Alessandro Degasperi,3,M PRO,XKX,00:53:22,04:53:39,02:43:38,08:36:18,Ironman France,07/23/2017,"Nice, France"
3,Denis Chevrot,5,M PRO,FRA,00:49:06,04:57:38,02:47:43,08:39:42,Ironman France,07/23/2017,"Nice, France"
4,Eneko Llanos,31,M PRO,ESP,00:50:44,04:48:00,02:56:20,08:40:54,Ironman France,07/23/2017,"Nice, France"
5,Victor Del Corral,1,M PRO,ESP,00:58:20,04:57:12,02:52:11,08:53:37,Ironman France,07/23/2017,"Nice, France"
1,Thomas Andre,487,M 25-29,FRA,00:49:51,05:14:33,02:57:42,09:08:58,Ironman France,07/23/2017,"Nice, France"
6,Arnaud Guilloux,7,M PRO,FRA,00:53:33,04:57:19,03:15:00,09:12:12,Ironman France,07/23/2017,"Nice, France"
2,Antoine Mechin,600,M 25-29,FRA,00:54:17,05:18:45,02:55:57,09:15:40,Ironman France,07/23/2017,"Nice, France"
1,Tristan Beaufils,454,M 18-24,FRA,01:08:02,05:06:41,02:56:12,09:18:46,Ironman France,07/23/2017,"Nice, France"
1,Francois Duranton,225,M 30-34,FRA,00:55:29,05:13:27,03:03:45,09:19:10,Ironman France,07/23/2017,"Nice, France"
1,Carrie Lester,43,F PRO,AUS,00:55:32,05:19:12,03:06:14,09:27:53,Ironman France,07/23/2017,"Nice, France"
7,Wouter Monchy,19,M PRO,BEL,00:51:10,05:24:08,03:08:54,09:29:51,Ironman France,07/23/2017,"Nice, France"
3,Luca Ruffinatti,222,M 25-29,ITA,00:56:56,05:12:14,03:14:50,09:31:11,Ironman France,07/23/2017,"Nice, France"
2,Philipp Keller,790,M 30-34,DEU,00:56:44,05:16:20,03:15:18,09:34:35,Ironman France,07/23/2017,"Nice, France"
2,Annabel Luxford,42,F PRO,AUS,00:52:19,05:24:50,03:14:21,09:38:31,Ironman France,07/23/2017,"Nice, France"
1,Julen Saldias Ondarra,244,M 35-39,ESP,00:57:10,05:20:30,03:16:05,09:40:54,Ironman France,07/23/2017,"Nice, France"
8,Frédéric Limousin,17,M PRO,FRA,00:53:32,05:15:06,03:28:19,09:43:02,Ironman France,07/23/2017,"Nice, France"
4,Antony Dorland,114,M 25-29,FRA,01:14:08,05:15:25,03:05:18,09:43:13,Ironman France,07/23/2017,"Nice, France"
1,Eric Van Der Linden,1462,M 40-44,NLD,00:56:22,05:24:58,03:13:44,09:44:36,Ironman France,07/23/2017,"Nice, France"
