Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,Race,Date,Location
1,Sebastian Kienle,51,MPRO,DEU,00:52:12,04:12:12,02:44:12,07:52:43,Ironman Frankfurt,07/03/2016,"Frankfurt, Germany"
2,Andi Boecherer,53,MPRO,DEU,00:48:41,04:15:27,02:45:02,07:53:40,Ironman Frankfurt,07/03/2016,"Frankfurt, Germany"
3,Eneko Llanos,112,MPRO,ESP,00:49:11,04:15:21,03:00:33,08:09:08,Ironman Frankfurt,07/03/2016,"Frankfurt, Germany"
4,Marko Albert,59,MPRO,EST,00:48:12,04:22:04,02:57:33,08:11:38,Ironman Frankfurt,07/03/2016,"Frankfurt, Germany"
5,William Clarke,114,MPRO,GBR,00:52:17,04:36:01,02:42:08,08:14:56,Ironman Frankfurt,07/03/2016,"Frankfurt, Germany"
6,Christian Kramer,72,MPRO,DEU,00:48:34,04:32:35,02:51:44,08:18:14,Ironman Frankfurt,07/03/2016,"Frankfurt, Germany"
7,Denis Chevrot,62,MPRO,FRA,00:48:14,04:39:39,02:47:33,08:19:59,Ironman Frankfurt,07/03/2016,"Frankfurt, Germany"
8,Bertrand Billard,120,MPRO,FRA,00:52:15,04:35:49,02:53:58,08:26:27,Ironman Frankfurt,07/03/2016,"Frankfurt, Germany"
9,Marc Duelsen,94,MPRO,DEU,00:54:23,04:34:23,02:53:32,08:26:59,Ironman Frankfurt,07/03/2016,"Frankfurt, Germany"
10,Johann Ackermann,58,MPRO,DEU,00:48:25,04:31:09,03:06:41,08:31:06,Ironman Frankfurt,07/03/2016,"Frankfurt, Germany"
11,Alexander Schilling,105,MPRO,DEU,00:48:34,04:41:33,03:00:49,08:35:08,Ironman Frankfurt,07/03/2016,"Frankfurt, Germany"
12,Jérémy Jurkiewicz,116,MPRO,FRA,00:52:10,04:49:08,02:53:53,08:39:57,Ironman Frankfurt,07/03/2016,"Frankfurt, Germany"
1,Kristian Hoegenhaug,1056,M25-29,DNK,00:54:51,04:31:50,03:10:47,08:42:57,Ironman Frankfurt,07/03/2016,"Frankfurt, Germany"
