Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,Race,Date,Location
1,Andrey Yatskov,334,M30-34,Russian Federation,00:48:18,05:04:49,03:23:50,09:22:28,Ironman Gurye,09/09/2018,"Gurye, Korea"
2,Bruno Gonçalves,257,M30-34,Brazil,00:57:44,05:02:30,03:30:07,09:34:36,Ironman Gurye,09/09/2018,"Gurye, Korea"
1,Hyunsoo Sun,1099,M45-49,Korea Republic of,01:04:14,05:04:20,03:21:53,09:37:41,Ironman Gurye,09/09/2018,"Gurye, Korea"
2,Yunoh Kim,955,M45-49,Korea Republic of,01:06:34,05:11:01,03:17:21,09:42:03,Ironman Gurye,09/09/2018,"Gurye, Korea"
3,Sang Hwan Oh,1034,M45-49,Korea Republic of,01:20:19,05:00:32,03:17:23,09:43:50,Ironman Gurye,09/09/2018,"Gurye, Korea"
1,Wakayama Genjiro,582,M40-44,Japan,00:52:00,05:25:58,03:20:09,09:44:33,Ironman Gurye,09/09/2018,"Gurye, Korea"
2,Oleg Mazurov,708,M40-44,Russian Federation,01:08:32,05:07:46,03:21:51,09:45:07,Ironman Gurye,09/09/2018,"Gurye, Korea"
3,Marcel Bossog,542,M40-44,Germany,01:03:49,04:59:19,03:36:46,09:46:48,Ironman Gurye,09/09/2018,"Gurye, Korea"
4,Robert Chatterton,817,M45-49,United Kingdom,01:07:00,05:07:07,03:26:27,09:48:07,Ironman Gurye,09/09/2018,"Gurye, Korea"
3,Yanlong Kai,276,M30-34,China,01:02:27,05:16:09,03:22:25,09:48:18,Ironman Gurye,09/09/2018,"Gurye, Korea"
4,Yonggyun Jin,608,M40-44,Korea Republic of,01:09:43,05:08:57,03:21:54,09:49:21,Ironman Gurye,09/09/2018,"Gurye, Korea"
5,Qi Dang,574,M40-44,China,00:51:45,05:13:18,03:38:59,09:49:38,Ironman Gurye,09/09/2018,"Gurye, Korea"
1,Wonseok Jeong,1551,M35-39,Korea Republic of,01:05:02,05:14:54,03:26:16,09:51:45,Ironman Gurye,09/09/2018,"Gurye, Korea"
6,Ho Seob Lee,670,M40-44,Korea Republic of,01:01:55,05:18:16,03:26:24,09:52:20,Ironman Gurye,09/09/2018,"Gurye, Korea"
5,Yongho Park,1063,M45-49,Korea Republic of,01:01:25,05:06:09,03:39:50,09:55:25,Ironman Gurye,09/09/2018,"Gurye, Korea"
1,Junghyun Cho,1333,M55-59,Korea Republic of,01:04:30,05:15:00,03:31:23,09:57:33,Ironman Gurye,09/09/2018,"Gurye, Korea"
2,Anan Duangsopa,368,M35-39,Thailand,01:03:40,05:11:55,03:35:03,09:57:52,Ironman Gurye,09/09/2018,"Gurye, Korea"
7,Naoya Endo,579,M40-44,Japan,00:55:13,05:24:45,03:36:13,10:01:34,Ironman Gurye,09/09/2018,"Gurye, Korea"
8,In Sik Lee,673,M40-44,Korea Republic of,01:12:11,05:18:40,03:25:47,10:02:21,Ironman Gurye,09/09/2018,"Gurye, Korea"
1,Hector Haussen,211,M25-29,Brazil,01:03:19,05:22:33,03:31:15,10:03:12,Ironman Gurye,09/09/2018,"Gurye, Korea"
9,Young Hoon Kim,651,M40-44,Korea Republic of,01:08:30,05:21:05,03:25:17,10:03:50,Ironman Gurye,09/09/2018,"Gurye, Korea"
2,Yousung Son,1441,M55-59,Korea Republic of,01:09:14,05:23:48,03:24:05,10:04:47,Ironman Gurye,09/09/2018,"Gurye, Korea"
4,Martin Mahringer,307,M30-34,Austria,00:55:04,05:06:22,03:59:35,10:05:21,Ironman Gurye,09/09/2018,"Gurye, Korea"
3,Yasushi Takabayashi,495,M35-39,Japan,01:05:38,05:33:32,03:23:00,10:09:08,Ironman Gurye,09/09/2018,"Gurye, Korea"
6,Il Hwan Oh,1031,M45-49,Korea Republic of,01:06:09,05:11:13,03:44:00,10:09:18,Ironman Gurye,09/09/2018,"Gurye, Korea"
10,Jae Hyeong Jeong,603,M40-44,Korea Republic of,01:09:49,05:24:12,03:27:28,10:09:54,Ironman Gurye,09/09/2018,"Gurye, Korea"
7,Shinji Kondo,961,M45-49,Japan,01:07:25,05:29:40,03:27:19,10:11:55,Ironman Gurye,09/09/2018,"Gurye, Korea"
5,Woong Jin Seo,325,M30-34,Korea Republic of,01:10:08,05:23:31,03:33:24,10:14:06,Ironman Gurye,09/09/2018,"Gurye, Korea"
2,Pascal Gaar,210,M25-29,Austria,01:00:00,05:33:46,03:33:05,10:14:12,Ironman Gurye,09/09/2018,"Gurye, Korea"
6,Luke Henderson,261,M30-34,Australia,00:57:30,05:41:47,03:29:36,10:14:44,Ironman Gurye,09/09/2018,"Gurye, Korea"
11,Yong Zhao,798,M40-44,China,00:51:37,05:40:00,03:39:21,10:16:54,Ironman Gurye,09/09/2018,"Gurye, Korea"
4,Dave Robati,475,M35-39,New Zealand,00:57:02,05:34:40,03:38:04,10:16:58,Ironman Gurye,09/09/2018,"Gurye, Korea"
12,Kwangwon Kim,643,M40-44,Korea Republic of,00:57:48,05:22:02,03:53:48,10:21:29,Ironman Gurye,09/09/2018,"Gurye, Korea"
1,Ojin Kim,1213,M50-54,Korea Republic of,01:10:31,05:31:44,03:32:46,10:23:19,Ironman Gurye,09/09/2018,"Gurye, Korea"
2,Kangsub Song,1300,M50-54,Korea Republic of,01:06:18,05:31:37,03:38:52,10:23:50,Ironman Gurye,09/09/2018,"Gurye, Korea"
7,Joonhwan Bang,244,M30-34,Korea Republic of,01:07:10,05:42:22,03:26:54,10:24:31,Ironman Gurye,09/09/2018,"Gurye, Korea"
8,Grisha Payne,316,M30-34,Australia,00:52:36,05:39:27,03:48:39,10:25:55,Ironman Gurye,09/09/2018,"Gurye, Korea"
8,Juan Carlos Colin Fiche,833,M45-49,Mexico,01:04:36,05:39:16,03:32:18,10:26:29,Ironman Gurye,09/09/2018,"Gurye, Korea"
13,Hoon Choi,559,M40-44,Korea Republic of,01:05:34,05:21:23,03:54:35,10:26:52,Ironman Gurye,09/09/2018,"Gurye, Korea"
3,Seungreul Baek,1129,M50-54,Korea Republic of,01:20:41,05:21:38,03:36:49,10:27:53,Ironman Gurye,09/09/2018,"Gurye, Korea"
9,Jiro Kaisaka,893,M45-49,Japan,01:07:03,05:27:13,03:47:46,10:30:17,Ironman Gurye,09/09/2018,"Gurye, Korea"
14,Gabriel Harley,590,M40-44,United States,01:08:17,05:36:09,03:40:10,10:30:50,Ironman Gurye,09/09/2018,"Gurye, Korea"
15,Hori Makoto,707,M40-44,Japan,01:14:49,05:33:32,03:35:34,10:30:51,Ironman Gurye,09/09/2018,"Gurye, Korea"
16,Stan Ehrlich,577,M40-44,Germany,01:09:16,05:31:23,03:42:50,10:31:34,Ironman Gurye,09/09/2018,"Gurye, Korea"
17,Giovanni Accetturo,527,M40-44,Italy,01:07:50,05:30:03,03:46:59,10:31:55,Ironman Gurye,09/09/2018,"Gurye, Korea"
9,Francesco Frova,255,M30-34,Italy,01:10:53,05:44:31,03:28:55,10:32:01,Ironman Gurye,09/09/2018,"Gurye, Korea"
1,Jihyun Lee,39,F35-39,Korea Republic of,01:04:18,05:36:47,03:47:19,10:33:57,Ironman Gurye,09/09/2018,"Gurye, Korea"
18,Hao Yun Kuo,654,M40-44,Taiwan,01:07:56,05:25:33,03:53:10,10:36:10,Ironman Gurye,09/09/2018,"Gurye, Korea"
19,Chang Jun Lee,661,M40-44,Korea Republic of,01:04:20,05:39:44,03:41:16,10:36:11,Ironman Gurye,09/09/2018,"Gurye, Korea"
4,Kikuchi Hidiki,1155,M50-54,Japan,01:10:26,05:44:42,03:34:46,10:36:44,Ironman Gurye,09/09/2018,"Gurye, Korea"
20,In Deok Jung,615,M40-44,Korea Republic of,01:13:29,05:40:11,03:36:54,10:39:15,Ironman Gurye,09/09/2018,"Gurye, Korea"
10,Jae Won Kim,284,M30-34,Korea Republic of,00:51:30,05:29:03,04:12:16,10:39:17,Ironman Gurye,09/09/2018,"Gurye, Korea"
10,Won Joon Choi,831,M45-49,Korea Republic of,01:12:42,05:24:36,03:57:14,10:41:18,Ironman Gurye,09/09/2018,"Gurye, Korea"
11,Jung-Mo Kim,932,M45-49,Korea Republic of,01:18:49,05:46:42,03:26:09,10:43:04,Ironman Gurye,09/09/2018,"Gurye, Korea"
12,Kazunari Kanai,895,M45-49,Japan,01:05:32,05:30:55,03:59:26,10:43:08,Ironman Gurye,09/09/2018,"Gurye, Korea"
21,Hai Tao Sun,763,M40-44,China,01:17:10,05:24:53,03:51:44,10:43:20,Ironman Gurye,09/09/2018,"Gurye, Korea"
5,Sung Raul Park,473,M35-39,Korea Republic of,01:04:47,05:24:57,04:06:18,10:44:20,Ironman Gurye,09/09/2018,"Gurye, Korea"
13,Kwang Soo Park,1050,M45-49,Korea Republic of,01:10:54,05:24:34,04:03:15,10:45:19,Ironman Gurye,09/09/2018,"Gurye, Korea"
22,Shimon Enatsu,578,M40-44,Japan,01:00:42,05:38:06,04:01:23,10:46:01,Ironman Gurye,09/09/2018,"Gurye, Korea"
23,Hyun Hwang Bo,594,M40-44,Korea Republic of,01:08:21,05:44:36,03:46:48,10:46:06,Ironman Gurye,09/09/2018,"Gurye, Korea"
11,Hyungeun Kang,277,M30-34,Korea Republic of,01:08:46,05:06:36,04:24:09,10:46:20,Ironman Gurye,09/09/2018,"Gurye, Korea"
14,Changbeom Han,844,M45-49,Korea Republic of,01:13:07,05:32:12,03:54:52,10:46:37,Ironman Gurye,09/09/2018,"Gurye, Korea"
3,Fred Huang,212,M25-29,Taiwan,01:02:41,05:47:59,03:48:03,10:46:52,Ironman Gurye,09/09/2018,"Gurye, Korea"
15,Goto Satoshi,1075,M45-49,Japan,01:10:17,05:23:48,04:04:57,10:47:29,Ironman Gurye,09/09/2018,"Gurye, Korea"
1,Simone Boehm,103,F45-49,Germany,01:08:05,05:43:57,03:51:03,10:49:26,Ironman Gurye,09/09/2018,"Gurye, Korea"
5,Jae-Ho Lee,1241,M50-54,Korea Republic of,01:20:32,05:35:25,03:43:48,10:49:30,Ironman Gurye,09/09/2018,"Gurye, Korea"
16,Joon Kyu Park,1048,M45-49,Korea Republic of,01:14:50,05:48:23,03:37:14,10:50:31,Ironman Gurye,09/09/2018,"Gurye, Korea"
6,Helge-Christian Dr. Dr. Rehmann,1144,M50-54,Germany,01:07:55,05:43:09,03:54:32,10:51:23,Ironman Gurye,09/09/2018,"Gurye, Korea"
1,Mei See Chin,59,F40-44,Malaysia,01:18:15,05:37:59,03:47:05,10:53:11,Ironman Gurye,09/09/2018,"Gurye, Korea"
6,Jong-Hun Park,470,M35-39,Korea Republic of,01:21:59,05:36:06,03:47:10,10:53:27,Ironman Gurye,09/09/2018,"Gurye, Korea"
12,Hyo Min Kim,282,M30-34,Korea Republic of,01:07:09,05:40:12,03:57:00,10:53:37,Ironman Gurye,09/09/2018,"Gurye, Korea"
7,Zhiping Wu,512,M35-39,China,01:11:04,05:44:28,03:50:24,10:54:32,Ironman Gurye,09/09/2018,"Gurye, Korea"
17,Bong Gyun Sin,1089,M45-49,Korea Republic of,01:05:41,05:47:12,03:54:04,10:54:47,Ironman Gurye,09/09/2018,"Gurye, Korea"
4,Chi Hang Yuen,237,M25-29,Hong Kong,01:03:58,05:48:18,03:53:39,10:56:31,Ironman Gurye,09/09/2018,"Gurye, Korea"
7,Hai Xu,1316,M50-54,China,01:16:19,05:48:28,03:43:39,10:57:11,Ironman Gurye,09/09/2018,"Gurye, Korea"
8,Shuo Zhang,523,M35-39,China,01:13:26,05:36:27,03:56:58,10:57:20,Ironman Gurye,09/09/2018,"Gurye, Korea"
18,Hyungnam Kim,922,M45-49,Korea Republic of,01:03:45,05:47:14,03:57:23,10:57:23,Ironman Gurye,09/09/2018,"Gurye, Korea"
13,Chang-Ki Ahn,240,M30-34,Korea Republic of,01:16:06,05:26:16,04:04:45,10:57:31,Ironman Gurye,09/09/2018,"Gurye, Korea"
9,Gabriel Linder,442,M35-39,Germany,01:00:13,05:24:57,04:26:26,10:58:04,Ironman Gurye,09/09/2018,"Gurye, Korea"
1,Monica Liston,12,F25-29,Australia,01:00:56,06:02:58,03:46:10,10:58:12,Ironman Gurye,09/09/2018,"Gurye, Korea"
19,Wonseok Jang,873,M45-49,Korea Republic of,01:11:43,05:39:26,03:59:44,10:58:47,Ironman Gurye,09/09/2018,"Gurye, Korea"
10,Wei Wang,506,M35-39,China,01:17:43,05:43:58,03:46:04,10:58:53,Ironman Gurye,09/09/2018,"Gurye, Korea"
20,Takashi Makino,1012,M45-49,Japan,01:11:46,05:39:18,04:01:37,10:59:00,Ironman Gurye,09/09/2018,"Gurye, Korea"
21,Jang Yeol Lee,979,M45-49,Korea Republic of,01:11:08,05:35:50,04:01:57,11:00:16,Ironman Gurye,09/09/2018,"Gurye, Korea"
2,Kyoung-Hwa Kim,73,F40-44,Korea Republic of,01:13:53,05:56:01,03:42:46,11:01:28,Ironman Gurye,09/09/2018,"Gurye, Korea"
1,Baek-Woon Kim,1481,M60-64,Korea Republic of,01:13:49,05:42:32,03:56:12,11:01:34,Ironman Gurye,09/09/2018,"Gurye, Korea"
