Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,Race,Date,Location
1,Thomas Frühwirth,192,MHC,,01:09:17,05:22:25,02:02:22,08:43:53,Ironman Gurye,09/09/2017,"Gurye, Korea"
1,Joshua Randall,539,M35-39,,01:03:10,04:43:07,03:27:11,09:21:07,Ironman Gurye,09/09/2017,"Gurye, Korea"
2,Qi Dang,407,M35-39,,00:55:11,05:06:17,03:39:31,09:48:05,Ironman Gurye,09/09/2017,"Gurye, Korea"
1,Mats Allen,201,M18-24,,00:54:40,05:05:48,03:46:25,09:53:49,Ironman Gurye,09/09/2017,"Gurye, Korea"
3,Satoshi Maruta,509,M35-39,,01:12:14,05:13:10,03:22:22,09:54:15,Ironman Gurye,09/09/2017,"Gurye, Korea"
1,Sung-Jin Park,842,M40-44,,01:08:28,05:07:53,03:33:45,09:56:54,Ironman Gurye,09/09/2017,"Gurye, Korea"
2,Yong-Gyun Jin,696,M40-44,,01:15:58,05:09:39,03:21:09,09:57:27,Ironman Gurye,09/09/2017,"Gurye, Korea"
1,Dante Macalintal,1154,M45-49,,01:13:22,05:49:31,02:24:10,09:59:36,Ironman Gurye,09/09/2017,"Gurye, Korea"
4,Won-Seok Jeong,436,M35-39,,01:09:16,05:06:21,03:37:37,10:00:18,Ironman Gurye,09/09/2017,"Gurye, Korea"
1,Ryota Fujiwara,267,M30-34,,01:03:13,05:22:55,03:32:07,10:06:45,Ironman Gurye,09/09/2017,"Gurye, Korea"
2,Il-Hwan Oh,1167,M45-49,,01:11:33,05:09:22,03:38:10,10:08:02,Ironman Gurye,09/09/2017,"Gurye, Korea"
3,Kyu-Seon Lee,1122,M45-49,,01:15:25,05:23:06,03:26:29,10:13:50,Ironman Gurye,09/09/2017,"Gurye, Korea"
4,Shingo Wakahara,1256,M45-49,,01:02:53,05:24:35,03:35:55,10:13:51,Ironman Gurye,09/09/2017,"Gurye, Korea"
5,Kwang-Soo Choi,957,M45-49,,01:13:49,05:16:53,03:36:01,10:15:00,Ironman Gurye,09/09/2017,"Gurye, Korea"
1,Akio Yamauchi,1600,M55-59,,01:22:40,05:08:37,03:32:32,10:15:02,Ironman Gurye,09/09/2017,"Gurye, Korea"
