Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,Race,Date,Location
1,Bart Aernouts,39,M PRO,BEL,00:19:46,04:00:50,02:39:50,07:05:24,Ironman Hamburg,07/29/2018,"Hamburg, Germany
"
2,Joe Skipper,26,M PRO,GBR,00:19:47,04:01:38,02:45:37,07:12:33,Ironman Hamburg,07/29/2018,"Hamburg, Germany
"
3,James Cunnama,1,M PRO,RSA,00:19:50,04:00:43,02:48:44,07:13:52,Ironman Hamburg,07/29/2018,"Hamburg, Germany
"
4,Will Clarke,34,M PRO,GBR,00:19:46,04:08:58,02:45:38,07:20:15,Ironman Hamburg,07/29/2018,"Hamburg, Germany
"
5,Franz Loeschke,17,M PRO,GER,00:19:51,04:07:13,02:54:35,07:26:54,Ironman Hamburg,07/29/2018,"Hamburg, Germany
"
6,Jonathan Shearon,24,M PRO,USA,00:21:06,04:12:07,02:50:58,07:30:07,Ironman Hamburg,07/29/2018,"Hamburg, Germany
"
7,Patrick Dirksmeier,12,M PRO,GER,00:19:49,04:13:00,02:51:46,07:30:38,Ironman Hamburg,07/29/2018,"Hamburg, Germany
"
8,Paul Schuster,37,M PRO,GER,00:19:51,04:07:12,03:02:07,07:34:03,Ironman Hamburg,07/29/2018,"Hamburg, Germany
"
9,Tim Don,2,M PRO,GBR,00:19:51,04:01:30,03:14:30,07:40:58,Ironman Hamburg,07/29/2018,"Hamburg, Germany
"
10,Thomas Bosch,32,M PRO,GER,00:19:48,04:14:02,03:03:35,07:43:01,Ironman Hamburg,07/29/2018,"Hamburg, Germany
"
1,Ruben Zepuntke,866,M 25,GER,00:21:47,04:07:34,03:11:38,07:47:01,Ironman Hamburg,07/29/2018,"Hamburg, Germany
"
11,Christian Haupt,13,M PRO,GER,00:21:12,04:23:18,03:03:36,07:53:44,Ironman Hamburg,07/29/2018,"Hamburg, Germany
"
1,Dr. Philipp Ellert,901,M 30,GER,00:24:29,04:19:31,03:04:44,07:55:01,Ironman Hamburg,07/29/2018,"Hamburg, Germany
"
12,Philipp Mock,19,M PRO,GER,00:21:51,04:11:13,03:16:03,07:55:29,Ironman Hamburg,07/29/2018,"Hamburg, Germany
"
1,Benjamin Dicke,191,M 35,GER,00:22:21,04:21:58,03:03:43,07:55:35,Ironman Hamburg,07/29/2018,"Hamburg, Germany
"
2,Torben Bies,328,M 35,GER,00:21:49,04:32:35,02:55:13,07:57:04,Ironman Hamburg,07/29/2018,"Hamburg, Germany
"
2,Benjamin Winkler,1069,M 30,GER,00:21:39,04:22:05,03:08:23,07:58:10,Ironman Hamburg,07/29/2018,"Hamburg, Germany
"
1,Timo Schaffeld,747,M 18,GER,00:21:47,04:27:32,03:06:10,07:59:47,Ironman Hamburg,07/29/2018,"Hamburg, Germany
"
1,Brian Birch Strandby,1600,M 40,DEN,00:21:23,04:36:38,02:54:30,08:00:06,Ironman Hamburg,07/29/2018,"Hamburg, Germany
"
13,Christian Brader,10,M PRO,GER,00:19:48,04:32:24,03:03:34,08:01:33,Ironman Hamburg,07/29/2018,"Hamburg, Germany
"
2,Lukas Roth,841,M 25,GER,00:22:58,04:36:47,02:57:06,08:02:46,Ironman Hamburg,07/29/2018,"Hamburg, Germany
"
3,Sascha Hubbert,2423,M 25,GER,00:21:48,04:17:50,03:21:33,08:08:07,Ironman Hamburg,07/29/2018,"Hamburg, Germany
"
1,Sarah Crowley,65,F PRO,AUS,00:22:45,04:34:44,03:05:35,08:08:19,Ironman Hamburg,07/29/2018,"Hamburg, Germany
"
4,Christopher Wehrle,317,M 25,GER,00:23:04,04:29:43,03:09:44,08:08:32,Ironman Hamburg,07/29/2018,"Hamburg, Germany
"
2,Martin Huhndorf,438,M 40,GER,00:22:48,04:33:40,03:07:04,08:09:58,Ironman Hamburg,07/29/2018,"Hamburg, Germany
"
3,Brochan Watts,1324,M 35,GBR,00:23:59,04:40:15,02:59:33,08:10:13,Ironman Hamburg,07/29/2018,"Hamburg, Germany
"
4,Arnaud Edus,1129,M 35,FRA,00:24:30,04:30:09,03:09:12,08:11:50,Ironman Hamburg,07/29/2018,"Hamburg, Germany
"
2,Katharina Grohmann,55,F PRO,GER,00:23:14,04:38:13,03:06:17,08:13:28,Ironman Hamburg,07/29/2018,"Hamburg, Germany
"
5,Luca Renzi,341,M 35,ITA,00:23:22,04:39:34,03:04:58,08:14:03,Ironman Hamburg,07/29/2018,"Hamburg, Germany
"
3,Jan Stelzner,326,M 30,GER,00:22:13,04:40:57,03:04:38,08:14:29,Ironman Hamburg,07/29/2018,"Hamburg, Germany
"
