Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,Race,Date,Location
1,Knut Ole Thoreplass,1327,M45-49,NOR,00:57:14,04:58:49,02:58:29,09:01:37,Ironman Haugesund,06/30/2019,"Haugesund, Norway"
1,Karsten Schütt,1055,M25-29,DEN,00:47:35,05:07:40,03:06:51,09:08:04,Ironman Haugesund,06/30/2019,"Haugesund, Norway"
1,Heiko Sepp,1218,M35-39,EST,01:08:09,05:03:06,02:49:33,09:09:59,Ironman Haugesund,06/30/2019,"Haugesund, Norway"
2,Jens Koefoed,1065,M45-49,DEN,00:53:28,05:02:07,03:08:28,09:10:10,Ironman Haugesund,06/30/2019,"Haugesund, Norway"
2,Maksim Anfimov,1203,M35-39,RUS,00:59:42,05:02:10,03:02:53,09:10:24,Ironman Haugesund,06/30/2019,"Haugesund, Norway"
3,Øystein Eriksen,1415,M35-39,NOR,00:58:33,04:57:47,03:06:49,09:11:55,Ironman Haugesund,06/30/2019,"Haugesund, Norway"
1,Roel De Smet,1164,M30-34,BEL,01:02:33,04:59:03,03:07:19,09:14:59,Ironman Haugesund,06/30/2019,"Haugesund, Norway"
1,Haugesund Sparebank ,1806,MRELAY,NOR,01:03:57,04:51:09,03:17:45,09:16:37,Ironman Haugesund,06/30/2019,"Haugesund, Norway"
2,Sondre Halden,1020,M25-29,NOR,00:53:18,05:11:10,03:09:24,09:19:44,Ironman Haugesund,06/30/2019,"Haugesund, Norway"
4,Manuel Spörri,1220,M35-39,SUI,01:00:27,05:06:16,03:08:06,09:21:27,Ironman Haugesund,06/30/2019,"Haugesund, Norway"
3,Dennis Andersson,1006,M25-29,SWE,00:52:41,05:06:19,03:17:14,09:22:36,Ironman Haugesund,06/30/2019,"Haugesund, Norway"
2,Bonami Hannes,1170,M30-34,BEL,00:57:14,05:09:23,03:08:55,09:23:35,Ironman Haugesund,06/30/2019,"Haugesund, Norway"
1,Magnus Linder,1032,M40-44,SWE,00:59:56,05:00:50,03:18:10,09:27:28,Ironman Haugesund,06/30/2019,"Haugesund, Norway"
5,Chris Nerli,1212,M35-39,NOR,00:59:25,05:07:06,03:14:09,09:28:42,Ironman Haugesund,06/30/2019,"Haugesund, Norway"
6,Alexander Ask,1400,M35-39,NOR,01:08:40,05:06:09,03:04:48,09:28:50,Ironman Haugesund,06/30/2019,"Haugesund, Norway"
3,Michael Kirch,1036,M45-49,BEL,01:03:15,05:15:45,03:08:05,09:36:50,Ironman Haugesund,06/30/2019,"Haugesund, Norway"
