Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,Race,Date,Location
1,Boris Stein,3,M PRO,GER,00:49:09,04:03:07,02:53:37,07:49:16,Ironman Kalmar,08/17/2019,"Kalmar, Sweden"
2,Denis Chevrot,11,M PRO,FRA,00:45:38,04:17:34,02:44:06,07:51:02,Ironman Kalmar,08/17/2019,"Kalmar, Sweden"
3,Mathias Petersen,33,M PRO,DEN,00:45:29,04:16:24,02:47:31,07:52:31,Ironman Kalmar,08/17/2019,"Kalmar, Sweden"
4,Morten Brammer Olesen,53,M PRO,DEN,00:49:07,04:14:29,02:45:33,07:53:04,Ironman Kalmar,08/17/2019,"Kalmar, Sweden"
5,Tomáš Renc,40,M PRO,CZE,00:45:35,04:17:53,02:46:49,07:54:06,Ironman Kalmar,08/17/2019,"Kalmar, Sweden"
6,Gustavo Rodriguez Iglesias,39,M PRO,ESP,00:48:51,04:15:01,02:51:48,07:59:26,Ironman Kalmar,08/17/2019,"Kalmar, Sweden"
7,Pedro Jose Batisda Andujar,25,M PRO,ESP,00:48:37,04:12:49,02:54:11,07:59:50,Ironman Kalmar,08/17/2019,"Kalmar, Sweden"
8,Markus Liebelt,31,M PRO,GER,00:48:45,04:09:48,03:00:02,08:03:17,Ironman Kalmar,08/17/2019,"Kalmar, Sweden"
9,Kirill Kotsegarov,14,M PRO,EST,00:48:53,04:12:54,02:58:13,08:05:13,Ironman Kalmar,08/17/2019,"Kalmar, Sweden"
10,Karl-Johan Danielsson,7,M PRO,SWE,00:45:52,04:11:41,03:09:31,08:10:43,Ironman Kalmar,08/17/2019,"Kalmar, Sweden"
11,Denis Šketako,56,M PRO,SLO,00:49:22,04:24:11,02:54:33,08:11:51,Ironman Kalmar,08/17/2019,"Kalmar, Sweden"
12,Kristian Hindkjaer,34,M PRO,DEN,00:48:38,04:15:08,03:09:24,08:17:15,Ironman Kalmar,08/17/2019,"Kalmar, Sweden"
13,Erik Holmberg,17,M PRO,SWE,00:49:03,04:28:14,03:03:45,08:24:26,Ironman Kalmar,08/17/2019,"Kalmar, Sweden"
14,Bjoern Laibacher,23,M PRO,GER,00:50:17,04:25:02,03:03:16,08:24:26,Ironman Kalmar,08/17/2019,"Kalmar, Sweden"
15,Vicenc Castella,20,M PRO,ESP,00:53:44,04:35:58,02:51:47,08:26:14,Ironman Kalmar,08/17/2019,"Kalmar, Sweden"
16,Giulio Molinari,2,M PRO,ITA,00:45:32,04:17:55,03:20:27,08:27:44,Ironman Kalmar,08/17/2019,"Kalmar, Sweden"
17,Morgan Björkqvist,16,M PRO,SWE,00:55:45,04:27:40,03:02:50,08:29:44,Ironman Kalmar,08/17/2019,"Kalmar, Sweden"
18,Jonas Örarbäck,18,M PRO,SWE,00:55:50,04:29:02,03:04:06,08:32:36,Ironman Kalmar,08/17/2019,"Kalmar, Sweden"
19,Jean-Claude Besse,43,M PRO,SUI,00:48:42,04:42:01,02:58:41,08:32:53,Ironman Kalmar,08/17/2019,"Kalmar, Sweden"
1,Clas Björling,317,M 40,SWE,00:55:38,04:35:24,03:02:21,08:36:59,Ironman Kalmar,08/17/2019,"Kalmar, Sweden"
1,Ruben Best,285,M 25,GER,00:58:24,04:35:33,03:00:05,08:38:33,Ironman Kalmar,08/17/2019,"Kalmar, Sweden"
2,Magnus Olander,328,M 40,SWE,00:55:40,04:39:55,03:00:11,08:39:57,Ironman Kalmar,08/17/2019,"Kalmar, Sweden"
2,Tobias Barkschat,152,M 25,GER,00:55:02,04:35:48,03:07:07,08:42:51,Ironman Kalmar,08/17/2019,"Kalmar, Sweden"
3,Fredrik Häggmark,1148,M 25,SWE,01:06:33,04:31:32,03:01:08,08:45:38,Ironman Kalmar,08/17/2019,"Kalmar, Sweden"
20,Eneko Elosegui,35,M PRO,ESP,00:55:47,04:32:59,03:12:46,08:45:42,Ironman Kalmar,08/17/2019,"Kalmar, Sweden"
21,Andrey Lyatskiy,8,M PRO,RUS,00:49:26,04:49:10,03:03:24,08:46:18,Ironman Kalmar,08/17/2019,"Kalmar, Sweden"
1,Marcus Heller,307,M 35,GER,00:55:19,04:35:58,03:10:44,08:46:41,Ironman Kalmar,08/17/2019,"Kalmar, Sweden"
3,Mikael Nelker,327,M 40,SWE,00:58:04,04:39:41,03:02:42,08:46:44,Ironman Kalmar,08/17/2019,"Kalmar, Sweden"
22,Jan Sneberger,28,M PRO,CZE,00:50:22,04:49:10,03:06:24,08:49:56,Ironman Kalmar,08/17/2019,"Kalmar, Sweden"
4,Fredrik Ekström,112,M 40,SWE,00:57:45,04:37:32,03:09:18,08:50:12,Ironman Kalmar,08/17/2019,"Kalmar, Sweden"
5,Johan Larsson,117,M 40,SWE,00:53:03,04:45:25,03:07:48,08:51:13,Ironman Kalmar,08/17/2019,"Kalmar, Sweden"
2,Erik Östrom,1671,M 35,SWE,00:55:13,04:44:05,03:08:10,08:52:32,Ironman Kalmar,08/17/2019,"Kalmar, Sweden"
23,Bekim Christensen,19,M PRO,DEN,00:53:46,04:26:42,03:26:44,08:53:02,Ironman Kalmar,08/17/2019,"Kalmar, Sweden"
1,Erik Olsson,302,M 30,SWE,01:03:15,04:37:03,03:09:32,08:54:44,Ironman Kalmar,08/17/2019,"Kalmar, Sweden"
3,Oscar Ek,1488,M 35,SWE,00:55:27,04:42:42,03:16:42,08:58:31,Ironman Kalmar,08/17/2019,"Kalmar, Sweden"
4,Leslie De Cuyper,108,M 35,BEL,01:06:05,04:39:41,03:07:59,09:00:40,Ironman Kalmar,08/17/2019,"Kalmar, Sweden"
6,Patrik Viklund,1978,M 40,SWE,00:59:00,04:45:37,03:12:30,09:02:13,Ironman Kalmar,08/17/2019,"Kalmar, Sweden"
24,Alexander Berggren,45,M PRO,SWE,00:43:52,04:44:11,03:30:54,09:02:25,Ironman Kalmar,08/17/2019,"Kalmar, Sweden"
5,Carl-Johan Leinoff,1566,M 35,SWE,00:58:58,04:37:17,03:20:14,09:02:49,Ironman Kalmar,08/17/2019,"Kalmar, Sweden"
2,Neukamp Christoph,396,M 30,AUT,01:05:36,04:42:09,03:08:46,09:03:02,Ironman Kalmar,08/17/2019,"Kalmar, Sweden"
1,Patrik Kronholm,2156,M 45,SWE,00:59:51,04:44:23,03:14:33,09:03:57,Ironman Kalmar,08/17/2019,"Kalmar, Sweden"
3,Joan Tomas Acosta,1412,M 30,ESP,01:04:16,04:34:29,03:18:57,09:04:47,Ironman Kalmar,08/17/2019,"Kalmar, Sweden"
4,Marius Karlsen,158,M 25,NOR,00:57:45,04:43:38,03:17:24,09:05:00,Ironman Kalmar,08/17/2019,"Kalmar, Sweden"
7,Piotr Rozalski,1911,M 40,POL,00:55:35,04:44:55,03:19:44,09:05:03,Ironman Kalmar,08/17/2019,"Kalmar, Sweden"
4,Guillaume Crozet,293,M 30,FRA,00:51:36,04:48:09,03:21:00,09:05:33,Ironman Kalmar,08/17/2019,"Kalmar, Sweden"
1,Torbjorn Claeson,2374,M 50,SWE,01:03:18,04:34:25,03:23:12,09:06:12,Ironman Kalmar,08/17/2019,"Kalmar, Sweden"
8,Jonas Svensson,1949,M 40,SWE,01:04:00,04:54:39,03:03:10,09:07:02,Ironman Kalmar,08/17/2019,"Kalmar, Sweden"
5,Oskar Mellgren,1344,M 30,SWE,01:03:51,04:41:47,03:17:14,09:07:33,Ironman Kalmar,08/17/2019,"Kalmar, Sweden"
6,Torsten Holz,1315,M 30,GER,00:53:44,04:44:46,03:25:28,09:07:33,Ironman Kalmar,08/17/2019,"Kalmar, Sweden"
9,Daniel Överfjord,120,M 40,SWE,01:04:36,04:53:37,03:02:16,09:08:24,Ironman Kalmar,08/17/2019,"Kalmar, Sweden"
7,Emil Lönn,298,M 30,SWE,00:57:49,04:48:59,03:17:31,09:09:16,Ironman Kalmar,08/17/2019,"Kalmar, Sweden"
10,Adam Treschow,332,M 40,SWE,01:03:39,04:48:06,03:12:12,09:09:38,Ironman Kalmar,08/17/2019,"Kalmar, Sweden"
6,Thomas Emilsson,305,M 35,SWE,00:58:12,04:39:06,03:27:06,09:09:59,Ironman Kalmar,08/17/2019,"Kalmar, Sweden"
5,Joakim Frisk,1134,M 25,SWE,01:03:45,04:37:56,03:23:32,09:10:58,Ironman Kalmar,08/17/2019,"Kalmar, Sweden"
11,Michael Sjöberg,204,M 40,SWE,01:04:07,04:34:37,03:28:30,09:11:44,Ironman Kalmar,08/17/2019,"Kalmar, Sweden"
12,Kristian Karacic,193,M 40,GER,00:54:39,04:46:51,03:25:07,09:12:17,Ironman Kalmar,08/17/2019,"Kalmar, Sweden"
2,Zbysek Jaros,121,M 45,CZE,00:58:03,04:44:54,03:25:28,09:13:13,Ironman Kalmar,08/17/2019,"Kalmar, Sweden"
7,Lars Barnekow,1447,M 35,SWE,01:04:38,04:48:19,03:12:10,09:14:41,Ironman Kalmar,08/17/2019,"Kalmar, Sweden"
8,Ville Keränen,1555,M 35,FIN,01:04:55,04:36:09,03:26:33,09:15:49,Ironman Kalmar,08/17/2019,"Kalmar, Sweden"
3,Stefan Bolling,2051,M 45,SWE,00:55:14,04:55:18,03:20:46,09:16:14,Ironman Kalmar,08/17/2019,"Kalmar, Sweden"
13,Henrik Jansson,1807,M 40,SWE,00:54:43,04:44:08,03:32:45,09:16:17,Ironman Kalmar,08/17/2019,"Kalmar, Sweden"
9,Anders Ellow,1494,M 35,SWE,00:59:16,04:50:12,03:21:44,09:16:40,Ironman Kalmar,08/17/2019,"Kalmar, Sweden"
1,Gustav Hansson,282,M 18,SWE,01:03:06,04:47:13,03:21:09,09:16:56,Ironman Kalmar,08/17/2019,"Kalmar, Sweden"
4,Magnus Andersson,2012,M 45,SWE,01:01:27,04:44:35,03:25:40,09:17:05,Ironman Kalmar,08/17/2019,"Kalmar, Sweden"
10,Roberto Weichelt,180,M 35,SUI,01:03:51,04:43:55,03:24:34,09:17:48,Ironman Kalmar,08/17/2019,"Kalmar, Sweden"
6,Gustav Lindeborg,1167,M 25,SWE,00:59:58,04:49:09,03:24:19,09:18:30,Ironman Kalmar,08/17/2019,"Kalmar, Sweden"
11,Ruben Almendro Enrique,1435,M 35,ESP,01:03:21,04:54:17,03:13:26,09:18:32,Ironman Kalmar,08/17/2019,"Kalmar, Sweden"
14,Björn Nahnsen,1865,M 40,GER,01:08:01,04:55:51,03:10:26,09:20:15,Ironman Kalmar,08/17/2019,"Kalmar, Sweden"
15,Tommie Sjödin,331,M 40,SWE,01:05:11,04:44:41,03:23:14,09:20:27,Ironman Kalmar,08/17/2019,"Kalmar, Sweden"
8,Mattias Markenstrand,1341,M 30,SWE,01:01:10,04:46:50,03:27:01,09:20:32,Ironman Kalmar,08/17/2019,"Kalmar, Sweden"
5,Tobias Tyberg,2288,M 45,SWE,01:01:17,04:50:14,03:23:28,09:20:32,Ironman Kalmar,08/17/2019,"Kalmar, Sweden"
2,Maximilian Müller,1086,M 18,GER,01:01:54,04:56:39,03:14:44,09:20:32,Ironman Kalmar,08/17/2019,"Kalmar, Sweden"
9,Erik Graffner,161,M 30,SWE,00:57:33,04:46:38,03:32:33,09:21:08,Ironman Kalmar,08/17/2019,"Kalmar, Sweden"
7,John Petersson,1190,M 25,SWE,00:55:12,04:51:39,03:28:33,09:22:39,Ironman Kalmar,08/17/2019,"Kalmar, Sweden"
12,Nicklas Yderhag,1664,M 35,SWE,00:48:53,04:51:59,03:36:12,09:23:06,Ironman Kalmar,08/17/2019,"Kalmar, Sweden"
10,Maarten Backaert,1252,M 30,BEL,01:03:08,04:46:38,03:28:58,09:24:12,Ironman Kalmar,08/17/2019,"Kalmar, Sweden"
11,Hendrik Sjölund,1389,M 30,SWE,01:01:29,04:50:24,03:25:48,09:24:38,Ironman Kalmar,08/17/2019,"Kalmar, Sweden"
12,Emil Wallin,1415,M 30,SWE,01:12:35,04:45:18,03:20:43,09:24:54,Ironman Kalmar,08/17/2019,"Kalmar, Sweden"
13,Anton Lundin,1570,M 35,SWE,01:06:21,05:00:32,03:11:42,09:25:01,Ironman Kalmar,08/17/2019,"Kalmar, Sweden"
6,Franz Hellberg,2126,M 45,SWE,00:56:08,04:39:06,03:45:01,09:25:18,Ironman Kalmar,08/17/2019,"Kalmar, Sweden"
8,Alex Hill,155,M 25,GBR,01:00:39,04:58:09,03:22:01,09:25:47,Ironman Kalmar,08/17/2019,"Kalmar, Sweden"
9,Mikkel Kæmsgaard,157,M 25,DEN,01:04:33,05:01:52,03:14:00,09:26:07,Ironman Kalmar,08/17/2019,"Kalmar, Sweden"
16,Johan Falkenberg,186,M 40,SWE,01:04:09,04:54:17,03:22:15,09:26:39,Ironman Kalmar,08/17/2019,"Kalmar, Sweden"
14,Florian Winterstein,1660,M 35,GER,00:58:12,04:55:52,03:28:14,09:26:43,Ironman Kalmar,08/17/2019,"Kalmar, Sweden"
13,Antonio Eterovic,1282,M 30,CRO,01:02:59,04:49:25,03:28:52,09:26:49,Ironman Kalmar,08/17/2019,"Kalmar, Sweden"
7,Oliver Klaus,220,M 45,SUI,01:03:43,04:47:55,03:31:22,09:27:10,Ironman Kalmar,08/17/2019,"Kalmar, Sweden"
14,Finn Johannsen,1321,M 30,GER,00:58:25,04:44:40,03:38:55,09:27:32,Ironman Kalmar,08/17/2019,"Kalmar, Sweden"
15,Joakim Persson,164,M 30,SWE,01:01:15,04:47:25,03:33:49,09:27:50,Ironman Kalmar,08/17/2019,"Kalmar, Sweden"
17,Robert Schelin,1925,M 40,SWE,00:54:47,04:51:53,03:36:23,09:27:50,Ironman Kalmar,08/17/2019,"Kalmar, Sweden"
18,Thomas Gafner,113,M 40,SUI,01:10:50,04:39:12,03:30:21,09:28:01,Ironman Kalmar,08/17/2019,"Kalmar, Sweden"
16,David Jonsson,296,M 30,SWE,01:02:55,05:08:11,03:08:47,09:28:01,Ironman Kalmar,08/17/2019,"Kalmar, Sweden"
19,Leif Messerschmidt,1860,M 40,GER,01:05:55,04:56:10,03:20:19,09:28:04,Ironman Kalmar,08/17/2019,"Kalmar, Sweden"
20,Robert Westman,208,M 40,SWE,00:55:26,04:55:36,03:33:33,09:28:27,Ironman Kalmar,08/17/2019,"Kalmar, Sweden"
17,Björn Wisaeus,611,M 30,SWE,01:01:07,04:52:05,03:26:34,09:28:56,Ironman Kalmar,08/17/2019,"Kalmar, Sweden"
