Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,Race,Date,Location
1,Marcus Larsson,115,M 35-39,SWE,00:54:10,04:42:00,03:03:19,08:43:10,Ironman Kalmar,08/20/2016,"Kalmar, Sweden"
1,Mikkel Mortensen,720,M 18-24,DNK,00:56:19,04:47:10,03:04:32,08:51:48,Ironman Kalmar,08/20/2016,"Kalmar, Sweden"
2,Morgan Patsi,1351,M 35-39,SWE,01:04:31,04:36:58,03:05:12,08:52:14,Ironman Kalmar,08/20/2016,"Kalmar, Sweden"
1,Petter Liif,167,M 25-29,SWE,00:54:15,04:48:33,03:05:05,08:52:46,Ironman Kalmar,08/20/2016,"Kalmar, Sweden"
3,Petter Sandelin,289,M 35-39,SWE,01:02:47,04:42:20,03:05:52,08:55:16,Ironman Kalmar,08/20/2016,"Kalmar, Sweden"
4,Erik Ostrom,186,M 35-39,SWE,00:53:30,04:50:03,03:07:45,08:55:49,Ironman Kalmar,08/20/2016,"Kalmar, Sweden"
1,Mark Livesey,168,M 40-44,GBR,00:54:08,04:52:16,03:06:25,08:56:36,Ironman Kalmar,08/20/2016,"Kalmar, Sweden"
2,Simon Rud Sorensen,865,M 25-29,DNK,00:59:02,04:43:57,03:10:26,08:57:09,Ironman Kalmar,08/20/2016,"Kalmar, Sweden"
5,Jon Albuzuri,101,M 35-39,ESP,00:59:19,04:43:29,03:10:07,08:57:25,Ironman Kalmar,08/20/2016,"Kalmar, Sweden"
1,Adam Stenman,121,M 30-34,SWE,01:05:14,04:44:54,03:02:40,08:57:47,Ironman Kalmar,08/20/2016,"Kalmar, Sweden"
1,Niclas Fagrell,245,M 50-54,SWE,00:52:16,04:46:40,03:15:03,08:58:24,Ironman Kalmar,08/20/2016,"Kalmar, Sweden"
6,Mikael Nelker,1322,M 35-39,SWE,00:58:57,04:46:34,03:07:28,08:58:43,Ironman Kalmar,08/20/2016,"Kalmar, Sweden"
2,Marco Muhlnikel,1048,M 30-34,DEU,00:50:36,04:37:57,03:27:24,08:59:31,Ironman Kalmar,08/20/2016,"Kalmar, Sweden"
3,Andreas Aschenbrenner,901,M 30-34,DEU,01:06:25,04:48:58,03:00:54,09:01:46,Ironman Kalmar,08/20/2016,"Kalmar, Sweden"
2,Erik B:son Blomberg,228,M 40-44,SWE,00:58:46,04:56:22,03:03:36,09:02:18,Ironman Kalmar,08/20/2016,"Kalmar, Sweden"
3,Kristian Hallsten,1576,M 40-44,SWE,01:04:27,04:40:28,03:13:33,09:03:04,Ironman Kalmar,08/20/2016,"Kalmar, Sweden"
7,Markus Nymark,1338,M 35-39,SWE,00:59:06,04:43:13,03:13:01,09:03:29,Ironman Kalmar,08/20/2016,"Kalmar, Sweden"
4,Claes Ivenborg,254,M 40-44,SWE,01:07:31,04:48:18,03:03:21,09:04:48,Ironman Kalmar,08/20/2016,"Kalmar, Sweden"
5,Massimiliano Radi,1759,M 40-44,ITA,01:00:07,04:45:05,03:09:50,09:04:50,Ironman Kalmar,08/20/2016,"Kalmar, Sweden"
8,Fredrik Robertsson,1369,M 35-39,SWE,00:56:51,04:47:01,03:18:27,09:06:00,Ironman Kalmar,08/20/2016,"Kalmar, Sweden"
6,Jaros Zbysek,112,M 40-44,CZE,00:57:40,04:48:01,03:16:56,09:06:28,Ironman Kalmar,08/20/2016,"Kalmar, Sweden"
3,Martin Olsson,281,M 25-29,SWE,01:02:31,04:43:07,03:16:23,09:06:46,Ironman Kalmar,08/20/2016,"Kalmar, Sweden"
4,Lars Barnekow,909,M 30-34,SWE,01:04:57,04:44:54,03:12:12,09:07:43,Ironman Kalmar,08/20/2016,"Kalmar, Sweden"
4,Frederic Maigaard,117,M 25-29,DNK,00:52:23,04:51:33,03:19:21,09:08:41,Ironman Kalmar,08/20/2016,"Kalmar, Sweden"
9,Dave Phillips,1360,M 35-39,GBR,00:52:19,05:07:16,03:04:19,09:09:24,Ironman Kalmar,08/20/2016,"Kalmar, Sweden"
1,Thomas Baierl,104,M 45-49,DEU,00:59:56,04:45:37,03:19:29,09:10:31,Ironman Kalmar,08/20/2016,"Kalmar, Sweden"
10,Thomas Emilsson,1205,M 35-39,SWE,00:52:19,04:50:53,03:22:45,09:10:40,Ironman Kalmar,08/20/2016,"Kalmar, Sweden"
7,Daniel Johansson,1620,M 40-44,SWE,01:09:54,04:46:27,03:09:50,09:11:23,Ironman Kalmar,08/20/2016,"Kalmar, Sweden"
2,Pedro Segrelles Sendra,728,M 18-24,ESP,00:57:52,04:55:50,03:11:54,09:11:25,Ironman Kalmar,08/20/2016,"Kalmar, Sweden"
