Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,Race,Date,Location
1,Bart Aernouts,20,M PRO,BEL,00:50:34,04:48:22,02:48:28,08:34:13,Ironman Lanzarote,05/20/2017,"Canarias, Spain"
2,Alessandro Degasperi,3,M PRO,ITA,00:50:33,04:59:19,02:47:40,08:43:23,Ironman Lanzarote,05/20/2017,"Canarias, Spain"
3,Jesse Thomas,1,M PRO,USA,00:50:35,04:55:54,02:55:25,08:49:02,Ironman Lanzarote,05/20/2017,"Canarias, Spain"
4,Peru Alfaro,26,M PRO,ESP,00:47:04,05:02:27,02:55:29,08:52:31,Ironman Lanzarote,05/20/2017,"Canarias, Spain"
5,Romain Guillaume,5,M PRO,FRA,00:48:29,04:50:54,03:11:15,08:57:01,Ironman Lanzarote,05/20/2017,"Canarias, Spain"
6,Samuel Huerzeler,44,M PRO,CHE,00:52:08,05:05:06,02:53:53,08:59:07,Ironman Lanzarote,05/20/2017,"Canarias, Spain"
7,Timothy Van Houtem,46,M PRO,BEL,00:57:12,04:59:53,02:55:57,09:01:13,Ironman Lanzarote,05/20/2017,"Canarias, Spain"
8,Cedric Lassonde,24,M PRO,FRA,00:53:29,05:08:09,03:05:19,09:14:50,Ironman Lanzarote,05/20/2017,"Canarias, Spain"
9,Guillaume Lecallier,54,M PRO,FRA,00:55:38,05:07:06,03:06:07,09:15:46,Ironman Lanzarote,05/20/2017,"Canarias, Spain"
10,Trevor Delsaut,45,M PRO,FRA,00:50:32,05:09:16,03:11:52,09:19:17,Ironman Lanzarote,05/20/2017,"Canarias, Spain"
1,Brian Fogarty,79,M 30-34,GBR,01:01:47,04:58:03,03:15:18,09:22:57,Ironman Lanzarote,05/20/2017,"Canarias, Spain"
11,Nicholas Ward Munoz,12,M PRO,GBR,00:53:32,05:21:48,03:00:33,09:23:44,Ironman Lanzarote,05/20/2017,"Canarias, Spain"
12,Andrey Lyatskiy,22,M PRO,RUS,00:52:14,05:24:33,03:00:05,09:24:17,Ironman Lanzarote,05/20/2017,"Canarias, Spain"
1,Reece Barclay,69,M 25-29,GBR,00:50:22,05:17:59,03:10:24,09:27:16,Ironman Lanzarote,05/20/2017,"Canarias, Spain"
13,Karl-Johan Danielsson,11,M PRO,SWE,00:50:30,05:19:34,03:12:56,09:29:51,Ironman Lanzarote,05/20/2017,"Canarias, Spain"
2,Luis Hernandez Cano,317,M 30-34,ESP,00:59:25,05:05:36,03:17:10,09:30:13,Ironman Lanzarote,05/20/2017,"Canarias, Spain"
14,Philipp Mock,49,M PRO,DEU,00:57:02,05:01:57,03:23:37,09:32:13,Ironman Lanzarote,05/20/2017,"Canarias, Spain"
3,Petr Soukup,167,M 30-34,CZE,00:52:53,05:30:55,03:02:40,09:33:12,Ironman Lanzarote,05/20/2017,"Canarias, Spain"
1,Frederik Mejlby,337,M 35-39,DNK,01:02:57,05:25:31,02:57:52,09:34:21,Ironman Lanzarote,05/20/2017,"Canarias, Spain"
15,Xavier Torrades,40,M PRO,ESP,00:50:31,05:27:43,03:10:20,09:35:11,Ironman Lanzarote,05/20/2017,"Canarias, Spain"
1,Lucy Charles,6,F PRO,GBR,00:47:06,05:23:29,03:18:35,09:35:40,Ironman Lanzarote,05/20/2017,"Canarias, Spain"
1,Jesper Madsen,1024,M 40-44,DNK,00:58:25,05:28:35,02:59:33,09:36:38,Ironman Lanzarote,05/20/2017,"Canarias, Spain"
4,Maarten Seghers,81,M 30-34,BEL,00:57:11,05:29:00,03:05:04,09:39:48,Ironman Lanzarote,05/20/2017,"Canarias, Spain"
1,Ulrich Konschak,368,M 45-49,DEU,01:03:45,05:32:01,02:54:35,09:39:59,Ironman Lanzarote,05/20/2017,"Canarias, Spain"
2,Martin Kurt Huhndorf,96,M 40-44,DEU,00:53:45,05:28:31,03:10:27,09:41:15,Ironman Lanzarote,05/20/2017,"Canarias, Spain"
2,Nelis Pex,161,M 25-29,BEL,00:49:01,05:34:11,03:11:54,09:42:53,Ironman Lanzarote,05/20/2017,"Canarias, Spain"
16,Mike Schifferle,28,M PRO,CHE,00:59:28,05:18:17,03:14:08,09:43:24,Ironman Lanzarote,05/20/2017,"Canarias, Spain"
2,Corinne Abraham,17,F PRO,---,00:57:14,05:37:17,03:03:53,09:44:29,Ironman Lanzarote,05/20/2017,"Canarias, Spain"
2,Alexander Aguirreche,328,M 35-39,ESP,00:58:17,05:15:29,03:23:08,09:46:35,Ironman Lanzarote,05/20/2017,"Canarias, Spain"
3,Urmas Peiker,1033,M 40-44,EST,01:04:11,05:31:34,03:02:37,09:47:02,Ironman Lanzarote,05/20/2017,"Canarias, Spain"
3,Javier Perez Garcia,314,M 25-29,ESP,01:01:03,05:34:54,03:04:54,09:47:54,Ironman Lanzarote,05/20/2017,"Canarias, Spain"
3,José Antonio Arranz,329,M 35-39,ESP,01:00:50,05:33:02,03:06:02,09:48:20,Ironman Lanzarote,05/20/2017,"Canarias, Spain"
5,Sylvain Denis,716,M 30-34,BEL,01:01:11,05:14:23,03:25:16,09:49:07,Ironman Lanzarote,05/20/2017,"Canarias, Spain"
6,Kasper Ougaard,614,M 30-34,DNK,00:59:56,05:30:08,03:10:48,09:49:14,Ironman Lanzarote,05/20/2017,"Canarias, Spain"
4,Fernando Rodrã­guez Camacho,359,M 40-44,ESP,00:55:33,05:37:51,03:07:15,09:49:36,Ironman Lanzarote,05/20/2017,"Canarias, Spain"
3,Lucy Gossage,8,F PRO,GBR,01:00:40,05:29:45,03:13:04,09:50:22,Ironman Lanzarote,05/20/2017,"Canarias, Spain"
4,Juan José Foulquié Padilla,735,M 35-39,ESP,01:12:41,05:28:30,03:04:15,09:52:41,Ironman Lanzarote,05/20/2017,"Canarias, Spain"
5,Daniel Gómez Hernández,335,M 35-39,ESP,00:52:17,05:35:03,03:19:12,09:53:40,Ironman Lanzarote,05/20/2017,"Canarias, Spain"
6,Zebenzui Hernandez Lopez,1602,M 35-39,ESP,01:01:54,05:33:16,03:11:20,09:54:53,Ironman Lanzarote,05/20/2017,"Canarias, Spain"
5,Juan Antonio Barbudo Herrera,350,M 40-44,ESP,00:59:53,05:32:43,03:14:28,09:55:02,Ironman Lanzarote,05/20/2017,"Canarias, Spain"
7,Juanma Cardenas-Maestre,330,M 35-39,ESP,01:07:40,05:26:16,03:16:52,09:58:41,Ironman Lanzarote,05/20/2017,"Canarias, Spain"
17,Georgii Kaurov,56,M PRO,RUS,00:46:58,05:30:14,03:35:39,09:59:08,Ironman Lanzarote,05/20/2017,"Canarias, Spain"
2,Etienne Barbet,361,M 45-49,FRA,00:52:15,05:27:47,03:32:13,10:00:02,Ironman Lanzarote,05/20/2017,"Canarias, Spain"
8,Sergio Sobrino Sierra,845,M 35-39,ESP,00:57:59,05:30:08,03:25:28,10:01:55,Ironman Lanzarote,05/20/2017,"Canarias, Spain"
