Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,Race,Date,Location
1,Juan Valencia,1030,M35-39,COL,00:48:32,04:57:40,03:11:22,09:03:17,Ironman Los Cabos,11/12/2017,"Los Cabos, Baja California, Mexico"
1,Salvador Ruiz,1107,M30-34,PER,00:55:32,04:59:25,03:16:16,09:16:59,Ironman Los Cabos,11/12/2017,"Los Cabos, Baja California, Mexico"
2,De Bruyn Tom,1139,M30-34,BEL,00:59:36,04:58:42,03:18:58,09:23:05,Ironman Los Cabos,11/12/2017,"Los Cabos, Baja California, Mexico"
1,Moritz Gmelin,1151,M40-44,DEU,00:53:21,05:05:07,03:30:09,09:33:20,Ironman Los Cabos,11/12/2017,"Los Cabos, Baja California, Mexico"
2,Dave Sek,1124,M35-39,USA,00:51:54,05:12:05,03:24:21,09:35:12,Ironman Los Cabos,11/12/2017,"Los Cabos, Baja California, Mexico"
2,Francky Favre,1038,M40-44,MTQ,00:57:19,04:51:06,03:41:26,09:35:29,Ironman Los Cabos,11/12/2017,"Los Cabos, Baja California, Mexico"
3,Ralph Castelberg,1046,M35-39,CHE,00:59:32,04:54:45,03:31:49,09:36:40,Ironman Los Cabos,11/12/2017,"Los Cabos, Baja California, Mexico"
3,Patrick McCrann,1528,M40-44,USA,01:00:38,05:02:37,03:29:17,09:39:56,Ironman Los Cabos,11/12/2017,"Los Cabos, Baja California, Mexico"
3,Francis Martin,1051,M30-34,CAN,01:03:53,04:52:49,03:35:16,09:40:08,Ironman Los Cabos,11/12/2017,"Los Cabos, Baja California, Mexico"
1,Ben Besse,1159,M25-29,USA,00:55:59,05:06:39,03:32:54,09:43:25,Ironman Los Cabos,11/12/2017,"Los Cabos, Baja California, Mexico"
4,Israel Martinez Soriano,1286,M35-39,MEX,00:56:30,05:13:22,03:24:23,09:47:09,Ironman Los Cabos,11/12/2017,"Los Cabos, Baja California, Mexico"
5,Ryosuke Ohhata,1088,M35-39,JPN,00:50:45,05:26:16,03:25:20,09:48:24,Ironman Los Cabos,11/12/2017,"Los Cabos, Baja California, Mexico"
4,Marco Corti,1041,M30-34,ITA,01:07:57,05:09:46,03:22:16,09:48:29,Ironman Los Cabos,11/12/2017,"Los Cabos, Baja California, Mexico"
4,Ian Gray,1339,M40-44,CAN,00:54:13,05:14:59,03:32:20,09:49:17,Ironman Los Cabos,11/12/2017,"Los Cabos, Baja California, Mexico"
5,James O'Sullivan,1043,M30-34,GBR,00:55:09,05:14:10,03:34:40,09:49:18,Ironman Los Cabos,11/12/2017,"Los Cabos, Baja California, Mexico"
2,Alessandro Conzatti,1354,M25-29,ITA,00:52:04,05:01:22,03:49:45,09:49:19,Ironman Los Cabos,11/12/2017,"Los Cabos, Baja California, Mexico"
6,Ryan Brown,1163,M30-34,CAN,00:52:02,05:14:37,03:35:22,09:49:41,Ironman Los Cabos,11/12/2017,"Los Cabos, Baja California, Mexico"
5,Edelmo Garcia,1288,M40-44,USA,01:07:04,05:19:20,03:15:15,09:50:20,Ironman Los Cabos,11/12/2017,"Los Cabos, Baja California, Mexico"
1,Jeffrey Capobianco,1054,M45-49,USA,01:11:15,05:03:47,03:31:38,09:54:00,Ironman Los Cabos,11/12/2017,"Los Cabos, Baja California, Mexico"
1,Magnus Jonsson,1421,M50-54,SWE,00:53:39,05:09:17,03:43:14,09:54:27,Ironman Los Cabos,11/12/2017,"Los Cabos, Baja California, Mexico"
7,Ignacio Lopez Mancisidor,1530,M30-34,ESP,00:56:23,05:26:01,03:28:45,09:56:52,Ironman Los Cabos,11/12/2017,"Los Cabos, Baja California, Mexico"
8,Carlos Varas Ibarra,1103,M30-34,MEX,01:00:40,05:14:37,03:35:43,09:57:06,Ironman Los Cabos,11/12/2017,"Los Cabos, Baja California, Mexico"
2,Ronan Pavoni,1037,M45-49,PAN,00:52:02,05:23:49,03:37:14,09:59:21,Ironman Los Cabos,11/12/2017,"Los Cabos, Baja California, Mexico"
6,Loris Gerini,1423,M40-44,ITA,01:01:24,05:12:53,03:42:32,10:02:38,Ironman Los Cabos,11/12/2017,"Los Cabos, Baja California, Mexico"
9,Stephan Verdeyen,1503,M30-34,USA,00:50:47,05:26:58,03:42:16,10:05:39,Ironman Los Cabos,11/12/2017,"Los Cabos, Baja California, Mexico"
6,John Hill,1147,M35-39,USA,01:07:29,05:19:59,03:36:46,10:09:12,Ironman Los Cabos,11/12/2017,"Los Cabos, Baja California, Mexico"
7,Raynard Picard,1049,M35-39,MEX,00:59:07,05:40:54,03:22:33,10:09:40,Ironman Los Cabos,11/12/2017,"Los Cabos, Baja California, Mexico"
8,Jd Thalman,1022,M35-39,USA,00:55:07,05:21:28,03:44:59,10:10:08,Ironman Los Cabos,11/12/2017,"Los Cabos, Baja California, Mexico"
9,Tim-Felix Esselmann,1090,M35-39,DEU,00:57:31,05:14:45,03:53:28,10:11:24,Ironman Los Cabos,11/12/2017,"Los Cabos, Baja California, Mexico"
3,Ian Tucker,1085,M25-29,CAN,01:00:03,05:17:26,03:49:18,10:12:09,Ironman Los Cabos,11/12/2017,"Los Cabos, Baja California, Mexico"
10,Antti Piiroinen,1028,M30-34,FIN,01:06:33,05:17:12,03:44:40,10:14:31,Ironman Los Cabos,11/12/2017,"Los Cabos, Baja California, Mexico"
3,Patrice Durand,1347,M45-49,FRA,00:54:49,05:14:45,03:57:23,10:14:46,Ironman Los Cabos,11/12/2017,"Los Cabos, Baja California, Mexico"
11,Rodolfo Ocampo,1508,M30-34,MEX,01:17:45,05:22:32,03:26:28,10:16:08,Ironman Los Cabos,11/12/2017,"Los Cabos, Baja California, Mexico"
12,Erick Jandette Guerrero,1331,M30-34,MEX,01:00:26,05:41:42,03:28:10,10:17:54,Ironman Los Cabos,11/12/2017,"Los Cabos, Baja California, Mexico"
4,Charles Burban,1475,M25-29,FRA,01:09:53,05:16:49,03:39:48,10:17:55,Ironman Los Cabos,11/12/2017,"Los Cabos, Baja California, Mexico"
13,Jorge Herrera Prado,1513,M30-34,MEX,01:04:49,05:29:23,03:34:55,10:18:10,Ironman Los Cabos,11/12/2017,"Los Cabos, Baja California, Mexico"
5,Armando Alcal Barroso,1260,M25-29,MEX,00:58:36,05:21:58,03:50:26,10:18:14,Ironman Los Cabos,11/12/2017,"Los Cabos, Baja California, Mexico"
6,Parker Spencer,1496,M25-29,USA,01:00:31,05:25:52,03:48:49,10:20:31,Ironman Los Cabos,11/12/2017,"Los Cabos, Baja California, Mexico"
2,Luc DE Jaeger,1346,M50-54,BEL,01:01:28,05:19:52,03:50:48,10:21:03,Ironman Los Cabos,11/12/2017,"Los Cabos, Baja California, Mexico"
1,Amy Javens,1483,F45-49,USA,01:07:20,05:24:35,03:43:37,10:22:55,Ironman Los Cabos,11/12/2017,"Los Cabos, Baja California, Mexico"
3,Karl Dossche,1117,M50-54,BEL,01:04:00,05:25:01,03:43:06,10:23:34,Ironman Los Cabos,11/12/2017,"Los Cabos, Baja California, Mexico"
4,Keish Doi,1052,M50-54,USA,01:04:47,05:15:27,03:58:20,10:23:37,Ironman Los Cabos,11/12/2017,"Los Cabos, Baja California, Mexico"
7,Javier Cepeda Navarro,1024,M40-44,COL,00:55:51,05:08:49,04:10:24,10:23:46,Ironman Los Cabos,11/12/2017,"Los Cabos, Baja California, Mexico"
10,Carlos Andres Rodriguez Ortiz,1154,M35-39,COL,01:04:35,05:23:45,03:43:59,10:23:55,Ironman Los Cabos,11/12/2017,"Los Cabos, Baja California, Mexico"
1,Liza Rachetto,1012,F40-44,USA,00:55:36,05:43:20,03:41:05,10:25:07,Ironman Los Cabos,11/12/2017,"Los Cabos, Baja California, Mexico"
7,Bren Winbrock,1027,M25-29,USA,00:59:49,05:20:27,03:57:01,10:26:01,Ironman Los Cabos,11/12/2017,"Los Cabos, Baja California, Mexico"
11,Rickard Wall N,1026,M35-39,SWE,01:03:07,05:19:49,03:55:40,10:26:03,Ironman Los Cabos,11/12/2017,"Los Cabos, Baja California, Mexico"
5,Tomas Latorre Rubio,1367,M50-54,ESP,01:02:39,05:36:26,03:41:56,10:27:06,Ironman Los Cabos,11/12/2017,"Los Cabos, Baja California, Mexico"
8,Alejandro Gonz Lez S Nchez,1155,M25-29,MEX,00:58:04,05:40:17,03:42:57,10:27:13,Ironman Los Cabos,11/12/2017,"Los Cabos, Baja California, Mexico"
4,Jimi Young,1050,M45-49,USA,01:04:35,05:18:34,03:57:31,10:27:38,Ironman Los Cabos,11/12/2017,"Los Cabos, Baja California, Mexico"
12,Julio C Sar Gonz Lez Rodarte,1238,M35-39,MEX,01:01:15,05:33:33,03:41:29,10:28:12,Ironman Los Cabos,11/12/2017,"Los Cabos, Baja California, Mexico"
8,Paolo Carminati,1422,M40-44,ITA,00:54:55,05:30:10,03:58:03,10:28:53,Ironman Los Cabos,11/12/2017,"Los Cabos, Baja California, Mexico"
9,Oscar Espinoza Roque,1427,M40-44,MEX,00:56:54,05:25:17,03:58:48,10:30:27,Ironman Los Cabos,11/12/2017,"Los Cabos, Baja California, Mexico"
14,Mark Smolonogov,1424,M30-34,AUS,00:50:49,05:25:41,03:58:27,10:30:33,Ironman Los Cabos,11/12/2017,"Los Cabos, Baja California, Mexico"
15,Chris Harrisson,1079,M30-34,PER,00:54:14,05:29:48,03:59:16,10:30:45,Ironman Los Cabos,11/12/2017,"Los Cabos, Baja California, Mexico"
5,Lars Kock,1463,M45-49,DEU,00:59:32,05:28:18,03:57:43,10:32:25,Ironman Los Cabos,11/12/2017,"Los Cabos, Baja California, Mexico"
6,Jeff Mutchie,1119,M45-49,USA,01:23:35,05:24:02,03:39:20,10:32:41,Ironman Los Cabos,11/12/2017,"Los Cabos, Baja California, Mexico"
7,Jan Stockman,1141,M45-49,BEL,00:53:59,05:13:02,04:17:40,10:32:47,Ironman Los Cabos,11/12/2017,"Los Cabos, Baja California, Mexico"
8,Stephane Sauve,1015,M45-49,FRA,01:01:04,05:26:08,03:58:01,10:33:24,Ironman Los Cabos,11/12/2017,"Los Cabos, Baja California, Mexico"
13,Lawrence Pitkin,1105,M35-39,USA,00:56:07,05:18:18,04:13:33,10:34:13,Ironman Los Cabos,11/12/2017,"Los Cabos, Baja California, Mexico"
9,Klein Jason,1209,M25-29,USA,01:12:14,05:20:25,03:55:43,10:34:47,Ironman Los Cabos,11/12/2017,"Los Cabos, Baja California, Mexico"
1,Ursula Legaria Men Ndez,1536,F30-34,MEX,01:07:31,05:43:59,03:36:48,10:34:51,Ironman Los Cabos,11/12/2017,"Los Cabos, Baja California, Mexico"
10,Viktor Vajda,1014,M25-29,USA,01:09:51,05:47:50,03:26:44,10:36:18,Ironman Los Cabos,11/12/2017,"Los Cabos, Baja California, Mexico"
10,Nermin Hairlahovic,1153,M40-44,CAN,01:15:14,05:18:28,03:53:56,10:36:28,Ironman Los Cabos,11/12/2017,"Los Cabos, Baja California, Mexico"
6,Howie Nordstrom,1035,M50-54,SWE,01:01:17,05:27:48,04:01:19,10:37:23,Ironman Los Cabos,11/12/2017,"Los Cabos, Baja California, Mexico"
11,Peter Kniz,1048,M40-44,SVK,00:55:20,05:40:24,03:54:56,10:38:26,Ironman Los Cabos,11/12/2017,"Los Cabos, Baja California, Mexico"
9,Steven Bang,1055,M45-49,USA,00:59:11,05:23:45,04:03:44,10:39:23,Ironman Los Cabos,11/12/2017,"Los Cabos, Baja California, Mexico"
12,Omar Veliz,1123,M40-44,USA,01:01:55,05:36:34,03:55:33,10:40:04,Ironman Los Cabos,11/12/2017,"Los Cabos, Baja California, Mexico"
16,Javier Cano,1101,M30-34,ESP,01:00:18,05:21:31,04:11:18,10:41:21,Ironman Los Cabos,11/12/2017,"Los Cabos, Baja California, Mexico"
10,Maarten Kleinjan,1431,M45-49,NLD,01:10:14,05:40:03,03:43:35,10:41:25,Ironman Los Cabos,11/12/2017,"Los Cabos, Baja California, Mexico"
1,Rodolfo Garcia Sanchez,1491,M18-24,MEX,01:04:43,05:32:03,03:57:30,10:42:41,Ironman Los Cabos,11/12/2017,"Los Cabos, Baja California, Mexico"
17,Chris Arnold,1111,M30-34,USA,00:58:35,05:07:35,04:28:36,10:47:28,Ironman Los Cabos,11/12/2017,"Los Cabos, Baja California, Mexico"
1,Jeff Cuddeback,1518,M55-59,USA,00:50:59,05:40:27,04:07:16,10:47:31,Ironman Los Cabos,11/12/2017,"Los Cabos, Baja California, Mexico"
11,Andres German Nennhuber,1020,M45-49,ARG,00:53:49,05:35:35,04:13:28,10:49:51,Ironman Los Cabos,11/12/2017,"Los Cabos, Baja California, Mexico"
7,Christoph Simsch,1310,M50-54,DEU,00:57:38,05:39:29,04:06:35,10:50:07,Ironman Los Cabos,11/12/2017,"Los Cabos, Baja California, Mexico"
8,Scott Callender,1487,M50-54,USA,00:54:49,05:31:42,04:12:06,10:50:16,Ironman Los Cabos,11/12/2017,"Los Cabos, Baja California, Mexico"
14,Kenny McDaniel,1158,M35-39,USA,01:05:32,05:12:33,04:20:19,10:50:31,Ironman Los Cabos,11/12/2017,"Los Cabos, Baja California, Mexico"
15,Nicolas Charrier,1168,M35-39,FRA,01:08:09,05:22:04,04:12:31,10:50:43,Ironman Los Cabos,11/12/2017,"Los Cabos, Baja California, Mexico"
18,Florent Roche,1343,M30-34,FRA,00:59:00,05:23:20,04:19:42,10:51:32,Ironman Los Cabos,11/12/2017,"Los Cabos, Baja California, Mexico"
