Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,Race,Date,Location
1,Michael Weiss,17,M PRO,AUT,00:56:02,04:31:23,02:45:15,08:18:09,Ironman Maastricht-Limburg,08/06/2017,"Limburg, The Netherlands"
2,Michael Van Cleven,3,M PRO,BEL,00:49:23,04:33:19,02:55:44,08:23:27,Ironman Maastricht-Limburg,08/06/2017,"Limburg, The Netherlands"
3,Bas Diederen,1,M PRO,NED,00:47:29,04:41:17,02:52:24,08:25:50,Ironman Maastricht-Limburg,08/06/2017,"Limburg, The Netherlands"
4,Harry Wiltshire,18,M PRO,GBR,00:47:24,04:41:13,02:53:51,08:27:10,Ironman Maastricht-Limburg,08/06/2017,"Limburg, The Netherlands"
5,Miquel Blanchart Tinto,5,M PRO,ESP,00:49:10,04:51:53,02:57:04,08:43:08,Ironman Maastricht-Limburg,08/06/2017,"Limburg, The Netherlands"
6,Pedro Gomes,9,M PRO,POR,00:49:12,04:58:09,02:57:27,08:49:24,Ironman Maastricht-Limburg,08/06/2017,"Limburg, The Netherlands"
1,Nicolas Auverdin,240,M 35,BEL,00:55:55,04:57:27,03:01:52,09:01:13,Ironman Maastricht-Limburg,08/06/2017,"Limburg, The Netherlands"
2,Ricardo Schlemonat,382,M 35,GER,01:05:42,04:44:09,03:07:34,09:04:18,Ironman Maastricht-Limburg,08/06/2017,"Limburg, The Netherlands"
1,Paul Kaden,148,M 25,GER,01:02:39,04:58:28,03:02:43,09:09:34,Ironman Maastricht-Limburg,08/06/2017,"Limburg, The Netherlands"
2,Tycho Van Gerwen,676,M 25,BEL,00:52:47,04:56:11,03:16:40,09:11:17,Ironman Maastricht-Limburg,08/06/2017,"Limburg, The Netherlands"
7,Olivier Esser,15,M PRO,BEL,00:51:54,05:02:07,03:13:33,09:13:29,Ironman Maastricht-Limburg,08/06/2017,"Limburg, The Netherlands"
1,Martijn Paalman,751,M 30,NED,00:52:34,05:01:38,03:12:37,09:14:08,Ironman Maastricht-Limburg,08/06/2017,"Limburg, The Netherlands"
1,Alex Bradley,1276,M 18,GBR,00:56:35,04:58:16,03:17:12,09:18:00,Ironman Maastricht-Limburg,08/06/2017,"Limburg, The Netherlands"
3,Cédric Plovier,866,M 35,FRA,00:57:36,05:17:26,02:55:49,09:18:47,Ironman Maastricht-Limburg,08/06/2017,"Limburg, The Netherlands"
4,Bart Mathys,214,M 35,BEL,00:57:10,05:10:19,03:07:53,09:21:24,Ironman Maastricht-Limburg,08/06/2017,"Limburg, The Netherlands"
2,Michael Cramer,236,M 30,GER,00:56:58,04:56:25,03:21:49,09:22:12,Ironman Maastricht-Limburg,08/06/2017,"Limburg, The Netherlands"
