Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,Race,Date,Location
1,Daniil Sapunov,36,MPRO,Ukraine,00:48:42,04:40:47,03:00:19,08:33:36,Ironman Malaysia,11/17/2018,"Langkawi, Malaysia"
2,Kaito Tohara,38,MPRO,Japan,00:52:51,04:52:40,03:06:08,08:55:13,Ironman Malaysia,11/17/2018,"Langkawi, Malaysia"
3,Urs Müller,32,MPRO,Switzerland,00:52:44,04:53:37,03:18:59,09:09:12,Ironman Malaysia,11/17/2018,"Langkawi, Malaysia"
4,Nathan Groch,29,MPRO,Australia,00:52:53,05:04:49,03:22:17,09:24:40,Ironman Malaysia,11/17/2018,"Langkawi, Malaysia"
1,Philipp Widmann,330,M30-34,Germany,00:56:16,04:54:11,03:29:36,09:24:41,Ironman Malaysia,11/17/2018,"Langkawi, Malaysia"
1,Jay Thomas,386,M35-39,Australia,00:52:39,05:01:17,03:26:10,09:25:14,Ironman Malaysia,11/17/2018,"Langkawi, Malaysia"
1,Mareen Hufe,1,FPRO,Germany,00:57:54,05:00:13,03:23:00,09:25:22,Ironman Malaysia,11/17/2018,"Langkawi, Malaysia"
1,Assad Attamimi,800,M40-44,Australia,00:56:05,05:22:52,03:04:49,09:27:27,Ironman Malaysia,11/17/2018,"Langkawi, Malaysia"
2,Young Hwan Oh,547,M35-39,Korea Republic of,00:59:35,05:07:49,03:15:42,09:28:08,Ironman Malaysia,11/17/2018,"Langkawi, Malaysia"
5,Balazs Csoke,25,MPRO,Hungary,00:48:35,05:18:28,03:17:08,09:28:25,Ironman Malaysia,11/17/2018,"Langkawi, Malaysia"
6,Eneko Elosegui,27,MPRO,Spain,01:01:20,04:59:57,03:24:17,09:30:04,Ironman Malaysia,11/17/2018,"Langkawi, Malaysia"
2,Brock Millard,319,M30-34,Australia,00:48:58,05:02:09,03:39:42,09:34:19,Ironman Malaysia,11/17/2018,"Langkawi, Malaysia"
3,David Dhooge,373,M35-39,Belgium,00:58:33,05:06:38,03:28:41,09:39:08,Ironman Malaysia,11/17/2018,"Langkawi, Malaysia"
3,Kieran Birch,225,M30-34,Australia,00:59:32,05:13:41,03:24:33,09:42:45,Ironman Malaysia,11/17/2018,"Langkawi, Malaysia"
4,Mitch Vanhille,563,M35-39,Singapore,00:59:15,05:18:18,03:21:35,09:43:45,Ironman Malaysia,11/17/2018,"Langkawi, Malaysia"
5,Alexander Aguirreche,453,M35-39,Spain,01:00:56,05:02:43,03:29:58,09:44:55,Ironman Malaysia,11/17/2018,"Langkawi, Malaysia"
6,Noriyuki Tanaka,528,M35-39,Japan,00:57:50,05:18:45,03:22:09,09:45:52,Ironman Malaysia,11/17/2018,"Langkawi, Malaysia"
4,Michal Holub,329,M30-34,Slovakia,01:03:26,05:12:40,03:27:38,09:49:24,Ironman Malaysia,11/17/2018,"Langkawi, Malaysia"
5,Andy DE Sousa,285,M30-34,Venezuela,01:02:02,05:04:13,03:36:15,09:49:27,Ironman Malaysia,11/17/2018,"Langkawi, Malaysia"
2,Stephen Palmer,766,M40-44,United Kingdom,01:10:39,05:08:36,03:25:09,09:52:05,Ironman Malaysia,11/17/2018,"Langkawi, Malaysia"
7,Felipe Sajulga,416,M35-39,Philippines,01:06:40,05:15:31,03:24:23,09:52:40,Ironman Malaysia,11/17/2018,"Langkawi, Malaysia"
2,Simona Křivánková,5,FPRO,Czech Republic,01:05:30,05:22:21,03:23:09,09:55:36,Ironman Malaysia,11/17/2018,"Langkawi, Malaysia"
8,Jean-Baptiste Roux,573,M35-39,France,01:01:35,05:07:16,03:42:12,09:55:40,Ironman Malaysia,11/17/2018,"Langkawi, Malaysia"
3,James Debenham,652,M40-44,Australia,00:59:41,05:13:22,03:38:03,09:56:06,Ironman Malaysia,11/17/2018,"Langkawi, Malaysia"
1,Alexander Gröbli,915,M45-49,Switzerland,01:08:45,05:03:43,03:38:36,09:56:22,Ironman Malaysia,11/17/2018,"Langkawi, Malaysia"
1,Juan Antonio Gomez Gonzalez,161,M25-29,Spain,01:05:17,05:12:27,03:32:03,09:56:27,Ironman Malaysia,11/17/2018,"Langkawi, Malaysia"
6,Ivan Pereira Iglesias,326,M30-34,Spain,01:05:48,05:20:50,03:23:46,09:56:35,Ironman Malaysia,11/17/2018,"Langkawi, Malaysia"
4,Koji Furuya,830,M40-44,Japan,00:59:17,05:08:27,03:43:48,09:57:21,Ironman Malaysia,11/17/2018,"Langkawi, Malaysia"
3,Federica DE Nicola,6,FPRO,Italy,01:00:27,05:14:53,03:38:06,09:57:28,Ironman Malaysia,11/17/2018,"Langkawi, Malaysia"
7,Josef Krivanek,30,MPRO,Czech Republic,01:03:01,05:06:38,03:47:35,10:01:33,Ironman Malaysia,11/17/2018,"Langkawi, Malaysia"
7,Daniel Erdélyi,269,M30-34,Hungary,00:59:52,05:09:37,03:46:49,10:02:41,Ironman Malaysia,11/17/2018,"Langkawi, Malaysia"
4,Els Visser,4,FPRO,Netherlands,00:57:55,05:17:33,03:43:47,10:02:49,Ironman Malaysia,11/17/2018,"Langkawi, Malaysia"
9,Yoshitaka Imamura,562,M35-39,Japan,00:57:54,05:27:44,03:33:24,10:04:01,Ironman Malaysia,11/17/2018,"Langkawi, Malaysia"
2,Hajime Nagatsuji,956,M45-49,Japan,01:04:25,05:18:40,03:37:32,10:07:33,Ironman Malaysia,11/17/2018,"Langkawi, Malaysia"
10,Vojtech Kacena,583,M35-39,Czech Republic,01:09:55,05:18:39,03:31:52,10:07:35,Ironman Malaysia,11/17/2018,"Langkawi, Malaysia"
8,Mihai Vigariu,325,M30-34,Romania,00:56:01,05:24:10,03:43:04,10:07:59,Ironman Malaysia,11/17/2018,"Langkawi, Malaysia"
9,Nicholas DE Bouillane,279,M30-34,France,00:58:00,05:15:40,03:49:30,10:08:30,Ironman Malaysia,11/17/2018,"Langkawi, Malaysia"
5,Helena Kotopulu,10,FPRO,Czech Republic,01:09:49,05:25:38,03:28:38,10:09:30,Ironman Malaysia,11/17/2018,"Langkawi, Malaysia"
11,Mohd Amran Abdul Ghani,554,M35-39,Malaysia,01:03:38,05:21:13,03:39:34,10:11:26,Ironman Malaysia,11/17/2018,"Langkawi, Malaysia"
10,Gorka Bizkarra Etxegibel,317,M30-34,Spain,01:00:34,05:19:12,03:44:31,10:12:38,Ironman Malaysia,11/17/2018,"Langkawi, Malaysia"
2,Juuso Manninen,178,M25-29,Finland,00:53:28,05:09:24,04:07:53,10:16:24,Ironman Malaysia,11/17/2018,"Langkawi, Malaysia"
5,Dave Barr,736,M40-44,Australia,00:59:48,05:12:15,03:56:05,10:16:35,Ironman Malaysia,11/17/2018,"Langkawi, Malaysia"
11,Yihui Wang,336,M30-34,China,00:58:42,05:24:42,03:46:46,10:17:50,Ironman Malaysia,11/17/2018,"Langkawi, Malaysia"
1,Shinichiro Arai,1107,M50-54,Japan,00:59:56,05:21:26,03:51:47,10:20:20,Ironman Malaysia,11/17/2018,"Langkawi, Malaysia"
12,Aslan Abdrahmanov,306,M30-34,Kazakhstan,00:59:52,05:15:35,03:58:43,10:21:22,Ironman Malaysia,11/17/2018,"Langkawi, Malaysia"
3,Kohei Umeda,184,M25-29,Japan,01:06:38,05:44:53,03:23:48,10:22:09,Ironman Malaysia,11/17/2018,"Langkawi, Malaysia"
6,In Sik Lee,834,M40-44,Korea Republic of,01:13:19,05:28:00,03:35:00,10:23:01,Ironman Malaysia,11/17/2018,"Langkawi, Malaysia"
12,Tatsuo Nomura,524,M35-39,Japan,01:01:35,05:13:35,04:00:48,10:24:49,Ironman Malaysia,11/17/2018,"Langkawi, Malaysia"
7,Erik Müller,810,M40-44,Germany,00:59:00,05:23:50,04:00:19,10:28:30,Ironman Malaysia,11/17/2018,"Langkawi, Malaysia"
13,Shahrom Abdullah,372,M35-39,Malaysia,01:09:49,05:29:22,03:41:44,10:28:45,Ironman Malaysia,11/17/2018,"Langkawi, Malaysia"
3,Maarten Kleinjan,1032,M45-49,Netherlands,01:09:34,05:25:12,03:48:07,10:29:25,Ironman Malaysia,11/17/2018,"Langkawi, Malaysia"
14,Jiri Kaplan,574,M35-39,Czech Republic,01:09:16,05:23:49,03:48:28,10:30:55,Ironman Malaysia,11/17/2018,"Langkawi, Malaysia"
4,Filip Pavlon,138,M25-29,Czech Republic,01:08:30,05:35:51,03:41:10,10:32:09,Ironman Malaysia,11/17/2018,"Langkawi, Malaysia"
13,Yasutaka Yoneda,287,M30-34,Japan,01:06:51,05:39:37,03:40:57,10:34:07,Ironman Malaysia,11/17/2018,"Langkawi, Malaysia"
1,Kimiko Uji,591,F35-39,Japan,01:02:16,05:53:08,03:32:33,10:34:21,Ironman Malaysia,11/17/2018,"Langkawi, Malaysia"
5,Noriyuki Ando,164,M25-29,Japan,00:55:27,05:57:16,03:35:03,10:34:30,Ironman Malaysia,11/17/2018,"Langkawi, Malaysia"
