Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,Race,Date,Location
1,Timo Bracht,2,M PRO,DEU,00:49:57,04:32:16,02:50:59,08:17:22,Ironman Mallorca,09/26/2015,"Alcudia, Mallorca, Spain"
2,James Cunnama,38,M PRO,ZAF,00:49:54,04:34:14,02:50:52,08:19:36,Ironman Mallorca,09/26/2015,"Alcudia, Mallorca, Spain"
3,Alessandro Degasperi,1,M PRO,ITA,00:51:43,04:37:40,02:49:41,08:23:56,Ironman Mallorca,09/26/2015,"Alcudia, Mallorca, Spain"
4,Gwenael Ouilleres,24,M PRO,FRA,00:51:46,04:44:47,02:49:57,08:31:22,Ironman Mallorca,09/26/2015,"Alcudia, Mallorca, Spain"
5,Ritchie Nicholls,4,M PRO,GBR,00:51:49,04:47:49,02:48:18,08:32:47,Ironman Mallorca,09/26/2015,"Alcudia, Mallorca, Spain"
6,Chris Mcdonald,21,M PRO,AUS,00:54:52,04:37:27,02:58:43,08:35:57,Ironman Mallorca,09/26/2015,"Alcudia, Mallorca, Spain"
7,Christian Brader,34,M PRO,DEU,00:59:03,04:41:26,02:58:22,08:44:08,Ironman Mallorca,09/26/2015,"Alcudia, Mallorca, Spain"
8,Carlos Lopez,32,M PRO,ESP,00:48:19,04:38:21,03:13:40,08:45:35,Ironman Mallorca,09/26/2015,"Alcudia, Mallorca, Spain"
1,Christian Haupt,240,M 35-39,DEU,00:57:37,04:51:09,02:58:04,08:52:30,Ironman Mallorca,09/26/2015,"Alcudia, Mallorca, Spain"
2,Mario Fink,1172,M 35-39,AUT,00:52:34,04:52:54,03:06:07,08:56:39,Ironman Mallorca,09/26/2015,"Alcudia, Mallorca, Spain"
1,Jon Unanue Ayerza,197,M 30-34,ESP,00:49:28,04:55:43,03:05:58,08:58:06,Ironman Mallorca,09/26/2015,"Alcudia, Mallorca, Spain"
1,Edouard Entraygues,359,M 40-44,FRA,00:51:54,04:53:23,03:07:39,08:58:55,Ironman Mallorca,09/26/2015,"Alcudia, Mallorca, Spain"
3,Sebastien Christian Stalder,227,M 35-39,FRA,00:55:47,04:51:13,03:06:09,08:59:43,Ironman Mallorca,09/26/2015,"Alcudia, Mallorca, Spain"
9,Flo Kriegl,37,M PRO,AUT,00:55:44,04:47:15,03:12:50,09:00:59,Ironman Mallorca,09/26/2015,"Alcudia, Mallorca, Spain"
2,Sylvain Denis,909,M 30-34,BEL,01:00:53,04:48:31,03:05:41,09:01:04,Ironman Mallorca,09/26/2015,"Alcudia, Mallorca, Spain"
4,Kevin Van Oevelen,253,M 35-39,BEL,00:52:45,05:00:42,03:03:42,09:02:58,Ironman Mallorca,09/26/2015,"Alcudia, Mallorca, Spain"
3,Rinalds Sluckis,1048,M 30-34,LVA,00:54:51,04:52:40,03:08:50,09:03:36,Ironman Mallorca,09/26/2015,"Alcudia, Mallorca, Spain"
1,Achim Groenhagen,375,M 45-49,DEU,01:00:04,04:47:56,03:08:20,09:03:39,Ironman Mallorca,09/26/2015,"Alcudia, Mallorca, Spain"
1,Lars Lomholt,169,M 25-29,DNK,00:59:26,04:50:07,03:08:45,09:04:11,Ironman Mallorca,09/26/2015,"Alcudia, Mallorca, Spain"
4,Raphael Vorpe,214,M 30-34,CHE,00:57:26,04:54:45,03:08:22,09:05:48,Ironman Mallorca,09/26/2015,"Alcudia, Mallorca, Spain"
2,Manuel Berthelot,1428,M 40-44,FRA,00:57:52,05:05:07,02:59:02,09:07:36,Ironman Mallorca,09/26/2015,"Alcudia, Mallorca, Spain"
3,Bruno Invernizzi,311,M 40-44,CHE,00:53:25,05:05:01,03:04:00,09:07:48,Ironman Mallorca,09/26/2015,"Alcudia, Mallorca, Spain"
5,José Antonio Arranz,858,M 30-34,ESP,00:56:35,04:58:57,03:04:19,09:08:16,Ironman Mallorca,09/26/2015,"Alcudia, Mallorca, Spain"
5,Miklós Vatai,254,M 35-39,HUN,00:57:29,05:03:30,03:01:15,09:09:29,Ironman Mallorca,09/26/2015,"Alcudia, Mallorca, Spain"
4,Stephane Mettier,1618,M 40-44,FRA,00:55:12,05:03:41,03:04:49,09:09:36,Ironman Mallorca,09/26/2015,"Alcudia, Mallorca, Spain"
10,Antonio Jose Cardona Garcia,12,M PRO,ESP,00:57:09,04:50:25,03:16:16,09:10:15,Ironman Mallorca,09/26/2015,"Alcudia, Mallorca, Spain"
6,Juan Antonio Barbudo Herrera,1106,M 35-39,ESP,00:56:55,04:58:24,03:10:02,09:12:14,Ironman Mallorca,09/26/2015,"Alcudia, Mallorca, Spain"
7,Alan Kenny,242,M 35-39,IRL,01:01:34,04:58:23,03:04:17,09:12:23,Ironman Mallorca,09/26/2015,"Alcudia, Mallorca, Spain"
5,Ulrich Konschak,295,M 40-44,DEU,00:57:47,05:05:38,03:02:26,09:12:56,Ironman Mallorca,09/26/2015,"Alcudia, Mallorca, Spain"
11,Frederic Limousin,18,M PRO,FRA,00:55:17,04:52:36,03:18:13,09:13:07,Ironman Mallorca,09/26/2015,"Alcudia, Mallorca, Spain"
6,Kim Visby,1734,M 40-44,DNK,00:55:43,04:53:05,03:19:01,09:14:41,Ironman Mallorca,09/26/2015,"Alcudia, Mallorca, Spain"
7,Yvain Jeanneret-Gris,341,M 40-44,CHE,01:01:21,04:56:17,03:10:34,09:14:58,Ironman Mallorca,09/26/2015,"Alcudia, Mallorca, Spain"
2,Moritz Bleymehl,754,M 25-29,DEU,00:58:08,04:49:33,03:18:56,09:15:04,Ironman Mallorca,09/26/2015,"Alcudia, Mallorca, Spain"
8,Wael Adlouni,328,M 40-44,DNK,00:58:14,05:07:04,03:03:28,09:16:06,Ironman Mallorca,09/26/2015,"Alcudia, Mallorca, Spain"
12,Thomas Bosch,11,M PRO,DEU,01:00:14,04:56:29,03:13:26,09:17:13,Ironman Mallorca,09/26/2015,"Alcudia, Mallorca, Spain"
13,Francisco Fernandez-Cortes,9,M PRO,ESP,00:48:41,04:47:32,03:35:44,09:17:27,Ironman Mallorca,09/26/2015,"Alcudia, Mallorca, Spain"
6,Steffen Alexander Fruehauf,184,M 30-34,DEU,01:00:37,04:58:32,03:12:47,09:18:52,Ironman Mallorca,09/26/2015,"Alcudia, Mallorca, Spain"
8,Dave Lietaert,224,M 35-39,BEL,00:57:03,04:52:55,03:21:51,09:19:18,Ironman Mallorca,09/26/2015,"Alcudia, Mallorca, Spain"
9,Gerald Ratschke,1319,M 35-39,AUT,01:06:14,05:01:43,03:05:44,09:20:13,Ironman Mallorca,09/26/2015,"Alcudia, Mallorca, Spain"
3,Mads Bang,746,M 25-29,DNK,00:55:32,04:58:10,03:20:29,09:20:36,Ironman Mallorca,09/26/2015,"Alcudia, Mallorca, Spain"
4,Klaas Taecke,838,M 25-29,BEL,00:57:44,05:00:33,03:15:05,09:21:37,Ironman Mallorca,09/26/2015,"Alcudia, Mallorca, Spain"
10,Flemming Bjerregaard,234,M 35-39,DNK,01:00:05,04:59:26,03:16:03,09:21:46,Ironman Mallorca,09/26/2015,"Alcudia, Mallorca, Spain"
11,Carlos Enrique Gonzalez Castillejos,261,M 35-39,ESP,01:02:21,05:07:53,03:04:28,09:22:11,Ironman Mallorca,09/26/2015,"Alcudia, Mallorca, Spain"
5,Guillaume Montoisy,812,M 25-29,BEL,00:52:59,05:06:01,03:15:03,09:22:48,Ironman Mallorca,09/26/2015,"Alcudia, Mallorca, Spain"
14,Lukas Polan,35,M PRO,CZE,01:03:30,04:58:50,03:14:32,09:23:06,Ironman Mallorca,09/26/2015,"Alcudia, Mallorca, Spain"
6,Andrew Horn,172,M 25-29,GBR,00:55:12,05:02:15,03:21:33,09:24:17,Ironman Mallorca,09/26/2015,"Alcudia, Mallorca, Spain"
