Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,Race,Date,Location
1,Matt Chrabot,8,MPRO,USA,00:48:58,04:30:46,02:55:47,08:19:58,Ironman Mar del Plata,12/03/2017,"Mar del Plata, Argentina"
2,Jozsef Major,5,MPRO,HUN,00:59:42,04:29:20,02:51:48,08:26:02,Ironman Mar del Plata,12/03/2017,"Mar del Plata, Argentina"
3,Igor Amorelli,3,MPRO,BRA,00:48:54,04:27:16,03:06:42,08:27:11,Ironman Mar del Plata,12/03/2017,"Mar del Plata, Argentina"
4,Miquel Blanchart Tintó,14,MPRO,ESP,00:49:16,04:41:23,02:56:56,08:31:47,Ironman Mar del Plata,12/03/2017,"Mar del Plata, Argentina"
5,Ivan Risti,27,MPRO,ITA,00:48:50,04:38:26,03:01:29,08:32:52,Ironman Mar del Plata,12/03/2017,"Mar del Plata, Argentina"
6,Pedro Gomes,6,MPRO,PRT,00:53:43,04:43:38,02:52:19,08:33:58,Ironman Mar del Plata,12/03/2017,"Mar del Plata, Argentina"
7,Oscar Galindez,1,MPRO,ARG,00:54:23,04:37:33,03:02:20,08:39:09,Ironman Mar del Plata,12/03/2017,"Mar del Plata, Argentina"
8,Mario De Elias,12,MPRO,ARG,00:54:21,04:43:23,02:59:55,08:41:50,Ironman Mar del Plata,12/03/2017,"Mar del Plata, Argentina"
9,Frank Silvesttrin,29,MPRO,BRA,00:49:14,04:47:54,03:01:49,08:43:36,Ironman Mar del Plata,12/03/2017,"Mar del Plata, Argentina"
1,Thiago Menuci,230,M35-39,BRA,00:51:31,04:47:47,03:15:22,09:01:20,Ironman Mar del Plata,12/03/2017,"Mar del Plata, Argentina"
1,Gustavo Santos,218,M25-29,BRA,00:55:39,04:49:10,03:11:24,09:02:25,Ironman Mar del Plata,12/03/2017,"Mar del Plata, Argentina"
1,Diego Serdá,676,M40-44,ARG,00:55:31,05:01:27,03:07:50,09:10:18,Ironman Mar del Plata,12/03/2017,"Mar del Plata, Argentina"
2,Pavel Lemesev,152,M35-39,RUS,00:51:24,04:58:33,03:16:14,09:11:00,Ironman Mar del Plata,12/03/2017,"Mar del Plata, Argentina"
1,Sarah Piampiano,44,FPRO,USA,01:03:12,04:52:20,03:10:57,09:11:03,Ironman Mar del Plata,12/03/2017,"Mar del Plata, Argentina"
2,Lucas Antonetti,111,M40-44,ARG,00:56:53,04:58:47,03:13:16,09:13:33,Ironman Mar del Plata,12/03/2017,"Mar del Plata, Argentina"
10,Christian Carletto,16,MPRO,ARG,00:54:22,04:55:08,03:19:33,09:13:46,Ironman Mar del Plata,12/03/2017,"Mar del Plata, Argentina"
1,Pablo Escalas,1300,M50-54,ARG,00:56:54,04:59:11,03:10:23,09:13:56,Ironman Mar del Plata,12/03/2017,"Mar del Plata, Argentina"
11,Rodrigo Sanchez,28,MPRO,ARG,00:59:10,05:12:54,02:54:35,09:13:57,Ironman Mar del Plata,12/03/2017,"Mar del Plata, Argentina"
1,Agustin Leiro,376,M30-34,ARG,01:00:20,04:58:07,03:09:48,09:16:31,Ironman Mar del Plata,12/03/2017,"Mar del Plata, Argentina"
3,Pedro Berredo,108,M40-44,BRA,00:58:15,04:48:44,03:24:16,09:16:53,Ironman Mar del Plata,12/03/2017,"Mar del Plata, Argentina"
3,Arthur Marcondes Fer Silva,1270,M35-39,BRA,00:56:52,04:44:06,03:31:51,09:17:51,Ironman Mar del Plata,12/03/2017,"Mar del Plata, Argentina"
2,Tine Deckers,46,FPRO,BEL,00:59:13,04:55:51,03:19:56,09:19:21,Ironman Mar del Plata,12/03/2017,"Mar del Plata, Argentina"
2,Rodrigo Bodanese,133,M25-29,BRA,00:57:32,05:01:33,03:14:38,09:20:00,Ironman Mar del Plata,12/03/2017,"Mar del Plata, Argentina"
2,Rodrigo Memmo,397,M30-34,ARG,01:02:26,04:54:57,03:17:25,09:20:24,Ironman Mar del Plata,12/03/2017,"Mar del Plata, Argentina"
3,Jonathan Kwaterka,137,M30-34,ARG,01:01:09,05:05:15,03:11:45,09:22:52,Ironman Mar del Plata,12/03/2017,"Mar del Plata, Argentina"
4,Bruno Faria,139,M30-34,BRA,01:06:00,04:58:00,03:13:45,09:23:55,Ironman Mar del Plata,12/03/2017,"Mar del Plata, Argentina"
4,Luiz Navas Júnior,107,M40-44,BRA,00:56:25,04:55:42,03:26:33,09:24:11,Ironman Mar del Plata,12/03/2017,"Mar del Plata, Argentina"
3,Magali Tisseyre,47,FPRO,CAN,00:56:00,05:12:19,03:07:42,09:24:37,Ironman Mar del Plata,12/03/2017,"Mar del Plata, Argentina"
4,Dede Griesbauer,42,FPRO,USA,00:53:07,04:52:47,03:33:07,09:24:53,Ironman Mar del Plata,12/03/2017,"Mar del Plata, Argentina"
12,Diego Vasquez,32,MPRO,ECU,00:56:00,04:54:52,03:28:40,09:25:02,Ironman Mar del Plata,12/03/2017,"Mar del Plata, Argentina"
5,Asa Lundstrom,41,FPRO,SWE,01:02:51,04:57:39,03:20:27,09:25:35,Ironman Mar del Plata,12/03/2017,"Mar del Plata, Argentina"
4,Pablo Ureta,239,M35-39,ARG,00:57:15,05:11:57,03:14:56,09:26:04,Ironman Mar del Plata,12/03/2017,"Mar del Plata, Argentina"
5,Javier Peiretti,1271,M40-44,ARG,01:00:49,05:11:07,03:09:16,09:26:18,Ironman Mar del Plata,12/03/2017,"Mar del Plata, Argentina"
6,Ferrarassi Sebastian,826,M40-44,ARG,01:01:17,04:57:13,03:21:22,09:26:20,Ironman Mar del Plata,12/03/2017,"Mar del Plata, Argentina"
1,Walter David Musmanno,920,M45-49,ARG,00:57:58,05:10:05,03:10:27,09:26:23,Ironman Mar del Plata,12/03/2017,"Mar del Plata, Argentina"
7,Leonardo Brettas,112,M40-44,BRA,01:04:51,05:01:03,03:14:00,09:27:05,Ironman Mar del Plata,12/03/2017,"Mar del Plata, Argentina"
5,Vinícius De Quadros Silvestrin,142,M30-34,BRA,00:57:43,05:04:38,03:18:49,09:27:14,Ironman Mar del Plata,12/03/2017,"Mar del Plata, Argentina"
3,Federico Alvara,103,M25-29,ARG,01:00:29,05:12:46,03:08:26,09:27:39,Ironman Mar del Plata,12/03/2017,"Mar del Plata, Argentina"
4,Emanuele Vetere,1258,M25-29,ITA,00:56:32,05:06:01,03:21:15,09:30:21,Ironman Mar del Plata,12/03/2017,"Mar del Plata, Argentina"
5,Ariel Lenharo,506,M35-39,BRA,01:01:05,05:08:27,03:13:14,09:30:22,Ironman Mar del Plata,12/03/2017,"Mar del Plata, Argentina"
6,Jonas De Araujo Rocha,389,M30-34,BRA,01:07:14,05:14:50,03:03:06,09:31:44,Ironman Mar del Plata,12/03/2017,"Mar del Plata, Argentina"
6,Bruna Mahn,56,FPRO,BRA,00:59:19,05:12:38,03:16:11,09:32:34,Ironman Mar del Plata,12/03/2017,"Mar del Plata, Argentina"
7,Marcel Morosini,136,M30-34,BRA,01:06:58,04:56:45,03:23:37,09:32:46,Ironman Mar del Plata,12/03/2017,"Mar del Plata, Argentina"
7,Ewa Bugdol,51,FPRO,POL,00:56:06,05:16:31,03:18:34,09:35:49,Ironman Mar del Plata,12/03/2017,"Mar del Plata, Argentina"
8,Piotr Gasiorowski,258,M40-44,POL,01:09:14,04:55:22,03:25:16,09:36:09,Ironman Mar del Plata,12/03/2017,"Mar del Plata, Argentina"
8,Pablo Nadalez,398,M30-34,ARG,01:03:05,04:59:59,03:25:43,09:36:37,Ironman Mar del Plata,12/03/2017,"Mar del Plata, Argentina"
2,Goncalo Neves,891,M45-49,PRT,00:59:25,05:10:31,03:21:05,09:36:44,Ironman Mar del Plata,12/03/2017,"Mar del Plata, Argentina"
6,Maximiliano Passadore,156,M35-39,ARG,01:00:03,05:17:32,03:15:19,09:37:51,Ironman Mar del Plata,12/03/2017,"Mar del Plata, Argentina"
9,Matias Ezequiel Santos,167,M40-44,ARG,01:00:29,05:07:53,03:24:57,09:38:38,Ironman Mar del Plata,12/03/2017,"Mar del Plata, Argentina"
9,Gabriel Suino,144,M30-34,ARG,01:01:04,05:06:07,03:27:16,09:39:33,Ironman Mar del Plata,12/03/2017,"Mar del Plata, Argentina"
10,Bruno Goncalves,140,M30-34,BRA,01:02:38,05:08:10,03:23:23,09:39:33,Ironman Mar del Plata,12/03/2017,"Mar del Plata, Argentina"
7,Cesar Lobato,153,M35-39,ARG,01:09:32,05:04:08,03:20:09,09:40:41,Ironman Mar del Plata,12/03/2017,"Mar del Plata, Argentina"
3,Federico Schneeberger,114,M45-49,ARG,01:00:15,05:07:13,03:28:02,09:41:39,Ironman Mar del Plata,12/03/2017,"Mar del Plata, Argentina"
8,Pamela Tastets,59,FPRO,CHL,00:58:53,05:13:18,03:23:25,09:41:40,Ironman Mar del Plata,12/03/2017,"Mar del Plata, Argentina"
10,Gabriel V. Da Rocha Pereira,691,M40-44,BRA,01:04:15,05:08:54,03:22:55,09:42:33,Ironman Mar del Plata,12/03/2017,"Mar del Plata, Argentina"
8,Gonzalo Pardo,547,M35-39,ARG,01:03:18,05:00:05,03:33:28,09:43:09,Ironman Mar del Plata,12/03/2017,"Mar del Plata, Argentina"
11,Nicolas Gomez,421,M30-34,ARG,00:55:45,05:10:07,03:30:31,09:43:26,Ironman Mar del Plata,12/03/2017,"Mar del Plata, Argentina"
9,Jorge Emanuel Ascani,471,M35-39,ARG,01:01:21,04:58:46,03:37:39,09:43:35,Ironman Mar del Plata,12/03/2017,"Mar del Plata, Argentina"
10,Vicente Palonés Llopis,586,M35-39,ESP,01:07:15,05:07:40,03:21:56,09:44:21,Ironman Mar del Plata,12/03/2017,"Mar del Plata, Argentina"
11,Federico Garcia Canales,257,M40-44,ARG,00:56:55,05:10:00,03:32:25,09:44:37,Ironman Mar del Plata,12/03/2017,"Mar del Plata, Argentina"
12,Luciano Grimaldi,655,M40-44,ARG,00:58:15,05:09:59,03:30:45,09:44:52,Ironman Mar del Plata,12/03/2017,"Mar del Plata, Argentina"
11,Hernan Perez Rodal,315,M35-39,ARG,00:59:31,05:09:47,03:29:37,09:45:29,Ironman Mar del Plata,12/03/2017,"Mar del Plata, Argentina"
5,Alejandro Madde,1260,M25-29,BOL,00:59:08,05:16:55,03:22:44,09:45:53,Ironman Mar del Plata,12/03/2017,"Mar del Plata, Argentina"
