Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,Race,Date,Location
1,Quentin DE Vos,2237,M30-34,BEL,01:02:50,04:36:52,02:59:27,08:46:34,Ironman Maryland,09/28/2019,"Cambridge, Maryland, USA
"
1,David Morris,1530,M35-39,USA,01:00:06,04:27:43,03:14:08,08:47:40,Ironman Maryland,09/28/2019,"Cambridge, Maryland, USA
"
2,Bradley Fleming,424,M35-39,ZAF,01:01:36,04:32:55,03:12:24,08:53:08,Ironman Maryland,09/28/2019,"Cambridge, Maryland, USA
"
3,Christopher Hess,71,M35-39,USA,00:59:34,04:42:00,03:14:50,09:02:49,Ironman Maryland,09/28/2019,"Cambridge, Maryland, USA
"
2,Michael Stanek,421,M30-34,USA,00:59:51,04:43:37,03:13:08,09:03:48,Ironman Maryland,09/28/2019,"Cambridge, Maryland, USA
"
3,Jeffrey Angelini,2234,M30-34,USA,01:00:02,04:49:15,03:13:32,09:09:25,Ironman Maryland,09/28/2019,"Cambridge, Maryland, USA
"
4,Javier Lopez Valenciano,428,M35-39,ESP,00:59:29,04:46:10,03:11:42,09:10:26,Ironman Maryland,09/28/2019,"Cambridge, Maryland, USA
"
4,Art Chasovskykh,418,M30-34,UKR,00:54:51,05:00:31,03:08:27,09:10:59,Ironman Maryland,09/28/2019,"Cambridge, Maryland, USA
"
5,Tom Garvey,2241,M35-39,USA,01:06:06,04:47:48,03:12:57,09:13:15,Ironman Maryland,09/28/2019,"Cambridge, Maryland, USA
"
1,Jack Schofield,416,M25-29,GBR,01:06:26,04:31:30,03:28:27,09:13:51,Ironman Maryland,09/28/2019,"Cambridge, Maryland, USA
"
2,Fabricio Avila Fuentes,493,M25-29,ECU,01:09:00,04:48:46,03:07:57,09:14:26,Ironman Maryland,09/28/2019,"Cambridge, Maryland, USA
"
6,Sergejs Kudrjavcevs,2245,M35-39,LVA,01:04:54,04:53:55,03:08:37,09:15:02,Ironman Maryland,09/28/2019,"Cambridge, Maryland, USA
"
7,Carlos Moncada,507,M35-39,CRI,00:59:29,04:43:44,03:23:54,09:15:10,Ironman Maryland,09/28/2019,"Cambridge, Maryland, USA
"
5,Steven Keller,220,M30-34,USA,01:02:59,04:34:27,03:30:35,09:15:27,Ironman Maryland,09/28/2019,"Cambridge, Maryland, USA
"
1,Pablo Ureta,523,M40-44,ARG,00:59:33,04:44:51,03:28:48,09:20:03,Ironman Maryland,09/28/2019,"Cambridge, Maryland, USA
"
2,Lars Erik Ness,642,M40-44,NOR,01:05:41,04:46:18,03:22:28,09:21:36,Ironman Maryland,09/28/2019,"Cambridge, Maryland, USA
"
8,Trond Atle Smedsrud,626,M35-39,NOR,01:21:11,04:55:20,02:59:10,09:22:50,Ironman Maryland,09/28/2019,"Cambridge, Maryland, USA
"
1,Eric Roy,2272,M45-49,CAN,00:58:14,04:44:36,03:28:58,09:23:05,Ironman Maryland,09/28/2019,"Cambridge, Maryland, USA
"
2,Mark White,669,M45-49,GBR,00:57:21,04:47:29,03:31:40,09:25:31,Ironman Maryland,09/28/2019,"Cambridge, Maryland, USA
"
3,Vincenzo Marchione,432,M40-44,USA,01:06:34,04:44:16,03:28:49,09:26:01,Ironman Maryland,09/28/2019,"Cambridge, Maryland, USA
"
9,Jesse King,506,M35-39,USA,01:08:24,04:35:25,03:35:59,09:26:37,Ironman Maryland,09/28/2019,"Cambridge, Maryland, USA
"
4,Nate Cook,1594,M40-44,USA,01:02:58,04:48:09,03:29:24,09:26:57,Ironman Maryland,09/28/2019,"Cambridge, Maryland, USA
"
1,Martin Brans,1895,M50-54,USA,01:00:04,04:52:27,03:26:05,09:27:27,Ironman Maryland,09/28/2019,"Cambridge, Maryland, USA
"
3,Trevor Clark,414,M25-29,CAN,00:53:46,04:46:12,03:40:38,09:27:38,Ironman Maryland,09/28/2019,"Cambridge, Maryland, USA
"
3,Brian August,656,M45-49,USA,00:51:43,04:54:47,03:35:13,09:28:33,Ironman Maryland,09/28/2019,"Cambridge, Maryland, USA
"
