Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,Race,Date,Location
1,Todd Burns,1761,M35-39,USA,00:57:33,04:38:00,03:04:32,08:48:15,Ironman Maryland,09/29/2018,"Cambridge, Maryland, USA"
1,Edward Schmitt,1758,M30-34,USA,01:02:35,04:36:56,03:09:28,08:54:33,Ironman Maryland,09/29/2018,"Cambridge, Maryland, USA"
1,Henry Tragle,387,M40-44,USA,01:03:22,04:37:02,03:16:11,09:02:11,Ironman Maryland,09/29/2018,"Cambridge, Maryland, USA"
2,Ricardo Garcia,381,M40-44,ARG,01:00:29,04:42:43,03:15:04,09:04:49,Ironman Maryland,09/29/2018,"Cambridge, Maryland, USA"
3,Joe Klinedinst,235,M40-44,USA,01:05:05,04:35:16,03:18:03,09:05:52,Ironman Maryland,09/29/2018,"Cambridge, Maryland, USA"
1,Zack Goodman,1001,M18-24,USA,00:55:18,04:39:36,03:24:22,09:07:24,Ironman Maryland,09/29/2018,"Cambridge, Maryland, USA"
2,Nicholas Grala,367,M30-34,USA,01:06:47,04:44:38,03:10:45,09:07:55,Ironman Maryland,09/29/2018,"Cambridge, Maryland, USA"
1,Julian Middlewick,392,M45-49,GBR,01:04:46,04:46:39,03:12:32,09:09:29,Ironman Maryland,09/29/2018,"Cambridge, Maryland, USA"
2,Michael Honicker,38,M35-39,USA,01:08:32,04:55:00,03:04:43,09:13:38,Ironman Maryland,09/29/2018,"Cambridge, Maryland, USA"
3,Dana Gravina,1762,M35-39,USA,01:09:29,04:45:40,03:11:51,09:14:00,Ironman Maryland,09/29/2018,"Cambridge, Maryland, USA"
4,Sean Hale,51,M35-39,USA,00:58:53,04:42:11,03:27:56,09:15:35,Ironman Maryland,09/29/2018,"Cambridge, Maryland, USA"
2,Luke Ehgoetz,488,M45-49,CAN,01:05:29,04:39:33,03:25:44,09:17:56,Ironman Maryland,09/29/2018,"Cambridge, Maryland, USA"
3,Sean Henderson,1104,M30-34,CAN,01:03:06,04:42:40,03:25:29,09:18:35,Ironman Maryland,09/29/2018,"Cambridge, Maryland, USA"
5,Les Friesen,1191,M35-39,CAN,01:07:20,04:44:55,03:23:02,09:22:20,Ironman Maryland,09/29/2018,"Cambridge, Maryland, USA"
4,Brian Andzejewicz,466,M40-44,USA,01:16:19,04:42:52,03:20:18,09:27:23,Ironman Maryland,09/29/2018,"Cambridge, Maryland, USA"
1,Maggie Walsh,791,F35-39,USA,00:54:22,05:01:57,03:22:09,09:27:51,Ironman Maryland,09/29/2018,"Cambridge, Maryland, USA"
3,Rafal Fazan,1416,M45-49,POL,01:05:07,04:43:38,03:31:33,09:28:35,Ironman Maryland,09/29/2018,"Cambridge, Maryland, USA"
6,Trond Atle Smedsrud,1241,M35-39,NOR,01:23:01,04:53:34,03:06:53,09:30:11,Ironman Maryland,09/29/2018,"Cambridge, Maryland, USA"
7,Marcus Sobering,220,M35-39,USA,01:06:51,05:04:54,03:08:41,09:30:19,Ironman Maryland,09/29/2018,"Cambridge, Maryland, USA"
8,Francois Chavet,372,M35-39,FRA,01:08:45,04:43:38,03:28:14,09:31:30,Ironman Maryland,09/29/2018,"Cambridge, Maryland, USA"
9,Matthew Tatum,376,M35-39,USA,01:02:18,05:04:24,03:21:47,09:34:16,Ironman Maryland,09/29/2018,"Cambridge, Maryland, USA"
5,Radek Pawlowski,385,M40-44,POL,01:01:17,04:48:02,03:38:52,09:35:25,Ironman Maryland,09/29/2018,"Cambridge, Maryland, USA"
6,Matthew Han,382,M40-44,USA,01:06:42,04:41:11,03:40:38,09:36:08,Ironman Maryland,09/29/2018,"Cambridge, Maryland, USA"
4,Ryan Rudiger,369,M30-34,USA,01:03:52,04:37:01,03:46:12,09:36:19,Ironman Maryland,09/29/2018,"Cambridge, Maryland, USA"
7,Keith Kennedy,1315,M40-44,USA,01:09:29,04:54:16,03:26:07,09:36:37,Ironman Maryland,09/29/2018,"Cambridge, Maryland, USA"
8,JP Dowd,380,M40-44,USA,01:04:11,04:44:51,03:43:31,09:38:29,Ironman Maryland,09/29/2018,"Cambridge, Maryland, USA"
9,Montoya Nieto,1336,M40-44,CRI,00:57:31,04:56:12,03:37:36,09:39:30,Ironman Maryland,09/29/2018,"Cambridge, Maryland, USA"
