Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,Race,Date,Location
1,Cody Beals,1,MPRO,CAN,00:50:36,04:20:53,02:42:28,07:58:33,Ironman Mont-Tremblant,08/18/2019,"Mont-Tremblant, Quebec, Canada"
2,Lionel Sanders,2,MPRO,CAN,00:51:47,04:15:12,02:53:57,08:05:37,Ironman Mont-Tremblant,08/18/2019,"Mont-Tremblant, Quebec, Canada"
3,Nathan Killam,25,MPRO,,00:50:40,04:37:17,02:56:33,08:29:15,Ironman Mont-Tremblant,08/18/2019,"Mont-Tremblant, Quebec, Canada"
4,Cedric Boily,7,MPRO,CAN,00:50:51,04:38:19,03:00:32,08:34:45,Ironman Mont-Tremblant,08/18/2019,"Mont-Tremblant, Quebec, Canada"
5,Scott Defilippis,14,MPRO,USA,00:53:34,04:42:51,02:56:27,08:38:22,Ironman Mont-Tremblant,08/18/2019,"Mont-Tremblant, Quebec, Canada"
1,Kevin Thomassin,159,M30-34,FRA,01:02:57,04:47:02,02:50:01,08:45:24,Ironman Mont-Tremblant,08/18/2019,"Mont-Tremblant, Quebec, Canada"
1,Carrie Lester,31,FPRO,AUS,00:51:23,04:48:20,03:03:50,08:48:25,Ironman Mont-Tremblant,08/18/2019,"Mont-Tremblant, Quebec, Canada"
6,Christian Brader,9,MPRO,DEU,00:54:19,04:49:46,03:00:47,08:49:58,Ironman Mont-Tremblant,08/18/2019,"Mont-Tremblant, Quebec, Canada"
1,Daniel Stubleski,173,M40-44,USA,00:57:07,04:48:30,03:03:48,08:54:47,Ironman Mont-Tremblant,08/18/2019,"Mont-Tremblant, Quebec, Canada"
7,Eliot Scymanski,24,MPRO,USA,00:50:42,04:51:21,03:11:51,08:59:56,Ironman Mont-Tremblant,08/18/2019,"Mont-Tremblant, Quebec, Canada"
2,Vince Donofrio,157,M30-34,USA,00:56:39,05:03:18,02:54:51,09:01:11,Ironman Mont-Tremblant,08/18/2019,"Mont-Tremblant, Quebec, Canada"
8,Antoine Jolicoeur Desroches,3,MPRO,CAN,00:48:16,04:33:04,03:35:56,09:01:17,Ironman Mont-Tremblant,08/18/2019,"Mont-Tremblant, Quebec, Canada"
3,Elliot-Olivier Pellerin,2739,M30-34,CAN,00:59:21,04:51:12,03:05:12,09:02:03,Ironman Mont-Tremblant,08/18/2019,"Mont-Tremblant, Quebec, Canada"
2,Sarah True,32,FPRO,USA,00:50:11,05:04:17,03:04:51,09:04:31,Ironman Mont-Tremblant,08/18/2019,"Mont-Tremblant, Quebec, Canada"
1,Colin Cook,563,M35-39,USA,00:58:13,05:05:45,02:55:27,09:06:01,Ironman Mont-Tremblant,08/18/2019,"Mont-Tremblant, Quebec, Canada"
2,Juan Valencia,174,M40-44,COL,00:51:16,04:55:02,03:12:42,09:06:03,Ironman Mont-Tremblant,08/18/2019,"Mont-Tremblant, Quebec, Canada"
1,Ben Besse,1255,M25-29,USA,00:53:35,04:58:45,03:07:18,09:06:29,Ironman Mont-Tremblant,08/18/2019,"Mont-Tremblant, Quebec, Canada"
3,Ernest St-Pierre,172,M40-44,CAN,01:00:18,04:44:01,03:16:33,09:07:18,Ironman Mont-Tremblant,08/18/2019,"Mont-Tremblant, Quebec, Canada"
4,Francis Martin,265,M30-34,CAN,01:01:52,04:41:10,03:19:53,09:08:38,Ironman Mont-Tremblant,08/18/2019,"Mont-Tremblant, Quebec, Canada"
2,Alan Horton,2779,M35-39,USA,00:58:12,05:03:57,03:02:19,09:12:44,Ironman Mont-Tremblant,08/18/2019,"Mont-Tremblant, Quebec, Canada"
3,Andrei Achcar,271,M35-39,BRA,00:55:47,05:09:05,03:02:06,09:13:33,Ironman Mont-Tremblant,08/18/2019,"Mont-Tremblant, Quebec, Canada"
4,Julien Schoenborn,289,M35-39,CAN,01:03:55,04:53:20,03:10:44,09:13:50,Ironman Mont-Tremblant,08/18/2019,"Mont-Tremblant, Quebec, Canada"
3,Jodie Robertson,36,FPRO,USA,00:59:40,04:59:35,03:11:28,09:16:16,Ironman Mont-Tremblant,08/18/2019,"Mont-Tremblant, Quebec, Canada"
1,Roman Prochazka,181,M45-49,CZE,01:04:43,04:55:31,03:14:03,09:21:01,Ironman Mont-Tremblant,08/18/2019,"Mont-Tremblant, Quebec, Canada"
2,Simon Leblanc,1313,M25-29,CAN,00:53:37,05:03:07,03:19:03,09:21:19,Ironman Mont-Tremblant,08/18/2019,"Mont-Tremblant, Quebec, Canada"
-,Team Tarheels,4036,URELAY,USA,00:48:14,05:32:17,02:57:25,09:22:23,Ironman Mont-Tremblant,08/18/2019,"Mont-Tremblant, Quebec, Canada"
5,Jiri Kaplan,164,M35-39,CZE,01:05:21,04:54:14,03:18:16,09:25:26,Ironman Mont-Tremblant,08/18/2019,"Mont-Tremblant, Quebec, Canada"
9,Andrew Yoder,4,MPRO,USA,00:50:53,04:44:22,03:38:34,09:27:04,Ironman Mont-Tremblant,08/18/2019,"Mont-Tremblant, Quebec, Canada"
