Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,Race,Date,Location
1,Jonathan Mcmillan,44,M 25-29,CAN,00:59:23,05:06:21,03:07:48,09:19:28,Ironman Muskoka,08/30/2015,"Muskoka, Ontario, Canada"
1,Kenneth Morris,607,M 35-39,CAN,01:06:12,04:53:48,03:12:46,09:20:28,Ironman Muskoka,08/30/2015,"Muskoka, Ontario, Canada"
1,Bradley Gionet,535,M 30-34,CAN,00:51:47,05:14:06,03:08:52,09:21:19,Ironman Muskoka,08/30/2015,"Muskoka, Ontario, Canada"
2,Dana Riederer,160,M 30-34,USA,01:01:12,05:03:38,03:14:20,09:26:49,Ironman Muskoka,08/30/2015,"Muskoka, Ontario, Canada"
3,David Hansen,172,M 30-34,USA,00:57:26,05:03:03,03:23:49,09:30:44,Ironman Muskoka,08/30/2015,"Muskoka, Ontario, Canada"
1,Bryan Rusche,649,M 40-44,CAN,01:09:55,05:02:28,03:10:01,09:31:32,Ironman Muskoka,08/30/2015,"Muskoka, Ontario, Canada"
4,Duncan Ross,42,M 30-34,CAN,01:00:36,05:17:40,03:08:45,09:33:30,Ironman Muskoka,08/30/2015,"Muskoka, Ontario, Canada"
2,Brandon Habermehl,1236,M 35-39,CAN,00:56:04,05:16:25,03:15:05,09:34:21,Ironman Muskoka,08/30/2015,"Muskoka, Ontario, Canada"
3,Pablo Ureta,155,M 35-39,ARG,00:55:00,05:16:51,03:16:42,09:35:00,Ironman Muskoka,08/30/2015,"Muskoka, Ontario, Canada"
2,Ben Mcmurray,178,M 25-29,USA,00:56:02,05:15:47,03:19:59,09:38:11,Ironman Muskoka,08/30/2015,"Muskoka, Ontario, Canada"
3,Michael Sumbs,1262,M 25-29,USA,01:10:40,05:06:59,03:15:13,09:41:26,Ironman Muskoka,08/30/2015,"Muskoka, Ontario, Canada"
4,Kenrick Smith,158,M 35-39,USA,00:54:37,05:23:42,03:18:37,09:42:43,Ironman Muskoka,08/30/2015,"Muskoka, Ontario, Canada"
5,Chris Inch,390,M 30-34,CAN,01:00:51,05:13:29,03:28:40,09:48:57,Ironman Muskoka,08/30/2015,"Muskoka, Ontario, Canada"
1,John Hessian,126,M 45-49,USA,01:06:02,05:12:37,03:21:11,09:49:43,Ironman Muskoka,08/30/2015,"Muskoka, Ontario, Canada"
4,William Hafferty,181,M 25-29,USA,00:56:32,05:14:39,03:32:01,09:50:12,Ironman Muskoka,08/30/2015,"Muskoka, Ontario, Canada"
6,Brian Lambert,170,M 30-34,USA,01:00:30,05:21:26,03:22:35,09:50:42,Ironman Muskoka,08/30/2015,"Muskoka, Ontario, Canada"
1,Greg Hallman,284,M 50-54,CAN,00:57:31,05:20:01,03:25:29,09:50:46,Ironman Muskoka,08/30/2015,"Muskoka, Ontario, Canada"
2,Vadim Suraev,717,M 40-44,RUS,00:59:46,05:06:53,03:36:53,09:51:08,Ironman Muskoka,08/30/2015,"Muskoka, Ontario, Canada"
7,Bryan Quinlan,164,M 30-34,CAN,01:00:48,05:13:26,03:31:03,09:51:29,Ironman Muskoka,08/30/2015,"Muskoka, Ontario, Canada"
5,Felipe Aguayo,458,M 25-29,USA,00:56:08,05:19:06,03:29:14,09:51:56,Ironman Muskoka,08/30/2015,"Muskoka, Ontario, Canada"
3,Crispin Napolitano,140,M 40-44,USA,00:59:45,05:15:12,03:29:31,09:52:08,Ironman Muskoka,08/30/2015,"Muskoka, Ontario, Canada"
2,Vladimir Schmidt,1281,M 45-49,USA,00:56:53,05:24:01,03:21:33,09:52:20,Ironman Muskoka,08/30/2015,"Muskoka, Ontario, Canada"
4,Scott Hamilton,1243,M 40-44,CAN,00:59:56,05:17:20,03:28:04,09:52:39,Ironman Muskoka,08/30/2015,"Muskoka, Ontario, Canada"
3,Brandon Whitby,775,M 45-49,CAN,00:52:33,05:15:38,03:36:47,09:52:49,Ironman Muskoka,08/30/2015,"Muskoka, Ontario, Canada"
5,Bas Ranzijn,626,M 35-39,NLD,01:02:29,05:13:36,03:31:11,09:53:04,Ironman Muskoka,08/30/2015,"Muskoka, Ontario, Canada"
1,Robyn Hardage,11,F 30-34,CAN,01:01:18,05:25:40,03:20:47,09:53:37,Ironman Muskoka,08/30/2015,"Muskoka, Ontario, Canada"
6,Robert Green,151,M 35-39,USA,00:56:34,05:13:03,03:38:11,09:54:52,Ironman Muskoka,08/30/2015,"Muskoka, Ontario, Canada"
2,Claude Pratte,99,M 50-54,CAN,00:59:08,05:21:58,03:27:54,09:57:49,Ironman Muskoka,08/30/2015,"Muskoka, Ontario, Canada"
8,Jimmy Sosinski,163,M 30-34,USA,01:06:35,05:18:10,03:28:30,09:59:42,Ironman Muskoka,08/30/2015,"Muskoka, Ontario, Canada"
5,Colin Morrison,33,M 40-44,CAN,00:55:13,05:24:45,03:33:13,09:59:48,Ironman Muskoka,08/30/2015,"Muskoka, Ontario, Canada"
1,Jeff Condit,436,M 18-24,USA,00:57:44,05:26:42,03:31:11,10:01:35,Ironman Muskoka,08/30/2015,"Muskoka, Ontario, Canada"
7,Ryan Carl,159,M 35-39,AUS,01:07:49,05:28:31,03:12:26,10:01:57,Ironman Muskoka,08/30/2015,"Muskoka, Ontario, Canada"
6,Steffen Schmelzle,177,M 25-29,DEU,01:01:40,05:14:02,03:40:46,10:02:14,Ironman Muskoka,08/30/2015,"Muskoka, Ontario, Canada"
6,Dave Hunnius,139,M 40-44,USA,01:01:23,05:16:50,03:36:02,10:03:05,Ironman Muskoka,08/30/2015,"Muskoka, Ontario, Canada"
4,Stephan Schwarze,114,M 45-49,DEU,01:01:53,05:21:49,03:30:50,10:03:13,Ironman Muskoka,08/30/2015,"Muskoka, Ontario, Canada"
3,Tony Biernacki,877,M 50-54,COD,01:00:55,05:11:13,03:46:27,10:06:15,Ironman Muskoka,08/30/2015,"Muskoka, Ontario, Canada"
4,Guy Lefebvre,98,M 50-54,CAN,01:00:34,05:20:33,03:38:23,10:06:54,Ironman Muskoka,08/30/2015,"Muskoka, Ontario, Canada"
9,David Smith,43,M 30-34,USA,00:56:38,05:38:15,03:26:54,10:07:41,Ironman Muskoka,08/30/2015,"Muskoka, Ontario, Canada"
8,Robert Gouley,557,M 35-39,CAN,00:52:05,05:49:15,03:20:18,10:09:04,Ironman Muskoka,08/30/2015,"Muskoka, Ontario, Canada"
10,Olive Moraine,504,M 30-34,CAN,01:05:47,05:27:31,03:28:28,10:09:57,Ironman Muskoka,08/30/2015,"Muskoka, Ontario, Canada"
5,David Tallo,1247,M 45-49,CAN,01:05:06,05:20:45,03:37:40,10:10:33,Ironman Muskoka,08/30/2015,"Muskoka, Ontario, Canada"
