Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,Race,Date,Location
1,Braden Currie,2,MPRO,New Zealand,00:47:29,04:23:46,02:40:47,07:57:13,Ironman New Zealand,03/27/2021,"Taupo, New Zealand"
2,Mike Phillips,1,MPRO,New Zealand,00:47:48,04:23:28,02:49:51,08:06:38,Ironman New Zealand,03/27/2021,"Taupo, New Zealand"
3,Kyle Smith,5,MPRO,New Zealand,00:46:33,04:23:49,02:51:39,08:08:53,Ironman New Zealand,03/27/2021,"Taupo, New Zealand"
4,Jack Moody,8,MPRO,New Zealand,00:53:36,04:35:50,02:42:14,08:18:23,Ironman New Zealand,03/27/2021,"Taupo, New Zealand"
5,Ben Phillips,4,MPRO,New Zealand,00:47:31,04:29:47,02:56:44,08:19:59,Ironman New Zealand,03/27/2021,"Taupo, New Zealand"
6,Simon Cochrane,6,MPRO,New Zealand,00:47:35,04:39:07,02:52:10,08:24:40,Ironman New Zealand,03/27/2021,"Taupo, New Zealand"
1,Matt Kerr,156,M30-34,New Zealand,00:50:12,04:29:24,03:00:09,08:27:16,Ironman New Zealand,03/27/2021,"Taupo, New Zealand"
7,Lucas Duross,9,MPRO,New Zealand,00:54:13,04:49:14,03:00:27,08:51:26,Ironman New Zealand,03/27/2021,"Taupo, New Zealand"
1,Rob Mears,163,M25-29,New Zealand,00:55:14,04:41:44,03:11:46,08:56:43,Ironman New Zealand,03/27/2021,"Taupo, New Zealand"
1,Hannah Wells,20,FPRO,New Zealand,00:53:55,04:50:40,03:10:50,09:01:49,Ironman New Zealand,03/27/2021,"Taupo, New Zealand"
2,David Haunschmidt,143,M30-34,New Zealand,01:02:33,04:58:37,02:58:08,09:06:39,Ironman New Zealand,03/27/2021,"Taupo, New Zealand"
2,Scott Harpham,362,M25-29,New Zealand,00:57:59,04:46:55,03:15:56,09:08:11,Ironman New Zealand,03/27/2021,"Taupo, New Zealand"
1,Tim Gould,534,M40-44,New Zealand,01:03:19,04:47:52,03:09:54,09:10:05,Ironman New Zealand,03/27/2021,"Taupo, New Zealand"
3,Michael Tong,166,M25-29,New Zealand,00:56:35,04:57:21,03:10:45,09:10:21,Ironman New Zealand,03/27/2021,"Taupo, New Zealand"
1,Steven Miller,196,M45-49,New Zealand,01:03:13,04:51:40,03:11:27,09:13:05,Ironman New Zealand,03/27/2021,"Taupo, New Zealand"
2,Rebecca Clarke,21,FPRO,New Zealand,00:48:39,05:02:09,03:17:40,09:15:39,Ironman New Zealand,03/27/2021,"Taupo, New Zealand"
2,Nicholas Gill,255,M45-49,New Zealand,01:00:26,04:49:41,03:23:31,09:20:27,Ironman New Zealand,03/27/2021,"Taupo, New Zealand"
1,Greg Bassam,239,M35-39,New Zealand,01:05:11,04:47:31,03:20:45,09:21:22,Ironman New Zealand,03/27/2021,"Taupo, New Zealand"
2,Carl Read,149,M40-44,New Zealand,00:58:02,05:10:04,03:09:48,09:27:39,Ironman New Zealand,03/27/2021,"Taupo, New Zealand"
3,Tim Doyle,413,M30-34,New Zealand,00:51:34,05:05:51,03:23:25,09:29:58,Ironman New Zealand,03/27/2021,"Taupo, New Zealand"
4,Jason Saunders,436,M30-34,New Zealand,01:05:19,05:02:47,03:14:56,09:30:37,Ironman New Zealand,03/27/2021,"Taupo, New Zealand"
5,Max Gordon,232,M30-34,New Zealand,00:58:55,05:03:59,03:22:02,09:31:39,Ironman New Zealand,03/27/2021,"Taupo, New Zealand"
2,Paul Preston,178,M35-39,New Zealand,00:57:57,05:03:48,03:26:21,09:36:11,Ironman New Zealand,03/27/2021,"Taupo, New Zealand"
6,Sam Thom,440,M30-34,New Zealand,01:00:23,05:10:16,03:18:45,09:37:27,Ironman New Zealand,03/27/2021,"Taupo, New Zealand"
3,Emily McNaughtan,23,FPRO,New Zealand,01:01:05,05:12:23,03:17:48,09:38:42,Ironman New Zealand,03/27/2021,"Taupo, New Zealand"
1,Peter Tuck,214,M50-54,New Zealand,01:01:31,05:01:43,03:29:23,09:39:47,Ironman New Zealand,03/27/2021,"Taupo, New Zealand"
7,Alex Roberts,79,M30-34,New Zealand,00:55:10,05:02:21,03:36:27,09:40:35,Ironman New Zealand,03/27/2021,"Taupo, New Zealand"
2,Dean Galt,101,M50-54,New Zealand,01:01:58,05:01:04,03:30:13,09:41:22,Ironman New Zealand,03/27/2021,"Taupo, New Zealand"
1,Nikkola Mathews,807,F40-44,New Zealand,00:58:06,05:11:37,03:24:29,09:42:22,Ironman New Zealand,03/27/2021,"Taupo, New Zealand"
3,Ben Mason,186,M40-44,New Zealand,01:00:48,05:05:32,03:29:05,09:45:10,Ironman New Zealand,03/27/2021,"Taupo, New Zealand"
3,Andrew Smith,157,M45-49,New Zealand,01:02:18,05:07:37,03:27:37,09:45:20,Ironman New Zealand,03/27/2021,"Taupo, New Zealand"
4,Johan Vanhoovels,187,M40-44,New Zealand,01:17:06,05:08:48,03:08:19,09:46:31,Ironman New Zealand,03/27/2021,"Taupo, New Zealand"
5,Daniel Jones,67,M40-44,New Zealand,01:02:46,05:12:57,03:23:27,09:47:21,Ironman New Zealand,03/27/2021,"Taupo, New Zealand"
1,Matthew Brick,277,M55-59,New Zealand,01:06:01,04:56:45,03:38:16,09:50:00,Ironman New Zealand,03/27/2021,"Taupo, New Zealand"
3,Steve Dean,100,M50-54,New Zealand,00:59:31,05:00:27,03:43:40,09:51:45,Ironman New Zealand,03/27/2021,"Taupo, New Zealand"
4,Scott Cresswell,253,M45-49,New Zealand,00:58:46,05:06:08,03:41:58,09:54:04,Ironman New Zealand,03/27/2021,"Taupo, New Zealand"
6,Mark Watt,557,M40-44,New Zealand,01:07:45,05:22:33,03:15:23,09:56:17,Ironman New Zealand,03/27/2021,"Taupo, New Zealand"
5,Matt Brook,250,M45-49,New Zealand,00:57:09,05:12:11,03:39:35,09:57:05,Ironman New Zealand,03/27/2021,"Taupo, New Zealand"
8,Bruno Lira,144,M30-34,Brazil,01:05:20,05:05:53,03:39:23,09:58:35,Ironman New Zealand,03/27/2021,"Taupo, New Zealand"
4,Thomas Saunders,380,M25-29,New Zealand,00:55:35,05:23:23,03:31:25,09:58:39,Ironman New Zealand,03/27/2021,"Taupo, New Zealand"
7,Jono Bay,518,M40-44,New Zealand,01:06:58,05:19:55,03:24:04,10:00:33,Ironman New Zealand,03/27/2021,"Taupo, New Zealand"
1,Merle Talviste,181,F35-39,Estonia,00:58:03,05:09:26,03:43:44,10:00:35,Ironman New Zealand,03/27/2021,"Taupo, New Zealand"
4,Melanie Burke,22,FPRO,New Zealand,01:09:11,05:18:16,03:29:57,10:05:12,Ironman New Zealand,03/27/2021,"Taupo, New Zealand"
1,Natalie Price,148,F30-34,United Kingdom,01:01:45,05:34:14,03:22:06,10:05:56,Ironman New Zealand,03/27/2021,"Taupo, New Zealand"
9,Matthew Dobson,142,M30-34,New Zealand,00:58:52,05:18:24,03:42:30,10:07:15,Ironman New Zealand,03/27/2021,"Taupo, New Zealand"
3,Rick Manley,297,M35-39,New Zealand,01:07:06,05:03:06,03:47:59,10:07:19,Ironman New Zealand,03/27/2021,"Taupo, New Zealand"
6,Reuben Tucker,198,M45-49,New Zealand,01:05:13,05:28:29,03:30:49,10:12:05,Ironman New Zealand,03/27/2021,"Taupo, New Zealand"
1,Philip Morreau,765,M60-64,New Zealand,00:55:12,05:12:38,03:55:28,10:12:12,Ironman New Zealand,03/27/2021,"Taupo, New Zealand"
1,Fiona Gallagher,395,F25-29,New Zealand,00:57:08,05:19:46,03:45:50,10:12:32,Ironman New Zealand,03/27/2021,"Taupo, New Zealand"
8,Sean Donoghue,528,M40-44,New Zealand,01:02:27,05:33:16,03:28:27,10:12:40,Ironman New Zealand,03/27/2021,"Taupo, New Zealand"
4,Grant Clifton,235,M50-54,New Zealand,01:07:27,05:19:14,03:37:15,10:13:41,Ironman New Zealand,03/27/2021,"Taupo, New Zealand"
10,Malcolm Cleland,296,M30-34,New Zealand,00:55:00,04:49:30,04:24:51,10:16:48,Ironman New Zealand,03/27/2021,"Taupo, New Zealand"
9,Matt Hay,184,M40-44,New Zealand,01:01:51,05:33:27,03:34:21,10:18:11,Ironman New Zealand,03/27/2021,"Taupo, New Zealand"
4,Simone Ferretti,467,M35-39,Italy,00:51:37,05:09:24,04:07:58,10:18:56,Ironman New Zealand,03/27/2021,"Taupo, New Zealand"
2,Jianni Koutsos,804,M55-59,New Zealand,00:54:54,05:23:47,03:54:52,10:22:01,Ironman New Zealand,03/27/2021,"Taupo, New Zealand"
5,Stuart Heighway,471,M35-39,United Kingdom,01:01:47,05:28:17,03:38:52,10:22:15,Ironman New Zealand,03/27/2021,"Taupo, New Zealand"
10,Scotty Yang,243,M40-44,New Zealand,01:01:44,05:21:38,03:48:39,10:22:52,Ironman New Zealand,03/27/2021,"Taupo, New Zealand"
5,Wayne Ross,268,M50-54,New Zealand,01:05:22,05:19:17,03:50:49,10:23:05,Ironman New Zealand,03/27/2021,"Taupo, New Zealand"
7,John-Henry MacDonald,257,M45-49,New Zealand,00:59:19,05:10:55,04:03:59,10:23:25,Ironman New Zealand,03/27/2021,"Taupo, New Zealand"
5,Hamish Robertson,165,M25-29,New Zealand,00:57:54,05:13:01,04:04:00,10:24:28,Ironman New Zealand,03/27/2021,"Taupo, New Zealand"
8,Anton Bergs,584,M45-49,New Zealand,01:07:05,05:14:10,03:54:05,10:24:50,Ironman New Zealand,03/27/2021,"Taupo, New Zealand"
6,Bryce Hirschberg,365,M25-29,New Zealand,00:59:22,05:41:36,03:37:38,10:24:59,Ironman New Zealand,03/27/2021,"Taupo, New Zealand"
11,Cam Wasley,242,M40-44,New Zealand,01:02:19,05:21:57,03:49:36,10:26:52,Ironman New Zealand,03/27/2021,"Taupo, New Zealand"
12,Veiko Termonen,812,M40-44,New Zealand,01:01:42,05:35:40,03:39:22,10:27:12,Ironman New Zealand,03/27/2021,"Taupo, New Zealand"
11,Alex Jones,425,M30-34,New Zealand,01:11:00,05:06:21,03:57:20,10:27:31,Ironman New Zealand,03/27/2021,"Taupo, New Zealand"
7,Matthew Ansell,346,M25-29,New Zealand,01:13:18,05:44:34,03:20:55,10:29:05,Ironman New Zealand,03/27/2021,"Taupo, New Zealand"
6,Brent Knight,69,M35-39,New Zealand,01:11:00,05:17:55,03:50:02,10:29:12,Ironman New Zealand,03/27/2021,"Taupo, New Zealand"
7,Simon Swift,298,M35-39,New Zealand,01:09:25,05:22:38,03:51:10,10:33:02,Ironman New Zealand,03/27/2021,"Taupo, New Zealand"
3,Marinho Barcellos,276,M55-59,New Zealand,01:25:12,05:05:58,03:52:01,10:33:45,Ironman New Zealand,03/27/2021,"Taupo, New Zealand"
12,Ryno DE Beer,410,M30-34,New Zealand,01:13:59,05:16:08,03:53:13,10:33:55,Ironman New Zealand,03/27/2021,"Taupo, New Zealand"
8,Damien Louis,371,M25-29,France,01:25:22,05:17:44,03:40:35,10:34:18,Ironman New Zealand,03/27/2021,"Taupo, New Zealand"
9,Brendan Heal,194,M45-49,New Zealand,01:02:20,05:21:32,04:02:47,10:34:26,Ironman New Zealand,03/27/2021,"Taupo, New Zealand"
8,Michael VAN Kampen,180,M35-39,New Zealand,01:00:24,05:16:21,04:11:13,10:37:13,Ironman New Zealand,03/27/2021,"Taupo, New Zealand"
9,Luke Hammington,470,M35-39,New Zealand,01:03:22,05:36:17,03:46:07,10:38:02,Ironman New Zealand,03/27/2021,"Taupo, New Zealand"
13,Francois DE Kock,412,M30-34,South Africa,00:59:20,05:35:56,03:51:33,10:38:43,Ironman New Zealand,03/27/2021,"Taupo, New Zealand"
10,Andrew Maud,175,M35-39,New Zealand,01:01:50,05:30:25,03:56:58,10:42:01,Ironman New Zealand,03/27/2021,"Taupo, New Zealand"
11,Travis Tomlinson,492,M35-39,New Zealand,01:08:43,05:23:31,04:00:12,10:42:15,Ironman New Zealand,03/27/2021,"Taupo, New Zealand"
14,Shaun Brannigan,408,M30-34,New Zealand,01:02:44,05:38:42,03:50:20,10:42:35,Ironman New Zealand,03/27/2021,"Taupo, New Zealand"
15,Owen O'Kane,434,M30-34,Ireland,01:05:28,05:24:16,04:01:49,10:43:12,Ironman New Zealand,03/27/2021,"Taupo, New Zealand"
9,Ayden Reynolds,378,M25-29,New Zealand,01:06:03,05:31:29,03:55:52,10:44:21,Ironman New Zealand,03/27/2021,"Taupo, New Zealand"
2,Billie-Lee Haresnape,167,F25-29,New Zealand,01:05:23,05:44:55,03:46:26,10:44:27,Ironman New Zealand,03/27/2021,"Taupo, New Zealand"
2,Kelly Sutherland,513,F35-39,New Zealand,01:02:22,05:45:47,03:47:37,10:45:25,Ironman New Zealand,03/27/2021,"Taupo, New Zealand"
1,Anna McRae,204,F45-49,New Zealand,01:18:40,05:47:54,03:27:53,10:46:10,Ironman New Zealand,03/27/2021,"Taupo, New Zealand"
1,Harrison Dudley-Rode,329,M18-24,New Zealand,01:07:39,05:16:21,04:12:37,10:46:14,Ironman New Zealand,03/27/2021,"Taupo, New Zealand"
6,David Mattson,211,M50-54,New Zealand,01:00:44,05:16:50,04:21:35,10:47:07,Ironman New Zealand,03/27/2021,"Taupo, New Zealand"
7,Mike Williamson,216,M50-54,New Zealand,01:08:54,05:37:11,03:48:34,10:47:15,Ironman New Zealand,03/27/2021,"Taupo, New Zealand"
12,Paul Daly,462,M35-39,New Zealand,01:02:56,05:45:16,03:46:43,10:47:42,Ironman New Zealand,03/27/2021,"Taupo, New Zealand"
13,Sam Halse,469,M35-39,New Zealand,01:07:13,05:37:47,03:51:45,10:47:51,Ironman New Zealand,03/27/2021,"Taupo, New Zealand"
8,Gerard Gordon,310,M50-54,New Zealand,01:05:32,05:37:20,03:54:40,10:48:17,Ironman New Zealand,03/27/2021,"Taupo, New Zealand"
9,Heath Radcliffe,267,M50-54,New Zealand,01:13:13,05:33:30,03:49:40,10:48:28,Ironman New Zealand,03/27/2021,"Taupo, New Zealand"
10,Gary Walden,215,M50-54,New Zealand,01:07:40,05:28:15,04:01:29,10:49:15,Ironman New Zealand,03/27/2021,"Taupo, New Zealand"
14,Jeff East,464,M35-39,New Zealand,01:03:29,05:23:17,04:10:20,10:50:21,Ironman New Zealand,03/27/2021,"Taupo, New Zealand"
