Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,Race,Date,Location
1,Cameron Brown,1,M PRO,NZL,00:48:37,04:29:13,02:44:54,08:07:58,Ironman New Zealand,03/05/2016,"Taupo, New Zealand"
2,Joe Skipper,29,M PRO,GBR,00:53:11,04:25:11,02:45:51,08:09:37,Ironman New Zealand,03/05/2016,"Taupo, New Zealand"
3,Callum Millward,21,M PRO,NZL,00:46:49,04:31:13,02:48:01,08:10:57,Ironman New Zealand,03/05/2016,"Taupo, New Zealand"
4,Matt Hanson,5,M PRO,USA,00:51:34,04:34:42,02:41:20,08:12:30,Ironman New Zealand,03/05/2016,"Taupo, New Zealand"
5,Matt Russell,26,M PRO,USA,00:56:23,04:28:28,02:45:10,08:15:25,Ironman New Zealand,03/05/2016,"Taupo, New Zealand"
6,Terenzo Bozzone,2,M PRO,NZL,00:46:46,04:31:27,02:56:55,08:19:53,Ironman New Zealand,03/05/2016,"Taupo, New Zealand"
7,Dougal Allan,9,M PRO,NZL,00:56:26,04:22:13,03:00:43,08:24:27,Ironman New Zealand,03/05/2016,"Taupo, New Zealand"
8,Cyril Viennot,4,M PRO,FRA,00:48:38,04:26:50,03:06:38,08:27:36,Ironman New Zealand,03/05/2016,"Taupo, New Zealand"
9,Simon Cochrane,16,M PRO,NZL,00:48:32,04:32:28,03:02:08,08:28:13,Ironman New Zealand,03/05/2016,"Taupo, New Zealand"
10,Mark Bowstead,13,M PRO,NZL,00:46:36,04:31:30,03:06:15,08:29:38,Ironman New Zealand,03/05/2016,"Taupo, New Zealand"
11,Guy Crawford,17,M PRO,NZL,00:46:43,04:31:22,03:20:08,08:43:28,Ironman New Zealand,03/05/2016,"Taupo, New Zealand"
12,Antony Costes,10,M PRO,FRA,00:46:40,04:33:42,03:19:27,08:44:40,Ironman New Zealand,03/05/2016,"Taupo, New Zealand"
13,Kaito Tohara,31,M PRO,JPN,00:49:54,04:51:56,02:56:57,08:45:24,Ironman New Zealand,03/05/2016,"Taupo, New Zealand"
1,Nathan Shearer,146,M 25-29,AUS,00:54:49,04:45:38,03:01:10,08:47:18,Ironman New Zealand,03/05/2016,"Taupo, New Zealand"
14,Clayton Fettell,18,M PRO,AUS,00:46:40,04:40:26,03:16:11,08:48:15,Ironman New Zealand,03/05/2016,"Taupo, New Zealand"
1,Bevan Mckinnon,331,M 45-49,NZL,00:50:22,04:43:41,03:08:41,08:48:47,Ironman New Zealand,03/05/2016,"Taupo, New Zealand"
1,Hayden Armstrong,155,M 35-39,AUS,00:52:35,04:43:39,03:06:25,08:49:04,Ironman New Zealand,03/05/2016,"Taupo, New Zealand"
1,Matt Clark,607,M 30-34,AUS,00:51:17,04:51:26,03:05:16,08:53:06,Ironman New Zealand,03/05/2016,"Taupo, New Zealand"
15,Chris Sanson,27,M PRO,NZL,00:56:22,04:48:42,03:02:26,08:53:38,Ironman New Zealand,03/05/2016,"Taupo, New Zealand"
16,Simon Billeau,11,M PRO,FRA,00:55:00,04:38:54,03:15:02,08:54:14,Ironman New Zealand,03/05/2016,"Taupo, New Zealand"
1,Meredith Kessler,40,F PRO,USA,00:47:49,04:56:40,03:06:03,08:56:08,Ironman New Zealand,03/05/2016,"Taupo, New Zealand"
2,Lachlan Green,144,M 25-29,AUS,00:50:13,04:49:53,03:13:20,08:59:24,Ironman New Zealand,03/05/2016,"Taupo, New Zealand"
1,Steve Eccleston,177,M 40-44,AUS,00:55:06,05:00:01,03:00:15,09:02:04,Ironman New Zealand,03/05/2016,"Taupo, New Zealand"
2,Eddie Sturla,439,M 40-44,ARG,00:52:37,04:53:36,03:12:29,09:04:47,Ironman New Zealand,03/05/2016,"Taupo, New Zealand"
17,Darren Jenkins,19,M PRO,AUS,01:02:44,05:01:10,02:54:12,09:05:06,Ironman New Zealand,03/05/2016,"Taupo, New Zealand"
2,Lucy Gossage,47,F PRO,GBR,00:55:45,04:51:39,03:12:10,09:05:08,Ironman New Zealand,03/05/2016,"Taupo, New Zealand"
2,Quentin Fogarty,157,M 35-39,NZL,00:53:33,04:56:50,03:09:26,09:06:43,Ironman New Zealand,03/05/2016,"Taupo, New Zealand"
3,Damien Collins,143,M 25-29,AUS,00:56:11,04:44:56,03:19:56,09:06:58,Ironman New Zealand,03/05/2016,"Taupo, New Zealand"
3,Carrie Lester,46,F PRO,AUS,00:52:14,05:01:22,03:08:13,09:07:19,Ironman New Zealand,03/05/2016,"Taupo, New Zealand"
2,Brett Weick,152,M 30-34,AUS,00:52:34,05:02:18,03:04:23,09:08:06,Ironman New Zealand,03/05/2016,"Taupo, New Zealand"
4,Laura Siddall,62,F PRO,GBR,00:55:38,04:53:11,03:14:53,09:09:08,Ironman New Zealand,03/05/2016,"Taupo, New Zealand"
18,Young-Hwan Oh,23,M PRO,KOR,00:59:18,04:56:46,03:07:20,09:09:43,Ironman New Zealand,03/05/2016,"Taupo, New Zealand"
5,Amanda Stevens,43,F PRO,USA,00:50:44,05:05:38,03:10:29,09:12:50,Ironman New Zealand,03/05/2016,"Taupo, New Zealand"
3,Adam Wilson,398,M 30-34,NZL,00:52:42,04:50:04,03:24:50,09:14:10,Ironman New Zealand,03/05/2016,"Taupo, New Zealand"
3,Campbell Hanson,431,M 40-44,NZL,00:53:57,04:56:49,03:18:04,09:14:33,Ironman New Zealand,03/05/2016,"Taupo, New Zealand"
6,Michelle Bremer,44,F PRO,NZL,00:55:32,05:00:10,03:14:14,09:15:43,Ironman New Zealand,03/05/2016,"Taupo, New Zealand"
7,Mareen Hufe,45,F PRO,DEU,00:59:26,04:55:28,03:15:52,09:16:53,Ironman New Zealand,03/05/2016,"Taupo, New Zealand"
4,Matthew Green,299,M 40-44,AUS,01:01:20,04:52:00,03:17:31,09:18:16,Ironman New Zealand,03/05/2016,"Taupo, New Zealand"
3,Jed Eden,273,M 35-39,NZL,00:55:05,05:05:02,03:10:52,09:18:29,Ironman New Zealand,03/05/2016,"Taupo, New Zealand"
4,Bevan Littler,119,M 35-39,NZL,00:52:45,05:12:28,03:06:49,09:18:45,Ironman New Zealand,03/05/2016,"Taupo, New Zealand"
5,Jarrod Owen,165,M 35-39,AUS,01:06:09,05:01:39,03:03:30,09:20:07,Ironman New Zealand,03/05/2016,"Taupo, New Zealand"
6,Jason Allie,265,M 35-39,AUS,01:01:32,05:10:43,03:03:45,09:23:01,Ironman New Zealand,03/05/2016,"Taupo, New Zealand"
4,Jason Schoeman,233,M 25-29,NZL,01:02:16,04:55:02,03:20:04,09:23:56,Ironman New Zealand,03/05/2016,"Taupo, New Zealand"
5,Benjamin Larsson,180,M 40-44,AUS,01:00:16,04:58:16,03:19:37,09:25:01,Ironman New Zealand,03/05/2016,"Taupo, New Zealand"
2,Peter Tuck,208,M 45-49,NZL,01:02:16,04:59:22,03:18:43,09:26:27,Ironman New Zealand,03/05/2016,"Taupo, New Zealand"
19,Samuel Clark,15,M PRO,NZL,00:56:19,04:56:23,03:28:01,09:27:41,Ironman New Zealand,03/05/2016,"Taupo, New Zealand"
7,Mark Federick Huber,406,M 35-39,AUS,01:04:40,05:02:22,03:15:50,09:29:24,Ironman New Zealand,03/05/2016,"Taupo, New Zealand"
4,Josh Harrison,244,M 30-34,NZL,00:59:39,04:53:50,03:30:39,09:29:48,Ironman New Zealand,03/05/2016,"Taupo, New Zealand"
8,Cesar Lobato,408,M 35-39,ARG,01:03:36,05:06:06,03:14:35,09:31:32,Ironman New Zealand,03/05/2016,"Taupo, New Zealand"
5,Dane Roberts,151,M 30-34,AUS,00:50:01,05:05:39,03:30:26,09:31:41,Ironman New Zealand,03/05/2016,"Taupo, New Zealand"
