Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,Race,Date,Location
1,James Duff,1047,M 40-44,USA,00:45:20,02:17:16,02:58:45,06:08:58,Ironman North Carolina,10/22/2016,"Wilmington, North Carolina, USA"
1,Cory Donohue,198,M 30-34,USA,00:54:23,02:16:07,02:59:23,06:17:52,Ironman North Carolina,10/22/2016,"Wilmington, North Carolina, USA"
1,Jamey Yon,1512,M 50-54,USA,00:47:49,02:28:10,02:57:14,06:22:07,Ironman North Carolina,10/22/2016,"Wilmington, North Carolina, USA"
1,Matt Barcus,328,M 35-39,USA,00:53:06,02:19:07,03:03:09,06:24:07,Ironman North Carolina,10/22/2016,"Wilmington, North Carolina, USA"
1,David Wirth,771,M 25-29,USA,00:50:48,02:25:42,03:06:13,06:31:00,Ironman North Carolina,10/22/2016,"Wilmington, North Carolina, USA"
2,Trenton Ross,762,M 25-29,USA,00:50:13,02:40:43,02:54:54,06:37:00,Ironman North Carolina,10/22/2016,"Wilmington, North Carolina, USA"
2,Robert Craig,791,M 30-34,USA,00:48:11,02:28:34,03:13:02,06:39:30,Ironman North Carolina,10/22/2016,"Wilmington, North Carolina, USA"
3,Steven Quinn,202,M 30-34,USA,00:48:53,02:28:31,03:13:58,06:41:17,Ironman North Carolina,10/22/2016,"Wilmington, North Carolina, USA"
4,Duran Greene,808,M 30-34,USA,00:51:20,02:32:04,03:14:06,06:45:16,Ironman North Carolina,10/22/2016,"Wilmington, North Carolina, USA"
2,Ross Germani,213,M 40-44,USA,00:47:28,02:24:05,03:26:02,06:45:46,Ironman North Carolina,10/22/2016,"Wilmington, North Carolina, USA"
2,David Frank,142,M 35-39,USA,00:47:41,02:25:09,03:26:27,06:48:24,Ironman North Carolina,10/22/2016,"Wilmington, North Carolina, USA"
3,Martin Stam,976,M 35-39,USA,00:52:52,02:35:42,03:08:30,06:48:25,Ironman North Carolina,10/22/2016,"Wilmington, North Carolina, USA"
1,Chris Ziemann,1358,M 45-49,USA,01:05:11,02:20:04,03:16:04,06:50:29,Ironman North Carolina,10/22/2016,"Wilmington, North Carolina, USA"
1,Amy Farrell,133,F 35-39,USA,00:53:50,02:36:10,03:15:30,06:53:13,Ironman North Carolina,10/22/2016,"Wilmington, North Carolina, USA"
3,Cameron Dorn,736,M 25-29,USA,00:57:41,02:34:39,03:10:36,06:53:51,Ironman North Carolina,10/22/2016,"Wilmington, North Carolina, USA"
3,Jamie Hoyt,145,M 40-44,USA,00:57:41,02:24:28,03:20:16,06:54:17,Ironman North Carolina,10/22/2016,"Wilmington, North Carolina, USA"
5,Bryan Gallant,801,M 30-34,USA,00:56:29,02:32:30,03:12:38,06:54:36,Ironman North Carolina,10/22/2016,"Wilmington, North Carolina, USA"
4,Billy Volchko,769,M 25-29,USA,00:58:01,02:22:31,03:25:58,06:54:37,Ironman North Carolina,10/22/2016,"Wilmington, North Carolina, USA"
6,Marcel Krug,141,M 30-34,DEU,00:48:48,02:22:05,03:35:52,06:55:21,Ironman North Carolina,10/22/2016,"Wilmington, North Carolina, USA"
