Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,Race,Date,Location
1,Derk De Korver,83,M35-39,NLD,01:00:58,04:31:04,03:03:17,08:42:36,Ironman Santa Rosa,05/12/2018,"Santa Rosa, California"
1,Matthew Malone,206,M30-34,USA,00:58:09,04:51:42,02:57:08,08:54:08,Ironman Santa Rosa,05/12/2018,"Santa Rosa, California"
2,Matt Bender,80,M30-34,USA,00:59:31,04:40:42,03:07:08,08:55:58,Ironman Santa Rosa,05/12/2018,"Santa Rosa, California"
1,Sami Inkinen,235,M40-44,USA,01:05:54,04:32:03,03:11:25,08:56:00,Ironman Santa Rosa,05/12/2018,"Santa Rosa, California"
1,Robin Schneider,952,M25-29,DEU,00:52:50,04:48:51,03:09:36,08:59:04,Ironman Santa Rosa,05/12/2018,"Santa Rosa, California"
2,Kyle Hummel,530,M35-39,USA,00:59:57,04:46:15,03:09:58,09:03:47,Ironman Santa Rosa,05/12/2018,"Santa Rosa, California"
2,Yann Rocheteau,101,M40-44,FRA,01:00:34,04:58:52,02:58:27,09:04:18,Ironman Santa Rosa,05/12/2018,"Santa Rosa, California"
2,Chris Allen,964,M25-29,USA,01:03:05,04:47:26,03:07:19,09:06:23,Ironman Santa Rosa,05/12/2018,"Santa Rosa, California"
3,Alberto Hermoso Diaz,72,M25-29,ESP,00:55:20,04:57:53,03:09:29,09:08:42,Ironman Santa Rosa,05/12/2018,"Santa Rosa, California"
3,Michael Hill,209,M30-34,USA,00:50:34,04:54:05,03:20:21,09:11:52,Ironman Santa Rosa,05/12/2018,"Santa Rosa, California"
4,Eric Engel,75,M30-34,USA,01:03:55,04:55:07,03:07:42,09:13:08,Ironman Santa Rosa,05/12/2018,"Santa Rosa, California"
5,Travis Rose,517,M30-34,USA,01:05:06,04:48:03,03:12:04,09:13:09,Ironman Santa Rosa,05/12/2018,"Santa Rosa, California"
4,John Matson,199,M25-29,USA,00:58:32,04:53:03,03:18:04,09:17:26,Ironman Santa Rosa,05/12/2018,"Santa Rosa, California"
3,Ryan Bickerstaff,91,M35-39,USA,00:55:33,05:03:40,03:12:48,09:21:04,Ironman Santa Rosa,05/12/2018,"Santa Rosa, California"
3,Kevin Coady,1336,M40-44,USA,01:00:40,04:59:34,03:12:57,09:21:10,Ironman Santa Rosa,05/12/2018,"Santa Rosa, California"
6,C.w. Moran,1049,M30-34,USA,01:02:53,04:59:45,03:12:05,09:21:46,Ironman Santa Rosa,05/12/2018,"Santa Rosa, California"
4,Brian Lambert,85,M35-39,USA,01:03:37,04:54:51,03:18:56,09:23:27,Ironman Santa Rosa,05/12/2018,"Santa Rosa, California"
7,James O'Sullivan,82,M30-34,GBR,01:01:55,05:04:50,03:11:21,09:24:51,Ironman Santa Rosa,05/12/2018,"Santa Rosa, California"
