Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,Race,Date,Location
1,Nicholas Baldwin,2,MPRO,SYC,00:55:07,04:45:42,03:03:52,08:50:13,Ironman Subic Bay Philippines,06/03/2018,"Subic Bay, Philippines
"
2,Cameron Brown,1,MPRO,NZL,00:55:47,04:53:38,03:01:53,08:56:49,Ironman Subic Bay Philippines,06/03/2018,"Subic Bay, Philippines
"
3,Simon Cochrane,3,MPRO,NZL,00:51:13,04:54:01,03:07:15,08:58:57,Ironman Subic Bay Philippines,06/03/2018,"Subic Bay, Philippines
"
1,Liz Blatchford,37,FPRO,AUS,00:53:01,05:03:45,03:19:22,09:22:22,Ironman Subic Bay Philippines,06/03/2018,"Subic Bay, Philippines
"
1,Petr Lukosz,331,M35-39,CZE,01:02:53,04:56:12,03:25:46,09:33:43,Ironman Subic Bay Philippines,06/03/2018,"Subic Bay, Philippines
"
4,Eneko Elosegi,5,MPRO,ESP,01:00:00,04:57:41,03:32:06,09:35:38,Ironman Subic Bay Philippines,06/03/2018,"Subic Bay, Philippines
"
2,Dimity Lee Duke,33,FPRO,AUS,01:00:22,05:05:48,03:23:25,09:40:45,Ironman Subic Bay Philippines,06/03/2018,"Subic Bay, Philippines
"
2,Nikolai Jenkins,334,M35-39,USA,01:07:35,04:57:01,03:32:32,09:42:56,Ironman Subic Bay Philippines,06/03/2018,"Subic Bay, Philippines
"
1,Rodolfo Zeledon,278,M30-34,CRI,01:02:06,04:51:47,03:46:59,09:46:18,Ironman Subic Bay Philippines,06/03/2018,"Subic Bay, Philippines
"
3,Simone Maier,30,FPRO,NZL,01:07:02,05:02:05,03:31:29,09:47:39,Ironman Subic Bay Philippines,06/03/2018,"Subic Bay, Philippines
"
5,August Benedicto,51,MPRO,PHL,01:08:48,05:07:36,03:27:06,09:48:45,Ironman Subic Bay Philippines,06/03/2018,"Subic Bay, Philippines
"
3,Andre Derosso Teixeira,497,M35-39,BRA,01:06:03,05:31:09,03:05:23,09:48:53,Ironman Subic Bay Philippines,06/03/2018,"Subic Bay, Philippines
"
4,Yoshitaka Imamura,392,M35-39,JPN,00:56:17,05:26:50,03:19:44,09:50:55,Ironman Subic Bay Philippines,06/03/2018,"Subic Bay, Philippines
"
6,Freddy Lampret,14,MPRO,AUT,00:55:11,04:59:32,03:50:37,09:51:20,Ironman Subic Bay Philippines,06/03/2018,"Subic Bay, Philippines
"
4,Julia Grant,36,FPRO,NZL,01:00:59,05:25:01,03:25:10,09:57:09,Ironman Subic Bay Philippines,06/03/2018,"Subic Bay, Philippines
"
2,Robert Turnbull,272,M30-34,GBR,01:16:07,04:57:04,03:39:05,09:57:37,Ironman Subic Bay Philippines,06/03/2018,"Subic Bay, Philippines
"
1,Koji Furuya,762,M40-44,JPN,01:00:55,05:01:57,03:48:28,09:59:59,Ironman Subic Bay Philippines,06/03/2018,"Subic Bay, Philippines
"
3,Hsieh Shen Yen,1225,M30-34,TWN,00:52:15,05:00:35,04:00:49,10:01:32,Ironman Subic Bay Philippines,06/03/2018,"Subic Bay, Philippines
"
1,Takeshi Ishibashi,151,M25-29,JPN,00:55:12,05:10:02,03:48:56,10:01:37,Ironman Subic Bay Philippines,06/03/2018,"Subic Bay, Philippines
"
5,Felipe Sajulga,390,M35-39,PHL,01:11:51,05:17:45,03:26:15,10:02:57,Ironman Subic Bay Philippines,06/03/2018,"Subic Bay, Philippines
"
1,Hiroaki Saso,107,M18-24,JPN,00:55:43,05:24:17,03:33:09,10:03:23,Ironman Subic Bay Philippines,06/03/2018,"Subic Bay, Philippines
"
4,Nick Carling,1218,M30-34,AUS,01:16:48,05:22:16,03:22:02,10:07:01,Ironman Subic Bay Philippines,06/03/2018,"Subic Bay, Philippines
"
7,Benjamin Rana,52,MPRO,PHL,01:04:52,05:14:57,03:46:41,10:13:00,Ironman Subic Bay Philippines,06/03/2018,"Subic Bay, Philippines
"
5,Alise Selsmark,31,FPRO,AUS,00:56:16,05:36:15,03:34:27,10:13:47,Ironman Subic Bay Philippines,06/03/2018,"Subic Bay, Philippines
"
5,Wang Yihui,182,M30-34,CHN,01:00:17,05:30:37,03:43:09,10:22:33,Ironman Subic Bay Philippines,06/03/2018,"Subic Bay, Philippines
"
1,Hyun-Soo Sun,819,M45-49,KOR,01:09:53,05:32:07,03:32:29,10:23:02,Ironman Subic Bay Philippines,06/03/2018,"Subic Bay, Philippines
"
1,Maki Nishioka,1308,F25-29,JPN,00:57:53,05:45:57,03:34:13,10:24:47,Ironman Subic Bay Philippines,06/03/2018,"Subic Bay, Philippines
"
6,Takuya Hishinuma,243,M30-34,JPN,01:13:58,05:29:10,03:32:57,10:26:50,Ironman Subic Bay Philippines,06/03/2018,"Subic Bay, Philippines
"
8,John Philip Duenas,53,MPRO,PHL,01:17:24,05:46:47,03:16:41,10:27:33,Ironman Subic Bay Philippines,06/03/2018,"Subic Bay, Philippines
"
2,David Zimmermann,822,M45-49,CHE,01:17:34,05:05:26,03:58:19,10:31:26,Ironman Subic Bay Philippines,06/03/2018,"Subic Bay, Philippines
"
7,Jonathon Tucker,276,M30-34,AUS,01:02:05,05:11:26,04:10:47,10:31:58,Ironman Subic Bay Philippines,06/03/2018,"Subic Bay, Philippines
"
2,Mervin Santiago,121,M25-29,PHL,01:08:43,05:24:05,03:56:01,10:34:45,Ironman Subic Bay Philippines,06/03/2018,"Subic Bay, Philippines
"
1,Laura Nadeau,1343,F35-39,GUM,01:09:15,05:36:31,03:40:48,10:35:02,Ironman Subic Bay Philippines,06/03/2018,"Subic Bay, Philippines
"
2,Kento Niimi,109,M18-24,JPN,01:12:36,05:27:27,03:44:22,10:36:04,Ironman Subic Bay Philippines,06/03/2018,"Subic Bay, Philippines
"
1,Victoria Hill,1398,F40-44,GBR,01:12:07,05:42:25,03:39:33,10:42:31,Ironman Subic Bay Philippines,06/03/2018,"Subic Bay, Philippines
"
2,Jarand Fjeld,705,M40-44,NOR,01:16:58,05:11:00,04:09:03,10:46:48,Ironman Subic Bay Philippines,06/03/2018,"Subic Bay, Philippines
"
8,Brian Borling,177,M30-34,PHL,01:09:10,05:09:41,04:24:53,10:50:38,Ironman Subic Bay Philippines,06/03/2018,"Subic Bay, Philippines
"
2,Deanna Fuller,1359,F35-39,USA,01:03:55,05:36:25,04:02:18,10:50:45,Ironman Subic Bay Philippines,06/03/2018,"Subic Bay, Philippines
"
6,Jemarvin Cabilan,406,M35-39,PHL,01:24:32,05:35:14,03:42:53,10:52:12,Ironman Subic Bay Philippines,06/03/2018,"Subic Bay, Philippines
"
9,Junyu Cao,179,M30-34,CHN,01:05:06,06:01:30,03:41:23,10:56:05,Ironman Subic Bay Philippines,06/03/2018,"Subic Bay, Philippines
"
6,Erin Furness,29,FPRO,NZL,01:04:01,05:42:58,04:03:24,10:56:46,Ironman Subic Bay Philippines,06/03/2018,"Subic Bay, Philippines
"
7,Ronald Molit,345,M35-39,PHL,01:00:19,05:51:02,04:00:26,11:00:57,Ironman Subic Bay Philippines,06/03/2018,"Subic Bay, Philippines
"
8,Leigh Gunn,457,M35-39,AUS,01:07:50,05:18:19,04:27:14,11:01:26,Ironman Subic Bay Philippines,06/03/2018,"Subic Bay, Philippines
"
3,Rebekah Walker,1355,F35-39,USA,01:09:34,05:44:49,04:00:21,11:03:26,Ironman Subic Bay Philippines,06/03/2018,"Subic Bay, Philippines
"
1,Nestor Glenn Gonzalez,1080,M50-54,PHL,01:10:08,05:34:11,04:11:54,11:07:13,Ironman Subic Bay Philippines,06/03/2018,"Subic Bay, Philippines
"
10,Andy Lordianto,194,M30-34,IDN,01:05:26,05:50:38,04:03:30,11:10:32,Ironman Subic Bay Philippines,06/03/2018,"Subic Bay, Philippines
"
