Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,Race,Date,Location
1,Jan Van Berkel,1,M PRO,SUI,00:51:37,04:35:14,02:46:40,08:17:03,Ironman Switzerland,07/21/2019,"Zurich, Switzerland
"
2,Sven Riederer,5,M PRO,SUI,00:51:44,04:34:49,02:53:20,08:24:06,Ironman Switzerland,07/21/2019,"Zurich, Switzerland
"
3,Cyril Viennot,34,M PRO,FRA,00:51:49,04:35:49,02:59:36,08:31:02,Ironman Switzerland,07/21/2019,"Zurich, Switzerland
"
4,Damien Collins,25,M PRO,AUS,00:58:07,04:43:11,02:49:02,08:34:42,Ironman Switzerland,07/21/2019,"Zurich, Switzerland
"
5,Ronnie Schildknecht,3,M PRO,SUI,00:55:42,04:38:17,02:59:36,08:37:52,Ironman Switzerland,07/21/2019,"Zurich, Switzerland
"
6,Christian Kramer,41,M PRO,GER,00:51:40,04:35:17,03:07:29,08:38:10,Ironman Switzerland,07/21/2019,"Zurich, Switzerland
"
7,Samuel Huerzeler,13,M PRO,SUI,00:55:40,04:42:29,02:55:54,08:39:29,Ironman Switzerland,07/21/2019,"Zurich, Switzerland
"
8,Kevin Portmann,17,M PRO,FRA,00:58:11,04:43:42,03:06:02,08:52:24,Ironman Switzerland,07/21/2019,"Zurich, Switzerland
"
1,Gabriel Gmünder,124,M 35,SUI,00:52:36,04:55:38,02:58:43,08:52:37,Ironman Switzerland,07/21/2019,"Zurich, Switzerland
"
9,Fabian Rahn,40,M PRO,GER,01:05:36,04:48:24,02:56:48,08:55:44,Ironman Switzerland,07/21/2019,"Zurich, Switzerland
"
2,David Clark,122,M 35,AUS,00:51:30,05:02:01,02:57:12,08:55:48,Ironman Switzerland,07/21/2019,"Zurich, Switzerland
"
3,Mathias Nüesch,2038,M 35,SUI,01:03:17,05:01:31,02:47:10,08:58:30,Ironman Switzerland,07/21/2019,"Zurich, Switzerland
"
1,Benjamin Ueltschi,850,M 25,SUI,00:57:44,04:49:24,03:08:05,09:03:29,Ironman Switzerland,07/21/2019,"Zurich, Switzerland
"
1,Tobias Heining,927,M 30,GER,00:52:37,04:53:05,03:12:20,09:03:43,Ironman Switzerland,07/21/2019,"Zurich, Switzerland
"
2,Folker Schwesinger,996,M 30,GER,00:52:55,05:02:18,03:02:16,09:05:11,Ironman Switzerland,07/21/2019,"Zurich, Switzerland
"
2,Pavel Petrásek,835,M 25,CZE,00:56:41,05:00:07,03:04:36,09:06:55,Ironman Switzerland,07/21/2019,"Zurich, Switzerland
"
3,Silvan Bruhin,111,M 25,SUI,00:56:29,04:52:45,03:14:49,09:08:39,Ironman Switzerland,07/21/2019,"Zurich, Switzerland
"
3,Claude Lucas,205,M 30,LUX,00:54:25,04:53:55,03:16:39,09:09:34,Ironman Switzerland,07/21/2019,"Zurich, Switzerland
"
4,Tim Zudrop,1035,M 30,GER,00:57:15,05:00:23,03:06:04,09:09:47,Ironman Switzerland,07/21/2019,"Zurich, Switzerland
"
4,Tony Goossens,358,M 35,BEL,01:01:06,04:53:55,03:09:00,09:10:47,Ironman Switzerland,07/21/2019,"Zurich, Switzerland
"
5,Till Schaefer,116,M 30,GER,00:54:48,05:04:37,03:07:55,09:12:57,Ironman Switzerland,07/21/2019,"Zurich, Switzerland
"
6,David Koster,203,M 30,SUI,00:55:14,05:02:50,03:10:33,09:14:43,Ironman Switzerland,07/21/2019,"Zurich, Switzerland
"
7,Klas Wirehn,212,M 30,SWE,00:50:09,05:02:40,03:16:29,09:16:08,Ironman Switzerland,07/21/2019,"Zurich, Switzerland
"
1,Tom Ward,1987,M 40,GBR,00:52:53,04:58:57,03:18:54,09:16:45,Ironman Switzerland,07/21/2019,"Zurich, Switzerland
"
5,Georg Weiler,372,M 35,GER,00:59:20,05:00:16,03:12:23,09:16:51,Ironman Switzerland,07/21/2019,"Zurich, Switzerland
"
4,Wannes Swinnen,331,M 25,BEL,00:52:20,05:04:00,03:14:04,09:18:04,Ironman Switzerland,07/21/2019,"Zurich, Switzerland
"
10,Deak Zsombor,36,M PRO,ROU,00:58:20,05:11:44,03:03:57,09:19:07,Ironman Switzerland,07/21/2019,"Zurich, Switzerland
"
5,Leonhard Lukoschek,819,M 25,GER,00:54:53,05:14:42,03:03:29,09:19:12,Ironman Switzerland,07/21/2019,"Zurich, Switzerland
"
8,Davide Viale,353,M 30,ITA,00:58:16,05:01:20,03:14:49,09:20:09,Ironman Switzerland,07/21/2019,"Zurich, Switzerland
"
6,Patrick Ziegelmüller,333,M 25,GER,00:58:58,04:59:04,03:16:28,09:21:17,Ironman Switzerland,07/21/2019,"Zurich, Switzerland
"
6,François Reding,2019,M 35,BEL,01:00:27,05:01:11,03:14:12,09:23:02,Ironman Switzerland,07/21/2019,"Zurich, Switzerland
"
9,Julian Schöfer,992,M 30,GER,01:08:49,04:52:26,03:17:03,09:23:41,Ironman Switzerland,07/21/2019,"Zurich, Switzerland
"
10,Florian Adami,864,M 30,GER,00:52:50,05:11:39,03:13:38,09:24:08,Ironman Switzerland,07/21/2019,"Zurich, Switzerland
"
11,Jan Sneberger,21,M PRO,CZE,00:58:20,05:03:52,03:17:22,09:24:29,Ironman Switzerland,07/21/2019,"Zurich, Switzerland
"
1,Patrick Walimann,463,M 45,SUI,00:57:52,05:03:23,03:15:45,09:24:53,Ironman Switzerland,07/21/2019,"Zurich, Switzerland
"
7,Thomas Rusch,1177,M 35,SUI,01:08:16,04:55:07,03:17:09,09:26:47,Ironman Switzerland,07/21/2019,"Zurich, Switzerland
"
7,Philip Van Der Weijde,332,M 25,NED,00:58:41,05:05:55,03:17:46,09:27:33,Ironman Switzerland,07/21/2019,"Zurich, Switzerland
"
8,John Pettersson,1162,M 35,FIN,01:08:54,04:58:55,03:13:45,09:28:21,Ironman Switzerland,07/21/2019,"Zurich, Switzerland
"
11,Harald Maderthaner,159,M 30,AUT,01:00:01,04:59:31,03:23:41,09:28:44,Ironman Switzerland,07/21/2019,"Zurich, Switzerland
"
8,Sven Schauerhammer,193,M 25,GER,01:04:41,05:07:18,03:12:08,09:28:53,Ironman Switzerland,07/21/2019,"Zurich, Switzerland
"
12,Adam Labbett,952,M 30,GBR,00:59:59,05:04:01,03:19:26,09:29:03,Ironman Switzerland,07/21/2019,"Zurich, Switzerland
"
2,Luciani Stefano,1984,M 40,ITA,01:09:28,04:59:59,03:12:08,09:29:04,Ironman Switzerland,07/21/2019,"Zurich, Switzerland
"
13,Benjamin Thenot,211,M 30,FRA,01:00:46,05:03:25,03:22:24,09:31:55,Ironman Switzerland,07/21/2019,"Zurich, Switzerland
"
2,Mathieu Picq,1616,M 45,FRA,00:55:09,05:12:25,03:14:32,09:32:04,Ironman Switzerland,07/21/2019,"Zurich, Switzerland
"
9,David Boileve,776,M 25,FRA,00:57:28,05:00:31,03:28:23,09:32:09,Ironman Switzerland,07/21/2019,"Zurich, Switzerland
"
3,Martin Outmanns,1399,M 40,BEL,01:06:37,05:01:28,03:15:52,09:32:22,Ironman Switzerland,07/21/2019,"Zurich, Switzerland
"
14,Philipp Escher,341,M 30,GER,01:03:28,05:00:21,03:22:36,09:33:22,Ironman Switzerland,07/21/2019,"Zurich, Switzerland
"
10,Giovanni Renò,192,M 25,ITA,01:05:56,05:11:56,03:10:48,09:34:40,Ironman Switzerland,07/21/2019,"Zurich, Switzerland
"
9,Michael Bosshammer,1059,M 35,GER,01:00:14,05:11:23,03:18:28,09:35:39,Ironman Switzerland,07/21/2019,"Zurich, Switzerland
"
3,Stéphane Briquez,2024,M 45,FRA,01:05:17,05:08:25,03:13:47,09:35:39,Ironman Switzerland,07/21/2019,"Zurich, Switzerland
"
4,Sebastjan Gergoric,381,M 40,SLO,01:07:32,05:12:01,03:09:28,09:35:45,Ironman Switzerland,07/21/2019,"Zurich, Switzerland
"
10,Steve Hartmann,1103,M 35,GER,01:00:58,05:06:11,03:23:17,09:36:41,Ironman Switzerland,07/21/2019,"Zurich, Switzerland
"
11,Pascal Faden,1084,M 35,SUI,00:57:31,05:08:17,03:26:21,09:37:35,Ironman Switzerland,07/21/2019,"Zurich, Switzerland
"
15,Guillermo Garcia,198,M 30,ESP,00:57:59,05:14:14,03:18:38,09:37:37,Ironman Switzerland,07/21/2019,"Zurich, Switzerland
"
4,Peter Stettler,1655,M 45,SUI,00:59:37,04:59:31,03:30:08,09:37:53,Ironman Switzerland,07/21/2019,"Zurich, Switzerland
"
16,Klemen Kocjan,202,M 30,SLO,01:05:52,04:57:59,03:26:36,09:38:04,Ironman Switzerland,07/21/2019,"Zurich, Switzerland
"
5,Tommi Lindholm,243,M 40,FIN,01:06:00,05:11:44,03:16:50,09:39:50,Ironman Switzerland,07/21/2019,"Zurich, Switzerland
"
6,Rino Bresolin,377,M 40,ITA,01:13:35,05:02:01,03:17:28,09:39:56,Ironman Switzerland,07/21/2019,"Zurich, Switzerland
"
12,Richard Rozok,2010,M 35,SVK,00:55:42,05:05:23,03:33:21,09:40:36,Ironman Switzerland,07/21/2019,"Zurich, Switzerland
"
7,Francois Clément,1275,M 40,BEL,00:57:26,05:05:44,03:33:03,09:42:02,Ironman Switzerland,07/21/2019,"Zurich, Switzerland
"
11,Samuel Dürmüller,796,M 25,SUI,01:10:15,05:12:52,03:10:13,09:42:27,Ironman Switzerland,07/21/2019,"Zurich, Switzerland
"
13,Jaakko Rantala,225,M 35,FIN,01:01:41,05:18:16,03:13:38,09:42:34,Ironman Switzerland,07/21/2019,"Zurich, Switzerland
"
5,Andre Weber,145,M 45,SUI,01:09:01,05:11:33,03:14:48,09:42:45,Ironman Switzerland,07/21/2019,"Zurich, Switzerland
"
8,Geoffrey Dobbelaere,128,M 40,BEL,00:59:07,04:57:12,03:38:29,09:43:19,Ironman Switzerland,07/21/2019,"Zurich, Switzerland
"
14,Mark Huber,1107,M 35,SUI,00:59:24,05:02:42,03:34:38,09:43:40,Ironman Switzerland,07/21/2019,"Zurich, Switzerland
"
