Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,Race,Date,Location
1,Jan Van Berkel,2,M PRO,SUI,00:50:25,04:29:50,02:45:17,08:09:17,Ironman Switzerland,07/29/2018,"Zurich, Switzerland
"
2,David Plese,30,M PRO,SLO,00:51:44,04:19:04,02:57:37,08:13:26,Ironman Switzerland,07/29/2018,"Zurich, Switzerland
"
3,Cameron Wurf,3,M PRO,AUS,00:56:10,04:14:51,02:58:58,08:14:13,Ironman Switzerland,07/29/2018,"Zurich, Switzerland
"
4,Mike Phillips,38,M PRO,NZL,00:50:29,04:29:45,02:53:25,08:17:36,Ironman Switzerland,07/29/2018,"Zurich, Switzerland
"
6,Jérémy Jurkiewicz,37,M PRO,FRA,00:50:27,04:29:40,03:00:05,08:24:09,Ironman Switzerland,07/29/2018,"Zurich, Switzerland
"
7,Sven Riederer,36,M PRO,SUI,00:50:33,04:29:39,03:00:39,08:24:53,Ironman Switzerland,07/29/2018,"Zurich, Switzerland
"
8,Samuel Huerzeler,7,M PRO,SUI,00:54:50,04:34:55,02:55:04,08:29:34,Ironman Switzerland,07/29/2018,"Zurich, Switzerland
"
9,Julian Mutterer,23,M PRO,GER,00:54:54,04:35:13,02:56:31,08:30:37,Ironman Switzerland,07/29/2018,"Zurich, Switzerland
"
10,Miquel Blanchart Tinto,28,M PRO,ESP,00:54:46,04:45:52,02:49:10,08:34:08,Ironman Switzerland,07/29/2018,"Zurich, Switzerland
"
11,Julian Beuchert,19,M PRO,GER,00:51:45,04:45:26,03:08:59,08:52:44,Ironman Switzerland,07/29/2018,"Zurich, Switzerland
"
1,Bert Martens,1019,M 35,BEL,00:56:46,04:46:44,03:05:51,08:54:17,Ironman Switzerland,07/29/2018,"Zurich, Switzerland
"
12,Urs Müller,11,M PRO,SUI,00:54:49,04:45:39,03:10:41,08:55:29,Ironman Switzerland,07/29/2018,"Zurich, Switzerland
"
13,Marco Iseli,18,M PRO,SUI,00:59:03,04:44:33,03:09:51,08:59:41,Ironman Switzerland,07/29/2018,"Zurich, Switzerland
"
14,Daniel Besse,12,M PRO,SUI,00:50:28,04:51:43,03:17:39,09:04:31,Ironman Switzerland,07/29/2018,"Zurich, Switzerland
"
1,Kaisa Sali,70,F PRO,FIN,00:57:19,04:53:58,03:08:41,09:06:00,Ironman Switzerland,07/29/2018,"Zurich, Switzerland
"
2,Heiko Lewanzik,1739,M 35,GER,00:55:38,04:56:11,03:09:52,09:06:11,Ironman Switzerland,07/29/2018,"Zurich, Switzerland
"
1,Sebastian Veith,890,M 30,GER,00:56:05,04:55:27,03:09:46,09:06:33,Ironman Switzerland,07/29/2018,"Zurich, Switzerland
"
3,Gabriel Gmünder,974,M 35,SUI,00:54:49,04:54:54,03:12:28,09:08:39,Ironman Switzerland,07/29/2018,"Zurich, Switzerland
"
2,Maxime Beney,725,M 30,SUI,01:12:59,04:48:37,03:02:08,09:09:29,Ironman Switzerland,07/29/2018,"Zurich, Switzerland
"
15,Simon Schwarz,24,M PRO,GER,00:59:10,04:45:36,03:21:09,09:10:12,Ironman Switzerland,07/29/2018,"Zurich, Switzerland
"
16,Karl-Johan Danielsson,31,M PRO,SWE,00:54:43,04:46:43,03:24:52,09:11:19,Ironman Switzerland,07/29/2018,"Zurich, Switzerland
"
4,Rafael Lao Fernandez,343,M 35,ESP,00:56:26,05:00:08,03:09:48,09:12:17,Ironman Switzerland,07/29/2018,"Zurich, Switzerland
"
5,David Clark,1736,M 35,AUS,00:54:44,04:49:14,03:22:57,09:13:49,Ironman Switzerland,07/29/2018,"Zurich, Switzerland
"
6,Daniel Gómez Hernández,200,M 35,ESP,00:55:42,04:55:36,03:18:01,09:14:00,Ironman Switzerland,07/29/2018,"Zurich, Switzerland
"
2,Skye Moench,55,F PRO,USA,00:57:16,04:57:10,03:15:08,09:14:35,Ironman Switzerland,07/29/2018,"Zurich, Switzerland
"
1,Silvan Bruhin,165,M 25,SUI,01:01:38,04:54:04,03:14:39,09:15:44,Ironman Switzerland,07/29/2018,"Zurich, Switzerland
"
17,Balazs Csoke,26,M PRO,HUN,00:50:26,04:55:19,03:24:54,09:15:44,Ironman Switzerland,07/29/2018,"Zurich, Switzerland
"
3,Annabel Luxford,52,F PRO,AUS,00:55:12,04:57:54,03:18:33,09:16:54,Ironman Switzerland,07/29/2018,"Zurich, Switzerland
"
3,Robert Pruksa,110,M 30,SUI,01:06:27,04:47:45,03:19:14,09:19:13,Ironman Switzerland,07/29/2018,"Zurich, Switzerland
"
18,Jean-Claude Besse,21,M PRO,SUI,00:54:55,05:00:35,03:19:48,09:20:01,Ironman Switzerland,07/29/2018,"Zurich, Switzerland
"
4,Vincent Darcq,759,M 30,FRA,01:07:25,04:59:07,03:08:35,09:20:32,Ironman Switzerland,07/29/2018,"Zurich, Switzerland
"
7,Alexandre Klein,1003,M 35,FRA,01:05:33,04:59:43,03:09:02,09:21:08,Ironman Switzerland,07/29/2018,"Zurich, Switzerland
"
4,Lisa Roberts,64,F PRO,USA,01:05:10,05:12:05,03:00:27,09:23:31,Ironman Switzerland,07/29/2018,"Zurich, Switzerland
"
2,Thomas Dessers,648,M 25,BEL,01:00:05,04:49:04,03:29:25,09:25:06,Ironman Switzerland,07/29/2018,"Zurich, Switzerland
"
8,Ueli Bieler,1734,M 35,SUI,01:11:24,04:54:38,03:12:59,09:25:36,Ironman Switzerland,07/29/2018,"Zurich, Switzerland
"
1,Juan Antonio Barbudo Herrera,221,M 40,ESP,01:01:56,04:59:56,03:17:58,09:25:48,Ironman Switzerland,07/29/2018,"Zurich, Switzerland
"
19,Anthony Cadario,15,M PRO,FRA,00:59:01,05:05:21,03:17:36,09:26:19,Ironman Switzerland,07/29/2018,"Zurich, Switzerland
"
9,David Lebrat,205,M 35,FRA,01:02:00,05:03:30,03:13:27,09:28:09,Ironman Switzerland,07/29/2018,"Zurich, Switzerland
"
5,Elisabeth Gruber,69,F PRO,AUT,01:05:42,05:01:18,03:16:30,09:28:24,Ironman Switzerland,07/29/2018,"Zurich, Switzerland
"
10,Manuel Thiel,1075,M 35,GER,01:10:19,04:50:43,03:22:42,09:28:38,Ironman Switzerland,07/29/2018,"Zurich, Switzerland
"
1,Stephane Rit,1444,M 45,FRA,01:14:56,04:53:30,03:13:34,09:28:58,Ironman Switzerland,07/29/2018,"Zurich, Switzerland
"
2,Martin Welti,419,M 40,SUI,01:04:05,04:56:36,03:23:53,09:30:02,Ironman Switzerland,07/29/2018,"Zurich, Switzerland
"
2,Anthony Philippe,135,M 45,FRA,01:06:15,04:58:35,03:17:12,09:30:02,Ironman Switzerland,07/29/2018,"Zurich, Switzerland
"
11,Marcus Heller,201,M 35,GER,01:01:59,05:05:20,03:17:21,09:30:54,Ironman Switzerland,07/29/2018,"Zurich, Switzerland
"
6,Nina Derron,59,F PRO,SUI,00:59:32,05:07:29,03:20:30,09:31:49,Ironman Switzerland,07/29/2018,"Zurich, Switzerland
"
3,Jörg Schuhmachers,1284,M 40,GER,01:01:50,05:03:47,03:19:50,09:32:13,Ironman Switzerland,07/29/2018,"Zurich, Switzerland
"
5,Julian Schepp,862,M 30,GER,01:09:39,04:52:44,03:24:04,09:32:39,Ironman Switzerland,07/29/2018,"Zurich, Switzerland
"
6,Jens Gosebrink,321,M 30,GER,00:57:04,05:07:56,03:23:35,09:34:07,Ironman Switzerland,07/29/2018,"Zurich, Switzerland
"
12,Leslie De Cuyper,117,M 35,BEL,01:13:48,05:05:50,03:07:51,09:34:15,Ironman Switzerland,07/29/2018,"Zurich, Switzerland
"
7,Jan Pascal Tschudy,196,M 30,SUI,01:12:57,04:48:38,03:25:33,09:34:34,Ironman Switzerland,07/29/2018,"Zurich, Switzerland
"
8,Michael Ender,317,M 30,GER,01:08:56,05:11:12,03:07:36,09:34:38,Ironman Switzerland,07/29/2018,"Zurich, Switzerland
"
20,Oliver González Miranda,41,M PRO,MEX,00:54:47,05:22:21,03:12:45,09:35:04,Ironman Switzerland,07/29/2018,"Zurich, Switzerland
"
13,Ralph Castelberg,116,M 35,SUI,01:05:30,04:58:32,03:22:42,09:35:12,Ironman Switzerland,07/29/2018,"Zurich, Switzerland
"
1,Philippe Vogt,629,M 18,SUI,01:08:51,04:54:51,03:26:04,09:36:25,Ironman Switzerland,07/29/2018,"Zurich, Switzerland
"
21,Fellipe Santos,14,M PRO,BRA,00:51:43,04:42:06,03:57:38,09:36:37,Ironman Switzerland,07/29/2018,"Zurich, Switzerland
"
4,Antoine Gonon,1183,M 40,FRA,00:59:51,05:07:03,03:22:47,09:37:00,Ironman Switzerland,07/29/2018,"Zurich, Switzerland
"
14,Geoffroy Martin,1020,M 35,FRA,01:02:27,05:09:31,03:19:32,09:37:54,Ironman Switzerland,07/29/2018,"Zurich, Switzerland
"
3,Marcus Zell,715,M 25,GER,01:01:42,04:50:40,03:40:01,09:38:45,Ironman Switzerland,07/29/2018,"Zurich, Switzerland
"
9,Jan Kundrát,814,M 30,CZE,01:06:29,05:03:02,03:23:37,09:38:49,Ironman Switzerland,07/29/2018,"Zurich, Switzerland
"
3,Thomas Goetz,129,M 45,SUI,01:08:11,05:01:31,03:21:20,09:38:50,Ironman Switzerland,07/29/2018,"Zurich, Switzerland
"
7,Melanie Burke,65,F PRO,NZL,01:15:48,05:06:03,03:11:47,09:38:51,Ironman Switzerland,07/29/2018,"Zurich, Switzerland
"
10,Daniel Sims,326,M 30,GBR,01:00:06,05:03:16,03:30:16,09:39:41,Ironman Switzerland,07/29/2018,"Zurich, Switzerland
"
11,Daniel Rapp,843,M 30,GER,01:00:47,05:08:00,03:25:55,09:40:06,Ironman Switzerland,07/29/2018,"Zurich, Switzerland
"
12,Alfred Schwabl,325,M 30,GER,01:01:24,05:03:51,03:30:20,09:40:37,Ironman Switzerland,07/29/2018,"Zurich, Switzerland
"
4,Stephan Meinecke,417,M 45,SUI,00:55:08,05:05:45,03:34:28,09:41:05,Ironman Switzerland,07/29/2018,"Zurich, Switzerland
"
15,Aldo Zgraggen,220,M 35,SUI,01:08:37,05:00:20,03:27:02,09:41:33,Ironman Switzerland,07/29/2018,"Zurich, Switzerland
"
13,Orestes Carpaij,741,M 30,NED,01:13:44,05:03:10,03:17:56,09:42:20,Ironman Switzerland,07/29/2018,"Zurich, Switzerland
"
14,Tobias Peterhans,191,M 30,SUI,01:09:08,04:54:47,03:33:21,09:42:22,Ironman Switzerland,07/29/2018,"Zurich, Switzerland
"
5,Tom Ward,127,M 40,GBR,00:55:09,05:02:37,03:36:58,09:42:25,Ironman Switzerland,07/29/2018,"Zurich, Switzerland
"
16,Stephan Van Brummelen,1081,M 35,NED,01:07:55,04:52:15,03:32:21,09:42:46,Ironman Switzerland,07/29/2018,"Zurich, Switzerland
"
6,André Weber,414,M 40,SUI,01:17:04,05:02:36,03:14:37,09:42:51,Ironman Switzerland,07/29/2018,"Zurich, Switzerland
"
8,Corina Hengartner,57,F PRO,SUI,01:02:43,05:12:40,03:22:34,09:43:31,Ironman Switzerland,07/29/2018,"Zurich, Switzerland
"
1,Alexander Lang,1796,M 50,GER,01:07:48,04:59:17,03:32:34,09:44:47,Ironman Switzerland,07/29/2018,"Zurich, Switzerland
"
2,Manuel Heilmann,614,M 18,GER,00:56:39,05:14:49,03:27:24,09:44:59,Ironman Switzerland,07/29/2018,"Zurich, Switzerland
"
17,Wim Laloo,119,M 35,BEL,01:00:50,05:04:13,03:32:39,09:45:07,Ironman Switzerland,07/29/2018,"Zurich, Switzerland
"
7,René Papais,1248,M 40,SUI,01:05:48,04:58:56,03:35:51,09:45:54,Ironman Switzerland,07/29/2018,"Zurich, Switzerland
"
3,Peter Aruffo,600,M 18,GBR,01:01:41,05:05:04,03:33:22,09:46:18,Ironman Switzerland,07/29/2018,"Zurich, Switzerland
"
9,Frederica De Nicola,66,F PRO,ITA,01:02:40,05:05:36,03:32:41,09:47:05,Ironman Switzerland,07/29/2018,"Zurich, Switzerland
"
15,Mart Vrijsen,329,M 30,NED,01:13:17,04:58:41,03:31:06,09:48:02,Ironman Switzerland,07/29/2018,"Zurich, Switzerland
"
4,Flavio Caderas,166,M 25,SUI,00:58:46,04:57:49,03:46:12,09:48:07,Ironman Switzerland,07/29/2018,"Zurich, Switzerland
"
5,Gerhard Troch,147,M 45,GER,00:59:47,05:07:14,03:36:44,09:48:27,Ironman Switzerland,07/29/2018,"Zurich, Switzerland
"
18,Ruben Vandevoorde,1743,M 35,BEL,01:00:14,05:01:33,03:42:35,09:49:20,Ironman Switzerland,07/29/2018,"Zurich, Switzerland
"
19,Patrick Simon,122,M 35,BRA,01:04:07,05:12:48,03:26:49,09:50:03,Ironman Switzerland,07/29/2018,"Zurich, Switzerland
"
2,Richard Stoffel,1768,M 50,SUI,01:04:51,05:06:03,03:32:09,09:50:38,Ironman Switzerland,07/29/2018,"Zurich, Switzerland
"
8,Steffen Gärtner,440,M 40,GER,01:14:18,05:11:12,03:18:42,09:50:47,Ironman Switzerland,07/29/2018,"Zurich, Switzerland
"
16,Simon Thomas,884,M 30,BEL,01:09:03,05:06:25,03:28:53,09:51:08,Ironman Switzerland,07/29/2018,"Zurich, Switzerland
"
4,Jan Philipp Kugler,618,M 18,GER,01:00:57,05:25:46,03:17:54,09:51:13,Ironman Switzerland,07/29/2018,"Zurich, Switzerland
"
17,Harald Maderthaner,824,M 30,AUT,01:02:00,05:09:08,03:34:48,09:51:39,Ironman Switzerland,07/29/2018,"Zurich, Switzerland
"
9,Christopher Walden,126,M 40,USA,00:55:22,05:13:15,03:35:01,09:52:15,Ironman Switzerland,07/29/2018,"Zurich, Switzerland
"
18,Christian Müller,832,M 30,GER,01:09:45,04:32:53,04:00:07,09:52:18,Ironman Switzerland,07/29/2018,"Zurich, Switzerland
"
5,Jose Entrecanales,652,M 25,ESP,01:05:58,05:10:48,03:29:38,09:52:53,Ironman Switzerland,07/29/2018,"Zurich, Switzerland
"
6,Alexander Claas,645,M 25,GER,01:08:53,05:15:09,03:22:44,09:54:01,Ironman Switzerland,07/29/2018,"Zurich, Switzerland
"
1,Barbara Scherrer,405,F 30,SUI,01:01:25,05:10:23,03:33:32,09:54:41,Ironman Switzerland,07/29/2018,"Zurich, Switzerland
"
20,Fabian Mottl,1028,M 35,GER,01:09:31,05:02:28,03:36:37,09:55:27,Ironman Switzerland,07/29/2018,"Zurich, Switzerland
"
19,Guillaume Crozet,758,M 30,FRA,00:53:55,05:04:10,03:51:38,09:55:40,Ironman Switzerland,07/29/2018,"Zurich, Switzerland
"
21,Ivo Schupp,1060,M 35,SUI,01:06:00,05:00:00,03:44:10,09:55:59,Ironman Switzerland,07/29/2018,"Zurich, Switzerland
"
22,Jan Vobecky,217,M 35,USA,01:00:32,05:06:04,03:41:04,09:56:00,Ironman Switzerland,07/29/2018,"Zurich, Switzerland
"
7,Pascal Boll,1782,M 25,SUI,01:11:09,05:20:28,03:19:05,09:56:13,Ironman Switzerland,07/29/2018,"Zurich, Switzerland
"
3,Keith Garbutt,270,M 50,GBR,01:10:04,05:06:26,03:32:38,09:56:19,Ironman Switzerland,07/29/2018,"Zurich, Switzerland
"
23,Daniel Blum,115,M 35,AUT,00:56:30,05:11:21,03:40:54,09:56:36,Ironman Switzerland,07/29/2018,"Zurich, Switzerland
"
5,Pablo Prieto Torres,164,M 18,ESP,01:07:21,05:14:18,03:27:57,09:57:11,Ironman Switzerland,07/29/2018,"Zurich, Switzerland
"
4,Peter Müller,1793,M 50,SUI,01:02:25,04:59:00,03:49:46,09:57:29,Ironman Switzerland,07/29/2018,"Zurich, Switzerland
"
5,Guglielmo Fior,383,M 50,ITA,01:14:38,05:09:19,03:25:48,09:57:34,Ironman Switzerland,07/29/2018,"Zurich, Switzerland
"
