Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,Race,Date,Location
1,Taihei Kamiya,1111,M30-34,Japan,00:54:35,05:20:18,03:05:40,09:27:11,Ironman Taiwan,09/29/2019,"Penghu, Taiwan
"
2,Boss Hsieh,1102,M30-34,Taiwan,00:51:15,05:07:40,03:26:42,09:33:21,Ironman Taiwan,09/29/2019,"Penghu, Taiwan
"
3,Harrison Belfield,1100,M30-34,United Kingdom,00:53:03,05:23:50,03:16:01,09:38:02,Ironman Taiwan,09/29/2019,"Penghu, Taiwan
"
1,Shun-Jen Hsueh,1166,M35-39,Taiwan,01:04:09,05:19:18,03:11:33,09:40:09,Ironman Taiwan,09/29/2019,"Penghu, Taiwan
"
4,Dale Jamieson,1135,M30-34,Australia,00:56:52,05:29:17,03:12:53,09:45:14,Ironman Taiwan,09/29/2019,"Penghu, Taiwan
"
2,Yu Tung Ke,1167,M35-39,Taiwan,01:16:11,04:49:48,03:32:34,09:46:44,Ironman Taiwan,09/29/2019,"Penghu, Taiwan
"
3,Thomas Blaha,1206,M35-39,Austria,00:56:34,05:26:19,03:20:51,09:49:38,Ironman Taiwan,09/29/2019,"Penghu, Taiwan
"
1,Kfir Maymon,1239,M40-44,Israel,01:01:00,05:20:23,03:23:06,09:50:50,Ironman Taiwan,09/29/2019,"Penghu, Taiwan
"
1,Taro Shirato,1496,M50-54,Japan,00:52:58,05:26:42,03:25:19,09:51:14,Ironman Taiwan,09/29/2019,"Penghu, Taiwan
"
2,Chin Yuan Lai,1411,M50-54,Taiwan,01:09:11,05:07:35,03:29:24,09:52:20,Ironman Taiwan,09/29/2019,"Penghu, Taiwan
"
2,Yueh Kang Lin,1279,M40-44,Taiwan,01:08:36,05:12:43,03:24:39,09:53:05,Ironman Taiwan,09/29/2019,"Penghu, Taiwan
"
1,Brendan Keates,1358,M45-49,Australia,01:03:22,05:14:06,03:27:25,09:54:05,Ironman Taiwan,09/29/2019,"Penghu, Taiwan
"
1,Tsukasa Kuyama,1062,M18-24,Japan,00:59:15,05:18:49,03:26:34,09:54:06,Ironman Taiwan,09/29/2019,"Penghu, Taiwan
"
1,Chang-Tai Li,1075,M25-29,Taiwan,00:58:39,05:23:37,03:27:34,09:54:58,Ironman Taiwan,09/29/2019,"Penghu, Taiwan
"
4,Tengyu Liang,1178,M35-39,Taiwan,00:54:42,05:27:22,03:29:59,09:59:28,Ironman Taiwan,09/29/2019,"Penghu, Taiwan
"
3,Y.l Liang,1256,M40-44,Taiwan,00:52:16,05:23:21,03:36:52,09:59:52,Ironman Taiwan,09/29/2019,"Penghu, Taiwan
"
5,Omura Narunobu,1180,M35-39,Japan,01:02:27,05:36:42,03:16:31,10:01:12,Ironman Taiwan,09/29/2019,"Penghu, Taiwan
"
2,Masashi Ariumi,1061,M18-24,Japan,01:06:13,05:31:03,03:19:22,10:03:13,Ironman Taiwan,09/29/2019,"Penghu, Taiwan
"
4,Hiroshi Sanda,1258,M40-44,Japan,01:03:21,05:05:10,03:44:34,10:04:12,Ironman Taiwan,09/29/2019,"Penghu, Taiwan
"
5,Jakub Sobolewski,1259,M40-44,Poland,01:05:15,05:15:03,03:37:28,10:04:32,Ironman Taiwan,09/29/2019,"Penghu, Taiwan
"
1,Team 國泰產險鐵人隊a,3018,MRELAY,Taiwan,00:54:05,05:36:44,03:32:17,10:06:31,Ironman Taiwan,09/29/2019,"Penghu, Taiwan
"
6,Massimo Leonardi,1200,M35-39,Italy,01:04:11,04:58:45,03:57:42,10:07:10,Ironman Taiwan,09/29/2019,"Penghu, Taiwan
"
5,Jarrad Bolton,1101,M30-34,Australia,00:56:50,05:13:07,03:51:21,10:07:11,Ironman Taiwan,09/29/2019,"Penghu, Taiwan
"
6,Ming-Chi Tsai,1284,M40-44,Taiwan,01:13:46,05:19:24,03:28:04,10:08:10,Ironman Taiwan,09/29/2019,"Penghu, Taiwan
"
6,Li-Yao Chiang,1130,M30-34,Taiwan,01:05:12,05:27:54,03:27:38,10:08:10,Ironman Taiwan,09/29/2019,"Penghu, Taiwan
"
2,Team Dt Swiss,3006,MRELAY,Taiwan,00:51:04,05:56:22,03:18:37,10:08:52,Ironman Taiwan,09/29/2019,"Penghu, Taiwan
"
2,Yamasaki Hiroaki,1306,M45-49,Japan,01:04:10,05:34:48,03:22:49,10:08:58,Ironman Taiwan,09/29/2019,"Penghu, Taiwan
"
3,Petr Zajicek,1325,M45-49,Czech Republic,01:01:29,05:24:48,03:36:20,10:09:27,Ironman Taiwan,09/29/2019,"Penghu, Taiwan
"
4,Taisuke Wakayama,1335,M45-49,Japan,00:56:35,05:41:07,03:26:29,10:10:31,Ironman Taiwan,09/29/2019,"Penghu, Taiwan
"
7,Yichueh Hsu,1177,M35-39,Taiwan,01:02:34,05:33:22,03:26:08,10:11:34,Ironman Taiwan,09/29/2019,"Penghu, Taiwan
"
