Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,Race,Date,Location
1,Kevin Collington,22,MPRO,United States,00:48:29,04:34:30,03:07:27,08:34:39,Ironman Taiwan,10/01/2017,"Penghu, Taiwan"
2,Marino Vanhoenacker,26,MPRO,Belgium,00:51:39,04:37:48,03:12:51,08:46:40,Ironman Taiwan,10/01/2017,"Penghu, Taiwan"
3,Simon Cochrane,25,MPRO,New Zealand,00:51:41,04:46:46,03:26:28,09:09:45,Ironman Taiwan,10/01/2017,"Penghu, Taiwan"
4,Mikolaj Luft,33,MPRO,Poland,00:56:01,04:34:02,03:54:58,09:28:48,Ironman Taiwan,10/01/2017,"Penghu, Taiwan"
5,Guy Crawford,23,MPRO,New Zealand,00:51:39,04:46:47,04:03:48,09:46:53,Ironman Taiwan,10/01/2017,"Penghu, Taiwan"
1,Laurel Wassner,5,FPRO,USA,00:54:26,05:00:40,03:49:12,09:50:20,Ironman Taiwan,10/01/2017,"Penghu, Taiwan"
1,Taihei Kamiya,1142,M30-34,Japan,01:02:52,05:18:41,03:43:15,10:11:44,Ironman Taiwan,10/01/2017,"Penghu, Taiwan"
1,Ruben Ramajo Farre,1236,M35-39,Spain,01:07:32,04:59:30,03:58:25,10:12:33,Ironman Taiwan,10/01/2017,"Penghu, Taiwan"
2,Takao Yamazaki,1291,M35-39,Japan,01:04:56,05:28:27,03:33:47,10:13:18,Ironman Taiwan,10/01/2017,"Penghu, Taiwan"
6,Zsombor Deák,31,MPRO,Romania,00:59:31,05:16:41,03:53:05,10:13:59,Ironman Taiwan,10/01/2017,"Penghu, Taiwan"
3,Ming-Chieh Wu,1262,M35-39,Taiwan,01:10:53,05:16:17,03:51:40,10:26:51,Ironman Taiwan,10/01/2017,"Penghu, Taiwan"
2,Marcel Guethoff,1176,M30-34,Germany,01:15:49,05:08:57,03:59:15,10:30:46,Ironman Taiwan,10/01/2017,"Penghu, Taiwan"
1,Team 國泰產險鐵人隊 - Lava團隊 A,3020,MRELAY,,00:57:31,05:56:42,03:33:03,10:31:07,Ironman Taiwan,10/01/2017,"Penghu, Taiwan"
7,Balazs Csoke,28,MPRO,Hungary,00:48:33,05:58:23,03:40:12,10:33:35,Ironman Taiwan,10/01/2017,"Penghu, Taiwan"
1,Noel Lepoittevin,1488,M45-49,Reunion,01:08:53,05:17:44,04:00:39,10:35:13,Ironman Taiwan,10/01/2017,"Penghu, Taiwan"
2,Kate Bevilaqua,3,FPRO,Australia,00:57:45,05:26:03,04:06:35,10:36:12,Ironman Taiwan,10/01/2017,"Penghu, Taiwan"
4,Takahiro Kondo,1230,M35-39,Japan,01:00:58,05:45:18,03:42:18,10:36:28,Ironman Taiwan,10/01/2017,"Penghu, Taiwan"
5,Thomas Haibel,1206,M35-39,Germany,01:06:14,05:15:54,04:05:22,10:38:12,Ironman Taiwan,10/01/2017,"Penghu, Taiwan"
2,Hideki Ota,1472,M45-49,Japan,01:05:26,05:25:29,03:59:21,10:39:07,Ironman Taiwan,10/01/2017,"Penghu, Taiwan"
8,Cyril Pochon,38,MPRO,France,00:56:03,05:10:13,04:28:47,10:41:09,Ironman Taiwan,10/01/2017,"Penghu, Taiwan"
1,Chia-Hsuan Cheng,1367,M40-44,Taiwan,01:06:24,05:24:48,04:01:50,10:41:43,Ironman Taiwan,10/01/2017,"Penghu, Taiwan"
1,Chang-Tai Li,1107,M25-29,Taiwan,01:05:44,05:31:26,04:05:50,10:48:55,Ironman Taiwan,10/01/2017,"Penghu, Taiwan"
2,Ming-Chi Tsai,1360,M40-44,Taiwan,01:18:23,05:19:20,04:06:32,10:50:15,Ironman Taiwan,10/01/2017,"Penghu, Taiwan"
6,Ming Han Yen,1242,M35-39,Taiwan,01:14:42,05:28:12,04:00:57,10:51:31,Ironman Taiwan,10/01/2017,"Penghu, Taiwan"
3,Y. L Liang,1671,M40-44,Taiwan,00:59:19,05:33:13,04:10:56,10:51:54,Ironman Taiwan,10/01/2017,"Penghu, Taiwan"
1,Andrea Hopkin,1034,F40-44,Australia,01:06:19,05:44:52,03:55:31,10:54:12,Ironman Taiwan,10/01/2017,"Penghu, Taiwan"
3,Charlotte Morel,9,FPRO,France,00:54:29,05:10:01,04:43:00,10:54:25,Ironman Taiwan,10/01/2017,"Penghu, Taiwan"
