Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,Race,Date,Location
1,Team Team Enervit Estonia,2025,MRELAY,EST,00:10:19,04:38:32,02:49:57,08:24:26,Ironman Tallinn,09/05/2020,"Tallinn, Estonia"
1,Jon Sæverås Breivold,663,M25-29,NOR,01:13:05,04:12:19,02:53:25,08:27:44,Ironman Tallinn,09/05/2020,"Tallinn, Estonia"
2,Team Nobe Nobedad,2012,MRELAY,EST,01:01:04,04:26:26,03:00:48,08:31:10,Ironman Tallinn,09/05/2020,"Tallinn, Estonia"
1,Toni Pystö,820,M35-39,FIN,00:55:57,04:23:54,03:07:42,08:32:39,Ironman Tallinn,09/05/2020,"Tallinn, Estonia"
2,John Thelwell,95,M35-39,GBR,00:59:58,04:23:16,03:04:38,08:34:33,Ironman Tallinn,09/05/2020,"Tallinn, Estonia"
3,Rinalds Sluckis,141,M35-39,LAT,01:02:49,04:28:14,03:02:06,08:39:36,Ironman Tallinn,09/05/2020,"Tallinn, Estonia"
1,Sergio Marques,121,M40-44,POR,00:58:31,04:41:09,02:57:13,08:42:55,Ironman Tallinn,09/05/2020,"Tallinn, Estonia"
3,Team Huum,2005,MRELAY,EST,00:49:31,05:03:18,02:47:01,08:44:46,Ironman Tallinn,09/05/2020,"Tallinn, Estonia"
2,Kaspar Loog,151,M40-44,EST,01:06:37,04:48:37,02:47:44,08:47:22,Ironman Tallinn,09/05/2020,"Tallinn, Estonia"
1,Quentin De Vos,43,M30-34,BEL,01:00:06,04:34:48,03:06:26,08:47:25,Ironman Tallinn,09/05/2020,"Tallinn, Estonia"
2,Timmo Jeret,852,M25-29,EST,01:04:41,04:33:05,03:05:29,08:48:17,Ironman Tallinn,09/05/2020,"Tallinn, Estonia"
2,Andreas Tschishakowski,211,M30-34,DEU,01:00:14,04:35:33,03:06:04,08:48:29,Ironman Tallinn,09/05/2020,"Tallinn, Estonia"
3,Rauno Pikkor,243,M40-44,EST,01:03:22,04:37:21,03:03:00,08:50:01,Ironman Tallinn,09/05/2020,"Tallinn, Estonia"
3,Tobias Gärttner,483,M30-34,DEU,01:03:34,04:34:29,03:08:41,08:52:11,Ironman Tallinn,09/05/2020,"Tallinn, Estonia"
4,Henk Galenkamp,123,M35-39,NED,01:03:25,04:34:36,03:09:05,08:52:16,Ironman Tallinn,09/05/2020,"Tallinn, Estonia"
5,Mariusz Pirek,175,M35-39,POL,01:02:16,04:36:18,03:09:47,08:52:32,Ironman Tallinn,09/05/2020,"Tallinn, Estonia"
4,Péter Szilágyi,764,M30-34,HUN,00:53:13,04:48:54,03:04:21,08:53:12,Ironman Tallinn,09/05/2020,"Tallinn, Estonia"
4,Vesa Koskinen,91,M40-44,FIN,01:11:13,04:33:07,03:05:11,08:54:26,Ironman Tallinn,09/05/2020,"Tallinn, Estonia"
5,Fritz Ferner,697,M30-34,DEU,01:14:20,04:25:10,03:06:47,08:54:58,Ironman Tallinn,09/05/2020,"Tallinn, Estonia"
6,Sven Wies,870,M30-34,DEU,00:51:14,04:47:48,03:10:49,08:55:10,Ironman Tallinn,09/05/2020,"Tallinn, Estonia"
6,Arnaud Edus,875,M35-39,SWE,01:02:48,04:31:40,03:10:07,08:55:13,Ironman Tallinn,09/05/2020,"Tallinn, Estonia"
7,Timmy Deman,63,M35-39,BEL,01:03:28,04:39:19,03:07:41,08:56:23,Ironman Tallinn,09/05/2020,"Tallinn, Estonia"
4,Team Hawaii Express,2004,MRELAY,EST,01:00:19,04:47:14,03:05:36,08:56:55,Ironman Tallinn,09/05/2020,"Tallinn, Estonia"
1,Karl Mell,19,M18-24,EST,00:55:13,04:52:43,03:05:09,08:58:07,Ironman Tallinn,09/05/2020,"Tallinn, Estonia"
5,Dag Störmer,217,M40-44,DEU,00:55:59,04:37:56,03:16:20,09:01:17,Ironman Tallinn,09/05/2020,"Tallinn, Estonia"
