Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,Race,Date,Location
1,Team Team Pombelsmoothie,2038,RELAY,EST,00:49:14,04:33:28,02:26:02,07:52:12,Ironman Tallinn,08/04/2018,"Tallinn, Estonia
"
1,Philipp Koutny,4,MPRO,CHE,00:49:41,04:19:49,02:47:43,08:01:18,Ironman Tallinn,08/04/2018,"Tallinn, Estonia
"
-,Team Pallas And Partnerid,2020,RELAY,EST,00:49:57,04:23:06,02:50:00,08:06:13,Ironman Tallinn,08/04/2018,"Tallinn, Estonia
"
2,Marc Duelsen,13,MPRO,DEU,00:52:15,04:17:24,02:52:51,08:06:16,Ironman Tallinn,08/04/2018,"Tallinn, Estonia
"
3,Marko Albert,1,MPRO,EST,00:46:12,04:19:02,02:58:18,08:07:11,Ironman Tallinn,08/04/2018,"Tallinn, Estonia
"
2,Team Huum,2050,RELAY,EST,00:47:31,04:31:50,02:43:48,08:07:22,Ironman Tallinn,08/04/2018,"Tallinn, Estonia
"
3,Team Russian Bears,2026,RELAY,RUS,00:49:57,04:32:21,02:43:27,08:09:44,Ironman Tallinn,08/04/2018,"Tallinn, Estonia
"
4,Gergo Badar,30,MPRO,HUN,00:52:18,04:26:33,02:46:44,08:10:02,Ironman Tallinn,08/04/2018,"Tallinn, Estonia
"
5,Markus Thomschke,9,MPRO,DEU,00:49:48,04:19:27,02:56:46,08:10:28,Ironman Tallinn,08/04/2018,"Tallinn, Estonia
"
6,Denis Chevrot,3,MPRO,FRA,00:49:45,04:19:33,02:59:42,08:13:11,Ironman Tallinn,08/04/2018,"Tallinn, Estonia
"
7,Gregor Buchholz,33,MPRO,DEU,00:49:45,04:29:05,02:49:02,08:13:32,Ironman Tallinn,08/04/2018,"Tallinn, Estonia
"
-,Team Vinni Valla Vägevad,2045,RELAY,EST,00:49:58,04:22:56,02:58:50,08:15:01,Ironman Tallinn,08/04/2018,"Tallinn, Estonia
"
8,Per Bittner,18,MPRO,DEU,00:49:50,04:20:03,03:05:59,08:19:44,Ironman Tallinn,08/04/2018,"Tallinn, Estonia
"
9,Daniil Sapunov,10,MPRO,UKR,00:49:46,04:30:44,02:56:36,08:21:47,Ironman Tallinn,08/04/2018,"Tallinn, Estonia
"
10,Andrey Lyatskiy,17,MPRO,RUS,00:52:46,04:26:19,03:07:53,08:32:04,Ironman Tallinn,08/04/2018,"Tallinn, Estonia
"
11,Seppe Odeyn,23,MPRO,BEL,01:04:35,04:29:01,02:55:45,08:34:20,Ironman Tallinn,08/04/2018,"Tallinn, Estonia
"
12,Michael Van Cleven,29,MPRO,BEL,00:51:52,04:27:09,03:11:08,08:34:46,Ironman Tallinn,08/04/2018,"Tallinn, Estonia
"
13,Ivo Suur,7,MPRO,EST,00:58:54,04:31:55,03:03:44,08:40:25,Ironman Tallinn,08/04/2018,"Tallinn, Estonia
"
14,Sanne Swolfs,27,MPRO,BEL,00:52:45,04:26:06,03:18:13,08:41:48,Ironman Tallinn,08/04/2018,"Tallinn, Estonia
"
15,Grigorii Navrotskii,28,MPRO,RUS,00:52:58,04:43:12,03:05:00,08:45:53,Ironman Tallinn,08/04/2018,"Tallinn, Estonia
"
