Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,Race,Date,Location
1,Matt Hanson,1,M PRO,USA,00:51:46,04:13:53,02:42:07,07:52:44,Ironman Texas,04/22/2017,"The Woodlands, Texas"
2,Ronnie Schildknecht,4,M PRO,CHE,00:53:34,04:14:40,02:43:28,07:56:21,Ironman Texas,04/22/2017,"The Woodlands, Texas"
3,Tyler Butterfield,7,M PRO,BMU,00:49:08,04:15:20,02:49:00,07:58:29,Ironman Texas,04/22/2017,"The Woodlands, Texas"
4,Will Clarke,18,M PRO,GBR,00:49:16,04:22:30,02:42:01,07:59:02,Ironman Texas,04/22/2017,"The Woodlands, Texas"
5,Kirill Kotsegarov,42,M PRO,EST,00:54:56,04:11:16,02:48:00,07:59:32,Ironman Texas,04/22/2017,"The Woodlands, Texas"
6,Matt Russell,3,M PRO,USA,00:54:49,04:13:43,02:47:57,08:01:35,Ironman Texas,04/22/2017,"The Woodlands, Texas"
7,Leon Griffin,20,M PRO,AUS,00:49:18,04:19:25,02:49:16,08:04:04,Ironman Texas,04/22/2017,"The Woodlands, Texas"
8,David Plese,14,M PRO,SVN,00:55:14,04:13:29,02:51:05,08:05:08,Ironman Texas,04/22/2017,"The Woodlands, Texas"
9,Callum Millward,12,M PRO,NZL,00:49:35,04:18:56,02:53:24,08:07:13,Ironman Texas,04/22/2017,"The Woodlands, Texas"
10,Marc Duelsen,29,M PRO,DEU,00:49:32,04:22:04,02:50:16,08:07:25,Ironman Texas,04/22/2017,"The Woodlands, Texas"
11,Daniel Fontana,19,M PRO,ITA,00:49:09,04:23:49,02:54:53,08:13:14,Ironman Texas,04/22/2017,"The Woodlands, Texas"
12,Bas Diederen,8,M PRO,NLD,00:49:03,04:18:04,03:01:38,08:14:31,Ironman Texas,04/22/2017,"The Woodlands, Texas"
13,Stephen Kilshaw,21,M PRO,CAN,00:55:13,04:20:24,02:55:53,08:16:08,Ironman Texas,04/22/2017,"The Woodlands, Texas"
14,Jonathan Shearon,38,M PRO,USA,00:55:20,04:23:53,02:56:09,08:21:30,Ironman Texas,04/22/2017,"The Woodlands, Texas"
1,Clay Emge,844,M 30-34,USA,00:58:27,04:33:43,02:51:57,08:30:24,Ironman Texas,04/22/2017,"The Woodlands, Texas"
2,Ryan Giuliano,228,M 30-34,USA,00:59:21,04:35:11,02:56:14,08:36:35,Ironman Texas,04/22/2017,"The Woodlands, Texas"
15,Colin Laughery,33,M PRO,USA,00:54:35,04:28:49,03:07:51,08:37:52,Ironman Texas,04/22/2017,"The Woodlands, Texas"
16,Jarrod Shoemaker,24,M PRO,USA,00:49:01,04:44:46,03:01:16,08:40:21,Ironman Texas,04/22/2017,"The Woodlands, Texas"
17,James Capparell,25,M PRO,USA,00:48:56,04:29:50,03:16:09,08:41:10,Ironman Texas,04/22/2017,"The Woodlands, Texas"
18,Adam Gordon,30,M PRO,NZL,00:56:50,04:32:50,03:07:57,08:42:41,Ironman Texas,04/22/2017,"The Woodlands, Texas"
