Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,Race,Date,Location
1,Harry Wiltshire,6,M PRO,GBR,00:50:24,04:31:33,02:51:04,08:17:14,Ironman Vichy,08/28/2016,"Auvergne, France"
2,Tim Brydenbach,20,M PRO,BEL,00:50:25,04:31:22,02:51:41,08:18:34,Ironman Vichy,08/28/2016,"Auvergne, France"
3,Ivan Risti,4,M PRO,ITA,00:50:18,04:31:20,02:53:46,08:19:58,Ironman Vichy,08/28/2016,"Auvergne, France"
4,Trevor Delsaut,8,M PRO,FRA,00:57:15,04:30:31,02:48:49,08:21:51,Ironman Vichy,08/28/2016,"Auvergne, France"
5,Christian Brader,1,M PRO,DEU,00:58:22,04:33:20,02:45:37,08:22:43,Ironman Vichy,08/28/2016,"Auvergne, France"
6,Marc Duelsen,10,M PRO,DEU,00:57:36,04:27:11,02:55:44,08:25:20,Ironman Vichy,08/28/2016,"Auvergne, France"
7,Cool Hannes,22,M PRO,BEL,00:57:44,04:33:05,02:50:55,08:27:54,Ironman Vichy,08/28/2016,"Auvergne, France"
8,Samuel Huerzeler,29,M PRO,CHE,00:56:11,04:34:28,02:54:51,08:32:09,Ironman Vichy,08/28/2016,"Auvergne, France"
9,Kaito Tohara,13,M PRO,JPN,00:57:44,04:34:26,02:53:59,08:33:17,Ironman Vichy,08/28/2016,"Auvergne, France"
1,Lionel Roye,114,M 35-39,FRA,00:59:07,04:45:27,02:55:48,08:47:24,Ironman Vichy,08/28/2016,"Auvergne, France"
1,Julian Eleouet,635,M 25-29,FRA,01:01:17,04:43:59,02:59:58,08:53:18,Ironman Vichy,08/28/2016,"Auvergne, France"
10,John Galindo Rooney,16,M PRO,ESP,00:54:31,04:45:53,03:06:15,08:53:31,Ironman Vichy,08/28/2016,"Auvergne, France"
2,Vincent Fromont,975,M 35-39,FRA,01:00:28,04:43:26,03:04:17,08:54:39,Ironman Vichy,08/28/2016,"Auvergne, France"
1,James Curran,271,M 30-34,IRL,01:08:26,04:40:42,03:00:17,08:54:47,Ironman Vichy,08/28/2016,"Auvergne, France"
