Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,Race,Date,Location
1,Kyle Buckingham,4,M PRO,ZAF,00:52:46,04:30:39,03:00:13,08:27:58,Ironman Vineman,07/30/2016,"Windsor, California, USA"
2,Chris Mcdonald,2,M PRO,AUS,00:55:37,04:32:58,03:02:02,08:34:53,Ironman Vineman,07/30/2016,"Windsor, California, USA"
3,Jonathan Shearon,17,M PRO,USA,00:55:38,04:33:41,03:05:11,08:39:24,Ironman Vineman,07/30/2016,"Windsor, California, USA"
4,Barrett Brandon,5,M PRO,USA,00:49:19,04:43:24,03:06:53,08:44:17,Ironman Vineman,07/30/2016,"Windsor, California, USA"
5,Richie Cunningham,3,M PRO,AUS,00:52:54,04:35:24,03:13:50,08:46:39,Ironman Vineman,07/30/2016,"Windsor, California, USA"
6,Jim Lubinski,14,M PRO,USA,01:07:12,04:47:20,02:56:43,08:57:40,Ironman Vineman,07/30/2016,"Windsor, California, USA"
7,Jesse Vondracek,19,M PRO,USA,00:55:40,04:52:57,03:07:52,09:00:36,Ironman Vineman,07/30/2016,"Windsor, California, USA"
8,Doug Maclean,15,M PRO,USA,00:59:35,04:50:58,03:04:56,09:02:18,Ironman Vineman,07/30/2016,"Windsor, California, USA"
9,Colin Laughery,13,M PRO,USA,00:59:34,04:55:14,03:13:04,09:13:53,Ironman Vineman,07/30/2016,"Windsor, California, USA"
1,Antonio Ferreira Da Silva Neto,156,M 35-39,BRA,00:53:58,05:06:48,03:07:37,09:13:55,Ironman Vineman,07/30/2016,"Windsor, California, USA"
10,Nicholas Granet,11,M PRO,FRA,00:52:49,05:02:05,03:16:54,09:17:46,Ironman Vineman,07/30/2016,"Windsor, California, USA"
1,Sarah Piampiano,25,F PRO,USA,01:08:58,04:57:13,03:07:07,09:19:05,Ironman Vineman,07/30/2016,"Windsor, California, USA"
1,Carlos Moncada,258,M 30-34,CRI,00:54:43,05:03:07,03:16:48,09:20:32,Ironman Vineman,07/30/2016,"Windsor, California, USA"
1,Kevin Coady,287,M 40-44,USA,01:00:12,04:54:39,03:20:18,09:21:57,Ironman Vineman,07/30/2016,"Windsor, California, USA"
2,Adam Carlson,1185,M 30-34,USA,00:59:18,05:04:36,03:15:27,09:23:47,Ironman Vineman,07/30/2016,"Windsor, California, USA"
3,Adam Krzesinski,408,M 30-34,USA,00:58:26,04:59:59,03:21:44,09:25:25,Ironman Vineman,07/30/2016,"Windsor, California, USA"
2,Jacob Ford,271,M 35-39,USA,00:55:24,05:02:43,03:22:35,09:28:59,Ironman Vineman,07/30/2016,"Windsor, California, USA"
1,Van Mccarty,180,M 45-49,USA,01:07:13,05:07:49,03:05:29,09:30:26,Ironman Vineman,07/30/2016,"Windsor, California, USA"
2,Rudy Napolitano,1695,M 40-44,USA,00:59:07,04:59:45,03:24:45,09:31:16,Ironman Vineman,07/30/2016,"Windsor, California, USA"
3,Ricardo Urbina,282,M 35-39,VEN,01:06:38,04:59:34,03:20:30,09:32:30,Ironman Vineman,07/30/2016,"Windsor, California, USA"
2,Jeff Fieldhack,176,M 45-49,USA,00:58:06,05:12:23,03:18:32,09:34:21,Ironman Vineman,07/30/2016,"Windsor, California, USA"
4,Matthew Davis,254,M 30-34,USA,01:02:21,05:02:36,03:25:23,09:36:35,Ironman Vineman,07/30/2016,"Windsor, California, USA"
3,Sam Hobi,291,M 40-44,USA,01:00:45,05:01:05,03:35:04,09:43:11,Ironman Vineman,07/30/2016,"Windsor, California, USA"
4,Darren Mounts,169,M 40-44,USA,00:50:38,05:08:24,03:38:09,09:43:19,Ironman Vineman,07/30/2016,"Windsor, California, USA"
4,Jonathan Erdelyi,1391,M 35-39,USA,01:10:31,05:10:26,03:18:52,09:45:30,Ironman Vineman,07/30/2016,"Windsor, California, USA"
5,Stephen Campbell,2312,M 30-34,USA,01:01:20,05:15:35,03:25:11,09:48:16,Ironman Vineman,07/30/2016,"Windsor, California, USA"
6,Reid Foster,149,M 30-34,USA,00:56:51,04:49:04,03:56:10,09:49:50,Ironman Vineman,07/30/2016,"Windsor, California, USA"
5,Nicholas Beers,1347,M 35-39,USA,00:59:51,05:14:32,03:29:54,09:52:33,Ironman Vineman,07/30/2016,"Windsor, California, USA"
3,Rick Heidvogel,308,M 45-49,USA,01:04:31,05:14:41,03:25:48,09:53:35,Ironman Vineman,07/30/2016,"Windsor, California, USA"
1,David Winton,146,M 25-29,USA,01:01:25,05:07:19,03:38:30,09:53:48,Ironman Vineman,07/30/2016,"Windsor, California, USA"
5,Andrew Lipscomb,168,M 40-44,USA,01:01:29,05:15:00,03:22:53,09:54:41,Ironman Vineman,07/30/2016,"Windsor, California, USA"
6,Tintin Rexach,171,M 40-44,PRI,01:08:28,05:05:23,03:34:42,09:54:52,Ironman Vineman,07/30/2016,"Windsor, California, USA"
7,Bancroft Mcmurphy,1684,M 40-44,USA,01:04:29,05:16:13,03:26:19,09:55:00,Ironman Vineman,07/30/2016,"Windsor, California, USA"
6,Adam Hill,157,M 35-39,USA,01:03:27,05:07:03,03:37:11,09:55:17,Ironman Vineman,07/30/2016,"Windsor, California, USA"
7,Justin Samples,152,M 30-34,USA,01:00:42,05:02:21,03:46:36,09:55:24,Ironman Vineman,07/30/2016,"Windsor, California, USA"
2,Nicholas Maedel,145,M 25-29,USA,01:04:30,05:25:38,03:18:51,09:56:16,Ironman Vineman,07/30/2016,"Windsor, California, USA"
4,Stephan Schwarze,182,M 45-49,DEU,01:04:47,05:16:39,03:26:20,09:56:48,Ironman Vineman,07/30/2016,"Windsor, California, USA"
8,Lee Weatherhead,1762,M 40-44,USA,01:05:45,05:07:56,03:36:41,09:56:50,Ironman Vineman,07/30/2016,"Windsor, California, USA"
1,A.J. Reid,144,M 18-24,USA,00:54:34,05:12:51,03:42:42,09:57:44,Ironman Vineman,07/30/2016,"Windsor, California, USA"
7,Victor Doronin,155,M 35-39,RUS,01:02:48,05:31:22,03:19:38,09:59:57,Ironman Vineman,07/30/2016,"Windsor, California, USA"
8,James O'sullivan,151,M 30-34,GBR,00:58:17,05:28:53,03:25:56,10:00:31,Ironman Vineman,07/30/2016,"Windsor, California, USA"
3,Robert Mercer,403,M 25-29,USA,00:55:18,05:18:21,03:38:48,10:00:39,Ironman Vineman,07/30/2016,"Windsor, California, USA"
8,Mark Wooten,1547,M 35-39,USA,01:08:57,05:23:14,03:21:28,10:00:48,Ironman Vineman,07/30/2016,"Windsor, California, USA"
9,Blake Wheale,1321,M 30-34,USA,00:56:17,05:25:34,03:33:38,10:01:52,Ironman Vineman,07/30/2016,"Windsor, California, USA"
5,Francisco Maya,480,M 45-49,USA,01:01:27,05:15:59,03:36:17,10:01:57,Ironman Vineman,07/30/2016,"Windsor, California, USA"
10,Ben Meaker,1254,M 30-34,GBR,01:06:49,05:27:51,03:21:48,10:02:08,Ironman Vineman,07/30/2016,"Windsor, California, USA"
6,Darrell Stott,1965,M 45-49,GBR,01:05:17,05:26:59,03:20:22,10:02:26,Ironman Vineman,07/30/2016,"Windsor, California, USA"
11,Max Biessmann,1,M PRO,USA,00:54:45,04:53:25,04:10:19,10:03:17,Ironman Vineman,07/30/2016,"Windsor, California, USA"
1,James Allen,1997,M 50-54,USA,00:55:40,05:04:15,03:53:15,10:03:24,Ironman Vineman,07/30/2016,"Windsor, California, USA"
2,Ashley Paulson,40,F PRO,USA,01:15:34,05:27:13,03:15:48,10:03:38,Ironman Vineman,07/30/2016,"Windsor, California, USA"
2,Joseph Casino,1025,M 18-24,USA,00:56:14,05:17:24,03:41:49,10:04:52,Ironman Vineman,07/30/2016,"Windsor, California, USA"
11,Turner Johnson,1232,M 30-34,USA,01:02:00,04:56:19,03:58:09,10:05:21,Ironman Vineman,07/30/2016,"Windsor, California, USA"
7,Brandon Stegall,488,M 45-49,USA,00:58:41,05:17:00,03:41:58,10:05:47,Ironman Vineman,07/30/2016,"Windsor, California, USA"
8,Chad Hon,1859,M 45-49,USA,00:56:41,05:17:51,03:45:20,10:05:55,Ironman Vineman,07/30/2016,"Windsor, California, USA"
12,Yohann Coppel,253,M 30-34,FRA,01:09:05,05:12:33,03:37:40,10:07:24,Ironman Vineman,07/30/2016,"Windsor, California, USA"
9,Laurent Guerineau,1634,M 40-44,FRA,01:05:10,05:11:46,03:41:35,10:07:43,Ironman Vineman,07/30/2016,"Windsor, California, USA"
9,Sebastian Kouladjian,2296,M 35-39,USA,01:01:04,05:18:17,03:44:00,10:08:26,Ironman Vineman,07/30/2016,"Windsor, California, USA"
3,Rod Farvard,1032,M 18-24,USA,01:05:41,05:27:34,03:29:42,10:09:15,Ironman Vineman,07/30/2016,"Windsor, California, USA"
13,Jimmy Sopko,1302,M 30-34,USA,01:04:42,05:18:50,03:36:59,10:10:01,Ironman Vineman,07/30/2016,"Windsor, California, USA"
10,David Cruz,417,M 35-39,USA,01:06:26,05:17:26,03:43:05,10:12:27,Ironman Vineman,07/30/2016,"Windsor, California, USA"
14,Tory Silvestrin,153,M 30-34,USA,01:02:35,05:19:30,03:44:15,10:13:53,Ironman Vineman,07/30/2016,"Windsor, California, USA"
2,Tim Sheeper,2108,M 50-54,USA,00:55:55,05:08:42,04:01:36,10:14:22,Ironman Vineman,07/30/2016,"Windsor, California, USA"
4,Benjamin Lovelace,1113,M 25-29,USA,01:03:47,05:21:09,03:40:31,10:14:25,Ironman Vineman,07/30/2016,"Windsor, California, USA"
1,Caroline Coble,131,F 30-34,USA,01:11:33,05:17:59,03:37:16,10:14:47,Ironman Vineman,07/30/2016,"Windsor, California, USA"
9,Eric Harr,1853,M 45-49,USA,00:56:36,05:00:42,04:11:57,10:15:06,Ironman Vineman,07/30/2016,"Windsor, California, USA"
15,Joseph Mcleod,412,M 30-34,USA,01:04:06,05:05:29,03:59:39,10:17:10,Ironman Vineman,07/30/2016,"Windsor, California, USA"
