Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,Race,Date,Location
1,Eneko Llanos,1,M PRO,ESP,00:48:10,04:16:15,02:46:51,07:55:15,Ironman Vitoria-Gasteiz,07/14/2019,"Vitoria, Spain"
2,Josh Amberger,2,M PRO,AUS,00:46:45,04:18:02,02:58:01,08:06:54,Ironman Vitoria-Gasteiz,07/14/2019,"Vitoria, Spain"
3,Peru Alfaro,11,M PRO,ESP,00:48:06,04:27:27,02:47:44,08:08:01,Ironman Vitoria-Gasteiz,07/14/2019,"Vitoria, Spain"
4,Miquel Blanchart Tinto,6,M PRO,ESP,00:54:08,04:31:05,02:50:13,08:19:38,Ironman Vitoria-Gasteiz,07/14/2019,"Vitoria, Spain"
5,Carlos Lopez Diaz,13,M PRO,ESP,00:48:02,04:36:55,02:57:11,08:27:19,Ironman Vitoria-Gasteiz,07/14/2019,"Vitoria, Spain"
6,Alejandro Santamaria,5,M PRO,ESP,00:59:17,04:37:19,02:49:03,08:30:14,Ironman Vitoria-Gasteiz,07/14/2019,"Vitoria, Spain"
7,Kristian Quintans Dominguez,18,M PRO,ESP,00:59:16,04:36:35,02:52:40,08:33:27,Ironman Vitoria-Gasteiz,07/14/2019,"Vitoria, Spain"
8,Santiago Martinez Torres,20,M PRO,ESP,00:58:53,04:33:18,02:58:13,08:35:23,Ironman Vitoria-Gasteiz,07/14/2019,"Vitoria, Spain"
1,Neil Eddy,146,M 30,GBR,00:50:33,04:48:30,02:55:56,08:39:49,Ironman Vitoria-Gasteiz,07/14/2019,"Vitoria, Spain"
2,Javi Pérez García,285,M 30,ESP,00:56:57,04:45:02,02:56:53,08:42:51,Ironman Vitoria-Gasteiz,07/14/2019,"Vitoria, Spain"
3,Jordi Miranda Alfranca,159,M 30,ESP,00:58:33,04:45:10,02:54:47,08:46:17,Ironman Vitoria-Gasteiz,07/14/2019,"Vitoria, Spain"
1,Dominik Rueß,109,M 35,GER,00:54:49,04:36:40,03:09:15,08:46:45,Ironman Vitoria-Gasteiz,07/14/2019,"Vitoria, Spain"
9,Sergio Bolado Noriega,21,M PRO,ESP,00:55:46,04:39:42,03:06:51,08:47:40,Ironman Vitoria-Gasteiz,07/14/2019,"Vitoria, Spain"
1,Xabier Amparan,1937,M 40,ESP,00:56:53,04:39:14,03:06:48,08:48:28,Ironman Vitoria-Gasteiz,07/14/2019,"Vitoria, Spain"
2,Zorion Kareaga Laka,1200,M 40,ESP,00:54:28,04:42:44,03:07:36,08:49:36,Ironman Vitoria-Gasteiz,07/14/2019,"Vitoria, Spain"
10,Bert Verbeke,10,M PRO,BEL,00:54:34,04:34:40,03:15:32,08:49:50,Ironman Vitoria-Gasteiz,07/14/2019,"Vitoria, Spain"
2,Alexander Aguirreche,288,M 35,ESP,00:56:56,04:39:41,03:08:15,08:50:06,Ironman Vitoria-Gasteiz,07/14/2019,"Vitoria, Spain"
3,Danny Hannover,308,M 40,GER,01:04:49,04:35:14,03:05:11,08:50:34,Ironman Vitoria-Gasteiz,07/14/2019,"Vitoria, Spain"
3,David Corredor Panadero,841,M 35,ESP,00:56:41,04:46:53,03:00:59,08:50:52,Ironman Vitoria-Gasteiz,07/14/2019,"Vitoria, Spain"
1,Heather Jackson,50,F PRO,USA,00:58:06,04:43:43,03:06:03,08:52:10,Ironman Vitoria-Gasteiz,07/14/2019,"Vitoria, Spain"
1,Fernando Marian De Diego,1521,M 45,ESP,00:51:24,04:38:46,03:17:06,08:53:25,Ironman Vitoria-Gasteiz,07/14/2019,"Vitoria, Spain"
4,Fernando Cano Schulte-Lindhorst,390,M 40,ESP,00:56:47,04:41:01,03:10:06,08:53:45,Ironman Vitoria-Gasteiz,07/14/2019,"Vitoria, Spain"
4,Kristof Desmedt,850,M 35,BEL,01:07:21,04:41:30,03:02:18,08:58:09,Ironman Vitoria-Gasteiz,07/14/2019,"Vitoria, Spain"
1,Shaun Sprentall,156,M 25,USA,00:54:53,04:45:31,03:13:26,09:00:05,Ironman Vitoria-Gasteiz,07/14/2019,"Vitoria, Spain"
