Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,Race,Date,Location
1,Luke Mckenzie,2,M PRO,AUS,00:50:31,04:08:12,02:52:29,07:55:58,Ironman Western Australia,12/06/2015,"Busselton, Western Australia"
2,Denis Chevrot,1,M PRO,FRA,00:48:45,04:28:58,02:54:49,08:16:24,Ironman Western Australia,12/06/2015,"Busselton, Western Australia"
3,Per Bittner,3,M PRO,DEU,00:50:56,04:27:33,02:56:37,08:19:15,Ironman Western Australia,12/06/2015,"Busselton, Western Australia"
4,David Dellow,7,M PRO,AUS,00:50:36,04:38:22,02:46:04,08:19:24,Ironman Western Australia,12/06/2015,"Busselton, Western Australia"
5,Jens Petersen-Bach,18,M PRO,DNK,00:51:53,04:37:00,02:51:47,08:25:04,Ironman Western Australia,12/06/2015,"Busselton, Western Australia"
6,Christian Kramer,5,M PRO,DEU,00:49:42,04:26:49,03:07:52,08:28:33,Ironman Western Australia,12/06/2015,"Busselton, Western Australia"
1,Jared Medhurst,500,M 35-39,NZL,00:56:57,04:39:50,03:03:02,08:44:20,Ironman Western Australia,12/06/2015,"Busselton, Western Australia"
7,Adam Gordon,22,M PRO,AUS,00:57:28,04:49:29,02:52:39,08:44:35,Ironman Western Australia,12/06/2015,"Busselton, Western Australia"
1,Barry Oelofsen,323,M 30-34,ZAF,01:00:47,04:35:37,03:08:25,08:49:39,Ironman Western Australia,12/06/2015,"Busselton, Western Australia"
2,Brad Wall,367,M 30-34,AUS,00:56:27,04:44:28,03:08:06,08:53:39,Ironman Western Australia,12/06/2015,"Busselton, Western Australia"
1,Daniel Macpherson,177,M 25-29,AUS,00:54:47,04:42:43,03:10:01,08:53:45,Ironman Western Australia,12/06/2015,"Busselton, Western Australia"
3,Chris Rancie,336,M 30-34,AUS,01:02:01,04:47:35,02:59:56,08:54:16,Ironman Western Australia,12/06/2015,"Busselton, Western Australia"
8,Petr Vabrousek,21,M PRO,CZE,01:02:23,04:42:10,03:06:03,08:55:19,Ironman Western Australia,12/06/2015,"Busselton, Western Australia"
2,Jason Shields,535,M 35-39,AUS,01:01:20,04:47:04,03:04:42,08:57:41,Ironman Western Australia,12/06/2015,"Busselton, Western Australia"
9,Darren Jenkins,16,M PRO,AUS,01:07:55,04:48:29,02:58:10,08:59:50,Ironman Western Australia,12/06/2015,"Busselton, Western Australia"
3,Travis Atkins,389,M 35-39,AUS,01:04:25,04:52:25,02:59:28,09:01:25,Ironman Western Australia,12/06/2015,"Busselton, Western Australia"
4,Richard Thompson,360,M 30-34,AUS,01:01:59,04:44:56,03:10:27,09:01:47,Ironman Western Australia,12/06/2015,"Busselton, Western Australia"
1,Sarah Piampiano,33,F PRO,USA,01:06:49,04:50:46,03:01:18,09:03:47,Ironman Western Australia,12/06/2015,"Busselton, Western Australia"
5,Blake Kappler,1502,M 30-34,AUS,00:54:37,04:46:21,03:18:58,09:04:06,Ironman Western Australia,12/06/2015,"Busselton, Western Australia"
1,Robert Wormald,796,M 40-44,GBR,01:02:49,04:48:56,03:11:18,09:08:08,Ironman Western Australia,12/06/2015,"Busselton, Western Australia"
2,Mareen Hufe,32,F PRO,DEU,01:06:52,04:47:38,03:10:18,09:09:16,Ironman Western Australia,12/06/2015,"Busselton, Western Australia"
10,Jarmo Harst,15,M PRO,FIN,00:52:18,04:47:45,03:24:13,09:09:43,Ironman Western Australia,12/06/2015,"Busselton, Western Australia"
6,Gavin Mofsowitz,311,M 30-34,ZAF,01:03:31,04:59:32,03:01:44,09:10:06,Ironman Western Australia,12/06/2015,"Busselton, Western Australia"
3,Yvonne Van Vlerken,31,F PRO,NLD,01:02:53,04:49:09,03:15:50,09:12:07,Ironman Western Australia,12/06/2015,"Busselton, Western Australia"
2,Peter Weiss,791,M 40-44,DNK,01:04:44,04:49:04,03:12:36,09:12:10,Ironman Western Australia,12/06/2015,"Busselton, Western Australia"
4,Ryan Miller,502,M 35-39,AUS,01:08:13,04:55:55,03:10:45,09:19:20,Ironman Western Australia,12/06/2015,"Busselton, Western Australia"
7,Joshua Randall,1492,M 30-34,USA,01:00:35,04:43:47,03:31:15,09:21:25,Ironman Western Australia,12/06/2015,"Busselton, Western Australia"
